Orthogroup	Capsella_rubella	Rorippa_islandica
OG0004021	XP_006285577.1	Roisl.0091s0155.1.p
OG0004022	XP_006282397.2	Roisl.0005s0297.1.p
OG0004023	XP_006297345.1	Roisl.0115s0294.1.p
OG0004024	XP_023641616.1	Roisl.0115s0295.1.p
OG0004024	XP_023645030.1	Roisl.0006s0084.1.p
OG0004025	XP_006293737.2	Roisl.0028s0911.1.p
OG0004026	XP_006286593.1	Roisl.0210s1594.1.p
OG0004026	XP_006295389.1	Roisl.0028s0927.1.p
OG0004027	XP_006282264.2	Roisl.0005s0173.1.p
OG0004028	XP_023645091.1	Roisl.0007s0538.1.p
OG0004029	XP_006284605.1	Roisl.0091s0066.1.p
OG0004029	XP_006288749.1	Roisl.0209s0242.1.p
OG0004030	XP_006306801.1	Roisl.0082s0078.1.p
OG0004031	XP_006282295.1	Roisl.0191s0686.1.p
OG0004032	XP_006285562.1	Roisl.0091s0301.1.p
OG0004033	XP_006284024.1	Roisl.0012s0316.1.p, Roisl.0091s0278.1.p
OG0004034	XP_023634818.1	Roisl.0091s0163.1.p
OG0004035	XP_023635418.1	Roisl.0091s0149.1.p
OG0004036	XP_006296998.1	Roisl.0074s0127.1.p
OG0004037	XP_006284611.1	Roisl.0002s0020.1.p
OG0004038	XP_006284340.1	Roisl.0091s0654.1.p, Roisl.0091s0655.1.p
OG0004039	XP_006282134.1, XP_006297180.2	Roisl.0016s0077.1.p
OG0004040	XP_006281109.2, XP_006301614.2, XP_006294863.1	Roisl.0023s0088.1.p
OG0004041	XP_006291167.1	Roisl.0018s0411.1.p
OG0004042	XP_023638624.1	Roisl.0018s0314.1.p
OG0004043	XP_023634999.1	Roisl.0003s0334.1.p
OG0004044	XP_023639058.1	Roisl.0018s0265.1.p
OG0004045	XP_023638488.1	Roisl.0018s0260.1.p
OG0004046	XP_023636133.1	Roisl.0082s0298.1.p
OG0004046	XP_006290264.1	Roisl.0018s0069.1.p
OG0004047	XP_006291720.1	Roisl.0026s0157.1.p
OG0004048	XP_006293133.1	Roisl.0011s0024.1.p
OG0004049	XP_023640744.1	Roisl.0028s0490.1.p
OG0004049	XP_006292158.1	Roisl.0026s0189.1.p
OG0004050	XP_006290956.1	Roisl.0046s1667.1.p, Roisl.0046s1666.1.p
OG0004051	XP_006291779.1	Roisl.0046s1398.1.p, Roisl.0046s1399.1.p
OG0004052	XP_023638669.1	Roisl.0046s1336.1.p
OG0004053	XP_023638424.1	Roisl.0046s1330.1.p
OG0004054	XP_006297663.2	Roisl.0053s0184.1.p, Roisl.0053s0183.1.p
OG0004055	XP_023632604.1	Roisl.0021s0520.1.p
OG0004056	XP_006301795.1	Roisl.0019s0311.1.p
OG0004057	XP_023637763.1	Roisl.0032s0099.1.p
OG0004058	XP_006296245.1	Roisl.0028s0584.1.p
OG0004059	XP_006299495.2	Roisl.0053s0202.1.p
OG0004060	XP_006296192.1	Roisl.0051s0018.1.p
OG0004061	XP_023633803.1	Roisl.0022s0104.1.p
OG0004062	XP_006304445.1	Roisl.0013s0029.1.p
OG0004063	XP_023646067.1	Roisl.0193s0007.1.p
OG0004064	XP_006288339.1	Roisl.0020s0073.1.p, Roisl.0020s0075.1.p
OG0004065	XP_006284448.1	Roisl.0008s0201.1.p
OG0004066	XP_023636569.1	Roisl.0210s1650.1.p
OG0004068	XP_006286919.1	Roisl.0046s0437.1.p
OG0004068	XP_006299942.1	Roisl.0039s0026.1.p
OG0004069	XP_006295238.1	Roisl.0067s0078.1.p
OG0004070	XP_006295227.1	Roisl.0035s0094.1.p
OG0004071	XP_006298158.1	Roisl.0045s0075.1.p
OG0004072	XP_006296160.1	Roisl.0028s0130.1.p
OG0004073	XP_006295114.1	Roisl.0028s0231.1.p
OG0004074	XP_006306528.1	Roisl.0007s0423.1.p
OG0004076	XP_023641743.1	Roisl.0016s0244.1.p
OG0004077	XP_006299511.1	Roisl.0016s0277.1.p
OG0004078	XP_006299962.1	Roisl.0016s0336.1.p
OG0004079	XP_023642799.1	Roisl.0016s0385.1.p
OG0004081	XP_006297808.2	Roisl.0039s0016.1.p
OG0004082	XP_006299536.2	Roisl.0039s0023.1.p
OG0004083	XP_006297335.1	Roisl.0039s0045.1.p
OG0004084	XP_006298515.1	Roisl.0039s0128.1.p
OG0004085	XP_006298131.1	Roisl.0039s0148.1.p
OG0004086	XP_023641667.1	Roisl.0079s0122.1.p
OG0004087	XP_006300271.2	Roisl.0074s0718.1.p
OG0004088	XP_006297132.1	Roisl.0074s0644.1.p
OG0004089	XP_006297871.1	Roisl.0074s0546.1.p, Roisl.0074s0548.1.p
OG0004090	XP_023642596.1, XP_023632713.1	Roisl.0074s0433.1.p
OG0004091	XP_006297067.1	Roisl.0074s0347.1.p
OG0004092	XP_006299434.1	Roisl.0074s0228.1.p
OG0004093	XP_006297201.2	Roisl.0074s0141.1.p
OG0004094	XP_006297804.1	Roisl.0115s0288.1.p
OG0004095	XP_006281014.2, XP_006279693.1	Roisl.0036s0057.1.p, Roisl.0036s0078.1.p
OG0004096	XP_006292993.2	Roisl.0184s0222.1.p
OG0004097	XP_006285870.1	Roisl.0009s0312.1.p
OG0004098	XP_023641771.1	Roisl.0053s0328.1.p
OG0004099	XP_006299893.1	Roisl.0053s0349.1.p
OG0004100	XP_006299601.1	Roisl.0115s0637.1.p
OG0004101	XP_006298609.1	Roisl.0115s0636.1.p
OG0004102	XP_006298556.1	Roisl.0115s0502.1.p, Roisl.0115s0503.1.p, Roisl.0115s0501.1.p
OG0004104	XP_023639054.1	Roisl.0198s0002.1.p
OG0004105	XP_023633890.1, XP_006289338.1	Roisl.0046s0493.1.p
OG0004106	XP_023636366.1	Roisl.0015s0042.1.p
OG0004107	XP_006304244.1	Roisl.0020s0180.1.p, Roisl.0210s0101.1.p
OG0004108	XP_006304405.1	Roisl.0210s0343.1.p
OG0004109	XP_006303558.1	Roisl.0091s0901.1.p
OG0004110	XP_006306624.2	Roisl.0091s1061.1.p
OG0004111	XP_006300832.1, XP_023644824.1	Roisl.0089s0003.1.p
OG0004112	XP_023637571.1	Roisl.0082s0264.1.p
OG0004113	XP_006303174.1	Roisl.0021s0183.1.p
OG0004114	XP_006302086.1	Roisl.0010s0115.1.p
OG0004114	XP_023645062.1	Roisl.0021s0337.1.p
OG0004115	XP_006304397.1	Roisl.0007s0661.1.p
OG0004116	XP_006304577.1	Roisl.0007s0344.1.p
OG0004117	XP_006307218.1, XP_023645410.1	Roisl.0007s0329.1.p
OG0004118	XP_006302093.1, XP_023643468.1	Roisl.0019s0297.1.p
OG0004119	XP_006282058.1	Roisl.0076s0005.1.p
OG0004120	XP_006301876.1	Roisl.0019s0369.1.p
OG0004121	XP_006303066.2	Roisl.0019s0507.1.p
OG0004122	XP_023645659.1	Roisl.0021s0363.1.p
OG0004122	XP_023643184.1	Roisl.0010s0128.1.p
OG0004123	XP_023638286.1	Roisl.0011s0017.1.p
OG0004124	XP_006302049.1	Roisl.0050s0070.1.p
OG0004125	XP_006287934.2	Roisl.0082s0304.1.p, Roisl.0012s0291.1.p, Roisl.0185s0023.1.p
OG0004126	XP_006281391.1	Roisl.0012s0301.1.p
OG0004127	XP_006293099.1, XP_006292448.1	Roisl.0037s0030.1.p
OG0004128	XP_023637044.1	Roisl.0082s0262.1.p
OG0004129	XP_006284902.2, XP_023644724.1	Roisl.0013s0130.1.p
OG0004130	XP_006284314.1	Roisl.0001s0378.1.p
OG0004131	XP_006283636.1	Roisl.0001s0252.1.p
OG0004132	XP_006283537.1	Roisl.0001s0213.1.p
OG0004133	XP_006283878.1	Roisl.0008s0322.1.p
OG0004134	XP_006297739.1, XP_023641880.1	Roisl.0053s0296.1.p
OG0004135	XP_006297786.1	Roisl.0053s0276.1.p
OG0004136	XP_006289505.1	Roisl.0191s0494.1.p
OG0004137	XP_006281211.1	Roisl.0031s0045.1.p, Roisl.0022s0468.1.p
OG0004138	XP_006303411.1	Roisl.0191s0264.1.p
OG0004138	XP_006307741.2, XP_006304400.1	Roisl.0191s0263.1.p
OG0004141	XP_006302863.2, XP_006302984.1	Roisl.0194s0021.1.p, Roisl.0194s0009.1.p
OG0004142	XP_006283692.2, XP_006284049.2	Roisl.0066s0258.1.p
OG0004144	XP_006300151.2	Roisl.0038s0048.1.p, Roisl.0038s0049.1.p
OG0004146	XP_006295741.1	Roisl.0082s0665.1.p, Roisl.0091s1036.1.p
OG0004147	XP_006293098.1, XP_006292882.2	Roisl.0082s0731.1.p
OG0004148	XP_006292359.1	Roisl.0011s0023.1.p
OG0004149	XP_006292233.1	Roisl.0025s0010.1.p
OG0004150	XP_006293220.1	Roisl.0006s0547.1.p, Roisl.0018s0202.1.p
OG0004152	XP_006289448.1	Roisl.0020s0001.1.p
OG0004153	XP_006284438.1	Roisl.0022s0392.1.p
OG0004154	XP_006289711.2	Roisl.0210s1959.1.p
OG0004155	XP_006281313.1	Roisl.0024s0200.1.p, Roisl.0024s0201.1.p
OG0004156	XP_023637625.1	Roisl.0213s0573.1.p
OG0004156	XP_006296665.1	Roisl.0039s0156.1.p
OG0004157	XP_006294911.1	Roisl.0028s0887.1.p
OG0004165	XP_006295101.1	Roisl.0021s0575.1.p
OG0004166	XP_006284418.1	Roisl.0003s0064.1.p
OG0004167	XP_006285431.1	Roisl.0003s0070.1.p
OG0004168	XP_006281666.1	Roisl.0024s0196.1.p
OG0004169	XP_006286576.1	Roisl.0210s1432.1.p
OG0004170	XP_023636415.1	Roisl.0210s1388.1.p
OG0004171	XP_006288478.1	Roisl.0210s1370.1.p
OG0004173	XP_023636418.1	Roisl.0210s1298.1.p
OG0004174	XP_006288963.1	Roisl.0210s1219.1.p
OG0004175	XP_006286712.1	Roisl.0210s1213.1.p
OG0004176	XP_006289121.1	Roisl.0210s1203.1.p
OG0004177	XP_006305312.1	Roisl.0191s0195.1.p
OG0004178	XP_023636395.1	Roisl.0210s1103.1.p
OG0004179	XP_006301272.2, XP_023641392.1	Roisl.0016s0389.1.p, Roisl.0075s0115.1.p
OG0004181	XP_023638413.1	Roisl.0188s0071.1.p
OG0004182	XP_006286729.1	Roisl.0046s0181.1.p
OG0004183	XP_006288777.1	Roisl.0210s0643.1.p, Roisl.0063s0001.1.p
OG0004184	XP_006287914.1	Roisl.0210s0590.1.p
OG0004186	XP_023634191.1	Roisl.0022s0129.1.p
OG0004187	XP_006296031.2	Roisl.0010s0035.1.p
OG0004188	XP_006294674.2	Roisl.0209s0514.1.p
OG0004189	XP_006304143.1	Roisl.0204s0113.1.p
OG0004190	XP_006294987.1	Roisl.0204s0066.1.p
OG0004191	XP_006294449.1	Roisl.0082s0605.1.p, Roisl.0082s0608.1.p
OG0004192	XP_006294259.1	Roisl.0033s0054.1.p
OG0004193	XP_006294613.1	Roisl.0033s0059.1.p
OG0004194	XP_006294038.1	Roisl.0033s0068.1.p
OG0004195	XP_006296079.1	Roisl.0033s0116.1.p
OG0004197	XP_006296279.1	Roisl.0017s0468.1.p
OG0004197	XP_006296133.1	Roisl.0017s0486.1.p
OG0004198	XP_006295357.1, XP_006293411.2, XP_006295278.2	Roisl.0017s0432.1.p
OG0004199	XP_006305760.1	Roisl.0013s0171.1.p
OG0004200	XP_006305842.1	Roisl.0066s0347.1.p
OG0004201	XP_006305132.1	Roisl.0066s0336.1.p
OG0004202	XP_023645807.1	Roisl.0213s0084.1.p
OG0004203	XP_006304746.1	Roisl.0213s0159.1.p, Roisl.0028s0816.1.p
OG0004204	XP_006305152.1	Roisl.0213s0219.1.p, Roisl.0213s0221.1.p, Roisl.0213s0220.1.p
OG0004205	XP_023640553.1	Roisl.0028s0846.1.p
OG0004206	XP_006306367.1	Roisl.0213s0288.1.p
OG0004207	XP_023645883.1	Roisl.0213s0306.1.p
OG0004208	XP_006305006.1	Roisl.0213s0319.1.p
OG0004209	XP_006307602.2	Roisl.0213s0352.1.p, Roisl.0213s0353.1.p
OG0004210	XP_006304993.1	Roisl.0213s0493.1.p
OG0004211	XP_006292978.1	Roisl.0011s0185.1.p
OG0004212	XP_006281487.1	Roisl.0024s0568.1.p
OG0004213	XP_023643970.1	Roisl.0020s0068.1.p
OG0004214	XP_006281742.1	Roisl.0024s0560.1.p
OG0004215	XP_006282280.1	Roisl.0024s0494.1.p
OG0004215	XP_006292981.1	Roisl.0046s0921.1.p
OG0004216	XP_006290270.1, XP_023634250.1	Roisl.0189s0087.1.p
OG0004217	XP_006280683.2	Roisl.0024s0232.1.p
OG0004218	XP_006281467.1	Roisl.0024s0154.1.p
OG0004219	XP_023644548.1	Roisl.0006s0303.1.p
OG0004220	XP_006282146.1	Roisl.0080s0122.1.p
OG0004221	XP_006281446.1	Roisl.0080s0177.1.p
OG0004222	XP_006285170.1	Roisl.0091s0687.1.p
OG0004223	XP_006279531.1	Roisl.0046s0017.1.p, Roisl.0032s0044.1.p
OG0004225	XP_006287484.1	Roisl.0046s0171.1.p
OG0004225	XP_023637369.1	Roisl.0046s0170.1.p
OG0004226	XP_006286940.1	Roisl.0210s1702.1.p
OG0004227	XP_006287414.1	Roisl.0210s1793.1.p
OG0004228	XP_006289299.1	Roisl.0210s1884.1.p
OG0004229	XP_006280885.1	Roisl.0080s0361.1.p
OG0004230	XP_006281272.1	Roisl.0080s0389.1.p
OG0004231	XP_006281089.1	Roisl.0080s0534.1.p
OG0004231	XP_006293277.2	Roisl.0011s0209.1.p
OG0004232	XP_006280390.1	Roisl.0080s0635.1.p
OG0004233	XP_023633980.1	Roisl.0091s0019.1.p
OG0004234	XP_006292756.1, XP_023638693.1, XP_023642465.1	Roisl.0080s0754.1.p
OG0004235	XP_023639250.1	Roisl.0046s0901.1.p, Roisl.0209s0450.1.p, Roisl.0032s0101.1.p
OG0004236	XP_006280726.1	Roisl.0179s0056.1.p, Roisl.0080s0861.1.p
OG0004237	XP_006288964.1	Roisl.0082s0442.1.p
OG0004238	XP_006287802.1	Roisl.0082s0402.1.p
OG0004239	XP_006287041.1	Roisl.0042s0025.1.p
OG0004240	XP_006297083.1	Roisl.0074s0992.1.p
OG0004241	XP_006287481.1	Roisl.0030s0139.1.p
OG0004242	XP_006288039.1	Roisl.0030s0006.1.p
OG0004243	XP_006286782.1	Roisl.0034s0043.1.p
OG0004244	XP_006283192.1	Roisl.0020s0006.1.p, Roisl.0184s0039.1.p, Roisl.0020s0004.1.p, Roisl.0214s0158.1.p, Roisl.0009s0155.1.p
OG0004245	XP_006285138.1	Roisl.0009s0105.1.p
OG0004246	XP_006302787.1	Roisl.0115s0119.1.p
OG0004247	XP_006301621.1	Roisl.0115s0188.1.p
OG0004249	XP_006302655.1	Roisl.0004s0128.1.p
OG0004250	XP_006297329.1	Roisl.0079s0223.1.p
OG0004251	XP_006306482.1, XP_006304662.1	Roisl.0021s0497.1.p
OG0004252	XP_006299435.2	Roisl.0189s0122.1.p
OG0004252	XP_006303908.2	Roisl.0191s0437.1.p
OG0004253	XP_006307086.1	Roisl.0006s0393.1.p
OG0004254	XP_006286000.1	Roisl.0058s0043.1.p
OG0004255	XP_006295245.1	Roisl.0028s0125.1.p
OG0004256	XP_006302370.1	Roisl.0019s0202.1.p
OG0004257	XP_006280705.1	Roisl.0191s0253.1.p, Roisl.0191s0252.1.p
OG0004258	XP_006307035.1	Roisl.0021s0409.1.p
OG0004259	XP_006292717.1	Roisl.0025s0071.1.p
OG0004260	XP_006281532.2	Roisl.0012s0038.1.p
OG0004261	XP_006292294.1, XP_006292686.1	Roisl.0011s0568.1.p
OG0004262	XP_023637850.1, XP_023637849.1	Roisl.0011s0379.1.p
OG0004263	XP_006305507.1	Roisl.0191s0318.1.p
OG0004264	XP_006302036.1	Roisl.0019s0624.1.p
OG0004265	XP_023644210.1	Roisl.0005s0195.1.p
OG0004266	XP_023642657.1	Roisl.0005s0228.1.p
OG0004267	XP_023642811.1, XP_006280549.2, XP_006280006.1	Roisl.0005s0303.1.p
OG0004268	XP_006285941.1	Roisl.0005s0355.1.p
OG0004269	XP_023642600.1, XP_006294650.1	Roisl.0029s0084.1.p
OG0004270	XP_006300351.1	Roisl.0019s0373.1.p
OG0004271	XP_006303378.2	Roisl.0006s0192.1.p
OG0004272	XP_006306732.1	Roisl.0006s0235.1.p
OG0004273	XP_006305177.2	Roisl.0006s0281.1.p
OG0004274	XP_006284914.1	Roisl.0091s0458.1.p
OG0004275	XP_006283920.1	Roisl.0091s0461.1.p
OG0004276	XP_023633696.1	Roisl.0091s0500.1.p
OG0004276	XP_006286284.1	Roisl.0091s0495.1.p
OG0004277	XP_023634945.1	Roisl.0091s0595.1.p
OG0004278	XP_006290505.1	Roisl.0046s1063.1.p
OG0004279	XP_006284582.1	Roisl.0008s0178.1.p
OG0004280	XP_006282835.1	Roisl.0008s0143.1.p
OG0004281	XP_006280530.1	Roisl.0189s0212.1.p
OG0004282	XP_023635008.1	Roisl.0008s0220.1.p
OG0004283	XP_006296463.1	Roisl.0028s0908.1.p
OG0004284	XP_006286193.1, XP_006285811.1	Roisl.0091s0057.1.p
OG0004285	XP_006283913.1	Roisl.0091s0303.1.p
OG0004286	XP_006283784.1	Roisl.0091s0247.1.p
OG0004287	XP_006284681.1	Roisl.0091s0220.1.p
OG0004288	XP_006284141.1	Roisl.0091s0648.1.p, Roisl.0091s0681.1.p
OG0004289	XP_006299087.1	Roisl.0016s0039.1.p
OG0004290	XP_006291800.2, XP_023636957.1	Roisl.0046s0289.1.p, Roisl.0014s0037.1.p
OG0004291	XP_006291375.1	Roisl.0018s0439.1.p
OG0004292	XP_023638578.1	Roisl.0018s0276.1.p
OG0004293	XP_006291146.1	Roisl.0018s0224.1.p
OG0004294	XP_006305757.1	Roisl.0006s0504.1.p
OG0004295	XP_006290799.1	Roisl.0026s0030.1.p
OG0004296	XP_006293023.1	Roisl.0026s0067.1.p, Roisl.0026s0094.1.p
OG0004297	XP_023639304.1	Roisl.0026s0069.1.p
OG0004298	XP_006291292.1	Roisl.0026s0128.1.p
OG0004299	XP_006291996.1	Roisl.0026s0208.1.p
OG0004300	XP_023638985.1	Roisl.0046s1665.1.p
OG0004301	XP_023637962.1	Roisl.0046s1632.1.p
OG0004302	XP_006292931.1	Roisl.0046s1496.1.p, Roisl.0046s1495.1.p
OG0004303	XP_006280881.1	Roisl.0031s0113.1.p
OG0004304	XP_006298303.1	Roisl.0053s0249.1.p
OG0004305	XP_006299979.1	Roisl.0066s0126.1.p
OG0004306	XP_006299149.1	Roisl.0066s0096.1.p
OG0004307	XP_006297598.1	Roisl.0066s0287.1.p
OG0004308	XP_006297805.2	Roisl.0214s0347.1.p
OG0004310	XP_006293964.1	Roisl.0028s0503.1.p
OG0004311	XP_006294048.1	Roisl.0028s0532.1.p, Roisl.0028s0533.1.p
OG0004312	XP_023640590.1	Roisl.0028s0550.1.p
OG0004313	XP_006295484.1	Roisl.0017s0403.1.p
OG0004314	XP_006293900.1	Roisl.0017s0290.1.p
OG0004315	XP_006295029.1	Roisl.0017s0229.1.p
OG0004316	XP_006294619.1	Roisl.0017s0106.1.p
OG0004317	XP_006288770.1	Roisl.0213s0517.1.p
OG0004318	XP_006293798.1	Roisl.0006s0557.1.p
OG0004318	XP_023633712.1	Roisl.0001s0307.1.p
OG0004319	XP_006304175.1	Roisl.0191s0455.1.p
OG0004320	XP_006304014.1	Roisl.0210s0381.1.p, Roisl.0036s0124.1.p
OG0004321	XP_006292871.2	Roisl.0209s0329.1.p
OG0004321	XP_023638576.1	Roisl.0209s0331.1.p
OG0004322	XP_006289325.1	Roisl.0046s0319.1.p
OG0004323	XP_006286599.2	Roisl.0046s0376.1.p
OG0004324	XP_006288890.1	Roisl.0046s0384.1.p
OG0004325	XP_006288848.1	Roisl.0046s0391.1.p, Roisl.0014s0058.1.p
OG0004326	XP_006295958.1	Roisl.0035s0034.1.p
OG0004327	XP_006296394.1	Roisl.0035s0035.1.p
OG0004328	XP_023632866.1	Roisl.0035s0088.1.p, Roisl.0184s0100.1.p
OG0004329	XP_006293860.2	Roisl.0035s0113.1.p
OG0004331	XP_006297383.1	Roisl.0053s0311.1.p, Roisl.0115s0477.1.p
OG0004332	XP_006295297.1	Roisl.0035s0181.1.p
OG0004334	XP_006294646.1	Roisl.0028s0297.1.p
OG0004335	XP_006294858.1	Roisl.0028s0302.1.p
OG0004336	XP_006295260.1	Roisl.0028s0328.1.p
OG0004337	XP_006281073.1	Roisl.0005s0057.1.p
OG0004338	XP_023634821.1	Roisl.0005s0063.1.p
OG0004339	XP_006281192.1	Roisl.0005s0076.1.p
OG0004340	XP_006296737.1	Roisl.0039s0115.1.p
OG0004341	XP_006300138.1	Roisl.0039s0137.1.p
OG0004342	XP_023641501.1	Roisl.0079s0054.1.p
OG0004343	XP_023641764.1	Roisl.0079s0065.1.p
OG0004344	XP_023641541.1	Roisl.0079s0189.1.p
OG0004345	XP_006297203.2	Roisl.0074s1019.1.p
OG0004346	XP_006298725.2	Roisl.0074s0884.1.p
OG0004347	XP_006299828.2	Roisl.0074s0819.1.p
OG0004348	XP_006299808.1	Roisl.0074s0799.1.p
OG0004348	XP_006289079.1	Roisl.0210s0395.1.p
OG0004349	XP_006298658.1	Roisl.0074s0747.1.p
OG0004350	XP_023642608.1	Roisl.0074s0685.1.p
OG0004351	XP_006305217.1	Roisl.0074s0645.1.p
OG0004352	XP_006296703.2	Roisl.0074s0598.1.p
OG0004353	XP_006298814.1	Roisl.0074s0564.1.p
OG0004354	XP_006296734.1	Roisl.0074s0551.1.p
OG0004355	XP_006298019.1	Roisl.0074s0482.1.p
OG0004356	XP_006297233.1	Roisl.0074s0425.1.p
OG0004357	XP_023642046.1	Roisl.0074s0418.1.p
OG0004358	XP_023643752.1, XP_006298858.1	Roisl.0074s0414.1.p, Roisl.0184s0185.1.p
OG0004359	XP_006297165.1	Roisl.0074s0348.1.p
OG0004360	XP_006297575.1	Roisl.0214s0462.1.p, Roisl.0214s0495.1.p, Roisl.0214s0463.1.p
OG0004361	XP_006298533.1	Roisl.0074s0229.1.p
OG0004362	XP_006299156.1	Roisl.0074s0063.1.p
OG0004363	XP_006297888.2	Roisl.0074s0033.1.p
OG0004364	XP_006298327.1	Roisl.0115s0266.1.p
OG0004365	XP_006296792.1	Roisl.0115s0338.1.p, Roisl.0115s0337.1.p
OG0004366	XP_006297579.1	Roisl.0115s0370.1.p
OG0004367	XP_006299654.1	Roisl.0115s0425.1.p
OG0004368	XP_023642655.1, XP_006300274.2, XP_006279243.2, XP_023645179.1, XP_006300263.2, XP_006279259.2, XP_006279032.1	Roisl.0115s0444.1.p
OG0004370	XP_006282746.1	Roisl.0064s0034.1.p
OG0004372	XP_006280444.1	Roisl.0041s0029.1.p, Roisl.0208s0012.1.p
OG0004373	XP_006299757.1	Roisl.0053s0303.1.p
OG0004374	XP_006299575.1	Roisl.0053s0368.1.p
OG0004375	XP_006296824.1	Roisl.0115s0590.1.p
OG0004376	XP_006298275.1	Roisl.0115s0540.1.p
OG0004377	XP_023642123.1	Roisl.0115s0525.1.p
OG0004378	XP_006298243.1	Roisl.0115s0524.1.p
OG0004379	XP_006299130.1	Roisl.0115s0493.1.p
OG0004380	XP_023643822.1	Roisl.0022s0028.1.p
OG0004381	XP_006288468.1	Roisl.0210s1575.1.p
OG0004382	XP_023639129.1	Roisl.0046s1125.1.p, Roisl.0046s1116.1.p, Roisl.0046s1120.1.p
OG0004383	XP_006290584.1	Roisl.0046s1103.1.p
OG0004385	XP_006305017.1	Roisl.0210s0284.1.p
OG0004387	XP_006303899.1	Roisl.0091s0861.1.p
OG0004388	XP_023645626.1	Roisl.0091s1069.1.p
OG0004389	XP_023645203.1	Roisl.0091s1199.1.p
OG0004390	XP_006305369.1	Roisl.0091s1231.1.p
OG0004391	XP_006306229.2	Roisl.0021s0016.1.p
OG0004392	XP_006305596.1	Roisl.0021s0275.1.p
OG0004393	XP_006305294.2	Roisl.0021s0343.1.p
OG0004394	XP_006303182.1	Roisl.0021s0349.1.p
OG0004395	XP_023645620.1	Roisl.0021s0366.1.p
OG0004396	XP_006305176.2	Roisl.0007s0477.1.p
OG0004397	XP_006305555.1	Roisl.0049s0052.1.p
OG0004398	XP_023644025.1, XP_006306470.1	Roisl.0191s0043.1.p
OG0004399	XP_023645186.1	Roisl.0191s0097.1.p
OG0004400	XP_023643453.1	Roisl.0019s0353.1.p
OG0004401	XP_006302413.1	Roisl.0019s0508.1.p
OG0004402	XP_006292930.2, XP_006291077.2	Roisl.0018s0060.1.p
OG0004403	XP_006300562.1	Roisl.0027s0008.1.p, Roisl.0010s0144.1.p
OG0004404	XP_023643325.1, XP_006302650.1	Roisl.0019s0023.1.p
OG0004405	XP_006284968.1	Roisl.0200s0019.1.p
OG0004405	XP_006301560.1	Roisl.0050s0042.1.p
OG0004406	XP_006280269.1	Roisl.0012s0275.1.p
OG0004407	XP_006296228.1, XP_006295833.1	Roisl.0027s0136.1.p
OG0004407	XP_006292367.1	Roisl.0046s1347.1.p
OG0004408	XP_006284434.1	Roisl.0001s0474.1.p
OG0004409	XP_006282739.1	Roisl.0001s0308.1.p, Roisl.0027s0039.1.p
OG0004410	XP_006283663.1	Roisl.0001s0129.1.p
OG0004411	XP_006285817.1	Roisl.0008s0262.1.p
OG0004412	XP_006290996.1, XP_023637079.1	Roisl.0015s0036.1.p, Roisl.0191s0479.1.p
OG0004413	XP_023634640.1	Roisl.0008s0309.1.p
OG0004414	XP_006282823.1	Roisl.0008s0333.1.p
OG0004415	XP_006284461.1	Roisl.0008s0351.1.p
OG0004416	XP_006284339.1	Roisl.0003s0218.1.p
OG0004417	XP_023634984.1	Roisl.0003s0175.1.p
OG0004418	XP_006282807.2	Roisl.0003s0151.1.p
OG0004419	XP_006296884.1	Roisl.0053s0320.1.p
OG0004420	XP_006304590.2	Roisl.0210s2076.1.p
OG0004421	XP_006290127.1	Roisl.0191s0569.1.p
OG0004422	XP_023637413.1	Roisl.0191s0565.1.p
OG0004423	XP_006284909.1	Roisl.0022s0505.1.p
OG0004425	XP_023633062.1	Roisl.0015s0078.1.p
OG0004425	XP_023643247.1	Roisl.0019s0802.1.p
OG0004427	XP_023645577.1, XP_023645648.1, XP_023645649.1	Roisl.0013s0078.1.p
OG0004428	XP_006306376.1, XP_006304441.1	Roisl.0006s0069.1.p
OG0004429	XP_006306483.1	Roisl.0006s0347.1.p
OG0004431	XP_023642444.1	Roisl.0016s0180.1.p
OG0004431	XP_023641326.1	Roisl.0074s0080.1.p
OG0004432	XP_006295860.1	Roisl.0017s0459.1.p, Roisl.0017s0458.1.p
OG0004433	XP_006282048.1, XP_006296136.1	Roisl.0028s0704.1.p, Roisl.0028s0755.1.p
OG0004434	XP_006283542.1	Roisl.0013s0216.1.p
OG0004435	XP_006280503.1	Roisl.0214s0391.1.p
OG0004436	XP_006287646.1	Roisl.0046s0420.1.p
OG0004436	XP_006289782.2	Roisl.0046s0418.1.p
OG0004438	XP_023635432.1	Roisl.0075s0109.1.p, Roisl.0209s0064.1.p
OG0004440	XP_023643519.1	Roisl.0115s0230.1.p
OG0004451	XP_006283627.1	Roisl.0091s0008.1.p
OG0004452	XP_006290361.2	Roisl.0209s0429.1.p
OG0004453	XP_006293764.1	Roisl.0017s0267.1.p
OG0004454	XP_006281100.1	Roisl.0005s0047.1.p
OG0004455	XP_006290985.1	Roisl.0011s0131.1.p
OG0004456	XP_006288614.1	Roisl.0210s1518.1.p
OG0004457	XP_023644389.1	Roisl.0091s0705.1.p
OG0004458	XP_006288409.1	Roisl.0210s1387.1.p
OG0004459	XP_006291446.1	Roisl.0018s0482.1.p
OG0004460	XP_006286968.1	Roisl.0210s1325.1.p
OG0004461	XP_006288751.1	Roisl.0210s1280.1.p
OG0004462	XP_023636879.1	Roisl.0210s1214.1.p
OG0004463	XP_006289576.2, XP_006305277.2	Roisl.0210s1181.1.p
