Orthogroup	Capsella_rubella	Cardamine_hirsuta
OG0003457	XP_006295513.2	CARHR139120
OG0003458	XP_006294880.1, XP_023640711.1	CARHR139100
OG0003459	XP_006289567.1	CARHR194010
OG0003459	XP_006298269.1	CARHR080720
OG0003460	XP_023642407.1, XP_023643342.1	CARHR080810
OG0003461	XP_006296625.1	CARHR213130, CARHR176030, CARHR176040, CARHR213100, CARHR213110, CARHR213090, CARHR213140, CARHR081210
OG0003462	XP_006296653.1	CARHR083390
OG0003464	XP_023641496.1	CARHR086460, CARHR086470
OG0003465	XP_006299806.1	CARHR088310
OG0003466	XP_006299764.1, XP_006300164.1	CARHR088450
OG0003467	XP_006300242.1	CARHR090980
OG0003468	XP_006286134.2, XP_006286102.1	CARHR231770
OG0003469	XP_023634629.1, XP_023634947.1	CARHR238770
OG0003471	XP_023645368.1	CARHR007850, CARHR007840
OG0003472	XP_006303836.1	CARHR009490
OG0003473	XP_006303181.1	CARHR010070
OG0003474	XP_006300469.2	CARHR283810
OG0003475	XP_006300607.1	CARHR048710
OG0003475	XP_006303147.1	CARHR012750
OG0003477	XP_023632726.1	CARHR015140
OG0003479	XP_023635161.1, XP_023635162.1	CARHR262030
OG0003480	XP_006281281.1	CARHR264880
OG0003481	XP_006281527.1	CARHR173550
OG0003481	XP_023637622.1, XP_006284544.2	CARHR223760
OG0003482	XP_006296857.1, XP_006283034.1	CARHR092300
OG0003483	XP_006294579.1	CARHR141560
OG0003484	XP_006283464.1	CARHR294150
OG0003485	XP_023635598.1	CARHR245960
OG0003486	XP_023633687.1	CARHR244150
OG0003487	XP_006284859.1	CARHR242800
OG0003488	XP_006295476.1	CARHR117900
OG0003488	XP_006285656.1	CARHR238840
OG0003489	XP_006305730.1, XP_006305731.1	CARHR023550, CARHR023570, CARHR023560, CARHR023580, CARHR024050, CARHR024040
OG0003494	XP_023645943.1	CARHR045300
OG0003495	XP_006301904.2, XP_006301443.2	CARHR146870
OG0003496	XP_006300929.1, XP_006301393.1, XP_006300988.1, XP_006300969.1	CARHR058980
OG0003497	XP_023643170.1, XP_023645946.1, XP_023643807.1	CARHR220460, CARHR056340
OG0003497	XP_006301976.1	CARHR059750
OG0003498	XP_023636519.1, XP_006281900.2, XP_023636517.1	CARHR002680
OG0003502	XP_023633389.1	CARHR265660
OG0003503	XP_006292363.1, XP_023638035.1, XP_023639184.1	CARHR146290
OG0003505	XP_023632921.1	CARHR223000
OG0003513	XP_023636115.1, XP_023636970.1, XP_006287818.1	CARHR254120
OG0003514	XP_006289380.1	CARHR196270
OG0003515	XP_006287120.1	CARHR197440
OG0003515	XP_006303166.2	CARHR018880
OG0003516	XP_023637151.1	CARHR201750
OG0003516	XP_023637122.1	CARHR201760
OG0003517	XP_023635902.1	CARHR204070
OG0003517	XP_023642320.1	CARHR095280
OG0003518	XP_023638584.1	CARHR204450
OG0003519	XP_006280926.1	CARHR275170
OG0003520	XP_006289219.1	CARHR205520
OG0003521	XP_006294624.1	CARHR119810
OG0003522	XP_023639902.1, XP_023639889.1	CARHR120330
OG0003523	XP_006294728.1, XP_006294768.1	CARHR121270
OG0003525	XP_006295266.1	CARHR123850
OG0003526	XP_023643837.1	CARHR068770
OG0003527	XP_006293642.1	CARHR125030
OG0003528	XP_023640266.1	CARHR125230, CARHR008820
OG0003529	XP_006294604.1	CARHR126050
OG0003530	XP_006304378.2	CARHR003560
OG0003531	XP_023633107.1	CARHR029110
OG0003532	XP_006289817.1, XP_006306300.1	CARHR030270
OG0003533	XP_023635441.1	CARHR066690
OG0003533	XP_006282421.2	CARHR280550
OG0003534	XP_023633449.1	CARHR181420, CARHR280300
OG0003534	XP_006287510.2	CARHR053680, CARHR181410
OG0003535	XP_023639731.1	CARHR279420
OG0003536	XP_006281076.2	CARHR275990, CARHR205950
OG0003537	XP_023640284.1, XP_006279767.1	CARHR275580
OG0003540	XP_006289997.1	CARHR190550
OG0003541	XP_006279833.1	CARHR274170
OG0003542	XP_006300893.1	CARHR066880
OG0003542	XP_006289010.1	CARHR260420
OG0003543	XP_006281623.1, XP_006281852.1	CARHR285860
OG0003544	XP_006280964.2	CARHR285750
OG0003545	XP_006279634.1	CARHR272100
OG0003546	XP_006279594.1	CARHR271540
OG0003547	XP_023632940.1	CARHR269770
OG0003547	XP_006304810.2	CARHR007870
OG0003548	XP_006280688.1	CARHR268940, CARHR268950
OG0003549	XP_023634973.1, XP_023634260.1, XP_006289816.1	CARHR205930
OG0003550	XP_023635953.1	CARHR207240
OG0003551	XP_006289427.1	CARHR208090
OG0003551	XP_006296592.1	CARHR085440
OG0003552	XP_006286829.2, XP_006296706.1	CARHR109910
OG0003554	XP_023638535.1	CARHR148830
OG0003554	XP_023634132.1	CARHR261430
OG0003555	XP_006301720.1	CARHR072650
OG0003556	XP_006307235.1	CARHR071730, CARHR022760
OG0003557	XP_006297938.1	CARHR293610
OG0003558	XP_006304908.2	CARHR039830, CARHR039820, CARHR039840
OG0003559	XP_006284497.1	CARHR220600
OG0003560	XP_006285247.1	CARHR220780
OG0003563	XP_006302823.1	CARHR066270, CARHR066280
OG0003564	XP_023645218.1	CARHR019580
OG0003565	XP_006291745.1, XP_006291721.1	CARHR146670
OG0003566	XP_023643280.1	CARHR062460
OG0003567	XP_023633530.1	CARHR176340
OG0003568	XP_006279618.1	CARHR181160
OG0003569	XP_006301586.1	CARHR023920, CARHR023930, CARHR066660
OG0003571	XP_006285907.1, XP_006286230.2	CARHR227430, CARHR227410
OG0003572	XP_006283924.1	CARHR226580
OG0003573	XP_006285288.1	CARHR222920
OG0003574	XP_006292828.1	CARHR161630
OG0003577	XP_006294329.2	CARHR142420
OG0003577	XP_006291206.2	CARHR172560
OG0003578	XP_006287661.1, XP_006291039.1	CARHR078640, CARHR004860
OG0003579	XP_006300653.1	CARHR186390, CARHR186410
OG0003579	XP_006290509.1	CARHR171130
OG0003580	XP_006290583.1	CARHR166300
OG0003581	XP_006290626.1	CARHR168460
OG0003583	XP_006293143.1	CARHR165150
OG0003584	XP_006303651.1, XP_023638309.1	CARHR163170
OG0003585	XP_023645118.1	CARHR266770
OG0003585	XP_023642120.1	CARHR266800
OG0003586	XP_006302847.1	CARHR214630
OG0003587	XP_006292480.1	CARHR166100
OG0003587	XP_006294563.1	CARHR135280
OG0003589	XP_006293687.1	CARHR133180
OG0003590	XP_006294573.2, XP_006279122.2	CARHR131760
OG0003592	XP_006294007.1, XP_006292330.1	CARHR115110
OG0003594	XP_006290137.1	CARHR255210
OG0003595	XP_006287155.1, XP_006286834.1	CARHR186940
OG0003596	XP_006286930.1	CARHR185830
OG0003597	XP_006296825.1	CARHR003460
OG0003597	XP_006306584.1	CARHR003470
OG0003598	XP_006296022.1	CARHR112950, CARHR041480, CARHR040260
OG0003599	XP_023636976.1	CARHR194810
OG0003600	XP_006290106.1	CARHR080680
OG0003601	XP_006298707.1	CARHR087140
OG0003603	XP_006297318.2	CARHR091270
OG0003604	XP_006294084.1	CARHR117820
OG0003604	XP_023634791.1	CARHR238900
OG0003605	XP_006298521.1	CARHR096380
OG0003606	XP_006297940.1	CARHR096460
OG0003607	XP_023642178.1	CARHR099410
OG0003608	XP_023641820.1	CARHR099270
OG0003610	XP_006302378.1	CARHR055610
OG0003612	XP_006290857.1, XP_006290861.1	CARHR162200
OG0003613	XP_006306803.2	CARHR023400
OG0003614	XP_006306479.1, XP_006304809.1, XP_006305617.1	CARHR002270
OG0003616	XP_006305459.1	CARHR005610
OG0003617	XP_006306351.1	CARHR005870
OG0003618	XP_006303511.1	CARHR008170, CARHR008190
OG0003619	XP_023633126.1	CARHR010210
OG0003620	XP_006306076.1	CARHR010570
OG0003620	XP_006300657.1	CARHR053270
OG0003621	XP_006306058.1, XP_006304235.1	CARHR010750
OG0003622	XP_006303370.1	CARHR011320
OG0003623	XP_006307442.1	CARHR012510
OG0003624	XP_006304133.1	CARHR015350
OG0003626	XP_006307236.2	CARHR017590
OG0003627	XP_006306601.1	CARHR021170
OG0003628	XP_006282255.1	CARHR178180
OG0003629	XP_006283723.1	CARHR242660, CARHR242670
OG0003630	XP_006283054.1	CARHR241020
OG0003630	XP_006296473.1	CARHR114810
OG0003631	XP_006290474.2, XP_023633860.1, XP_006283617.1	CARHR241880
OG0003632	XP_006294895.1	CARHR059710
OG0003632	XP_006284578.2	CARHR240100
OG0003633	XP_006307526.2	CARHR024560
OG0003634	XP_006288019.1	CARHR248770
OG0003634	XP_006289805.2, XP_006288073.1, XP_006288063.1, XP_006286721.1	CARHR248240
OG0003635	XP_006306089.1	CARHR005760
OG0003635	XP_006296460.1	CARHR124630
OG0003636	XP_006296474.1	CARHR122420
OG0003636	XP_006303622.1	CARHR007270
OG0003637	XP_006306462.1	CARHR024020
OG0003638	XP_006299573.1	CARHR181530, CARHR052320, CARHR098280
OG0003639	XP_006296180.1	CARHR257820
OG0003640	XP_006280808.1, XP_006280809.1, XP_006280807.1	CARHR277460
OG0003641	XP_023636080.1	CARHR251910
OG0003641	XP_023637565.1, XP_006281618.1, XP_023637561.1	CARHR177810, CARHR152180
OG0003642	XP_023639163.1, XP_023638929.1, XP_023639162.1	CARHR158400
OG0003644	XP_006303542.1	CARHR031330, CARHR255740, CARHR031340
OG0003646	XP_006280325.1, XP_006281575.2	CARHR264990
OG0003648	XP_023635614.1	CARHR241170
OG0003656	XP_023637886.1	CARHR157180
OG0003657	XP_006292106.1	CARHR156530
OG0003657	XP_023636288.1	CARHR276360
OG0003658	XP_006281933.1	CARHR176620
OG0003659	XP_023641514.1, XP_023636221.1	CARHR076050
OG0003660	XP_006283486.1	CARHR229260
OG0003661	XP_023637276.1	CARHR201230, CARHR201240
OG0003662	XP_006286859.1	CARHR201590
OG0003665	XP_006299817.1	CARHR085350
OG0003666	XP_006303336.1	CARHR006630
OG0003666	XP_006296407.1	CARHR123580
OG0003667	XP_006291260.2	CARHR230610
OG0003668	XP_006279689.1	CARHR265250
OG0003668	XP_006284451.1	CARHR232990
OG0003669	XP_006303406.1	CARHR028280
OG0003670	XP_006287609.1	CARHR189970
OG0003671	XP_006289550.1	CARHR188800
OG0003672	XP_006286737.2	CARHR187640
OG0003673	XP_006287859.1	CARHR191840
OG0003674	XP_006291857.1	CARHR152680
OG0003674	XP_006288666.1	CARHR191350
OG0003675	XP_006281387.1	CARHR274070
OG0003676	XP_006301506.1	CARHR068680
OG0003677	XP_006293451.1, XP_006293348.2, XP_006296448.2, XP_023640399.1	CARHR128330, CARHR128320
OG0003678	XP_006286182.1	CARHR233940
OG0003679	XP_006279654.1	CARHR268870
OG0003680	XP_006292116.1	CARHR158590
OG0003680	XP_006292108.1	CARHR158580
OG0003681	XP_006292579.1, XP_006292986.1	CARHR157450
OG0003682	XP_006287064.1	CARHR250590
OG0003683	XP_006286466.1	CARHR211640
OG0003683	XP_023637159.1	CARHR211650
OG0003684	XP_006292662.1	CARHR148890
OG0003685	XP_006292012.1	CARHR007640
OG0003686	XP_006283423.1	CARHR212570
OG0003688	XP_006281491.1	CARHR074110
OG0003689	XP_023643569.1, XP_006302980.1	CARHR074020
OG0003690	XP_006299095.1	CARHR185820
OG0003691	XP_023643666.1	CARHR288980, CARHR068370, CARHR288990
OG0003692	XP_006306222.1	CARHR045790
OG0003693	XP_006304799.1	CARHR043350
OG0003694	XP_006281099.1	CARHR258420
OG0003695	XP_006284585.1, XP_006285126.1	CARHR290030
OG0003696	XP_006284238.1	CARHR236290
OG0003696	XP_006298188.1	CARHR111080
OG0003697	XP_023634450.1	CARHR236660
OG0003697	XP_006282614.2	CARHR236650
OG0003698	XP_006290384.1	CARHR149780
OG0003698	XP_006284603.1	CARHR261950
OG0003699	XP_006288808.1	CARHR249130
OG0003700	XP_006281916.1	CARHR175580
OG0003701	XP_006297066.1, XP_023642549.1	CARHR093050
OG0003702	XP_006293536.2	CARHR138770
OG0003703	XP_023645635.1	CARHR177730
OG0003703	XP_023638905.1	CARHR177710
OG0003704	XP_006306404.1	CARHR041020, CARHR040530
OG0003706	XP_006306449.1	CARHR015390
OG0003706	XP_006279174.1	CARHR227050
OG0003707	XP_006307372.1	CARHR041870
OG0003708	XP_023641978.1	CARHR284810
OG0003709	XP_006296403.1	CARHR127670
OG0003709	XP_006303812.1	CARHR035200
OG0003710	XP_006295047.1	CARHR130090, CARHR130080
OG0003711	XP_006291931.1	CARHR164890
OG0003713	XP_023639219.1	CARHR172640
OG0003714	XP_006294099.1	CARHR141950
OG0003715	XP_006291973.1	CARHR171710
OG0003716	XP_006293032.1	CARHR171450, CARHR141020
OG0003717	XP_006291049.1	CARHR150810, CARHR169560
OG0003718	XP_006292531.2	CARHR165890
OG0003719	XP_006294448.2	CARHR134630
OG0003720	XP_006286655.1, XP_006303739.1	CARHR195900
OG0003721	XP_006307210.1	CARHR026610
OG0003722	XP_006297972.1	CARHR109120
OG0003723	XP_006291848.1, XP_006298481.2	CARHR146540
OG0003724	XP_006299421.1, XP_006299730.1	CARHR109570
OG0003725	XP_006296837.1	CARHR109620
OG0003726	XP_006296037.1	CARHR237740
OG0003727	XP_006283028.1	CARHR215860
OG0003729	XP_006286428.1	CARHR187010
OG0003730	XP_006298869.1	CARHR079950
OG0003730	XP_006286610.1	CARHR186270
OG0003731	XP_006293723.2	CARHR135440
OG0003732	XP_006295829.1	CARHR058290, CARHR058340
OG0003733	XP_006291835.1, XP_006294885.2	CARHR114110
OG0003734	XP_006295709.2	CARHR139110
OG0003735	XP_006295375.1	CARHR138960
OG0003736	XP_006297172.2, XP_023642348.1	CARHR080870
OG0003737	XP_006298214.1	CARHR082240, CARHR082220
OG0003738	XP_006299121.1	CARHR082780
OG0003739	XP_006299043.1	CARHR088990
OG0003740	XP_006300178.1, XP_006298002.1	CARHR089250
OG0003741	XP_023645624.1	CARHR015790
OG0003742	XP_006298201.1	CARHR093440
OG0003742	XP_023640623.1	CARHR113170
OG0003743	XP_006300117.1	CARHR093950
OG0003744	XP_023641593.1, XP_006300264.2	CARHR097690
OG0003745	XP_023639003.1	CARHR161430, CARHR159310
OG0003746	XP_006306008.1	CARHR002470
OG0003747	XP_023644962.1, XP_006307470.1	CARHR005200
OG0003748	XP_006304122.2, XP_006305532.1	CARHR007180
OG0003749	XP_006303475.1	CARHR016510
OG0003750	XP_023645432.1	CARHR017440
OG0003751	XP_006306075.1	CARHR017930
OG0003752	XP_006300432.2	CARHR064570, CARHR064550
OG0003753	XP_006301600.2, XP_006300554.2	CARHR063920, CARHR063940
OG0003754	XP_006298591.1	CARHR103910
OG0003754	XP_006282706.1	CARHR217350
OG0003755	XP_023643621.1, XP_023634459.1	CARHR046430
OG0003756	XP_006283383.1	CARHR227530
OG0003756	XP_023637648.1	CARHR178810
OG0003757	XP_006305666.2	CARHR037790
OG0003758	XP_006291107.2	CARHR038270
OG0003759	XP_006304086.1	CARHR039310
OG0003760	XP_023633972.1, XP_006301569.1, XP_023642042.1, XP_006299765.1	CARHR294270
OG0003761	XP_006285574.2	CARHR247100, CARHR215520
OG0003762	XP_006284443.1	CARHR247060
OG0003763	XP_006284177.1	CARHR113670
OG0003764	XP_006285783.1	CARHR244980
OG0003765	XP_023634386.1	CARHR233370
OG0003768	XP_006284850.1	CARHR235950
OG0003769	XP_023644949.1	CARHR029960
OG0003770	XP_006292331.1, XP_023633403.1	CARHR180050
OG0003772	XP_006300488.1	CARHR292270
OG0003772	XP_006283756.1	CARHR215360
OG0003774	XP_023642588.1	CARHR124280
OG0003775	XP_006293488.2, XP_023639516.1, XP_023640394.1, XP_006294900.2	CARHR125710
OG0003776	XP_006284782.1	CARHR222900
OG0003777	XP_006282844.1, XP_023635227.1, XP_006305983.2, XP_006285022.1	CARHR180170
OG0003778	XP_006295803.2, XP_006296452.1	CARHR124660, CARHR124670
OG0003780	XP_006285650.1	CARHR072250
OG0003790	XP_006287570.1	CARHR195890
OG0003791	XP_006287034.1	CARHR195930, CARHR154520, CARHR154530
OG0003792	XP_006281616.2, XP_006279212.2, XP_006301848.2, XP_006290056.2	CARHR197210, CARHR197200
OG0003793	XP_006289957.1	CARHR184010, CARHR199820
OG0003794	XP_006287608.1, XP_006303986.1	CARHR201280
OG0003795	XP_006290094.1	CARHR202600
OG0003796	XP_006287364.1	CARHR203640
OG0003797	XP_023637471.1	CARHR204710
OG0003798	XP_006283902.1	CARHR232220
OG0003799	XP_023640739.1, XP_006294831.2	CARHR121100
OG0003800	XP_006294421.1	CARHR124910, CARHR124390
OG0003801	XP_006295291.1	CARHR125350
OG0003802	XP_006296241.1	CARHR125730
OG0003803	XP_006295121.2	CARHR127460
OG0003804	XP_006280230.1, XP_006283408.1	CARHR232640
OG0003805	XP_006288965.1, XP_006284842.1	CARHR262430
OG0003806	XP_006307150.1	CARHR286960
OG0003807	XP_023645356.1	CARHR032990
OG0003808	XP_006280479.1	CARHR280480
OG0003809	XP_006279598.2	CARHR277610
OG0003810	XP_006281296.1	CARHR276990
OG0003811	XP_006280123.1	CARHR276400
OG0003812	XP_006284315.1, XP_006304438.1	CARHR060900, CARHR236070
OG0003813	XP_006289409.1	CARHR248040
OG0003814	XP_006288568.1	CARHR190090
OG0003815	XP_006286946.1	CARHR201690
OG0003816	XP_006287687.1	CARHR191440
OG0003817	XP_006280004.1	CARHR274370
OG0003818	XP_023639744.1	CARHR271800
OG0003819	XP_023633667.1	CARHR234100
OG0003821	XP_006280432.1	CARHR268420
OG0003822	XP_006281642.1	CARHR267600
OG0003824	XP_006287546.1	CARHR206870
OG0003825	XP_006291257.1	CARHR267130
OG0003826	XP_006281146.1	CARHR182460
OG0003827	XP_023637657.1	CARHR208940
OG0003828	XP_023633916.1	CARHR244560
OG0003829	XP_006296297.1, XP_023633986.1	CARHR213190
OG0003830	XP_006300883.1	CARHR072490
OG0003832	XP_006293010.1	CARHR146430
OG0003833	XP_023645889.1	CARHR045500
OG0003834	XP_006306108.2, XP_006305564.2	CARHR044670
OG0003836	XP_006290833.1	CARHR149980
OG0003837	XP_023634445.1	CARHR085170, CARHR218080
OG0003838	XP_006285994.1, XP_006285714.1	CARHR058610, CARHR058620, CARHR187980, CARHR222160
OG0003839	XP_006285101.1	CARHR290170, CARHR290150, CARHR056520, CARHR260120
OG0003840	XP_006303552.2	CARHR019130
OG0003840	XP_023643973.1	CARHR067190
OG0003841	XP_023643702.1	CARHR062130
OG0003842	XP_023643442.1	CARHR062820
OG0003843	XP_006303233.1	CARHR040560
OG0003844	XP_006297378.1	CARHR096120
OG0003844	XP_006303970.1	CARHR050370, CARHR287710
OG0003845	XP_006295790.1	CARHR116820
OG0003846	XP_006292843.1	CARHR152110
OG0003848	XP_006290398.1	CARHR280960
OG0003849	XP_006283122.1	CARHR231090
OG0003850	XP_006284119.1	CARHR230760
OG0003851	XP_006299705.1	CARHR094730
OG0003851	XP_023641228.1	CARHR074890
OG0003852	XP_006296995.1	CARHR075310
OG0003852	XP_023645066.1	CARHR017030
OG0003853	XP_006299271.1	CARHR172040
OG0003854	XP_006294019.1	CARHR140500
OG0003855	XP_006292066.1	CARHR169660
OG0003856	XP_006279040.1, XP_023638455.1	CARHR168490
OG0003857	XP_006290358.1	CARHR168310
OG0003857	XP_006296564.1	CARHR137210
OG0003858	XP_023637841.1	CARHR168290
OG0003859	XP_006291916.1	CARHR163940
OG0003860	XP_023639297.1	CARHR257330
OG0003861	XP_006286161.1	CARHR217960
OG0003861	XP_006299309.1	CARHR102120
OG0003862	XP_006296863.1	CARHR100440
OG0003865	XP_006295042.1	CARHR132290
OG0003866	XP_006294951.1	CARHR131380
OG0003866	XP_006279697.1	CARHR257860
OG0003867	XP_006293956.1	CARHR113680
OG0003868	XP_006304446.1	CARHR035840
OG0003869	XP_006306164.1, XP_006303802.1	CARHR033130
OG0003870	XP_006289112.1	CARHR194380
OG0003871	XP_006302890.2	CARHR047990
OG0003872	XP_006286857.1	CARHR255150
OG0003873	XP_006295848.1	CARHR130310
OG0003874	XP_006294618.1	CARHR142220, CARHR034190
OG0003875	XP_023640213.1, XP_023640212.1	CARHR138860
OG0003876	XP_023639359.1	CARHR137580
OG0003877	XP_006296268.1	CARHR137030
OG0003878	XP_006293943.1	CARHR136620
OG0003879	XP_023641725.1	CARHR076980
OG0003880	XP_023641741.1	CARHR081920
OG0003881	XP_023641602.1	CARHR082520
OG0003882	XP_006297467.1	CARHR085970
OG0003883	XP_006300067.1	CARHR106750
OG0003884	XP_006296610.2	CARHR090820
OG0003885	XP_006307425.1	CARHR001500
OG0003886	XP_023635284.1	CARHR264900
OG0003887	XP_006291950.1	CARHR162070
OG0003889	XP_023633290.1	CARHR004750
OG0003890	XP_006281412.1	CARHR150790
OG0003891	XP_006304417.1	CARHR008830
OG0003892	XP_006279050.2, XP_006304854.2	CARHR008940
OG0003893	XP_006306255.1	CARHR018610
OG0003893	XP_023645992.1	CARHR009360
OG0003894	XP_006306226.1	CARHR009530
OG0003895	XP_006304261.1	CARHR048720, CARHR012730
OG0003896	XP_006303831.1	CARHR018840
OG0003897	XP_006304114.1, XP_006303555.1	CARHR019330
OG0003898	XP_006304683.1	CARHR019600
OG0003899	XP_006307229.1	CARHR019850
OG0003900	XP_023637184.1, XP_006299712.1	CARHR250080
OG0003901	XP_023642972.1	CARHR049390
OG0003902	XP_006301500.2	CARHR051560
OG0003903	XP_006300903.1	CARHR054040
OG0003905	XP_023643063.1	CARHR173660
OG0003906	XP_006295202.1	CARHR174210
OG0003908	XP_023634411.1	CARHR289510
OG0003909	XP_006286163.2	CARHR004760
OG0003910	XP_023635288.1, XP_006286139.2, XP_006283979.1, XP_006285511.1	CARHR242460
OG0003911	XP_006284565.1	CARHR239040
OG0003912	XP_006303428.1	CARHR023680
OG0003913	XP_006284110.1	CARHR235580
OG0003914	XP_023645769.1, XP_006295764.1	CARHR005050
OG0003916	XP_023644895.1, XP_023644334.1	CARHR057410
OG0003917	XP_006303433.1	CARHR034200
OG0003919	XP_023634309.1	CARHR184890
OG0003920	XP_006296320.1, XP_006295797.1, XP_023640360.1, XP_023640361.1, XP_006296272.1	CARHR113730
OG0003922	XP_023638206.1	CARHR153100
OG0003923	XP_006291536.1	CARHR155980, CARHR155960, CARHR155950, CARHR155970
OG0003925	XP_006281849.2	CARHR274510
OG0003926	XP_006279516.1	CARHR270160, CARHR269980, CARHR269970, CARHR105970, CARHR269960
OG0003927	XP_023637733.1	CARHR196490
OG0003929	XP_006288094.1	CARHR259730
OG0003930	XP_023637620.1	CARHR178040
OG0003931	XP_006282103.1, XP_006281620.1	CARHR264260
OG0003941	XP_006288834.1	CARHR198090
OG0003942	XP_006287815.1	CARHR199090
OG0003943	XP_023637296.1	CARHR199480
OG0003944	XP_006289832.1	CARHR200510
OG0003945	XP_006289724.1	CARHR187330
OG0003946	XP_023643547.1	CARHR062670
OG0003947	XP_023633741.1	CARHR239870
OG0003948	XP_006289904.2	CARHR202000, CARHR202040
OG0003949	XP_006287727.1	CARHR289470
OG0003951	XP_006286554.1	CARHR190390
OG0003952	XP_006288089.1	CARHR205020
OG0003953	XP_006282346.1	CARHR275270
OG0003954	XP_006283181.1	CARHR232260
OG0003955	XP_023633785.1	CARHR232070
OG0003956	XP_006295165.1	CARHR120170
OG0003957	XP_006293432.1	CARHR121450
OG0003958	XP_006293588.2	CARHR123420
OG0003959	XP_006294340.1	CARHR127420
OG0003960	XP_006304183.1	CARHR003580
OG0003961	XP_006285813.1	CARHR232530
OG0003962	XP_006303300.1, XP_006303315.1	CARHR028940
OG0003964	XP_006291906.1	CARHR165540
OG0003965	XP_023643785.1	CARHR289760, CARHR002160
OG0003966	XP_006279977.1	CARHR279540
OG0003967	XP_006280805.1	CARHR148630, CARHR217800, CARHR278030
OG0003968	XP_023635364.1	CARHR277600
OG0003970	XP_006281721.1	CARHR275320
OG0003972	XP_006279565.1	CARHR274930
OG0003973	XP_006280455.1	CARHR274700
OG0003974	XP_006288824.1	CARHR189990
OG0003975	XP_006291500.2	CARHR157690
OG0003977	XP_006286985.1	CARHR187510
OG0003978	XP_023637334.1	CARHR100170
OG0003978	XP_006307355.1	CARHR011990
OG0003979	XP_006282302.1, XP_006292826.1	CARHR273990
OG0003980	XP_006280164.1	CARHR273920
OG0003981	XP_006292728.1	CARHR147650
OG0003982	XP_006280285.1	CARHR272890
OG0003983	XP_006279862.1	CARHR272720
OG0003984	XP_023639249.1, XP_006280848.1	CARHR272390
OG0003985	XP_006281522.1, XP_006281808.1	CARHR271310
OG0003986	XP_023635695.1	CARHR269640
OG0003987	XP_006290808.1	CARHR157820
OG0003989	XP_006289894.1	CARHR206140
OG0003990	XP_023633394.1, XP_006281995.1	CARHR266310
OG0003991	XP_006289651.1	CARHR065770, CARHR065760
OG0003992	XP_006282178.2, XP_006289495.1	CARHR277810, CARHR208250
OG0003993	XP_006287211.2	CARHR208700
OG0003994	XP_006287947.1	CARHR209950
OG0003995	XP_006286879.1	CARHR211070
OG0003996	XP_006287879.2	CARHR211080
OG0003997	XP_006284403.1	CARHR213280
OG0003998	XP_006299836.1	CARHR084850
OG0003999	XP_023643751.1	CARHR073750
OG0004000	XP_006301898.1	CARHR069990
OG0004001	XP_006302419.1	CARHR069890
OG0004002	XP_006301120.1	CARHR069460
OG0004003	XP_006280794.2	CARHR114890, CARHR178630
OG0004004	XP_006304634.1	CARHR044020
OG0004005	XP_023644571.1, XP_023644570.1	CARHR045760
OG0004006	XP_006303808.1	CARHR045550
OG0004007	XP_006307680.1	CARHR045130
OG0004009	XP_006307383.1	CARHR035780
OG0004010	XP_006306231.1	CARHR044050
OG0004012	XP_006281380.1	CARHR266060
OG0004013	XP_006284667.1	CARHR220630
OG0004014	XP_023633995.1, XP_023633993.1	CARHR221190
OG0004015	XP_023635657.1	CARHR290190
OG0004016	XP_006300298.1, XP_023642845.1	CARHR066490
OG0004020	XP_006291222.1	CARHR148490
OG0004021	XP_006285577.1	CARHR228440
OG0004022	XP_006282397.2	CARHR176510
OG0004023	XP_006297345.1	CARHR095330
OG0004024	XP_023645030.1	CARHR040320
OG0004025	XP_006282452.1	CARHR178030
OG0004025	XP_006293737.2	CARHR129130
OG0004026	XP_006295389.1	CARHR129280
OG0004027	XP_006282264.2	CARHR175360
OG0004028	XP_023645091.1	CARHR016450
OG0004029	XP_006288749.1	CARHR253760
OG0004030	XP_006306801.1	CARHR292410
OG0004031	XP_006282295.1	CARHR259150
OG0004032	XP_006285562.1	CARHR226840
OG0004033	XP_006284024.1	CARHR178340, CARHR227120
OG0004034	XP_023634818.1	CARHR228380
OG0004035	XP_023635418.1	CARHR228500
OG0004036	XP_006296998.1	CARHR093410
OG0004037	XP_006284611.1	CARHR222810
OG0004038	XP_006284340.1	CARHR223210
OG0004039	XP_006282134.1, XP_006297180.2	CARHR075550
OG0004040	XP_006281109.2, XP_006301614.2, XP_006294863.1	CARHR115920
OG0004041	XP_006291167.1	CARHR173040
OG0004042	XP_023638624.1	CARHR172190
OG0004043	XP_023634999.1	CARHR114770, CARHR262780, CARHR241000
OG0004044	XP_023639058.1	CARHR171780
OG0004045	XP_023638488.1	CARHR171730
OG0004046	XP_006290264.1	CARHR169950
OG0004047	XP_006291720.1	CARHR167590
OG0004048	XP_006293133.1	CARHR143830
OG0004049	XP_006292158.1	CARHR167260
OG0004050	XP_006290956.1	CARHR166740
OG0004051	XP_006291779.1	CARHR164100, CARHR164120
OG0004052	XP_023638669.1	CARHR163490
OG0004053	XP_023638424.1	CARHR163420
OG0004054	XP_006297663.2	CARHR101150
OG0004055	XP_023632604.1	CARHR045410
OG0004056	XP_006301795.1	CARHR064870
OG0004058	XP_006296245.1	CARHR135590
OG0004059	XP_006299495.2	CARHR100940
OG0004060	XP_006296192.1	CARHR117610
OG0004061	XP_023633803.1	CARHR231980
OG0004062	XP_006304445.1	CARHR039200, CARHR286730, CARHR039190
