Orthogroup	Capsella_rubella	Arabidopsis_lyrata_Rawat
OG0000595	XP_006300900.1, XP_006301531.2	AL2G15580
OG0000595	XP_006302485.1	AL2G34000
OG0000596	XP_006293874.1	AL4G14430, AL4G14420
OG0000596	XP_006292532.1	AL5G14430
OG0000597	XP_023634247.1	AL7G42080
OG0000598	XP_006297788.1	AL4G22950
OG0000599	XP_006284804.1	AL7G16660
OG0000599	XP_006295159.2	AL4G10780
OG0000599	XP_006284805.1	AL7G11160
OG0000600	XP_006298749.2, XP_006288900.1	AL3G16180
OG0000601	XP_006302652.1	AL2G17840
OG0000601	XP_006294755.1, XP_006291534.2, XP_006303259.1	AL5G39070
OG0000602	XP_023635090.1	AL7G19070
OG0000603	XP_006288821.1	AL6G17020
OG0000603	XP_023633867.1	AL7G39900
OG0000603	XP_023635023.1	AL7G39860, AL7G39890
OG0000604	XP_006284608.1	AL7G47910
OG0000604	XP_006281071.2	AL8G27120
OG0000604	XP_006282715.2	AL7G27300
OG0000605	XP_006288028.1	AL6G51580, AL6G51520, AL6G51550
OG0000606	XP_006279894.1	AL8G13580
OG0000606	XP_006279896.1	AL8G14370, AL8G14230
OG0000606	XP_023633912.1	AL7G14900
OG0000607	XP_006306249.1	AL1G33240, nbis-gene-118
OG0000607	XP_006285625.2, XP_006295988.1, XP_006296342.1, XP_023640378.1, XP_006296312.1, XP_006296286.1, XP_006281980.1, XP_006303281.1, XP_006304569.1, XP_023633310.1	nbis-gene-119, AL1G45500, AL1G33320
OG0000609	XP_006299159.1	AL3G49920
OG0000609	XP_006299047.1	AL3G49930
OG0000610	XP_006293928.2	AL4G15320
OG0000610	XP_023639569.1	AL3G33570, AL4G18460, AL4G19670
OG0000613	XP_023638663.1	AL5G34110
OG0000613	XP_006297006.1	AL3G21070
OG0000613	XP_006287085.1	AL6G12670
OG0000614	XP_006301539.1, XP_006301051.1	AL2G29700, AL2G29710, AL2G29730
OG0000614	XP_006301974.1, XP_023644291.1, XP_006301288.1, XP_023641381.1, XP_006296081.2	AL2G30490
OG0000615	XP_006290636.1	AL5G19180
OG0000616	XP_006282852.1	AL7G20970
OG0000616	XP_006304509.1	AL1G32000
OG0000617	XP_006287716.1	AL6G15780
OG0000617	XP_023636468.1	nbis-gene-1474
OG0000617	XP_006289527.2	nbis-gene-1473
OG0000618	XP_006288633.1	AL6G10280
OG0000618	XP_006299992.1	AL3G23300
OG0000619	XP_006303851.2	AL1G64410, AL1G64420
OG0000619	XP_006306656.1	AL1G64400, AL1G64390
OG0000620	XP_006282975.2	AL9U10450
OG0000620	XP_006281703.2	AL90U10010
OG0000620	XP_006279816.1, XP_006279831.1, XP_006282404.2, XP_006281945.1	AL8G15010
OG0000621	XP_006292613.1	AL5G39340
OG0000621	XP_023638646.1	AL5G39350
OG0000621	XP_006292921.1	AL5G39330
OG0000622	XP_006296028.1	AL4G33550
OG0000623	XP_023642075.1	AL3G51150
OG0000623	XP_006292747.1	AL5G31610
OG0000623	XP_006284367.1	AL7G14910
OG0000624	XP_023640427.1	nbis-gene-1154
OG0000625	XP_006298063.2	AL3G25200, AL3G25180
OG0000626	XP_006307305.1	AL1G24740
OG0000627	XP_023643541.1	AL2G16180
OG0000628	XP_023633722.1	nbis-gene-1720
OG0000628	XP_023635373.1	nbis-gene-1719
OG0000628	XP_006285227.2	AL7G17610
OG0000629	XP_023633003.1, XP_006306025.2, XP_023646043.1	AL1G48960, AL1G49840, AL1G51110, AL3G50500
OG0000630	XP_023644444.1	AL1G53460
OG0000631	XP_023633085.1, XP_023641368.1, XP_023634631.1, XP_023638512.1	AL1G56740
OG0000633	XP_023632831.1	AL1G38130, AL1G38110, AL3G41490, AL3G41480, AL3G41560
OG0000633	XP_006305858.1	AL1G38040, AL1G36730
OG0000635	XP_006282092.1	AL8G37360
OG0000635	XP_006307224.1, XP_006305882.1	AL1G18450
OG0000636	XP_006281389.1	AL8G36400
OG0000636	XP_023639231.1, XP_023634554.1, XP_006306379.1, XP_006301929.1, XP_006301392.1	AL5G18160, nbis-gene-66
OG0000637	XP_006291822.1	AL5G24770
OG0000637	XP_006279700.1	AL8G36390
OG0000638	XP_023640155.1	AL8G36370
OG0000638	XP_006292540.1	AL5G24780
OG0000638	XP_006291954.1	AL5G24800
OG0000639	XP_006290834.1	AL5G43990
OG0000639	XP_023636148.1	AL6G52200
OG0000639	XP_006293934.1	AL4G45540
OG0000640	XP_006285219.1	nbis-gene-1003, nbis-gene-938, nbis-gene-1614, nbis-gene-1613, nbis-gene-1758
OG0000641	XP_023639830.1	AL8G32420
OG0000641	XP_006298806.1	AL3G48480
OG0000642	XP_023640852.1	AL4G45750, AL2G13970
OG0000642	XP_006293455.1	AL4G45730
OG0000643	XP_023635831.1, XP_006299411.2	AL6G12250
OG0000644	XP_006286222.2	AL7G49060
OG0000645	XP_006292190.1	AL5G38850
OG0000645	XP_006286025.1	nbis-gene-47
OG0000645	XP_006282777.1	nbis-gene-45, nbis-gene-537, nbis-gene-2228
OG0000646	XP_006291609.1	AL5G34340
OG0000646	XP_006294744.1	AL4G33530
OG0000647	XP_006296839.2	AL3G19320, AL3G38880
OG0000648	XP_006300213.2	AL3G20190, AL9U10500
OG0000649	XP_006305339.1	AL1G30460
OG0000649	XP_006305354.1	AL1G55290
OG0000649	XP_006297909.2	AL3G31280
OG0000650	XP_006300262.2	AL3G32400
OG0000650	XP_006300291.2	AL3G47670
OG0000650	XP_006285576.1	AL7G17420
OG0000652	XP_006300073.1	AL3G12650, AL3G12680
OG0000652	XP_023637148.1	AL6G27990
OG0000652	XP_023637147.1	AL6G27980
OG0000652	XP_006289583.1	AL6G28000
OG0000653	XP_006291718.1	AL5G45640
OG0000653	XP_023640451.1	AL4G47190
OG0000655	XP_006295085.1	AL4G30450
OG0000655	XP_006298665.1	AL3G26940
OG0000655	XP_023645207.1	AL1G43840
OG0000656	XP_006290597.1	AL5G12890
OG0000656	XP_006305938.1	AL1G25880
OG0000658	XP_006288708.1	AL6G34620
OG0000658	XP_006289654.2	AL6G34610
OG0000660	XP_023633415.1	nbis-gene-2145
OG0000661	XP_006293931.1	AL4G47130
OG0000661	XP_006306147.1	AL1G12180
OG0000661	XP_006287360.1	AL6G50790
OG0000662	XP_023645557.1, XP_023632853.1, XP_023632850.1	AL1G38860, AL1G38800, AL1G38680
OG0000663	XP_006294924.1, XP_006303329.1	AL1G30980
OG0000663	XP_006300334.1	AL2G33960, AL2G33940
OG0000664	XP_023643217.1	AL2G11650
OG0000664	XP_006301137.1	AL2G11640
OG0000665	XP_006303766.1	nbis-gene-89
OG0000666	XP_006285702.1	AL7G29780
OG0000667	XP_006284693.1	AL6G53410
OG0000667	XP_023638319.1	AL5G43070
OG0000667	XP_006288849.1	AL9U11780
OG0000669	XP_006305745.1, XP_006288747.2, XP_023644817.1	AL1G48470, AL6G43430
OG0000670	XP_006279198.1, XP_023637890.1	nbis-gene-1227
OG0000670	XP_023638066.1, XP_006293080.1	nbis-gene-982
OG0000670	XP_006281932.1	nbis-gene-1214
OG0000671	XP_006286853.1	AL6G47070
OG0000671	XP_006289988.1	AL6G47080, AL6G47060, AL1G66390
OG0000672	XP_023637705.1	AL6G46100
OG0000672	XP_023636111.1	AL6G46130, AL6G46140
OG0000672	XP_006289094.1	AL6G46120
OG0000673	XP_006306557.1	AL1G15030
OG0000673	XP_006304823.1	AL1G15020, AL1G15010
OG0000674	XP_006289129.1, XP_006282029.1	AL1G53940, AL9U10560, AL5G13870, AL5G13890, AL5G13880, AL5G13900, AL5G13910, AL3G23600
OG0000676	XP_023638879.1, XP_023644215.1	AL1G50390, AL6G35780, AL2G23320, AL3G38750
OG0000678	XP_006287397.1	AL6G19410
OG0000678	XP_023635724.1, XP_006282953.1	AL6G19430, AL6G19400
OG0000679	XP_006295193.1	AL4G27440, AL2G10560
OG0000679	XP_006303403.1	AL1G28090
OG0000680	XP_006294128.1	AL4G30180
OG0000680	XP_006307403.1	AL1G43100
OG0000681	XP_006300701.2	AL2G41550
OG0000682	XP_006296243.2	nbis-gene-1141
OG0000682	XP_006295977.1	AL4G19790, nbis-gene-1142
OG0000682	XP_006299238.2	AL3G42710
OG0000683	XP_006290859.1	AL5G19070
OG0000683	XP_006296782.1	AL3G11160
OG0000683	XP_006285019.1	AL7G50870, AL7G50880
OG0000684	XP_006295699.1	AL4G41400
OG0000684	XP_023638965.1	AL5G40510
OG0000684	XP_006293271.1	AL5G40520
OG0000685	XP_006298921.1	AL3G11800
OG0000685	XP_006282951.1	AL7G51680
OG0000685	XP_006279770.1	AL8G28870
OG0000686	XP_006304024.2	AL8G21080
OG0000687	XP_006307405.1	AL1G51950
OG0000687	XP_006297615.1, XP_023642262.1	AL3G41960
OG0000690	XP_006283731.1	AL7G18290
OG0000690	XP_006283703.1	AL7G18280
OG0000690	XP_006291118.1	AL5G23400, AL4G19250
OG0000690	XP_006289977.1	AL6G38950, AL6G40100
OG0000691	XP_006287957.1	AL6G26710
OG0000691	XP_006288045.1	AL6G26730
OG0000691	XP_006299343.1	AL3G11680
OG0000693	XP_023639743.1, XP_006291741.1	AL5G34850
OG0000693	XP_006284422.1	AL7G44360
OG0000694	XP_006293730.1	AL4G27920
OG0000694	XP_006296344.1	AL4G28010
OG0000694	XP_006285915.1	AL7G40300
OG0000695	XP_006284774.1	AL7G38430
OG0000695	XP_006292414.2	AL5G42950
OG0000695	XP_006295243.1	AL4G44290
OG0000696	XP_006290944.2	AL5G29060
OG0000696	XP_006302235.1	AL2G10100
OG0000696	XP_006285090.2	AL7G24940
OG0000697	XP_006280584.2, XP_006281855.1	AL6G41370, AL71U10030, AL8G36670
OG0000697	XP_023633432.1	AL71U10020, AL8G36660
OG0000698	XP_023641035.1	AL7G23010, AL8G32480, AL3G48490
OG0000699	XP_006295547.2	AL4G11360, AL4G39390
OG0000700	XP_006304572.1	AL1G58920
OG0000700	XP_006305989.2	AL1G58360
OG0000701	XP_006281637.1	AL8G12890
OG0000701	XP_006285146.1	AL7G49650
OG0000702	XP_006293621.1	AL4G39890, AL4G40110
OG0000702	XP_006290411.2	AL5G39050
OG0000702	XP_023639107.1	AL5G39040
OG0000703	XP_006295598.1	AL4G37470
OG0000703	XP_006295703.1	AL4G32760
OG0000703	XP_006291153.1	AL5G37020
OG0000704	XP_023637858.1	AL5G34870
OG0000705	XP_006296009.1	AL4G37640
OG0000705	XP_006298124.1	AL3G22770
OG0000705	XP_006298147.1	AL3G20310
OG0000706	XP_023640579.1	AL4G46320
OG0000706	XP_006288631.1	AL6G51890
OG0000706	XP_006305610.1	AL1G11470
OG0000707	XP_006294893.1	AL4G43000, AL788U10010
OG0000707	XP_023639074.1	AL5G10200
OG0000708	XP_006298225.1	AL3G29250
OG0000708	XP_006297709.1	AL3G29280
OG0000710	XP_006294227.2	AL4G13490
OG0000710	XP_006294189.1, XP_006294197.1	AL4G16330, AL7G22530
OG0000711	XP_023633375.1	AL3G45180
OG0000714	XP_006293408.1, XP_006295458.1, XP_006295457.1	AL4G22190, AL4G22180
OG0000714	XP_006296224.2	AL4G21900
OG0000715	XP_006289212.1	AL6G35990
OG0000715	XP_006288521.1	AL6G36000
OG0000716	XP_006307049.1	AL1G63510
OG0000716	XP_006297271.1	AL3G25380
OG0000716	XP_006280215.1	AL8G32260
OG0000717	XP_006305584.1	AL1G26200
OG0000717	XP_006300549.1	AL2G28920
OG0000718	XP_006292481.1	AL5G14930
OG0000718	XP_006292803.1	AL5G14920
OG0000718	XP_006292809.1, XP_006290945.1	AL5G14900, AL5G14910
OG0000719	XP_006282021.1	nbis-gene-2093
OG0000719	XP_023642230.1	nbis-gene-2094, AL417U10020
OG0000720	XP_006290937.2, XP_023637802.1, XP_023637804.1	AL5G45520
OG0000720	XP_023634159.1	AL7G24820
OG0000721	XP_006305859.1, XP_006303681.1, XP_006306554.1	AL1G21670
OG0000721	XP_006295733.1	AL4G39490
OG0000722	XP_006299933.2	AL3G11210
OG0000723	XP_006291645.1	AL5G11510
OG0000723	XP_006293187.1	AL5G11520
OG0000724	XP_006302117.1	AL2G22710
OG0000724	XP_023635193.1	AL7G13900
OG0000724	XP_006292707.2	AL7G32510, AL5G24640
OG0000725	XP_023641335.1	nbis-gene-2089, AL3G32990
OG0000726	XP_006295735.1, XP_006285262.2	AL8G44570
OG0000727	XP_023635784.1	AL2G19440, nbis-gene-2043, AL6G40320
OG0000728	XP_006289628.1, XP_006290244.2	AL6G28630
OG0000728	XP_006297655.2	AL3G13160
OG0000729	XP_006294508.1	AL4G21360
OG0000729	XP_006291440.1	AL5G29090
OG0000729	XP_006280797.2, XP_006291442.1, XP_006291447.1, XP_006292980.1	AL5G29100
OG0000730	XP_006294779.1	AL103U10060, AL4G27450
OG0000730	XP_006304066.1	AL1G28080
OG0000731	XP_023632943.1	AL1G43550
OG0000732	XP_006289510.1	AL6G36900
OG0000732	XP_006287660.1	AL6G36890
OG0000732	XP_006281825.1	AL8G42360
OG0000732	XP_006306073.1	AL1G47920
OG0000733	XP_006298879.2, XP_006288930.2, XP_023641891.1	AL8G41410
OG0000734	XP_023637902.1	AL5G26540
OG0000735	XP_023644434.1	AL6G33830
OG0000736	XP_006281283.2, XP_006281350.1	AL8G35750
OG0000736	XP_006281297.2	AL8G35770
OG0000737	XP_006289774.1	AL6G50480
OG0000737	XP_006303539.2	AL1G12430
OG0000738	XP_006288022.1	AL6G13200
OG0000738	XP_006293487.1	AL4G32640
OG0000738	XP_006291269.2	AL5G33720
OG0000739	XP_006302778.1	AL5G19470
OG0000740	XP_023642857.1	AL2G38650
OG0000740	XP_006303273.1	AL1G49870
OG0000740	XP_006288456.1	AL6G41520
OG0000741	XP_023643444.1	AL2G34150
OG0000742	XP_023632969.1	AL1G60110
OG0000742	XP_023637629.1	AL6G36320
OG0000742	XP_006307054.1	AL1G60070
OG0000743	XP_023638966.1	AL5G42790
OG0000743	XP_023640433.1	AL1G60310
OG0000744	XP_023640992.1	AL4G45050
OG0000745	XP_006284769.1	AL7G22910
OG0000745	XP_006284772.1	AL7G26760
OG0000745	XP_006298829.1	AL3G48560
OG0000746	XP_006295388.1	AL4G43380
OG0000746	XP_006281652.1	AL8G16790
OG0000746	XP_006295416.1	AL4G43370
OG0000747	XP_006298540.1	AL3G29700
OG0000747	XP_006286754.1	AL6G50900
OG0000747	XP_006304200.1	AL1G12150
OG0000748	XP_006301654.2, XP_006300421.1, XP_006279132.2	AL2G16550, AL2G16330, AL2G16320, AL2G16340
OG0000748	XP_006300928.1	AL2G16360
OG0000749	XP_006279892.1	AL8G22690
OG0000749	XP_023635057.1, XP_006296000.1	AL7G42360, AL7G42980
OG0000750	XP_023645776.1, XP_023636090.1	nbis-gene-2208, AL446U10010, nbis-gene-2207
OG0000752	XP_006298912.2	AL3G11440
OG0000761	XP_006291394.1, XP_006291396.1	AL5G28640
OG0000761	XP_006279456.2	AL5G20580
OG0000761	XP_006290316.1, XP_006290443.1	AL6G39800
OG0000762	XP_006295974.1, XP_006289912.1	AL6G28550
OG0000762	XP_006295520.1	AL4G32280
OG0000763	XP_023636274.1	AL6G24000
OG0000763	XP_006289050.1	AL6G23970
OG0000763	XP_023636275.1	AL6G23980
OG0000764	XP_006294036.1	AL4G11720
OG0000764	XP_006287541.1	AL6G20660
OG0000764	XP_006283562.1	AL7G12020
OG0000765	XP_023635765.1	AL6G35130, AL6G36280
OG0000765	XP_023643361.1	nbis-gene-155
OG0000766	XP_006286553.2	AL6G33680
OG0000766	XP_023638513.1, XP_006279382.1	AL5G22980
OG0000767	XP_006290158.1	AL6G17000
OG0000767	XP_006288159.1	AL6G16980
OG0000768	XP_023636652.1	AL6G14010
OG0000769	XP_023645767.1	AL1G27390
OG0000769	XP_006300389.1	AL2G41520
OG0000769	XP_006279357.1	AL5G20790
OG0000770	XP_006302195.1	AL2G36050
OG0000770	XP_023645411.1	AL1G33110
OG0000770	XP_006285382.1	AL7G10380
OG0000771	XP_006280565.1	AL8G44760
OG0000771	XP_023638941.1	AL5G30880
OG0000772	XP_023642828.1	AL2G25130
OG0000772	XP_023637821.1	AL7G52640
OG0000773	XP_006295845.2, XP_006295480.1, XP_006295899.2	AL4G11250
OG0000773	XP_006282870.2	AL4G11240
OG0000773	XP_006299013.2	AL3G53950
OG0000774	XP_023643597.1, XP_023639759.1	AL2G24500, AL2G22960, AL3G45140
OG0000774	XP_006283292.1	AL7G26650
OG0000775	XP_006290853.1	AL7G52770
OG0000775	XP_006304883.1	AL1G33430
OG0000775	XP_006307164.1	AL1G33420
OG0000776	XP_006303698.1	AL1G34170, AL1G34180
OG0000777	XP_006292263.1	nbis-gene-1226
OG0000777	XP_006299196.1	AL3G10900
OG0000781	XP_006293632.1	AL41U10020
OG0000781	XP_006293635.2	AL4G23670, AL41U10010
OG0000782	XP_006283156.1	AL7G42220
OG0000782	XP_006297004.1	AL3G38520
OG0000782	XP_006303716.1	AL1G15360
OG0000783	XP_006295901.1	AL4G28640, AL4G28320
OG0000784	XP_006295883.1	AL4G29440
OG0000784	XP_006305203.1	AL1G41780
OG0000785	XP_006290200.1	AL6G34150
OG0000785	XP_006289473.2, XP_006289994.1	AL6G34170
OG0000785	XP_006289820.1	AL6G34140
OG0000786	XP_006284759.1	nbis-gene-1796, AL6G31710
OG0000787	XP_006280080.1	AL8G32720
OG0000787	XP_006285652.1	AL7G26830
OG0000787	XP_023638216.1	AL5G33610
OG0000788	XP_006306805.1	AL1G47950
OG0000788	XP_006283125.1	AL7G18240
OG0000788	XP_006287084.1	AL6G14380
OG0000789	XP_006295258.1	AL4G34170
OG0000789	XP_006286404.1	AL6G11690
OG0000790	XP_023644171.1	AL2G26930
OG0000790	XP_006303323.1	AL1G40220
OG0000791	XP_006279780.2, XP_006304534.1	AL1G30130, AL4G15630, AL4G15510
OG0000792	XP_023644569.1, XP_023644568.1	AL1G63830
OG0000792	XP_023644554.1, XP_023644555.1	AL1G62530
OG0000793	XP_006296907.1	AL3G27260
OG0000793	XP_006306678.2	AL1G61740
OG0000793	XP_006293629.1	AL4G41160
OG0000794	XP_023638729.1	AL5G18150
OG0000794	XP_006290910.2, XP_006290856.1	AL5G18140
OG0000795	XP_006303190.1	AL1G38760
OG0000795	XP_006291983.2	AL5G18680
OG0000796	XP_023645504.1, XP_023641479.1, XP_006279157.2	AL5G14380, AL1G25080
OG0000796	XP_006307078.1	AL1G39810
OG0000797	XP_006290760.1	AL5G26220
OG0000797	XP_006293189.1	AL5G26280
OG0000797	XP_023638342.1	AL5G26290
OG0000797	XP_006290765.2	AL5G26230
OG0000799	XP_006306715.1	AL1G59880
OG0000800	XP_006298249.1	AL3G42120
OG0000800	XP_006282689.1	AL9U12230
OG0000800	XP_023642076.1	AL3G42070
OG0000801	XP_023638630.1	AL5G45410
OG0000801	XP_006305161.1	AL1G12090
OG0000801	XP_006288076.1	nbis-gene-1664
OG0000802	XP_006301634.2	AL2G13260
OG0000802	XP_023637789.1	AL5G36430
OG0000803	XP_006294206.1	AL4G42700
OG0000803	XP_006296149.1	AL4G42710
OG0000804	XP_023641353.1	AL3G20370
OG0000805	XP_006298518.1	AL3G24100
OG0000805	XP_006299895.2	AL3G53960
OG0000805	XP_006300139.1	AL3G24070
OG0000807	XP_023636109.1	AL4G14610, AL4G15880, AL7G44420, AL8G20600, AL8G20540, AL2G10870, AL2G18670, AL6G35870, AL3G45010, AL4G19220, AL1G21610, AL4G17630, AL3G45870, AL7G35350, AL6G40740, AL6G42200, AL4G20210
OG0000808	XP_006296289.1	AL4G21270
OG0000808	XP_006282204.1, XP_006282203.1, XP_006281799.2	AL8G27510, nbis-gene-2114, AL8G27490
OG0000812	XP_006292150.1	AL5G28020
OG0000813	XP_006300837.1	AL2G18730
OG0000813	XP_006301009.1	AL2G18760
OG0000813	XP_006300831.2	AL2G23650, AL2G23660
OG0000814	XP_006303667.2	AL1G22750
OG0000815	XP_006280508.2	AL8G39570, AL8G39540
OG0000815	XP_006282210.2	AL8G39600
OG0000815	XP_006279864.1	AL8G39590
OG0000815	XP_006280529.2, XP_006280579.2	nbis-gene-2203, AL8G39400
OG0000816	XP_023634569.1	AL8G30190
OG0000816	XP_006304318.1	AL1G63050
OG0000817	XP_006287730.1	AL6G15700
OG0000817	XP_006299809.1	AL3G52710
OG0000817	XP_006297530.1	AL3G22820
OG0000818	XP_006287180.2	AL6G10500
OG0000818	XP_023637181.1	AL6G10510
OG0000818	XP_006287188.1	AL6G10490
OG0000819	XP_006294504.1	AL4G32490
OG0000819	XP_006284283.1	AL7G48410, AL7G48420
OG0000820	XP_006290942.1, XP_006293008.1	AL5G14980
OG0000820	XP_006290952.1	AL5G14970
OG0000821	XP_006296438.1	AL4G20890
OG0000821	XP_023633359.1, XP_023633358.1	nbis-gene-2063
OG0000821	XP_006296209.1, XP_006296480.1	AL4G21720
OG0000821	XP_006296127.1	AL4G14140
OG0000822	XP_006282719.1	AL7G38010
OG0000823	XP_006292631.1	AL5G43440
OG0000824	XP_006296781.1	AL3G33860
OG0000825	XP_006289307.1, XP_006301672.1, XP_006301536.1	AL3G30270, AL3G30260
OG0000826	XP_006305137.1, XP_023632862.1	AL1G16660
OG0000826	XP_023634865.1	AL1G16650
OG0000827	XP_006300439.1	AL2G18370
OG0000827	XP_006307214.1	AL1G20570
OG0000827	XP_006294005.1	AL4G26470
OG0000828	XP_006289980.1, XP_006304722.1	AL1G39100
OG0000828	XP_006302945.1	AL2G28520
OG0000829	XP_006302633.1	AL2G20110
OG0000829	XP_023644270.1	AL2G20000
OG0000831	XP_006285297.1, XP_023634744.1	AL7G31340
OG0000831	XP_023645827.1	AL1G31630
OG0000832	XP_006294492.2	AL4G23290
OG0000832	XP_006291434.1	AL5G25270
OG0000832	XP_006280756.1	AL8G35720
OG0000833	XP_006293434.1	nbis-gene-1037, nbis-gene-362
OG0000833	XP_006289962.1, XP_006289044.1, XP_006289259.1, XP_006289630.1	nbis-gene-1615
OG0000834	XP_006289877.1	AL6G51960
OG0000834	XP_023632698.1	AL1G11450
OG0000834	XP_023633244.1	AL1G22540
OG0000835	XP_006295649.1	AL4G26690
OG0000835	XP_006292326.1	nbis-gene-1375
OG0000835	XP_006285348.1	AL6G44630
OG0000836	XP_023636612.1, XP_023637103.1	AL6G37910
OG0000836	XP_006289252.2	AL6G37900
OG0000837	XP_023635726.1, XP_023635736.1, XP_023635735.1, XP_006289515.1	AL6G33190
OG0000837	XP_023635705.1	AL6G33150, AL6G33130
OG0000839	XP_006287869.1	AL6G12140
OG0000839	XP_006297818.1	AL3G20840
OG0000840	XP_006304606.2	AL1G62690
OG0000840	XP_006286037.1	AL7G48560
OG0000840	XP_006303510.2	AL1G62670
OG0000841	XP_023639014.1, XP_006279961.1	AL8G23720
OG0000841	XP_023641938.1, XP_023642310.1	AL8G23750
OG0000841	XP_023633583.1	AL8G23730
OG0000842	XP_006305961.1	AL1G57030
OG0000842	XP_006305974.1	AL1G57040
OG0000842	XP_006304684.1	AL1G57070
OG0000843	XP_006295248.1	AL4G46160
OG0000843	XP_006289211.1	AL6G52560
OG0000843	XP_006292049.1	AL5G44500
OG0000844	XP_006290286.1	AL5G37670
OG0000845	XP_023632741.1, XP_023637312.1	AL1G47490, AL1G47500
OG0000846	XP_006288188.2	AL6G38280
OG0000847	XP_006285048.1	AL7G49940
OG0000847	XP_006294165.1	AL4G29550, AL4G11560
OG0000847	XP_023635290.1	AL4G11570
OG0000850	XP_023644337.1	AL2G15160
OG0000851	XP_006285710.1	AL7G11490
OG0000851	XP_006294031.1	AL4G13060
OG0000851	XP_006283543.1	AL7G11480
OG0000852	XP_023643308.1	AL6G30130
OG0000857	XP_006291585.1	AL5G23730
OG0000857	XP_006286680.2	AL2G19300, AL6G21840
OG0000858	XP_006301200.1	AL2G35380
OG0000858	XP_006304983.1	AL1G52630
OG0000858	XP_006280580.1	AL8G17760
OG0000859	XP_006281856.1	AL8G29140
OG0000859	XP_006304510.1, XP_006306312.2	AL1G56350
OG0000859	XP_006288083.1	AL6G31960
OG0000860	XP_006289316.1	nbis-gene-1551
OG0000860	XP_006295940.2, XP_006281471.2	nbis-gene-2036, nbis-gene-2018
OG0000861	XP_006281631.1	AL8G37370
OG0000861	XP_006292196.1	AL5G23560
OG0000861	XP_006293136.1	AL5G23550
OG0000862	XP_006284719.1	AL7G15440, AL639U10010
OG0000862	XP_006284860.2	AL4G33910, AL7G29940, AL7G29920
OG0000863	XP_006300324.1	AL2G40190
OG0000863	XP_006297559.1	AL3G24470
OG0000864	XP_006284997.1, XP_006285335.1	AL7G40200
OG0000865	XP_023638704.1	AL5G24350
OG0000865	XP_006290946.2	AL5G24360
OG0000865	XP_006292405.1	AL5G24340
OG0000865	XP_006292911.1	AL5G24290
OG0000866	XP_006284918.1	AL7G44850
OG0000867	XP_006280739.1	AL8G10820
OG0000867	XP_006285507.1	AL7G37100
OG0000868	XP_006290339.1	AL5G30240
OG0000868	XP_023638937.1	AL5G30320
OG0000870	XP_006291912.2	AL5G37560
OG0000870	XP_023643542.1	AL2G23950
OG0000871	XP_006294877.1	AL4G33940, AL4G33980
OG0000871	XP_006291869.1	AL5G34640
OG0000872	XP_006281780.1	AL8G14980, AL4G17120
OG0000872	XP_006294041.1	AL4G43460
OG0000873	XP_006289373.1	AL6G28100
OG0000874	XP_006305077.1	AL1G25240
OG0000874	XP_023632871.1	AL1G25270
OG0000874	XP_006303804.1	AL1G25260
OG0000875	XP_023633196.1	AL1G47390
OG0000875	XP_006307307.1, XP_006307336.1, XP_023645573.1	AL1G47400
OG0000876	XP_023644196.1	AL2G15010
OG0000877	XP_023641936.1, XP_023642091.1, XP_023641939.1, XP_023641935.1, XP_023641934.1	AL3G52390
OG0000882	XP_006303385.1	AL1G49690, AL4G31710
OG0000883	XP_006299203.1	AL3G41720
OG0000884	XP_006295647.1, XP_023640571.1	AL8G30260
OG0000884	XP_006281720.2	AL8G30250, AL1G66030
OG0000884	XP_023639257.1	AL5G20200
OG0000885	XP_006284734.1	AL7G40830
OG0000885	XP_006298793.1	AL3G36440
OG0000885	XP_006293395.1	AL4G27580
OG0000886	XP_006294813.1	AL4G46670
OG0000886	XP_023640582.1	AL4G46700
OG0000887	XP_023644428.1, XP_023644431.1	AL1G50120
OG0000887	XP_023633037.1, XP_023633051.1	AL1G50110, AL1G50190, AL1G50210, AL1G50170, nbis-gene-218
OG0000888	XP_006285604.2	AL8G13630
OG0000889	XP_023635391.1	AL7G32420
OG0000889	XP_023635390.1	AL7G32430
OG0000889	XP_023635044.1	AL7G32400
OG0000890	XP_006298754.1	AL3G14180
OG0000890	XP_006284710.1, XP_006288853.1	AL6G29610
OG0000893	XP_023637381.1	AL6G22040
OG0000894	XP_006294558.1	AL4G12890
OG0000894	XP_006282262.1	AL8G43950
OG0000894	XP_023638091.1	AL5G30060
OG0000895	XP_023637590.1	AL6G32420
OG0000896	XP_006292814.1	nbis-gene-1374, nbis-gene-1372
OG0000896	XP_006292471.1	nbis-gene-773, nbis-gene-1368, nbis-gene-1367, nbis-gene-1373
OG0000897	XP_006289281.1	AL6G16690
OG0000897	XP_006299059.1	AL3G23490
OG0000898	XP_006286608.2	AL6G15270
OG0000898	XP_023642347.1	AL3G22380
OG0000899	XP_006302531.2	AL2G39070
OG0000900	XP_006285164.1	AL7G50140, AL7G50150
OG0000900	XP_023632693.1, XP_006304977.2	AL1G62680
OG0000901	XP_023639188.1	AL5G37100, AL5G36880
OG0000901	XP_006299321.1	AL3G13960
OG0000902	XP_006289387.1	nbis-gene-1137
OG0000902	XP_023632884.1, XP_006304617.1	AL1G40040
OG0000903	XP_006284235.2	AL7G23180, nbis-gene-992, AL7G23190
OG0000903	XP_006284398.1	AL7G23200
OG0000904	XP_006297697.1	AL3G32500
