Orthogroup	Capsella_rubella	Arabidopsis_thaliana
OG0002201	XP_006301946.1	AT1G62560.1
OG0002201	XP_023643008.1	AT1G62540.2
OG0002202	XP_006286341.2, XP_006286332.2	AT5G42020.3
OG0002203	XP_006285816.1	AT4G29510.1
OG0002203	XP_023642029.1	AT2G19670.1
OG0002205	XP_006302051.1, XP_023643829.1	AT1G68270.1, AT1G65890.1, AT1G65880.1
OG0002206	XP_006300437.1	AT1G74960.1
OG0002207	XP_023640591.1	AT2G21790.1
OG0002208	XP_006284499.1	AT4G37450.2
OG0002208	XP_023639471.1	AT2G23130.1
OG0002209	XP_006285824.1, XP_006282888.1	AT4G34300.1, AT4G33930.1
OG0002210	XP_023633765.1	AT4G34265.3
OG0002210	XP_006298846.2	AT2G15000.4
OG0002211	XP_006285172.1	AT4G13800.1
OG0002211	XP_023642280.1	AT3G23870.1
OG0002212	XP_006304999.1	AT1G27370.1
OG0002212	XP_006305003.1	AT1G27360.1
OG0002213	XP_006283739.1	AT4G26850.1
OG0002213	XP_006280501.1	AT5G55120.1
OG0002214	XP_023643080.1	AT1G66940.4
OG0002216	XP_023635245.1	AT4G32380.1
OG0002216	XP_006286255.1	AT4G32370.1
OG0002221	XP_006303341.1	AT1G32580.1
OG0002221	XP_006294783.2	AT2G35240.1
OG0002222	XP_006304716.1	AT1G28695.1
OG0002222	XP_023633133.1	AT1G28710.1, AT1G28700.1
OG0002223	XP_006299012.1	AT3G03341.1
OG0002224	XP_006281747.2	AT5G50020.2
OG0002224	XP_006282635.1	AT4G24630.1
OG0002225	XP_023637114.1	AT5G14610.1
OG0002225	XP_023642228.1	AT3G01540.2
OG0002226	XP_006290124.1	AT5G13825.1
OG0002227	XP_023639745.1	AT2G27210.1
OG0002227	XP_006303893.1	AT1G08420.1
OG0002228	XP_006295482.1	AT2G28725.1
OG0002228	XP_006304317.1	AT1G07795.1
OG0002229	XP_023640755.1	AT2G31960.1
OG0002229	XP_023632904.1	AT1G05570.1
OG0002230	XP_006304220.2	AT1G04340.1
OG0002230	XP_006281162.2	AT5G43460.1
OG0002231	XP_006307251.1	AT1G04220.1
OG0002231	XP_006280299.1	AT5G43760.1
OG0002232	XP_006280312.1	AT5G44280.2
OG0002232	XP_006307390.1	AT1G03770.2
OG0002233	XP_006286732.1	AT4G03460.1
OG0002234	XP_006284361.1	AT4G25150.1
OG0002234	XP_006280976.1	AT5G51260.1
OG0002235	XP_006282892.1	AT4G25220.1
OG0002235	XP_006307281.1	AT1G30560.1
OG0002236	XP_023638141.1	AT5G52200.1
OG0002237	XP_006304230.1	AT1G29160.1
OG0002237	XP_006295511.1	AT2G34140.1
OG0002238	XP_006298465.1	AT2G18110.1
OG0002239	XP_006295767.2	AT2G34880.1
OG0002239	XP_006306751.2	AT1G30810.1
OG0002240	XP_023644986.1	AT1G31420.1
OG0002240	XP_006295782.1	AT2G35620.1
OG0002241	XP_023645458.1	AT1G32380.1
OG0002241	XP_006294341.1	AT2G35390.2
OG0002242	XP_006282279.1	AT5G67080.1
OG0002242	XP_006292547.1	AT3G50310.1
OG0002243	XP_006287636.1	AT5G07320.1
OG0002243	XP_006279765.1	AT5G61810.1
OG0002244	XP_006281059.2	AT5G60840.1
OG0002245	XP_023635764.1, XP_006289725.2, XP_006289982.1	AT5G24550.1, AT5G24540.1
OG0002247	XP_006289919.1	AT5G20790.1
OG0002247	XP_006292946.1	AT3G43110.1
OG0002248	XP_006285488.2	AT4G13090.1
OG0002248	XP_006285505.1	AT4G13080.1
OG0002249	XP_006280747.1	AT5G59740.1
OG0002249	XP_006291393.2	AT3G46180.1
OG0002250	XP_006280715.1	AT5G58680.1
OG0002250	XP_006300236.2	AT3G01400.1
OG0002251	XP_006281432.1	AT5G57580.1
OG0002251	XP_006282572.1	AT4G25800.1
OG0002252	XP_006284128.1	AT4G26260.2
OG0002252	XP_006279854.1	AT5G56640.1
OG0002253	XP_006280413.1	AT5G54810.1
OG0002253	XP_006282591.1	AT4G27070.1
OG0002254	XP_006306566.1	AT1G03060.1
OG0002254	XP_023635852.1	AT4G02660.2
OG0002255	XP_023641883.1	AT2G16650.1
OG0002255	XP_006283405.1	AT4G21900.1
OG0002256	XP_006298193.1	AT3G11320.1
OG0002256	XP_006288294.1	AT5G05820.1
OG0002257	XP_006297355.1	AT3G10980.1
OG0002257	XP_006287467.1	AT5G05350.1
OG0002258	XP_023640192.1	AT2G38460.1
OG0002258	XP_006287550.1	AT5G03570.3
OG0002259	XP_006287718.1	AT5G02910.1
OG0002260	XP_006294648.1	AT2G38230.1
OG0002261	XP_006284899.1	AT5G40860.1
OG0002261	XP_006291775.1	AT3G27210.1
OG0002262	XP_006302910.1	AT1G80160.3
OG0002262	XP_006305709.1	AT1G15380.1
OG0002263	XP_023643158.1	AT1G80300.1
OG0002263	XP_006307012.1	AT1G15500.1
OG0002264	XP_006302695.2	AT1G80720.2
OG0002264	XP_006306471.1	AT1G15870.1
OG0002265	XP_006305204.1	AT1G22170.1
OG0002265	XP_006301178.1	AT1G78050.1
OG0002266	XP_006300776.1	AT1G77740.1
OG0002266	XP_006306839.1	AT1G21980.1
OG0002267	XP_006302760.1	AT1G76940.1
OG0002268	XP_006303032.1	AT1G76185.1
OG0002269	XP_023644116.1	AT1G75460.1
OG0002269	XP_023644884.1	AT1G19740.1
OG0002270	XP_023645038.1	AT1G19660.1
OG0002270	XP_006302548.1	AT1G75380.1
OG0002271	XP_006291028.1	AT3G60050.1
OG0002271	XP_023645421.1	AT1G55630.1
OG0002272	XP_006298099.1	AT3G13430.1
OG0002272	XP_006305221.1	AT1G55530.1
OG0002273	XP_006297754.1	AT3G13510.1
OG0002273	XP_006307614.1	AT1G55360.1
OG0002274	XP_006297323.1	AT3G23310.1
OG0002274	XP_006285190.1	AT4G14350.1
OG0002275	XP_006284445.1	AT4G14440.1
OG0002275	XP_006284990.2	AT4G14430.1
OG0002276	XP_023643692.1	AT1G73390.1
OG0002276	XP_023632947.1	AT1G17940.1
OG0002277	XP_006304696.1	AT1G26310.1
OG0002278	XP_023633763.1	AT4G28400.1
OG0002278	XP_006298283.1	AT2G20630.2
OG0002279	XP_006284717.1	AT4G28750.1
OG0002279	XP_006298744.1	AT2G20260.1
OG0002280	XP_006284784.1	AT5G40460.1
OG0002280	XP_006292089.1	AT3G27630.1
OG0002281	XP_023639200.1	AT3G27330.1
OG0002281	XP_006285216.1	AT5G40720.1
OG0002282	XP_006307325.1	AT1G13460.1
OG0002282	XP_006293086.1	AT3G26020.4
OG0002283	XP_006297182.1	AT3G19570.2
OG0002283	XP_006306956.1	AT1G49890.1
OG0002284	XP_006305619.1	AT1G52280.1
OG0002284	XP_006298562.1	AT3G16100.1
OG0002285	XP_023641046.1	AT2G34350.1
OG0002285	XP_006294011.1	AT2G34355.1
OG0002286	XP_006294366.1	AT2G35580.1
OG0002287	XP_006282902.1	AT4G16600.1
OG0002287	XP_006294010.1	AT2G35710.1
OG0002288	XP_006282167.1	AT5G46680.1
OG0002289	XP_023635405.1	AT4G17350.1
OG0002289	XP_023637107.1	AT5G47440.1
OG0002290	XP_006292614.2, XP_006298960.1	AT3G10580.1
OG0002291	XP_023638939.1	AT3G50580.1
OG0002291	XP_006305241.1	AT1G44191.1
OG0002292	XP_006293111.2	AT3G50140.1, AT3G50190.1
OG0002292	XP_006290309.1	AT3G50130.1
OG0002293	XP_006285142.1	AT4G23340.1
OG0002293	XP_006282077.1	AT5G51310.1
OG0002294	XP_006280340.1	AT5G44670.1
OG0002294	XP_006283465.2	AT4G20170.1
OG0002295	XP_006288090.1	AT4G09060.2
OG0002295	XP_006304069.1	AT1G14680.1
OG0002296	XP_006293812.1	AT2G35690.1
OG0002296	XP_006283277.1	AT4G16760.1
OG0002297	XP_023640486.1	AT2G48160.2
OG0002297	XP_006293036.1	AT3G63070.1
OG0002298	XP_006294022.1	AT2G45810.1
OG0002298	XP_006290970.1	AT3G61240.1
OG0002299	XP_006292598.1	AT3G57200.1
OG0002300	XP_006293425.1	AT2G40790.1
OG0002300	XP_006292838.1	AT3G56420.1
OG0002301	XP_006293865.1	AT2G40140.1
OG0002301	XP_006290794.2	AT3G55980.2
OG0002302	XP_006296203.1	AT2G39480.1
OG0002302	XP_006290501.1	AT3G55320.1
OG0002303	XP_023637817.1	AT3G55020.1
OG0002303	XP_023639657.1	AT2G39280.2
OG0002304	XP_006303567.1	AT1G14610.1
OG0002305	XP_023633975.1	AT4G38570.1
OG0002305	XP_023643406.1	AT1G68000.1
OG0002306	XP_006304089.2	AT1G05000.2
OG0002306	XP_006288592.2	AT4G03960.1
OG0002307	XP_006294016.1	AT2G21590.1
OG0002307	XP_006282507.1	AT4G39210.1
OG0002308	XP_006283648.2	AT4G39960.1
OG0002308	XP_006294196.2	AT2G22360.1
OG0002309	XP_006306571.1	AT1G36180.1
OG0002309	XP_006303734.1	AT1G36160.1
OG0002310	XP_023636965.1	AT4G10490.1
OG0002310	XP_006288068.1	AT4G10500.1
OG0002311	XP_023635332.1	AT4G30760.1
OG0002312	XP_006284481.1	AT4G17560.1
OG0002312	XP_006281041.1	AT5G47190.1
OG0002313	XP_006298741.1	AT3G06740.1
OG0002313	XP_006281284.1	AT5G49300.1
OG0002314	XP_006292974.1	AT3G29780.1
OG0002315	XP_006297072.1	AT3G17650.1
OG0002315	XP_006306886.1	AT1G48370.1
OG0002316	XP_023645617.1	AT1G48430.1
OG0002316	XP_006297281.1	AT3G17770.1
OG0002317	XP_006296838.1	AT3G17850.1
OG0002318	XP_006300130.1	AT3G18300.1
OG0002318	XP_006305685.1	AT1G48780.1
OG0002319	XP_006291067.1, XP_006290960.1	AT3G46280.1
OG0002319	XP_023639209.1	AT3G46270.2, AT3G46260.1
OG0002320	XP_023633246.1	AT1G01790.1
OG0002320	XP_023636171.1	AT4G00630.2
OG0002321	XP_023645094.1	AT1G01740.1
OG0002321	XP_023636710.1	AT4G00710.1
OG0002322	XP_006286777.1	AT4G00460.2
OG0002322	XP_006304625.1	AT1G01700.4
OG0002323	XP_006303137.2	AT1G02520.1, AT1G02530.1
OG0002324	XP_023645287.1	AT1G07480.3
OG0002324	XP_006305104.1	AT1G07470.1
OG0002325	XP_006305729.2	AT1G08880.1
OG0002326	XP_006305234.1	AT1G10350.1
OG0002326	XP_006301117.1	AT1G59725.1
OG0002327	XP_006291569.1	AT2G02180.1
OG0002327	XP_006305437.1	AT1G14530.2
OG0002328	XP_006306059.1	AT1G16220.1
OG0002328	XP_006301326.1	AT1G79630.1
OG0002329	XP_006307706.1	AT1G16310.1
OG0002329	XP_006300527.2	AT1G79520.2
OG0002330	XP_006307711.1	AT1G17470.1
OG0002330	XP_006300497.1	AT1G72660.1
OG0002331	XP_006305904.2	AT1G73910.3
OG0002331	XP_006307538.1	AT1G18450.1
OG0002332	XP_006302716.1	AT1G74560.3
OG0002332	XP_023645483.1	AT1G18800.1
OG0002333	XP_023643888.1	AT1G72170.1
OG0002333	XP_006304330.1	AT1G22520.2
OG0002334	XP_006306746.1	AT1G23870.1
OG0002334	XP_023643122.1	AT1G70290.1
OG0002335	XP_006303937.1	AT1G27190.1
OG0002335	XP_006301045.1	AT1G69990.1
OG0002336	XP_006302427.1	AT1G62262.1
OG0002336	XP_006301559.1	AT1G62280.1
OG0002337	XP_006302542.1	AT1G59960.1
OG0002337	XP_023644063.1, XP_023643630.1	AT1G59950.1
OG0002338	XP_006281295.2	AT5G47550.1
OG0002339	XP_006299923.1	AT2G17200.1
OG0002339	XP_006297339.1	AT2G17190.1
OG0002340	XP_006297087.1	AT2G16500.1
OG0002340	XP_006283215.1	AT4G34710.1
OG0002341	XP_006286109.1	AT4G33590.1
OG0002341	XP_006286232.1	AT4G33600.1
OG0002342	XP_023635586.1	AT4G34040.1
OG0002343	XP_006283245.1	AT4G31590.1
OG0002343	XP_006293788.1	AT2G24630.1
OG0002344	XP_023640568.1	AT2G24590.1
OG0002345	XP_023639345.1	AT2G24290.1
OG0002345	XP_006284641.1	AT4G30996.1
OG0002346	XP_006280461.1	AT5G55550.10
OG0002346	XP_006283675.1	AT4G26650.1
OG0002352	XP_006285169.2	AT4G30420.2
OG0002353	XP_006289776.1	AT5G17390.1
OG0002353	XP_006299689.1	AT3G03290.1
OG0002354	XP_006288719.1	AT5G17060.1
OG0002354	XP_006298622.1	AT3G03120.1
OG0002355	XP_006287588.2	AT5G17050.1
OG0002356	XP_023636644.1	AT5G16650.2
OG0002357	XP_006287959.1	AT5G15940.2
OG0002357	XP_023636368.1	AT5G04070.1
OG0002358	XP_006299057.2	AT3G02160.1
OG0002358	XP_006289078.1	AT5G15570.1
OG0002359	XP_023636801.1	AT5G15320.1
OG0002360	XP_006289035.1	AT5G13090.1
OG0002361	XP_006289304.1	AT5G25110.1
OG0002361	XP_006289942.1	AT5G10930.1
OG0002362	XP_006279584.1	AT5G64840.1
OG0002362	XP_006289301.1	AT5G09930.1
OG0002363	XP_006288057.1	AT5G08590.1
OG0002363	XP_006280694.1	AT5G63650.1
OG0002364	XP_023637136.1	AT5G23575.1
OG0002364	XP_023637372.1	AT5G08500.1
OG0002365	XP_006289277.1, XP_023637352.1	AT5G07980.1, AT5G07940.1
OG0002367	XP_006295621.2	AT2G29220.1
OG0002368	XP_006307341.1	AT1G05160.1
OG0002368	XP_006294074.1	AT2G32440.1
OG0002369	XP_006281167.1	AT5G43700.1
OG0002369	XP_006305659.1	AT1G04240.2
OG0002370	XP_006279893.1	AT5G43900.3
OG0002370	XP_006303136.1	AT1G04160.1
OG0002371	XP_006306056.1	AT1G03800.1
OG0002371	XP_006281207.1	AT5G44210.1
OG0002372	XP_006284399.1	AT4G25680.1
OG0002372	XP_006284384.1	AT4G25660.1
OG0002373	XP_023643735.1, XP_023643977.1, XP_023643736.1, XP_023643205.1, XP_006279064.2, XP_006301365.1	AT1G59800.1
OG0002374	XP_023634842.1	AT4G15970.1
OG0002375	XP_006291283.1	AT2G03590.1
OG0002375	XP_006291242.1	AT2G03530.4
OG0002375	XP_023637929.1	AT2G03600.4
OG0002376	XP_023633609.1	AT5G61070.1
OG0002377	XP_006291818.1, XP_006291815.1	AT3G43740.2
OG0002377	XP_006288424.2	AT5G21090.1
OG0002378	XP_006292087.1	AT3G44280.1
OG0002379	XP_006291821.1	AT3G46830.1
OG0002379	XP_006281080.1	AT5G59150.1
OG0002380	XP_023633633.1	AT4G31490.1, AT4G31480.3
OG0002381	XP_006280100.1	AT5G55400.1
OG0002381	XP_006283237.1	AT4G26700.1
OG0002382	XP_006280315.2	AT5G54630.1
OG0002382	XP_006283760.1	AT4G27240.1
OG0002383	XP_006283860.1	AT4G27440.1
OG0002383	XP_006280542.2	AT5G54190.1
OG0002385	XP_006299787.2	AT3G11400.2
OG0002385	XP_006288377.1	AT5G06000.1
OG0002386	XP_006297449.1	AT3G10570.1
OG0002386	XP_006289766.2	AT5G04660.1
OG0002387	XP_023636367.1	AT5G04060.1
OG0002387	XP_006297282.1	AT3G10200.2
OG0002388	XP_023634336.1	AT5G41670.1
OG0002388	XP_006301732.1	AT1G64190.1
OG0002389	XP_006305581.1	AT1G16700.1
OG0002390	XP_006302518.1	AT1G77610.1
OG0002390	XP_006305534.2	AT1G21870.1
OG0002391	XP_023643094.1	AT1G77310.1
OG0002391	XP_006306914.1	AT1G21610.3
OG0002392	XP_006302074.1	AT1G76270.1
OG0002392	XP_006307131.1	AT1G20550.1
OG0002393	XP_006282753.1	AT4G35570.1
OG0002393	XP_006298713.2	AT2G17560.1
OG0002394	XP_023633779.1	AT4G36080.1
OG0002394	XP_006296808.1	AT2G17930.1
OG0002395	XP_006297836.1	AT3G13062.2
OG0002395	XP_006305042.1	AT1G55960.1
OG0002396	XP_006297185.1	AT3G13772.1
OG0002396	XP_006306926.2	AT1G55130.1
OG0002397	XP_023642179.1	AT3G13970.1
OG0002397	XP_006304336.1	AT1G54210.1
OG0002398	XP_006305270.1	AT3G15020.1, AT1G53240.1
OG0002399	XP_006286187.1	AT4G34520.1
OG0002400	XP_023642632.1, XP_006299306.2	AT1G53023.1
OG0002400	XP_023645424.1	AT1G53025.2
OG0002401	XP_023640547.1	AT2G36250.1
OG0002401	XP_006291052.1	AT3G52750.1
OG0002402	XP_006283616.1	AT4G12910.1
OG0002402	XP_023641388.1	AT3G25420.1
OG0002403	XP_023642577.1, XP_006299914.1	AT3G24880.1, AT3G24870.1
OG0002404	XP_006282492.1	AT4G13560.1
OG0002405	XP_006282802.1	AT4G14030.1
OG0002405	XP_006283466.2	AT4G14040.1
OG0002406	XP_006299508.1	AT2G26400.2
OG0002406	XP_006284581.1	AT4G14716.1
OG0002406	XP_006284517.2	AT4G14710.5
OG0002407	XP_006284248.2	AT4G14910.2
OG0002407	XP_006299595.2	AT3G22425.2
OG0002408	XP_006305334.1	AT1G17890.1
OG0002409	XP_006302353.1	AT1G73690.1
OG0002409	XP_006305996.1	AT1G18040.1
OG0002410	XP_006300702.1	AT1G74310.1
OG0002410	XP_023635304.1	AT4G14670.1
OG0002411	XP_006305622.1	AT1G18720.1
OG0002411	XP_006302803.2	AT1G74440.1
OG0002412	XP_006306597.2	AT1G18910.1
OG0002412	XP_006301494.1	AT1G74770.1
OG0002413	XP_006300600.1	AT1G68560.1
OG0002414	XP_006302773.1	AT1G68650.1
OG0002415	XP_006306859.1	AT1G26150.1
OG0002415	XP_023644357.1	AT1G68690.1
OG0002416	XP_006300592.1	AT1G68710.3
OG0002416	XP_023644397.1	AT1G26130.2
OG0002417	XP_006306487.1	AT1G26360.1
OG0002417	XP_006300410.1	AT1G69240.1
OG0002418	XP_006301564.1	AT1G68980.1
OG0002418	XP_006301643.1	AT1G69290.1
OG0002419	XP_023634717.1	AT4G28550.1
OG0002419	XP_023641775.1	AT2G20440.1
OG0002420	XP_023635087.1	AT5G41310.1
OG0002420	XP_023642985.1	AT1G63640.3
OG0002421	XP_006302747.1	AT1G56450.1
OG0002422	XP_006291381.1	AT3G27970.1
OG0002422	XP_006285102.1	AT5G40310.2
OG0002423	XP_006306355.1	AT1G12820.1
OG0002423	XP_006290819.1	AT3G26810.1
OG0002424	XP_023633242.1	AT1G11510.1
OG0002424	XP_023633405.1	AT2G20805.1, AT2G20613.1
OG0002425	XP_023641712.1	AT5G45930.1
OG0002425	XP_006283787.1	AT4G18480.1
OG0002426	XP_023636256.1	AT5G45400.1
OG0002426	XP_006283088.1	AT4G19130.2
OG0002427	XP_006306809.2	AT1G28350.1
OG0002427	XP_006294393.1	AT2G33840.1
OG0002428	XP_006281288.1	AT5G47600.1
OG0002429	XP_006282559.1	AT4G17410.2
OG0002429	XP_006279986.1	AT5G47430.6
OG0002430	XP_006287026.1	AT4G11380.2
OG0002430	XP_006282557.1	AT4G23460.1
OG0002431	XP_006298883.1	AT3G05570.1
OG0002432	XP_006284928.1	AT4G22810.1
OG0002432	XP_006289235.1	AT4G12050.1
OG0002433	XP_006293314.2, XP_006292945.1, XP_023638873.1, XP_006292352.2	AT3G43990.1
OG0002433	XP_023640700.1	AT2G25120.1
OG0002433	XP_023633808.1	AT4G23120.1
OG0002434	XP_023636766.1	AT4G12430.1
OG0002434	XP_006283937.1	AT4G22590.1
OG0002435	XP_006286551.1	AT4G12590.1
OG0002436	XP_006283746.1	AT4G22290.1
OG0002437	XP_006280485.1	AT5G44785.2
OG0002437	XP_006282647.2	AT4G20010.1
OG0002438	XP_023634737.1	AT4G20920.2
OG0002438	XP_023635574.1	AT4G20910.1
OG0002439	XP_006282334.1	AT5G49910.1
OG0002439	XP_006283214.1	AT4G24280.1
OG0002440	XP_006288528.1	AT4G05400.1
OG0002440	XP_006284433.1	AT4G21140.1
OG0002441	XP_006283583.2	AT4G21534.1
OG0002441	XP_023635461.1	AT4G21540.1
OG0002443	XP_006290580.1	AT3G45140.1
OG0002444	XP_006287565.2	AT5G03780.1
OG0002444	XP_023646000.1	AT1G01150.1
OG0002445	XP_006301308.1	AT1G60880.1
OG0002445	XP_006301329.1	AT1G60920.1
OG0002446	XP_006279087.1	AT3G61180.1
OG0002447	XP_006294794.1	AT2G43630.1
OG0002447	XP_023638530.1	AT3G59640.1
OG0002449	XP_006290627.1	AT3G57880.1
OG0002449	XP_006306818.1	AT1G51570.1
OG0002450	XP_023639481.1	AT2G41770.1
OG0002450	XP_006290634.1	AT3G57420.1
OG0002451	XP_006295858.2	AT2G41340.1
OG0002451	XP_006293269.2	AT3G57080.1
OG0002452	XP_006291334.1, XP_006291318.1, XP_006291330.1	AT3G57020.1
OG0002453	XP_006291202.1	AT3G54250.1
OG0002453	XP_006294305.1	AT2G38700.1
OG0002454	XP_023638284.1	AT3G53340.1
OG0002454	XP_023640153.1	AT2G37060.1
OG0002455	XP_006293000.1	AT3G53310.1
OG0002456	XP_023639789.1	AT2G36060.2
OG0002456	XP_023638742.1	AT3G52560.4
OG0002457	XP_023642343.1	AT2G17990.3
OG0002458	XP_006299489.1	AT2G18360.1
OG0002458	XP_006284148.1	AT4G36610.1
OG0002459	XP_006282650.1	AT4G36810.1
OG0002460	XP_006282690.1	AT4G30260.2
OG0002460	XP_006298262.1	AT2G18840.1
OG0002461	XP_023634206.1	AT4G29190.1
OG0002461	XP_006297982.1	AT2G19810.1
OG0002462	XP_006293430.1	AT2G40600.1
OG0002463	XP_006295915.1	AT2G38390.1
OG0002464	XP_006285736.1	AT4G23000.1
OG0002464	XP_006286984.1	AT4G11800.1
OG0002465	XP_006282441.1	AT4G37100.1
OG0002465	XP_006295611.1	AT2G23520.1
OG0002466	XP_006303527.1	AT1G34060.1
OG0002466	XP_006307464.1	AT1G34040.1
OG0002467	XP_006288336.1	AT4G12110.1
OG0002467	XP_023634430.1	AT4G22756.1
OG0002468	XP_006290071.1	AT5G26250.1
OG0002469	XP_006299369.1	AT2G20430.1
OG0002469	XP_006285683.1	AT4G28556.1
OG0002470	XP_023643015.1	AT2G44470.3
OG0002470	XP_023639780.1	AT2G44460.1
OG0002471	XP_006298947.1	AT2G17740.1
OG0002471	XP_006295592.1	AT2G44370.1
OG0002472	XP_006295400.2	AT2G43480.1
OG0002472	XP_006289814.2	AT5G24070.1
OG0002473	XP_006297826.1	AT3G04600.1
OG0002475	XP_023642369.1	AT3G05880.1
OG0002475	XP_006298933.1	AT3G05890.1
OG0002476	XP_006297619.1	AT3G08730.1
OG0002476	XP_023642796.1	AT3G08720.1
OG0002477	XP_023636515.1	AT5G01390.1
OG0002477	XP_006298135.1	AT3G08910.1
OG0002478	XP_006298354.1	AT3G11100.1
OG0002478	XP_006288549.1	AT5G05550.2
OG0002479	XP_006299183.1	AT3G12240.1, AT3G12230.1
OG0002479	XP_006297707.1	AT3G12220.1
OG0002480	XP_006300161.1	AT3G13950.1
OG0002480	XP_023633777.1, XP_006282909.1, XP_006286348.2	AT4G13266.1
OG0002481	XP_023641521.1	AT3G14100.1
OG0002481	XP_006304003.1	AT1G54080.2
OG0002482	XP_006292868.1	AT3G30280.1
OG0002482	XP_006282607.1	AT4G15390.1
OG0002482	XP_006291172.1, XP_006291004.2	AT5G47950.1
OG0002483	XP_006299525.1	AT3G16980.1
OG0002485	XP_006284656.1	AT5G39730.1
OG0002485	XP_006286188.1	AT5G39720.1
OG0002486	XP_006301789.1	AT1G66400.1
OG0002486	XP_006285942.1	AT5G37770.1
OG0002487	XP_006302605.2	AT1G65690.1
OG0002487	XP_006285529.1	AT5G36970.1
OG0002489	XP_006298855.1	AT3G06310.1
OG0002489	XP_006288947.1	AT5G18800.1
OG0002490	XP_023639276.1	AT3G51340.1
OG0002490	XP_006292832.1	AT3G51350.1
OG0002491	XP_023633218.1	AT1G02405.1
OG0002491	XP_006302975.2	AT1G70990.1
OG0002492	XP_006300610.1	AT1G58220.1
OG0002492	XP_023644575.1	AT1G09710.2
OG0002493	XP_006302308.1	AT1G57870.3
OG0002493	XP_006307622.1	AT1G09840.1
OG0002494	XP_006303342.1	AT1G10360.1
OG0002494	XP_006303279.2	AT1G10370.1
OG0002495	XP_006302469.1	AT1G63180.1
OG0002496	XP_006291258.1	AT3G26650.1
OG0002496	XP_006304985.2	AT1G12900.5
OG0002497	XP_006305863.1	AT1G13580.2
OG0002497	XP_006291529.1	AT3G25540.1
OG0002498	XP_006291038.2	AT2G03280.2
OG0002498	XP_023645392.1	AT1G14020.1
OG0002499	XP_006292145.1	AT2G02510.1
OG0002500	XP_006305074.2	AT1G14720.1
OG0002500	XP_006291465.1	AT2G01850.1
OG0002501	XP_006306837.1	AT1G15690.1
OG0002502	XP_006307109.1	AT1G17270.1
OG0002502	XP_006280247.1	AT5G50420.1
OG0002503	XP_023645701.1	AT1G22270.1
OG0002503	XP_006301777.2	AT1G78190.1
OG0002504	XP_023645734.1	AT1G23380.2
OG0002504	XP_006301623.1	AT1G70510.2
OG0002505	XP_006305404.1	AT1G23550.1
OG0002505	XP_006302598.1	AT1G70440.1
OG0002506	XP_006300398.1	AT1G70140.1
OG0002507	XP_006306199.1	AT1G11560.1
OG0002507	XP_023643719.1	AT1G61790.1
OG0002508	XP_023639793.1	AT2G21060.1
OG0002508	XP_023634439.1	AT4G38680.1
OG0002509	XP_023640735.1	AT2G22200.1
OG0002509	XP_006286220.1	AT4G39780.1
OG0002510	XP_006283060.1	AT4G37640.1
OG0002510	XP_006293612.1	AT2G22950.1
OG0002511	XP_006283369.1	AT4G37390.1, AT1G59500.1
OG0002511	XP_006293849.2	AT2G23170.1
OG0002512	XP_006282466.1	AT4G36900.1
OG0002512	XP_006295124.1	AT2G23340.1
OG0002513	XP_006283957.1	AT4G35160.1
OG0002514	XP_006283371.1	AT4G34200.1
OG0002515	XP_006284236.1	AT4G32830.1
OG0002515	XP_006294767.2	AT2G25880.3
OG0002516	XP_006294512.1	AT2G25300.1
OG0002516	XP_023634496.1	AT4G32120.1
OG0002517	XP_006282869.2, XP_006283645.2	AT4G31680.1
OG0002518	XP_023643739.1	AT1G70220.1
OG0002518	XP_006305670.1	AT1G24050.1
OG0002519	XP_006283015.1	AT4G27595.1
OG0002519	XP_006300649.1	AT1G65010.1
OG0002520	XP_006301665.1, XP_006301323.1	AT1G66690.1, AT1G66700.1
OG0002520	XP_006301445.1	AT1G66720.1
OG0002521	XP_023633460.1	AT5G54215.1
OG0002521	XP_006295533.1	AT2G25305.1
OG0002521	XP_006279821.1	AT1G24062.1, AT5G54220.1
OG0002522	XP_023638880.1	AT1G48150.1, AT1G50780.1
OG0002522	XP_023637356.1	AT5G27130.1
OG0002523	XP_023636081.1, XP_006288100.1	AT4G09120.1, AT4G09110.1
OG0002523	XP_006288029.1	AT4G09130.1
OG0002524	XP_006281444.2	AT5G49305.1
OG0002524	XP_023640865.1	AT5G52000.1
OG0002524	XP_023633367.1	AT1G32880.1
OG0002525	XP_006279909.1	AT5G45060.1
OG0002525	XP_006279904.2	AT5G45250.1
OG0002530	XP_006284590.2	AT4G30620.1
OG0002530	XP_006295064.1	AT2G24020.1
OG0002531	XP_006283575.1	AT4G38770.1
OG0002532	XP_023638812.1	AT3G46620.1
OG0002533	XP_006290279.1	AT3G48590.1
OG0002533	XP_006282031.1	AT5G63470.1
OG0002534	XP_006290495.1	AT3G47890.1
OG0002534	XP_023638014.1	AT3G47910.2
OG0002535	XP_006292411.1	AT2G01970.1
OG0002535	XP_006307070.1	AT1G14670.1
OG0002536	XP_006297838.1	AT3G03340.2
OG0002536	XP_023637237.1	AT5G17440.1
OG0002537	XP_006302416.1	AT1G76680.2
OG0002538	XP_006287411.1	AT1G75960.1, AT5G16340.1
OG0002538	XP_006287418.1	AT5G16370.1
OG0002539	XP_006286845.1	AT5G15900.2
OG0002539	XP_006289546.2	AT5G15890.1
OG0002540	XP_006287848.1	AT5G15610.1
OG0002540	XP_006296612.1	AT3G02200.2
OG0002541	XP_023637030.1	AT5G14895.1
