Orthogroup	Capsella_rubella	Arabis_alpina
OG0001634	XP_023633157.1	Aa_G1069190.h2.t1, Aa_G1069190.h1.t1, Aa_G1069960.h1.t1
OG0001635	XP_006290987.1	Aa_G426060.h1.t1
OG0001636	XP_023638018.1, XP_006289064.1	Aa_G45250.h1.t1
OG0001638	XP_006293475.1, XP_023636156.1	Aa_G68340.h1.t1, Aa_G68330.h1.t1
OG0001640	XP_023633677.1	Aa_G618290.h1.t1
OG0001640	XP_006281082.2	Aa_G48400.h1.t1
OG0001641	XP_006280442.1	Aa_G442010.h1.t1
OG0001641	XP_023635146.1	Aa_G86600.h1.t1
OG0001642	XP_006280637.1	Aa_G605090.h1.t1, Aa_G483080.h1.t1
OG0001643	XP_023634672.1	Aa_G107270.h1.t1
OG0001643	XP_023643854.1	Aa_G516260.h1.t1
OG0001644	XP_006297206.1	Aa_G102830.h1.t1
OG0001645	XP_006297179.1	Aa_G216150.h1.t1, Aa_G216160.h1.t1, Aa_G813620.h1.t1
OG0001646	XP_006288553.1	Aa_G464230.h1.t1
OG0001646	XP_006298418.1	Aa_G195560.h1.t1
OG0001647	XP_006292243.1	Aa_G520460.h1.t1
OG0001647	XP_006287072.1	Aa_G259000.h1.t1
OG0001648	XP_023635217.1	Aa_G413260.h1.t1
OG0001648	XP_006291641.1	Aa_G263290.h1.t1
OG0001649	XP_006285462.1	Aa_G229820.h1.t1
OG0001649	XP_006290621.1	Aa_G508060.h1.t1
OG0001650	XP_023635388.1	Aa_G165340.h1.t1
OG0001650	XP_006302755.1	Aa_G65890.h1.t1
OG0001652	XP_006302314.1	Aa_G336990.h1.t1
OG0001652	XP_006301048.1	Aa_G336980.h1.t1
OG0001653	XP_023643156.1	Aa_G80480.h1.t1
OG0001655	XP_006300555.1	Aa_G437270.h1.t1
OG0001656	XP_006302646.1	Aa_G111110.h1.t1
OG0001656	XP_006305520.1	Aa_G334090.h1.t1
OG0001657	XP_006282621.2	Aa_G527890.h1.t1
OG0001657	XP_006297849.2	Aa_G314480.h1.t1
OG0001658	XP_006299191.1	Aa_G249570.h1.t1
OG0001659	XP_023645061.1	Aa_G205510.h1.t1
OG0001659	XP_006298037.1	Aa_G40100.h1.t1
OG0001660	XP_006307088.1	Aa_G127780.h1.t1
OG0001660	XP_006297218.2	Aa_G56310.h1.t1
OG0001661	XP_023632742.1	Aa_G396720.h1.t1
OG0001661	XP_023641765.1	Aa_G234920.h1.t1
OG0001662	XP_006294991.1	Aa_G354240.h1.t1
OG0001662	XP_006291851.1	Aa_G608150.h1.t1
OG0001663	XP_006292114.2	Aa_G100040.h1.t1
OG0001664	XP_006293975.1	Aa_G11750.h1.t1
OG0001664	XP_006290839.1	Aa_G395700.h1.t1
OG0001665	XP_006294225.1	Aa_G11740.h1.t1
OG0001666	XP_023635256.1	Aa_G31020.h1.t1
OG0001666	XP_006300270.2	Aa_G265520.h1.t1
OG0001667	XP_006285957.1	Aa_G565080.h1.t1
OG0001667	XP_006299574.1	Aa_G317060.h1.t1, Aa_G269910.h1.t1
OG0001668	XP_006298433.2	Aa_G617180.h1.t1
OG0001668	XP_006285439.2	Aa_G327180.h1.t1
OG0001669	XP_023635488.1	Aa_G520900.h1.t1
OG0001669	XP_023635487.1	Aa_G520910.h1.t1
OG0001670	XP_023643609.1	Aa_G30560.h1.t1
OG0001670	XP_023644101.1	Aa_G30570.h1.t1, Aa_G30580.h1.t1
OG0001671	XP_006292070.1	Aa_G185360.h1.t1
OG0001671	XP_006284631.2	Aa_G151480.h1.t1
OG0001672	XP_006291168.1	Aa_G25660.h1.t1
OG0001672	XP_006307561.1	Aa_G26560.h1.t1
OG0001673	XP_023638392.1	Aa_G83420.h1.t1
OG0001673	XP_006307687.1	Aa_G398280.h1.t1
OG0001674	XP_006297544.1	Aa_G521620.h1.t1
OG0001674	XP_006307361.1	Aa_G92590.h1.t1
OG0001675	XP_006300082.1	Aa_G50680.h1.t1
OG0001676	XP_006304787.1	Aa_G582100.h1.t1
OG0001677	XP_006299456.1	Aa_G367470.h1.t1
OG0001677	XP_006307303.1	Aa_G685890.h1.t1
OG0001678	XP_006306549.1, XP_006304601.2, XP_006303855.1	Aa_G364670.h1.t1
OG0001679	XP_006304271.2	Aa_G173620.h1.t1
OG0001679	XP_006298794.1	Aa_G507810.h1.t1
OG0001681	XP_006284521.1	Aa_G520140.h1.t1
OG0001681	XP_006281094.1	Aa_G213800.h1.t1
OG0001682	XP_006280965.1	Aa_G213790.h1.t1
OG0001683	XP_006296698.1	Aa_G323530.h1.t1
OG0001683	XP_023635078.1	Aa_G775730.h1.t1
OG0001684	XP_006299920.1	Aa_G70170.h1.t1
OG0001684	XP_006285214.1	Aa_G180390.h1.t1
OG0001685	XP_006288602.1	Aa_G320510.h1.t1
OG0001685	XP_006282894.2	Aa_G371050.h1.t1
OG0001686	XP_006283166.1	Aa_G371010.h1.t1
OG0001686	XP_006287117.1	Aa_G320540.h1.t1
OG0001687	XP_006288545.1	Aa_G257130.h1.t1
OG0001688	XP_006299071.1	Aa_G86440.h1.t1
OG0001689	XP_006304719.1	Aa_G211990.h2.t1, Aa_G211990.h1.t1
OG0001689	XP_006287300.2	Aa_G601720.h1.t1
OG0001690	XP_006291908.1	Aa_G163580.h1.t1, Aa_G163590.h1.t1
OG0001690	XP_006284563.2, XP_006285908.1	Aa_G13110.h1.t1
OG0001691	XP_006291395.1	Aa_G364320.h1.t1
OG0001691	XP_023639788.1	Aa_G206090.h1.t1
OG0001692	XP_006292696.1	Aa_G605820.h1.t1
OG0001692	XP_006293559.1	Aa_G12870.h1.t1
OG0001693	XP_006294290.1	Aa_G177970.h1.t1
OG0001693	XP_023638997.1	Aa_G2440.h1.t1
OG0001695	XP_006291683.1	Aa_G103450.h1.t1
OG0001695	XP_006294803.1	Aa_G252320.h1.t1
OG0001696	XP_006291654.1	Aa_G103440.h1.t1
OG0001696	XP_006294752.1	Aa_G265040.h1.t1
OG0001697	XP_006294325.1	Aa_G125560.h1.t1
OG0001697	XP_006290307.1	Aa_G568530.h1.t1
OG0001698	XP_006295872.1	Aa_G199980.h1.t1
OG0001698	XP_023637931.1	Aa_G114260.h1.t1
OG0001699	XP_023640740.1	Aa_G210110.h1.t1
OG0001699	XP_006292285.1	Aa_G494440.h1.t1
OG0001701	XP_006295217.1	Aa_G269480.h1.t1
OG0001702	XP_006290247.2	Aa_G47830.h1.t1
OG0001703	XP_023634838.1	Aa_G200.h1.t1, Aa_G246610.h1.t1
OG0001704	XP_006299245.2	Aa_G375660.h1.t1
OG0001705	XP_023636505.1	Aa_G320490.h1.t1
OG0001705	XP_006295052.1	Aa_G38340.h1.t1
OG0001706	XP_006284830.1	Aa_G352040.h1.t1
OG0001706	XP_006295299.1	Aa_G666760.h1.t1
OG0001707	XP_006286977.1	Aa_G97550.h1.t1
OG0001707	XP_023633171.1, XP_023640371.1, XP_023633172.1, XP_006306657.1	Aa_G717490.h1.t1
OG0001708	XP_006288926.1	Aa_G294820.h1.t1
OG0001708	XP_006305741.2	Aa_G121830.h1.t1
OG0001709	XP_006289036.1	Aa_G273610.h1.t1
OG0001709	XP_006306309.1	Aa_G107870.h1.t1
OG0001710	XP_006298830.2	Aa_G205780.h1.t1
OG0001710	XP_006289501.1	Aa_G40940.h1.t1
OG0001711	XP_006287284.1	Aa_G251070.h1.t1
OG0001711	XP_023642548.1	Aa_G4900.h1.t1
OG0001712	XP_023642104.1	Aa_G4770.h1.t1
OG0001712	XP_006287445.1	Aa_G251170.h1.t1
OG0001713	XP_006295770.1	Aa_G761680.h2.t1, Aa_G761680.h1.t1, Aa_G581260.h1.t1, Aa_G581270.h1.t1
OG0001714	XP_006299222.1	Aa_G14760.h1.t1
OG0001716	XP_006305180.1	Aa_G442550.h1.t1
OG0001716	XP_006298023.1	Aa_G4180.h1.t1
OG0001717	XP_006298694.1	Aa_G617210.h1.t1, Aa_G242750.h1.t1
OG0001717	XP_006300231.1	Aa_G50960.h1.t1
OG0001719	XP_006298105.2	Aa_G47700.h1.t1
OG0001719	XP_006288327.1	Aa_G726480.h1.t1
OG0001720	XP_023642731.1	Aa_G49770.h1.t1
OG0001720	XP_023637379.1	Aa_G372450.h1.t1
OG0001721	XP_006299360.1	Aa_G49860.h1.t1, Aa_G49870.h1.t1, Aa_G49890.h1.t1, Aa_G49900.h1.t1
OG0001722	XP_006298920.1, XP_023642611.1	Aa_G47230.h1.t1
OG0001723	XP_006297767.1	Aa_G49740.h1.t1
OG0001723	XP_006280540.1	Aa_G675480.h1.t1
OG0001724	XP_006286389.2	Aa_G12660.h1.t1
OG0001724	XP_023641152.1	Aa_G34550.h1.t1
OG0001726	XP_006297517.1	Aa_G501340.h1.t1
OG0001726	XP_023633159.1	Aa_G403900.h1.t1
OG0001727	XP_023641548.1	Aa_G82110.h1.t1
OG0001727	XP_006305620.2	Aa_G161210.h1.t1
OG0001728	XP_006282408.2	Aa_G398460.h1.t1
OG0001729	XP_006292426.1, XP_006291226.2, XP_006293238.1	Aa_G122710.h1.t1
OG0001730	XP_006303927.1	Aa_G105880.h1.t1
OG0001730	XP_023636465.1	Aa_G67960.h1.t1
OG0001731	XP_023636327.1	Aa_G67910.h1.t1
OG0001731	XP_006306065.1	Aa_G105910.h1.t1
OG0001732	XP_006288569.1	Aa_G46560.h1.t1
OG0001732	XP_006304164.1	Aa_G452100.h1.t1
OG0001733	XP_006307204.1	Aa_G6580.h1.t1
OG0001733	XP_006289883.1	Aa_G191520.h1.t1
OG0001734	XP_023643602.1	Aa_G100920.h1.t1
OG0001735	XP_006304923.1	Aa_G457540.h1.t1
OG0001736	XP_006302611.1	Aa_G735160.h1.t1
OG0001736	XP_006305476.1	Aa_G232670.h1.t1
OG0001737	XP_006285121.1	Aa_G418620.h1.t1
OG0001738	XP_023643501.1	Aa_G162420.h1.t1
OG0001739	XP_006306033.1, XP_023637779.1	Aa_G587920.h1.t1
OG0001740	XP_006307013.1	Aa_G367250.h1.t1
OG0001741	XP_023634102.1	Aa_G237300.h1.t1
OG0001741	XP_006289490.1	Aa_G763500.h1.t1
OG0001742	XP_006300462.1	Aa_G17630.h1.t1
OG0001742	XP_006307677.2	Aa_G62460.h1.t1
OG0001743	XP_006305089.2, XP_006302420.2	Aa_G487290.h2.t1, Aa_G487290.h1.t1
OG0001745	XP_023634882.1	Aa_G406840.h1.t1
OG0001745	XP_023640268.1	Aa_G91760.h1.t1
OG0001746	XP_006294645.1	Aa_G313860.h1.t1
OG0001746	XP_006284193.1	Aa_G294310.h1.t1
OG0001747	XP_006283849.1	Aa_G153230.h1.t1
OG0001747	XP_006295487.1	Aa_G157390.h1.t1
OG0001748	XP_023641459.1	Aa_G50630.h1.t1
OG0001748	XP_023645131.1	Aa_G334840.h1.t1
OG0001749	XP_006299025.1	Aa_G313570.h1.t1
OG0001749	XP_006284811.1	Aa_G557000.h1.t1
OG0001750	XP_006283597.2	Aa_G145040.h1.t1
OG0001751	XP_023633715.1	Aa_G163960.h1.t1
OG0001751	XP_023639258.1	Aa_G279570.h1.t1
OG0001751	XP_006306568.2	Aa_G458280.h1.t1
OG0001752	XP_006303603.1, XP_006306110.1	Aa_G487300.h2.t1, Aa_G487300.h1.t1
OG0001753	XP_023633128.1, XP_023633132.1, XP_023632968.1, XP_023633130.1, XP_023633098.1, XP_023644438.1, XP_023633118.1, XP_023633033.1, XP_023633119.1, XP_023633127.1, XP_023633092.1, XP_023644437.1, XP_023633129.1, XP_023632906.1, XP_023632967.1, XP_023644439.1, XP_023633529.1	Aa_G4150.h1.t1
OG0001754	XP_006299557.1	Aa_G110380.h1.t1
OG0001755	XP_023638896.1, XP_006292286.1	Aa_G192020.h1.t1
OG0001756	XP_023634094.1	Aa_G351600.h1.t1
OG0001763	XP_023642109.1	Aa_G220410.h1.t1, Aa_G1080630.h1.t1, Aa_G1080630.h2.t1, Aa_G47560.h1.t1, Aa_G416320.h1.t1
OG0001764	XP_006287053.1	Aa_G79100.h1.t1
OG0001764	XP_006297010.1	Aa_G111920.h1.t1
OG0001765	XP_006288374.1	Aa_G539750.h1.t1
OG0001765	XP_006299282.2	Aa_G250380.h1.t1
OG0001766	XP_006288393.1	Aa_G96730.h1.t1
OG0001766	XP_006288423.1	Aa_G530160.h1.t1
OG0001767	XP_023645613.1, XP_006306761.2	Aa_G545500.h1.t1, Aa_G194520.h1.t1
OG0001768	XP_006300761.1	Aa_G189640.h1.t1
OG0001768	XP_023636484.1	Aa_G8080.h1.t1
OG0001769	XP_006289256.1	Aa_G258180.h1.t1
OG0001770	XP_006301096.1	Aa_G21440.h1.t1
OG0001770	XP_006286429.1	Aa_G72800.h1.t1
OG0001771	XP_006307511.1	Aa_G434830.h1.t1
OG0001772	XP_006287181.1	Aa_G98290.h1.t1
OG0001772	XP_023643733.1	Aa_G81400.h1.t1
OG0001773	XP_006281320.1	Aa_G292850.h1.t1
OG0001773	XP_023636717.1	Aa_G98170.h1.t1
OG0001774	XP_006287282.1	Aa_G541410.h1.t1
OG0001774	XP_006280119.2	Aa_G94860.h1.t1
OG0001775	XP_006289110.1	Aa_G471540.h1.t1
OG0001775	XP_006280691.1	Aa_G401170.h1.t1
OG0001776	XP_006290397.1, XP_006305470.1	Aa_G135150.h1.t1
OG0001777	XP_006306790.1	Aa_G310530.h1.t1
OG0001777	XP_023640987.1	Aa_G425720.h1.t1
OG0001778	XP_006304049.2	Aa_G543890.h1.t1
OG0001779	XP_006294810.1	Aa_G142680.h1.t1, Aa_G199780.h1.t1
OG0001779	XP_023645794.1	Aa_G275760.h1.t1
OG0001780	XP_006306138.1	Aa_G429770.h1.t1
OG0001780	XP_006296469.1	Aa_G35500.h1.t1
OG0001781	XP_006307566.2	Aa_G517610.h1.t1
OG0001781	XP_023640475.1	Aa_G359430.h1.t1
OG0001782	XP_006297236.2	Aa_G363620.h1.t1, Aa_G363610.h1.t1
OG0001783	XP_006280931.1	Aa_G89490.h1.t1
OG0001783	XP_006305479.1	Aa_G134510.h1.t1
OG0001784	XP_006283388.1	Aa_G90860.h1.t1
OG0001784	XP_023640477.1	Aa_G675250.h1.t1
OG0001785	XP_006279619.1	Aa_G375210.h1.t1
OG0001785	XP_006283770.1	Aa_G29850.h1.t1
OG0001786	XP_006284509.1, XP_006285403.1	Aa_G29820.h1.t1, Aa_G29810.h1.t1, Aa_G29830.h1.t1
OG0001787	XP_006281332.1	Aa_G492520.h1.t1
OG0001789	XP_023646025.1	Aa_G156130.h1.t1, Aa_G389880.h1.t1
OG0001789	XP_006296411.1	Aa_G423410.h1.t1
OG0001790	XP_006282257.2	Aa_G75210.h1.t1
OG0001790	XP_006290939.1	Aa_G744770.h1.t1
OG0001791	XP_023645273.1	Aa_G406310.h1.t1
OG0001791	XP_006296634.1	Aa_G102870.h1.t1
OG0001792	XP_023638193.1, XP_006290494.1	Aa_G331130.h1.t1
OG0001793	XP_023645439.1	Aa_G415670.h1.t1
OG0001793	XP_006305227.1	Aa_G415660.h1.t1
OG0001794	XP_023637450.1	Aa_G377390.h1.t1
OG0001795	XP_023637534.1	Aa_G112940.h1.t1, Aa_G112950.h1.t1
OG0001796	XP_006291340.1	Aa_G403320.h1.t1
OG0001796	XP_006288013.1	Aa_G8740.h1.t1
OG0001797	XP_006292804.1	Aa_G403380.h1.t1
OG0001797	XP_006286717.1	Aa_G8680.h1.t1
OG0001798	XP_006292887.1	Aa_G436380.h1.t1
OG0001798	XP_006279992.1	Aa_G362110.h1.t1
OG0001800	XP_006291377.1	Aa_G578540.h1.t1
OG0001802	XP_006279481.1, XP_006283320.1	Aa_G641220.h1.t1
OG0001803	XP_006300109.1	Aa_G102900.h1.t1
OG0001803	XP_006288674.1	Aa_G414680.h1.t1
OG0001804	XP_006288480.1	Aa_G526570.h1.t1
OG0001805	XP_006297536.1	Aa_G137230.h1.t1
OG0001805	XP_006287589.1	Aa_G73210.h1.t1
OG0001806	XP_006298186.1	Aa_G419540.h1.t1
OG0001806	XP_023636726.1	Aa_G140740.h1.t1
OG0001807	XP_006287130.2	Aa_G140780.h1.t1
OG0001807	XP_006297063.1	Aa_G419560.h1.t1
OG0001808	XP_006297886.1	Aa_G34600.h1.t1
OG0001809	XP_006290916.1	Aa_G263330.h1.t1
OG0001809	XP_006282586.1	Aa_G413270.h1.t1
OG0001810	XP_023634531.1, XP_023634530.1	Aa_G179430.h1.t1
OG0001811	XP_023645140.1	Aa_G275030.h1.t1
OG0001811	XP_006302546.1	Aa_G470660.h1.t1
OG0001812	XP_006305440.1	Aa_G331030.h1.t1
OG0001813	XP_006303434.2	Aa_G60800.h1.t1
OG0001814	XP_006302354.1	Aa_G418920.h1.t1
OG0001814	XP_006305020.1	Aa_G60730.h1.t1
OG0001815	XP_006300921.1	Aa_G87880.h1.t1
OG0001815	XP_006306122.1	Aa_G436660.h1.t1
OG0001817	XP_006286262.1, XP_006286326.2, XP_006285922.1	Aa_G421580.h1.t1
OG0001818	XP_006305906.1	Aa_G407740.h1.t1
OG0001818	XP_006301214.2, XP_006300418.1, XP_006300502.1	Aa_G259430.h1.t1
OG0001819	XP_006298120.1	Aa_G650580.h1.t1
OG0001819	XP_006284082.1	Aa_G426390.h1.t1
OG0001820	XP_006284201.1	Aa_G514600.h1.t1
OG0001820	XP_023641781.1	Aa_G249580.h1.t1
OG0001821	XP_006295031.1	Aa_G426250.h1.t1
OG0001821	XP_006291949.1	Aa_G395730.h1.t1
OG0001822	XP_006291577.2	Aa_G25750.h1.t1
OG0001822	XP_006294859.1	Aa_G25330.h1.t1
OG0001823	XP_023635101.1	Aa_G428420.h1.t1
OG0001823	XP_006284618.1, XP_006284551.1	Aa_G753100.h1.t1
OG0001824	XP_006302831.1	Aa_G341740.h1.t1
OG0001824	XP_006305629.1	Aa_G454440.h1.t1
OG0001826	XP_023642963.1	Aa_G283730.h1.t1
OG0001826	XP_006307492.1	Aa_G119160.h1.t1
OG0001827	XP_006284503.1	Aa_G343420.h1.t1
OG0001827	XP_006298305.2	Aa_G64120.h1.t1
OG0001828	XP_006305472.2	Aa_G254950.h1.t1
OG0001829	XP_006283811.2	Aa_G423050.h1.t1
OG0001829	XP_006279647.1	Aa_G58250.h1.t1
OG0001830	XP_006281452.1	Aa_G239410.h1.t1
OG0001830	XP_006285874.1	Aa_G78130.h1.t1
OG0001831	XP_006306633.2	Aa_G275730.h1.t1
OG0001832	XP_006307333.1	Aa_G611070.h1.t1
OG0001833	XP_006298756.1	Aa_G241840.h1.t1
OG0001833	XP_006303402.1	Aa_G568100.h1.t1
OG0001834	XP_006293347.2	Aa_G12040.h1.t1
OG0001834	XP_006280376.1	Aa_G435740.h1.t1
OG0001835	XP_006284282.1, XP_006284267.1	Aa_G165030.h1.t1
OG0001836	XP_006307299.2	Aa_G275770.h1.t1
OG0001837	XP_006279092.2, XP_006283328.1	Aa_G274360.h1.t1
OG0001838	XP_006297944.1	Aa_G542180.h1.t1
OG0001838	XP_006283968.1	Aa_G379280.h1.t1
OG0001839	XP_006287720.1	Aa_G686370.h1.t1
OG0001840	XP_006284133.1	Aa_G19940.h1.t1
OG0001840	XP_006290008.2	Aa_G225600.h1.t1
OG0001842	XP_023634704.1, XP_006286270.1	Aa_G245360.h1.t1, Aa_G245350.h1.t1
OG0001843	XP_006286947.1	Aa_G41990.h1.t1
OG0001843	XP_006285730.1	Aa_G416730.h1.t1, Aa_G586790.h1.t1
OG0001844	XP_006288655.1	Aa_G373240.h1.t1
OG0001844	XP_023635225.1	Aa_G398630.h1.t1
OG0001845	XP_006303909.1	Aa_G369430.h1.t1
OG0001846	XP_006295028.2	Aa_G238630.h1.t1, Aa_G124080.h1.t1
OG0001848	XP_006290283.1	Aa_G2450.h1.t1
OG0001848	XP_006295081.1	Aa_G177990.h1.t1
OG0001849	XP_006290271.1	Aa_G353970.h1.t1
OG0001849	XP_006295629.1	Aa_G443520.h1.t1
OG0001850	XP_023638716.1	Aa_G102460.h1.t1
OG0001851	XP_006293166.1	Aa_G103360.h1.t1
OG0001851	XP_006296120.1	Aa_G265120.h1.t1
OG0001852	XP_006293076.1	Aa_G218940.h1.t1
OG0001852	XP_023639862.1	Aa_G479520.h1.t1
OG0001853	XP_006294247.1	Aa_G100580.h1.t1
OG0001853	XP_023638841.1	Aa_G349420.h1.t1
OG0001854	XP_006292274.1, XP_006292821.1, XP_006293210.1	Aa_G322920.h1.t1
OG0001854	XP_006290706.1	Aa_G322950.h1.t1
OG0001855	XP_006293762.1	Aa_G144230.h1.t1
OG0001855	XP_006290448.1	Aa_G174990.h1.t1
OG0001856	XP_006295433.1	Aa_G38080.h1.t1, Aa_G699510.h1.t1
OG0001856	XP_006291661.2	Aa_G213630.h1.t1
OG0001857	XP_006301950.1, XP_006301420.1, XP_006300759.1	Aa_G349640.h1.t1, Aa_G381230.h1.t1
OG0001858	XP_006290770.2	Aa_G14200.h1.t1
OG0001858	XP_006293949.1	Aa_G531170.h1.t1
OG0001859	XP_023634767.1	Aa_G342330.h1.t1
OG0001859	XP_006297195.1	Aa_G221830.h1.t1, Aa_G415540.h1.t1
OG0001860	XP_006284599.1	Aa_G223210.h1.t1
OG0001860	XP_023642707.1	Aa_G426660.h1.t1
OG0001861	XP_023643974.1	Aa_G686000.h1.t1
OG0001862	XP_006289733.1, XP_006289141.1	Aa_G93580.h1.t1
OG0001863	XP_006289552.2, XP_023635981.1, XP_023635980.1	Aa_G455650.h1.t1
OG0001864	XP_006295418.1	Aa_G375060.h1.t1
OG0001864	XP_006282579.1	Aa_G615870.h1.t1
OG0001865	XP_006287379.1, XP_023638637.1	Aa_G12650.h1.t1
OG0001866	XP_006307151.1	Aa_G160860.h1.t1
OG0001866	XP_006297274.2	Aa_G500900.h1.t1
OG0001867	XP_006295203.1, XP_006295194.1	Aa_G574050.h1.t1, Aa_G574060.h1.t1
OG0001869	XP_006306573.1	Aa_G33330.h1.t1
OG0001869	XP_006299104.2	Aa_G230840.h1.t1
OG0001871	XP_006298279.1	Aa_G42350.h1.t1
OG0001871	XP_023641061.1	Aa_G42340.h1.t1
OG0001872	XP_006298578.1	Aa_G293430.h1.t1
OG0001873	XP_006304202.1	Aa_G585790.h1.t1
OG0001874	XP_006284155.1	Aa_G153890.h1.t1
OG0001875	XP_006291582.1	Aa_G486790.h1.t1
OG0001876	XP_006284319.2	Aa_G752880.h1.t1
OG0001876	XP_006285482.1	Aa_G245480.h1.t1
OG0001877	XP_006291554.1	Aa_G417800.h1.t1
OG0001877	XP_006300548.1	Aa_G63770.h1.t1
OG0001878	XP_006287569.1	Aa_G299900.h1.t1, Aa_G299890.h1.t1
OG0001878	XP_006307308.1	Aa_G291150.h1.t1
OG0001879	XP_006303653.1	Aa_G545750.h1.t1
OG0001879	XP_006282856.2	Aa_G240610.h1.t1
OG0001880	XP_006307589.1	Aa_G530670.h1.t1
OG0001880	XP_006300485.1	Aa_G318330.h1.t1
OG0001881	XP_006306083.1	Aa_G298930.h1.t1
OG0001881	XP_006302557.1	Aa_G739680.h1.t1
OG0001882	XP_006304470.1	Aa_G298900.h1.t1
OG0001882	XP_023644376.1	Aa_G488340.h1.t1
OG0001883	XP_006302410.2	Aa_G433420.h1.t1
OG0001883	XP_006303254.1	Aa_G328360.h1.t1
OG0001884	XP_006290515.1	Aa_G329000.h1.t1
OG0001884	XP_006303139.1	Aa_G584870.h1.t1
OG0001885	XP_023637917.1	Aa_G435360.h1.t1
OG0001885	XP_006305549.1	Aa_G117630.h1.t1
OG0001886	XP_006280359.1	Aa_G13540.h1.t1
OG0001886	XP_006307324.1	Aa_G121270.h1.t1
OG0001888	XP_006300438.1	Aa_G347840.h1.t1
OG0001888	XP_006307188.1	Aa_G324100.h1.t1
OG0001889	XP_006304571.1	Aa_G188660.h1.t1
OG0001889	XP_006302969.1	Aa_G187210.h1.t1
OG0001890	XP_023643642.1	Aa_G323170.h1.t1
OG0001891	XP_006302365.1	Aa_G504900.h1.t1
OG0001891	XP_006304530.1	Aa_G281110.h1.t1
OG0001892	XP_006285086.1	Aa_G294410.h1.t1
OG0001892	XP_006284001.1	Aa_G294520.h1.t1
OG0001894	XP_006284046.1	Aa_G614950.h1.t1
OG0001895	XP_023635167.1	Aa_G399000.h1.t1
OG0001895	XP_023640985.1	Aa_G310000.h1.t1
OG0001896	XP_023639825.1	Aa_G310020.h1.t1
OG0001896	XP_006283757.1	Aa_G420450.h1.t1
OG0001897	XP_023634709.1	Aa_G190660.h1.t1
OG0001897	XP_023640636.1	Aa_G750950.h1.t1
OG0001900	XP_006284840.1	Aa_G756290.h1.t1
OG0001900	XP_006292118.1	Aa_G635220.h1.t1
OG0001910	XP_006286176.1	Aa_G432050.h1.t1
OG0001910	XP_006293366.1	Aa_G166810.h1.t1
OG0001911	XP_006294676.1	Aa_G537780.h1.t1
OG0001911	XP_006284256.1	Aa_G456130.h1.t1
OG0001912	XP_006286577.1	Aa_G539770.h1.t1
OG0001912	XP_006298548.2	Aa_G250420.h1.t1
OG0001913	XP_023634585.1	Aa_G733770.h1.t1
OG0001914	XP_006297779.1	Aa_G42590.h1.t1
OG0001914	XP_006288146.1	Aa_G383450.h1.t1
OG0001915	XP_006287927.1	Aa_G731180.h1.t1
OG0001915	XP_006297905.1	Aa_G302090.h1.t1
OG0001916	XP_023635823.1	Aa_G181400.h1.t1
OG0001916	XP_006286547.1	Aa_G623420.h1.t1
OG0001917	XP_006286556.2	Aa_G256470.h1.t1
OG0001917	XP_006286382.1	Aa_G112810.h1.t1
OG0001918	XP_006290014.1	Aa_G596570.h1.t1
OG0001919	XP_006290133.1	Aa_G169040.h1.t1
OG0001920	XP_006282330.1	Aa_G37210.h1.t1
OG0001920	XP_006288962.1	Aa_G458420.h1.t1
OG0001921	XP_006287756.1	Aa_G195990.h1.t1
OG0001922	XP_023640727.1	Aa_G165190.h1.t1
OG0001922	XP_006298004.1	Aa_G516760.h1.t1
OG0001923	XP_023637163.1	Aa_G637990.h1.t1
OG0001923	XP_006280854.1	Aa_G51650.h1.t1
OG0001924	XP_006286625.1	Aa_G611200.h1.t1, Aa_G499300.h1.t1
OG0001924	XP_006281801.1	Aa_G620750.h1.t1
OG0001925	XP_006307649.1	Aa_G22450.h1.t1
OG0001925	XP_006293473.1	Aa_G470380.h1.t1
OG0001926	XP_006295643.1	Aa_G374200.h1.t1
OG0001926	XP_006306104.1	Aa_G22470.h1.t1
OG0001927	XP_006306481.1	Aa_G469730.h1.t1
OG0001927	XP_006295004.1	Aa_G359510.h1.t1
OG0001928	XP_006300232.1	Aa_G675130.h1.t1
OG0001928	XP_006300143.1	Aa_G675120.h1.t1
OG0001929	XP_006307517.1	Aa_G477740.h1.t1
OG0001929	XP_006294172.1	Aa_G183660.h1.t1
OG0001930	XP_006305483.1	Aa_G134570.h1.t1
OG0001931	XP_006285334.1	Aa_G29800.h1.t1
OG0001931	XP_023639046.1	Aa_G620240.h1.t1
OG0001933	XP_023644888.1	Aa_G48030.h1.t1
OG0001934	XP_006306094.1	Aa_G468660.h1.t1
OG0001934	XP_006295438.1	Aa_G263980.h1.t1
OG0001935	XP_006304263.1	Aa_G16420.h1.t1
OG0001935	XP_006296123.2	Aa_G52060.h1.t1
OG0001936	XP_006293770.1	Aa_G52090.h1.t1
OG0001936	XP_006306894.1	Aa_G16470.h1.t1
OG0001937	XP_006292484.1	Aa_G124640.h1.t1
OG0001937	XP_006279774.1	Aa_G165800.h1.t1
OG0001938	XP_023641550.1	Aa_G1250.h1.t1
OG0001938	XP_006281083.1	Aa_G165620.h1.t1
OG0001939	XP_006287432.1	Aa_G578250.h1.t1
OG0001939	XP_006292226.1	Aa_G106900.h1.t1
OG0001940	XP_006284767.1	Aa_G9770.h1.t1
OG0001942	XP_006279127.2, XP_006292712.1	Aa_G192030.h1.t1
