Orthogroup	Capsella_rubella	Euclidium_syriacum
OG0000748	XP_006301654.2, XP_006300421.1, XP_006279132.2, XP_006300928.1	ESY2_g33996_DN2_SP0_c0.t1
OG0000749	XP_006279892.1, XP_023635057.1, XP_006296000.1	ESY2_g33668_DN3_SP0_c7.t1
OG0000751	XP_023643236.1	ESY4_g26075_DN1_SP0_c0.t1, ESY4_g26076_DN3_SP0_c23.t1
OG0000751	XP_006301493.2	ESY16_g61696_DN2_SP0_c0.t1, ESY16_g61700_DN2_SP0_c0.t1, ESY16_g61697_DN2_SP0_c0.t1
OG0000752	XP_006298912.2	ESY3_g32531_DN2_SP7_c0.t1
OG0000752	XP_006295354.2, XP_023633740.1	ESY8_g59365_DN2_SP5_c0.t1
OG0000761	XP_006291394.1, XP_006291396.1, XP_006279456.2, XP_006291411.1, XP_006290316.1, XP_006290443.1	ESY1_g9457_DN3_SP5_c0.t1
OG0000764	XP_006294036.1	ESY8_g59716_DN3_SP8_c0.t1
OG0000764	XP_006287541.1	ESY7_g17983_DN3_SP8_c0.t1
OG0000764	XP_006283562.1	ESY4_g26710_DN3_SP8_c0.t1
OG0000765	XP_023633875.1	ESY20_g12878_DN3_SP0_c0.t1
OG0000765	XP_023643361.1	ESY5_g4151_DN3_SP0_c0.t1
OG0000766	XP_006286553.2	ESY6_g49007_DN3_SP0_c0.t1
OG0000766	XP_023638513.1, XP_006279382.1	ESY1_g7267_DN3_SP0_c0.t1
OG0000767	XP_006290158.1	ESY7_g17840_DN3_SP0_c0.t1, ESY7_g18459_DN3_SP0_c0.t1, ESY7_g18458_DN3_SP0_c0.t1, ESY7_g18460_DN2_SP0_c0.t1
OG0000767	XP_023635741.1, XP_006288159.1	ESY7_g18457_DN3_SP0_c0.t1
OG0000768	XP_023636652.1	ESY7_g19098_DN3_SP0_c0.t1
OG0000768	XP_006287917.1	ESY10_g15493_DN2_SP0_c0.t1, ESY7_g19097_DN3_SP0_c0.t1
OG0000769	XP_023645767.1, XP_006300389.1, XP_006279357.1	ESY4_g22902_DN1_SP0_c0.t1
OG0000770	XP_023645411.1	ESY5_g3963_DN3_SP8_c0.t1
OG0000770	XP_006285382.1	ESY4_g26926_DN3_SP4_c0.t1
OG0000771	XP_006280565.1	ESY6_g50319_DN3_SP1_c0.t1
OG0000771	XP_023638941.1, XP_006293338.2	ESY1_g10243_DN3_SP0_c0.t1
OG0000772	XP_023642828.1	ESY2_g35204_DN3_SP0_c0.t1
OG0000773	XP_006295845.2, XP_006295480.1, XP_006295899.2, XP_006282870.2	ESY20_g12886_DN3_SP0_c0.t1, ESY8_g58165_DN3_SP0_c0.t1
OG0000773	XP_006299013.2	ESY8_g59755_DN2_SP0_c0.t1
OG0000774	XP_023643597.1, XP_023639759.1, XP_006283292.1	ESY39_g61439_DN3_SP0_c0.t1
OG0000775	XP_006304883.1	ESY5_g3940_DN3_SP0_c0.t1
OG0000775	XP_006307164.1	ESY2_g36087_DN3_SP0_c0.t1
OG0000776	XP_006303698.1	ESY12_g51328_DN3_SP1_c0.t1
OG0000781	XP_006293632.1, XP_006293635.2, XP_023640370.1	ESY8_g58821_DN3_SP0_c0.t1, ESY8_g58823_DN3_SP0_c0.t1, ESY8_g58761_DN3_SP0_c0.t1, ESY8_g58757_DN3_SP0_c0.t1
OG0000782	XP_006283156.1	ESY15_g65508_DN3_SP8_c0.t1
OG0000782	XP_006303716.1	ESY5_g4809_DN3_SP8_c0.t1
OG0000783	XP_006295901.1	ESY20_g12782_DN1_SP0_c0.t1
OG0000784	XP_006295883.1	ESY8_g58113_DN3_SP0_c0.t1
OG0000784	XP_006305203.1	ESY2_g36020_DN3_SP0_c0.t1
OG0000785	XP_006301265.1, XP_006290200.1, XP_006289473.2, XP_006289994.1, XP_006289820.1	ESY2_g34942_DN3_SP0_c0.t1, ESY2_g33571_DN3_SP0_c0.t1, ESY6_g50212_DN3_SP0_c0.t1
OG0000786	XP_006288894.1, XP_006288892.1, XP_006284759.1	ESY9_g43765_DN3_SP4_c0.t1
OG0000787	XP_006280080.1, XP_006285652.1, XP_023638216.1	ESY6_g48326_DN3_SP7_c0.t1
OG0000788	XP_006283125.1, XP_006287084.1, XP_006279735.2, XP_006282131.1	ESY7_g19040_DN3_SP0_c23.t1
OG0000789	XP_006292075.1	ESY9_g44941_DN3_SP8_c0.t1
OG0000789	XP_006286404.1	ESY7_g19487_DN3_SP2_c0.t1
OG0000790	XP_023644171.1	ESY2_g34519_DN3_SP0_c0.t1
OG0000791	XP_006279780.2, XP_006304534.1	ESY5_g4272_DN3_SP0_c0.t1, ESY5_g1908_DN3_SP0_c0.t1, ESY8_g58938_DN3_SP0_c0.t1, ESY10_g13951_DN3_SP0_c0.t1
OG0000792	XP_023644569.1, XP_023644568.1, XP_023644554.1, XP_023644555.1	ESY7_g18151_DN2_SP0_c0.t1
OG0000793	XP_006296907.1	ESY3_g30507_DN3_SP8_c1.t1
OG0000793	XP_006306678.2	ESY2_g36910_DN3_SP8_c4.t1
OG0000793	XP_006293629.1	ESY12_g51362_DN3_SP8_c0.t1
OG0000794	XP_023638729.1	ESY1_g11280_DN3_SP0_c0.t1, ESY16_g61913_DN3_SP0_c0.t1
OG0000794	XP_006290910.2, XP_006290856.1	ESY7_g18269_DN3_SP0_c0.t1
OG0000794	XP_006290273.1	ESY3_g31943_DN3_SP0_c0.t1
OG0000795	XP_006303190.1, XP_006303006.1, XP_006291983.2	ESY5_g1604_DN3_SP8_c0.t1, ESY2_g35436_DN3_SP0_c0.t1, ESY2_g35437_DN3_SP0_c0.t1
OG0000796	XP_023645504.1, XP_023641479.1, XP_006279157.2	ESY10_g14026_DN3_SP7_c0.t1, ESY5_g2626_DN3_SP7_c0.t1
OG0000796	XP_006307078.1	ESY5_g1201_DN3_SP8_c0.t1
OG0000797	XP_006290760.1	ESY1_g8304_DN3_SP1_c0.t1
OG0000797	XP_006293189.1	ESY2_g33804_DN3_SP0_c0.t1
OG0000797	XP_023638342.1, XP_006290765.2	ESY7_g19380_DN3_SP0_c0.t1
OG0000798	XP_023637595.1	ESY16_g62576_DN1_SP0_c0.t1, ESY12_g51663_DN3_SP0_c0.t1
OG0000799	XP_023633179.1	ESY2_g37180_DN3_SP0_c7.t1
OG0000799	XP_006306715.1	ESY2_g37182_DN3_SP0_c7.t1, ESY2_g37181_DN3_SP0_c7.t1
OG0000800	XP_006298249.1, XP_006282689.1	ESY12_g51326_DN3_SP0_c0.t1
OG0000800	XP_023642076.1	ESY1_g12031_DN3_SP0_c0.t1
OG0000801	XP_023638630.1	ESY1_g12487_DN2_SP0_c0.t1
OG0000801	XP_006288076.1	ESY20_g13190_DN2_SP0_c0.t1
OG0000802	XP_006301634.2, XP_023637789.1, XP_006299633.2, XP_006302904.2	ESY6_g49780_DN3_SP0_c0.t1
OG0000803	XP_006294206.1, XP_006295749.1	ESY12_g52166_DN3_SP0_c18.t1
OG0000803	XP_006296149.1	ESY12_g52165_DN3_SP0_c30.t1, ESY8_g58290_DN3_SP0_c18.t1
OG0000804	XP_023641353.1	ESY3_g30883_DN3_SP2_c0.t1
OG0000805	XP_006298518.1	ESY3_g30072_DN3_SP0_c0.t1
OG0000805	XP_006299895.2, XP_006298530.1, XP_006299142.2	ESY3_g30071_DN3_SP0_c0.t1
OG0000807	XP_023636109.1	ESY5_g674_DN3_SP0_c68.t1
OG0000808	XP_006296289.1, XP_006282204.1, XP_006282203.1, XP_006281799.2	ESY6_g49669_DN2_SP0_c60.t1, ESY6_g49672_DN2_SP0_c0.t1
OG0000808	XP_006282237.1	ESY6_g47179_DN3_SP0_c61.t1
OG0000809	XP_023643044.1	ESY18_g63988_DN2_SP0_c0.t1
OG0000812	XP_006292150.1	ESY1_g9258_DN3_SP8_c0.t1
OG0000813	XP_006300837.1, XP_006301009.1	ESY3_g29714_DN3_SP0_c0.t1
OG0000813	XP_006300831.2	ESY2_g36256_DN3_SP0_c0.t1, ESY2_g33547_DN3_SP0_c0.t1, ESY2_g36257_DN1_SP0_c0.t1
OG0000814	XP_006292347.1, XP_006303667.2, XP_006304633.2	ESY1_g10319_DN3_SP0_c0.t1
OG0000815	XP_006280508.2, XP_006282210.2, XP_006279864.1, XP_006280529.2, XP_006280579.2, XP_006281449.1	ESY6_g49354_DN1_SP0_c0.t1, ESY6_g49349_DN2_SP0_c0.t1
OG0000816	XP_006279715.1, XP_023634569.1	ESY16_g62318_DN3_SP8_c0.t1
OG0000816	XP_006304318.1	ESY2_g36244_DN3_SP7_c0.t1
OG0000817	XP_006287730.1, XP_006299809.1, XP_006300172.1, XP_006297530.1	ESY4_g23240_DN3_SP0_c0.t1
OG0000818	XP_006287180.2	ESY7_g19619_DN3_SP0_c16.t1
OG0000818	XP_023637181.1	ESY7_g19618_DN3_SP0_c28.t1, ESY7_g19617_DN3_SP0_c19.t1
OG0000821	XP_006296438.1, XP_023633359.1, XP_023633358.1	ESY12_g51329_DN1_SP0_c0.t1
OG0000822	XP_006282719.1, XP_006282721.1	ESY9_g42435_DN3_SP0_c0.t1
OG0000823	XP_006292631.1	ESY3_g32009_DN2_SP0_c0.t1
OG0000823	XP_023633086.1, XP_006303998.1, XP_006279089.1	ESY1_g12248_DN2_SP0_c0.t1
OG0000824	XP_006298024.1	ESY3_g30881_DN3_SP0_c0.t1, ESY3_g29261_DN2_SP0_c0.t1
OG0000824	XP_006296781.1	ESY3_g31346_DN3_SP0_c0.t1
OG0000825	XP_006289307.1, XP_006301672.1, XP_006301536.1, XP_023641927.1	ESY3_g29825_DN2_SP0_c0.t1
OG0000827	XP_006300439.1	ESY2_g34102_DN3_SP8_c0.t1
OG0000827	XP_006307214.1	ESY5_g3392_DN3_SP0_c0.t1
OG0000827	XP_006294005.1	ESY3_g31394_DN3_SP0_c0.t1
OG0000828	XP_006289980.1, XP_006304722.1	ESY5_g1416_DN3_SP8_c0.t1
OG0000828	XP_006302945.1	ESY8_g58566_DN3_SP0_c0.t1, ESY5_g2725_DN3_SP0_c0.t1
OG0000829	XP_006302633.1, XP_023644270.1, XP_006301529.2, XP_023642896.1, XP_023642888.1, XP_023642897.1	ESY6_g49275_DN3_SP0_c0.t1, ESY6_g49096_DN3_SP0_c0.t1
OG0000832	XP_006294492.2	ESY8_g58876_DN3_SP8_c0.t1
OG0000832	XP_006291434.1	ESY1_g8082_DN3_SP5_c0.t1
OG0000832	XP_006280756.1	ESY6_g48701_DN3_SP8_c0.t1
OG0000833	XP_006293434.1	ESY4_g25332_DN3_SP0_c0.t1
OG0000833	XP_006295440.2, XP_006289962.1, XP_006289044.1, XP_006289259.1, XP_006289630.1	ESY10_g14879_DN3_SP0_c0.t1, ESY3_g31957_DN3_SP0_c0.t1, ESY2_g35210_DN1_SP0_c0.t1, ESY2_g35211_DN1_SP0_c0.t1
OG0000834	XP_006289877.1, XP_023632698.1, XP_023633244.1	ESY20_g13090_DN3_SP0_c0.t1
OG0000835	XP_006295649.1	ESY8_g58463_DN3_SP0_c0.t1
OG0000836	XP_023636612.1, XP_023637103.1, XP_023635916.1, XP_006289252.2	ESY6_g49916_DN3_SP0_c0.t1, ESY6_g49914_DN3_SP0_c0.t1
OG0000836	XP_023635915.1, XP_023635778.1	ESY6_g49919_DN3_SP0_c0.t1
OG0000837	XP_023637551.1, XP_023635727.1, XP_023635726.1, XP_023635736.1, XP_023635735.1, XP_006289515.1, XP_023635705.1	ESY6_g49058_DN1_SP0_c0.t1
OG0000839	XP_006287869.1	ESY7_g19423_DN3_SP8_c0.t1
OG0000839	XP_006297818.1	ESY3_g30966_DN3_SP8_c0.t1
OG0000840	XP_006304606.2	ESY2_g36202_DN3_SP0_c0.t1
OG0000840	XP_006306365.2	ESY2_g36200_DN3_SP0_c0.t1
OG0000841	XP_023639014.1, XP_006279961.1, XP_023645803.1, XP_023641938.1, XP_023642310.1, XP_006282275.2, XP_023633583.1	ESY15_g65142_DN3_SP0_c0.t1
OG0000842	XP_006305974.1	ESY2_g37638_DN3_SP0_c0.t1
OG0000842	XP_006304684.1	ESY2_g37637_DN3_SP0_c0.t1
OG0000843	XP_006295248.1, XP_006289211.1, XP_006292049.1	ESY12_g51647_DN2_SP0_c0.t1
OG0000844	XP_006295224.2, XP_006295214.1, XP_006290286.1	ESY3_g32152_DN3_SP3_c0.t1
OG0000845	XP_023632741.1, XP_023637312.1	ESY14_g19769_DN3_SP8_c0.t1
OG0000846	XP_006288188.2	ESY10_g15272_DN2_SP0_c0.t1, ESY10_g15279_DN3_SP0_c0.t1, ESY10_g15278_DN3_SP0_c0.t1
OG0000850	XP_023644337.1, XP_023643841.1, XP_006300767.2, XP_006300774.1	ESY2_g33748_DN3_SP0_c0.t1
OG0000851	XP_006285710.1	ESY4_g26758_DN3_SP0_c0.t1
OG0000851	XP_006294031.1, XP_006283543.1	ESY4_g26759_DN3_SP0_c0.t1
OG0000852	XP_023643308.1	ESY7_g17029_DN3_SP0_c0.t1, ESY7_g16957_DN3_SP0_c25.t1
OG0000853	XP_006292376.1, XP_006304475.1, XP_006306454.1, XP_006304725.1, XP_006285067.1, XP_006300072.1, XP_006304395.1, XP_006304912.1, XP_006306397.1	ESY2_g33845_DN2_SP0_c0.t1
OG0000857	XP_006291585.1, XP_006286680.2	ESY2_g33830_DN3_SP0_c0.t1, ESY2_g33832_DN3_SP0_c0.t1, ESY7_g18148_DN2_SP0_c0.t1, ESY3_g32482_DN1_SP0_c0.t1
OG0000858	XP_006301200.1	ESY2_g36039_DN3_SP0_c0.t1
OG0000858	XP_006304983.1, XP_006280580.1	ESY2_g36040_DN3_SP0_c0.t1
OG0000859	XP_006281856.1	ESY7_g16481_DN3_SP0_c0.t1
OG0000859	XP_006288078.1, XP_006288083.1	ESY6_g49212_DN3_SP4_c0.t1
OG0000860	XP_006289316.1, XP_006296780.1, XP_006295940.2, XP_006281471.2	ESY11_g54313_DN2_SP0_c0.t1, ESY11_g54312_DN2_SP0_c0.t1, ESY11_g54221_DN1_SP0_c0.t1, ESY11_g54314_DN1_SP0_c0.t1
OG0000861	XP_006281631.1	ESY6_g48958_DN3_SP8_c0.t1
OG0000861	XP_006292196.1	ESY1_g11852_DN3_SP0_c12.t1, ESY1_g7608_DN3_SP6_c0.t1
OG0000861	XP_006293136.1	ESY1_g7587_DN3_SP8_c0.t1
OG0000862	XP_006284719.1	ESY5_g3783_DN3_SP0_c0.t1
OG0000862	XP_006284860.2	ESY8_g59915_DN3_SP0_c0.t1, ESY12_g51347_DN3_SP0_c0.t1, ESY12_g51346_DN3_SP0_c0.t1, ESY8_g58385_DN1_SP0_c0.t1
OG0000863	XP_006300324.1	ESY8_g58815_DN3_SP0_c0.t1, ESY2_g36683_DN3_SP8_c0.t1
OG0000864	XP_006284997.1, XP_006285335.1	ESY16_g61555_DN3_SP0_c0.t1, ESY16_g61554_DN3_SP0_c0.t1
OG0000865	XP_023638704.1	ESY5_g3253_DN3_SP0_c0.t1
OG0000865	XP_006290946.2	ESY1_g11602_DN3_SP0_c11.t1, ESY1_g11601_DN3_SP0_c11.t1
OG0000865	XP_006292405.1, XP_006292911.1	ESY2_g34113_DN3_SP0_c11.t1
OG0000867	XP_006280739.1	ESY10_g14859_DN3_SP0_c0.t1
OG0000867	XP_006285507.1	ESY9_g42454_DN3_SP0_c0.t1
OG0000868	XP_006290339.1	ESY1_g9863_DN3_SP7_c0.t1
OG0000868	XP_006293039.1	ESY1_g12327_DN3_SP0_c0.t1
OG0000868	XP_023638937.1	ESY1_g9199_DN3_SP0_c0.t1
OG0000869	XP_006284924.2	ESY9_g42605_DN3_SP0_c0.t1, ESY9_g42606_DN3_SP0_c0.t1, ESY9_g42597_DN3_SP0_c0.t1
OG0000870	XP_006291912.2	ESY1_g10552_DN3_SP5_c0.t1
OG0000870	XP_023643542.1	ESY7_g19054_DN3_SP3_c0.t1, ESY3_g31123_DN3_SP8_c0.t1
OG0000871	XP_006294877.1	ESY9_g44844_DN3_SP0_c0.t1
OG0000871	XP_006291869.1	ESY1_g11077_DN2_SP0_c0.t1, ESY1_g11075_DN3_SP0_c0.t1
OG0000872	XP_006281780.1	ESY9_g42644_DN3_SP1_c0.t1
OG0000872	XP_006294041.1	ESY12_g52080_DN3_SP3_c0.t1
OG0000874	XP_006305077.1	ESY5_g2653_DN3_SP0_c0.t1, ESY5_g2650_DN3_SP0_c0.t1, ESY5_g2642_DN3_SP0_c0.t1
OG0000874	XP_023632871.1	ESY5_g2646_DN3_SP0_c0.t1, ESY5_g2645_DN3_SP0_c0.t1
OG0000874	XP_006303804.1	ESY5_g2643_DN3_SP0_c0.t1
OG0000875	XP_023633196.1, XP_006307307.1, XP_006307336.1, XP_023645573.1	ESY14_g19768_DN3_SP8_c0.t1
OG0000876	XP_023644196.1, XP_006301954.2, XP_006301541.1, XP_006303110.2, XP_006300635.2, XP_023638832.1	ESY2_g33866_DN2_SP0_c0.t1, ESY10_g14077_DN3_SP0_c0.t1, ESY13_g56978_DN3_SP0_c0.t1, ESY10_g14087_DN3_SP0_c0.t1
OG0000877	XP_023641937.1, XP_023641936.1, XP_023642091.1, XP_023641939.1, XP_023641935.1, XP_023641934.1	ESY29_g13596_DN3_SP0_c0.t1
OG0000882	XP_006303385.1	ESY16_g61934_DN3_SP7_c0.t1
OG0000885	XP_006284734.1, XP_006298793.1, XP_006293395.1	ESY20_g13328_DN3_SP0_c0.t1
OG0000886	XP_006294813.1	ESY12_g51385_DN3_SP0_c0.t1, ESY4_g23985_DN2_SP0_c0.t1
OG0000886	XP_023640582.1	ESY12_g51383_DN3_SP0_c0.t1
OG0000888	XP_023634110.1	ESY9_g42985_DN3_SP0_c21.t1
OG0000888	XP_006285604.2	ESY9_g42979_DN3_SP0_c18.t1
OG0000889	XP_023635391.1	ESY9_g43622_DN3_SP0_c0.t1
OG0000889	XP_023635044.1	ESY9_g43620_DN3_SP0_c0.t1
OG0000890	XP_006298754.1, XP_006284710.1, XP_006288853.1	ESY7_g17043_DN3_SP0_c0.t1, ESY3_g32060_DN3_SP0_c0.t1, ESY12_g50825_DN3_SP0_c0.t1
OG0000893	XP_023637381.1	ESY11_g53372_DN3_SP0_c0.t1
OG0000894	XP_006294558.1	ESY8_g59610_DN3_SP7_c0.t1
OG0000894	XP_006282262.1	ESY6_g50403_DN3_SP7_c0.t1
OG0000894	XP_023638091.1	ESY1_g9832_DN3_SP8_c0.t1
OG0000895	XP_023637590.1	ESY11_g52491_DN2_SP0_c0.t1, ESY4_g25162_DN2_SP0_c0.t1
OG0000896	XP_006292814.1, XP_006292471.1	ESY1_g10690_DN3_SP0_c0.t1
OG0000897	XP_006289281.1	ESY7_g18730_DN3_SP8_c0.t1
OG0000897	XP_006299059.1	ESY3_g31301_DN3_SP8_c4.t1
OG0000898	XP_006286608.2	ESY7_g18926_DN2_SP8_c0.t1
OG0000898	XP_023642347.1	ESY3_g31169_DN2_SP6_c0.t1
OG0000899	XP_006302531.2	ESY2_g36134_DN3_SP2_c0.t1, ESY2_g36135_DN3_SP5_c0.t1
OG0000899	XP_006301184.2, XP_023644335.1	ESY2_g38241_DN3_SP0_c0.t1
OG0000900	XP_006285164.1, XP_023632693.1, XP_006304977.2	ESY2_g36201_DN3_SP0_c0.t1
OG0000901	XP_023639188.1	ESY1_g10664_DN3_SP1_c0.t1
OG0000901	XP_006299321.1	ESY3_g32114_DN3_SP2_c0.t1
OG0000902	XP_006289387.1, XP_006306260.2	ESY12_g51135_DN3_SP0_c0.t1, ESY3_g30625_DN2_SP0_c0.t1
OG0000902	XP_023632884.1, XP_006304617.1	ESY4_g25230_DN3_SP0_c0.t1, ESY1_g10554_DN3_SP0_c0.t1
OG0000903	XP_006284235.2	ESY1_g11998_DN3_SP0_c0.t1
OG0000903	XP_006284398.1	ESY4_g24311_DN3_SP2_c0.t1
OG0000904	XP_006297697.1	ESY9_g42994_DN3_SP0_c19.t1
OG0000904	XP_006307519.1	ESY2_g37648_DN3_SP7_c0.t1
OG0000906	XP_006283170.1, XP_006283205.1	ESY23_g324_DN3_SP0_c0.t1
OG0000907	XP_006299211.1, XP_006295574.1	ESY2_g33437_DN2_SP0_c0.t1
OG0000908	XP_006291524.1	ESY1_g11425_DN3_SP8_c0.t1
OG0000908	XP_006294640.1	ESY12_g51342_DN3_SP8_c0.t1
OG0000909	XP_023634324.1	ESY11_g54131_DN3_SP0_c0.t1, ESY1_g9191_DN2_SP0_c0.t1
OG0000910	XP_006296409.2, XP_006294114.1, XP_023640296.1	ESY12_g51174_DN3_SP0_c0.t1, ESY7_g17703_DN3_SP0_c0.t1
OG0000911	XP_006286179.1	ESY4_g26775_DN3_SP0_c0.t1
OG0000911	XP_006295928.1	ESY8_g59797_DN3_SP0_c0.t1
OG0000912	XP_006288739.1, XP_006298640.1	ESY3_g31679_DN3_SP8_c0.t1, ESY10_g15462_DN3_SP0_c0.t1
OG0000913	XP_023633657.1	ESY8_g61040_DN3_SP8_c0.t1
OG0000913	XP_023635790.1	ESY7_g17368_DN3_SP8_c0.t1
OG0000915	XP_006304319.1, XP_023643093.1	ESY5_g5445_DN3_SP0_c0.t1, ESY20_g13080_DN3_SP7_c0.t1
OG0000916	XP_006306134.1	ESY5_g3874_DN3_SP0_c0.t1
OG0000917	XP_023634053.1, XP_006305040.1, XP_023644408.1	ESY9_g43733_DN3_SP0_c0.t1
OG0000920	XP_006285307.1	ESY2_g33556_DN3_SP0_c0.t1
OG0000920	XP_006291195.2	ESY9_g43434_DN2_SP0_c0.t1
OG0000922	XP_006299602.1, XP_006299070.1, XP_006287229.1	ESY7_g18418_DN3_SP0_c0.t1
OG0000923	XP_006290269.1	ESY11_g53422_DN2_SP0_c0.t1, ESY1_g8875_DN3_SP0_c0.t1
OG0000923	XP_006282309.1	ESY6_g49840_DN3_SP7_c0.t1
OG0000924	XP_006283494.1, XP_006307167.1, XP_006287553.1	ESY7_g17343_DN3_SP6_c0.t1
OG0000925	XP_006289317.1	ESY3_g31785_DN3_SP0_c0.t1, ESY3_g31784_DN3_SP0_c0.t1, ESY6_g50002_DN3_SP0_c0.t1, ESY6_g50001_DN3_SP0_c0.t1
OG0000925	XP_006288316.1	ESY7_g18083_DN3_SP0_c0.t1
OG0000926	XP_006284414.1	ESY4_g24967_DN3_SP6_c0.t1
OG0000926	XP_006288531.1	ESY7_g18013_DN3_SP8_c0.t1
OG0000927	XP_023639101.1	ESY1_g10649_DN3_SP6_c0.t1
OG0000927	XP_006287444.2, XP_006287339.1	ESY7_g18864_DN3_SP8_c0.t1
OG0000928	XP_023639350.1	ESY8_g58597_DN3_SP0_c0.t1
OG0000928	XP_006305508.1	ESY5_g4631_DN3_SP2_c0.t1
OG0000929	XP_006294520.1, XP_006305151.1, XP_006294474.1	ESY8_g58577_DN3_SP8_c24.t1
OG0000931	XP_006291808.2	ESY1_g8084_DN3_SP8_c0.t1
OG0000932	XP_023634905.1	ESY4_g23882_DN3_SP6_c0.t1
OG0000932	XP_006305630.1	ESY5_g2304_DN3_SP3_c0.t1
OG0000933	XP_023633428.1	ESY6_g48466_DN3_SP0_c0.t1, ESY6_g48458_DN2_SP0_c0.t1
OG0000934	XP_023635615.1	ESY13_g56284_DN3_SP0_c0.t1
OG0000934	XP_006281423.1	ESY6_g48413_DN3_SP1_c0.t1
OG0000935	XP_006281285.2, XP_006281362.1	ESY5_g4892_DN2_SP0_c0.t1
OG0000936	XP_006282910.1	ESY4_g26012_DN2_SP0_c0.t1
OG0000936	XP_023644494.1, XP_023644495.1, XP_023639213.1	ESY4_g26009_DN1_SP0_c0.t1, ESY4_g26007_DN2_SP0_c7.t1, ESY4_g26295_DN3_SP0_c0.t1, ESY4_g26011_DN2_SP0_c0.t1
OG0000938	XP_006297960.1, XP_006300515.1, XP_006297957.1	ESY9_g42638_DN3_SP0_c48.t1
OG0000939	XP_006305051.1	ESY14_g20850_DN2_SP8_c0.t1
OG0000940	XP_006285643.1	ESY4_g23852_DN2_SP0_c0.t1, ESY4_g25279_DN2_SP0_c0.t1
OG0000941	XP_006296742.2, XP_023635639.1	ESY12_g52187_DN3_SP3_c0.t1
OG0000942	XP_006285276.1	ESY4_g25066_DN1_SP0_c0.t1
OG0000944	XP_006292765.1	ESY11_g54653_DN3_SP0_c0.t1
OG0000944	XP_023638263.1	ESY1_g9878_DN3_SP6_c0.t1
OG0000946	XP_006303859.1, XP_023645269.1	ESY2_g33410_DN3_SP0_c0.t1
OG0000946	XP_006299172.1	ESY5_g5172_DN3_SP0_c26.t1
OG0000946	XP_006304979.1, XP_006292553.1	ESY1_g12284_DN3_SP0_c37.t1, ESY9_g43240_DN3_SP0_c79.t1
OG0000947	XP_006295295.1	ESY12_g52301_DN3_SP0_c0.t1
OG0000947	XP_006292102.1	ESY1_g12526_DN3_SP0_c0.t1
OG0000948	XP_006291450.1	ESY1_g11720_DN3_SP0_c0.t1, ESY1_g11722_DN3_SP0_c0.t1
OG0000948	XP_006291430.1, XP_006302490.1, XP_006291444.1	ESY1_g11719_DN3_SP0_c0.t1
OG0000949	XP_023639802.1	ESY9_g45531_DN3_SP8_c0.t1
OG0000951	XP_006285963.1	ESY4_g26036_DN3_SP8_c8.t1
OG0000951	XP_006296904.1	ESY24_g32821_DN3_SP8_c0.t1
OG0000952	XP_006304701.1	ESY5_g3311_DN3_SP0_c17.t1
OG0000952	XP_006305357.1	ESY5_g3310_DN3_SP0_c17.t1, ESY5_g3308_DN3_SP0_c10.t1, ESY5_g3309_DN3_SP0_c17.t1
OG0000954	XP_006296996.1, XP_023636127.1	ESY3_g32166_DN3_SP0_c0.t1
OG0000955	XP_006289902.1	ESY5_g2709_DN1_SP0_c0.t1
OG0000956	XP_006301627.1	ESY2_g35513_DN3_SP0_c0.t1
OG0000956	XP_006301577.1	ESY2_g35504_DN1_SP0_c0.t1
OG0000958	XP_006300288.2, XP_023636076.1, XP_023637244.1, XP_023637247.1	ESY2_g33541_DN1_SP0_c0.t1
OG0000962	XP_023639236.1, XP_023638627.1	ESY10_g14115_DN3_SP0_c0.t1
OG0000963	XP_006289485.2, XP_006299980.1, XP_006297560.1, XP_006299982.2, XP_006297587.1	ESY11_g53922_DN3_SP0_c20.t1
OG0000964	XP_023640386.1	ESY8_g58421_DN3_SP0_c0.t1, ESY8_g58422_DN2_SP0_c0.t1, ESY8_g58404_DN2_SP0_c0.t1, ESY8_g58425_DN3_SP0_c0.t1
OG0000965	XP_006284136.1	ESY13_g56678_DN3_SP8_c0.t1
OG0000965	XP_023637905.1	ESY2_g35223_DN3_SP0_c0.t1, ESY7_g18440_DN3_SP0_c0.t1, ESY11_g54700_DN3_SP0_c0.t1, ESY6_g46815_DN3_SP6_c0.t1
OG0000966	XP_006291856.1	ESY1_g9420_DN3_SP8_c0.t1
OG0000966	XP_006288673.1	ESY6_g50127_DN3_SP3_c0.t1
OG0000967	XP_006286799.1, XP_006289143.2	ESY6_g49957_DN3_SP0_c0.t1
OG0000968	XP_023638315.1, XP_006282152.2	ESY6_g48884_DN3_SP0_c0.t1, ESY6_g48875_DN3_SP0_c0.t1
OG0000968	XP_006282242.2	ESY6_g48885_DN3_SP0_c0.t1
OG0000969	XP_006279655.2, XP_006288218.1	ESY7_g18931_DN3_SP0_c21.t1, ESY24_g33148_DN3_SP0_c0.t1, ESY7_g18932_DN3_SP0_c21.t1
OG0000970	XP_006291846.2, XP_006291886.1	ESY21_g55718_DN2_SP0_c0.t1
OG0000970	XP_023638813.1	ESY5_g4945_DN3_SP0_c0.t1
OG0000971	XP_006279599.2	ESY10_g15225_DN3_SP8_c0.t1
OG0000971	XP_006279739.1	ESY10_g15226_DN3_SP0_c0.t1
OG0000972	XP_023634254.1	ESY7_g19188_DN2_SP0_c0.t1
OG0000972	XP_023643305.1	ESY2_g37354_DN3_SP0_c0.t1
