Orthogroup	Capsella_rubella	Camelina_sativa
OG0003408	XP_006289738.1	XP_010491024.1, XP_010423514.1, XP_010452396.2
OG0003409	XP_023637644.1	XP_010456378.1
OG0003409	XP_006289900.1	XP_019097291.1, XP_019084396.1, XP_019089981.1
OG0003410	XP_023641131.1	XP_010464572.1, XP_010471493.1, XP_010486497.1
OG0003410	XP_006288935.1	XP_010452044.1, XP_010490628.1, XP_010423897.1
OG0003411	XP_023637643.1	XP_019097747.1, XP_010451967.1
OG0003411	XP_023642056.1	XP_010486435.1, XP_010466212.1, XP_010464505.1
OG0003412	XP_006299577.1	XP_010464503.1, XP_010486431.1
OG0003413	XP_006297382.2	XP_010498880.1, XP_019096163.1, XP_010464994.1
OG0003414	XP_006300751.1	XP_010417506.1, XP_010429757.1, XP_010472728.1
OG0003415	XP_006283385.1	XP_010437020.1, XP_010431876.1, XP_010446432.1
OG0003416	XP_023642887.1	XP_010428717.1, XP_010471808.1
OG0003416	XP_023642884.1	XP_010428716.1, XP_010416572.1, XP_010471806.1
OG0003417	XP_006306215.1	XP_010480108.1
OG0003418	XP_006298072.1	XP_010487242.1, XP_010501889.1, XP_010465332.1
OG0003418	XP_006304511.2	XP_010462269.1, XP_010501024.1
OG0003419	XP_006304589.1, XP_006306238.1	XP_010462239.1, XP_010501267.2, XP_019094599.1, XP_010500990.1, XP_010479904.1
OG0003419	XP_023645013.1	XP_010502001.1, XP_010462234.1, XP_010479902.2, XP_010462235.1, XP_010500991.1
OG0003420	XP_023640712.1	XP_010429291.1
OG0003420	XP_023640770.1	XP_019099757.1, XP_010509460.1
OG0003421	XP_006296836.1	XP_010488445.1, XP_010512699.1, XP_010466721.1
OG0003422	XP_006295445.1	XP_010429275.1, XP_010417081.1
OG0003422	XP_023633708.1	XP_010446681.1, XP_010432071.1, XP_010437243.1
OG0003423	XP_023641919.1	XP_010428306.1
OG0003423	XP_006297558.1, XP_006300152.2	XP_019092916.1
OG0003424	XP_006290404.1	XP_019085360.1, XP_019101831.1
OG0003424	XP_006291518.1	XP_010502850.1, XP_010514553.1, XP_010425628.1
OG0003425	XP_006305767.1	XP_010477823.1, XP_010460270.1, XP_010499003.1
OG0003426	XP_023640015.1	XP_010494788.1, XP_010441613.1, XP_019096036.1
OG0003426	XP_023633850.1	XP_010434545.1, XP_019082296.1
OG0003427	XP_006305862.1	XP_010479683.1, XP_010500765.1, XP_010462020.1
OG0003427	XP_023645116.1	XP_010479682.1, XP_010462018.1, XP_010500762.1
OG0003428	XP_023645117.1	XP_010479681.1, XP_010500763.1
OG0003428	XP_006299117.1	XP_010488146.1, XP_019082858.1, XP_019092125.1
OG0003429	XP_006303704.1	XP_010500915.1, XP_010462143.1
OG0003430	XP_006293097.1	XP_010514618.1, XP_010502906.1, XP_010425693.1
OG0003431	XP_006285421.1	XP_010439824.1, XP_010434499.1, XP_010449481.1
OG0003432	XP_006282475.2	XP_010439835.1
OG0003432	XP_006292088.1	XP_010426883.1, XP_010515734.1, XP_010504010.1
OG0003433	XP_006293138.1	XP_010507375.1, XP_010431232.1
OG0003434	XP_006280448.1	XP_010442618.1, XP_010482472.1, XP_010443070.1
OG0003434	XP_006281528.1	XP_010482473.1, XP_010443104.1, XP_010442620.1
OG0003435	XP_023639926.1	XP_010482456.1, XP_010442753.1, XP_010442607.1
OG0003437	XP_023635283.1	XP_010422367.1, XP_010455831.1
OG0003438	XP_006280941.2	XP_019098746.1, XP_010494476.1
OG0003438	XP_006284391.1	XP_010439573.1, XP_010449168.1
OG0003439	XP_023641255.1	XP_010489751.1
OG0003440	XP_006284492.1	XP_010434110.1, XP_010439408.1, XP_010448974.1, XP_010456354.1, XP_010495039.1, XP_010456356.1, XP_010497681.1, XP_010424818.1
OG0003441	XP_006284570.1, XP_006303289.2	XP_010461272.1, XP_010478880.1, XP_010499996.1
OG0003442	XP_023637885.1	XP_010469226.1, XP_010413599.1, XP_010512322.2
OG0003442	XP_023639457.1	XP_010518054.1, XP_010508284.1, XP_010506380.1
OG0003443	XP_006296390.1	XP_010413020.1, XP_010507707.1, XP_010512890.1
OG0003443	XP_006290420.1	XP_010516516.1, XP_010504822.1, XP_010427771.1
OG0003444	XP_006292110.1	XP_010504639.1, XP_010516324.1
OG0003445	XP_006291310.1, XP_006291314.1	XP_010516304.1, XP_010504616.1, XP_010427557.1, XP_019084912.1
OG0003446	XP_006295954.1	XP_010445692.1, XP_010441229.1, XP_010517441.1, XP_010505748.1, XP_010508867.1, XP_010508889.1
OG0003447	XP_023642208.1	XP_010488743.1, XP_010412518.1, XP_010467056.1
OG0003447	XP_006293001.1	XP_019100302.1
OG0003448	XP_006298053.1	XP_010513401.1, XP_010466841.1, XP_010488538.1
OG0003449	XP_023635345.1	XP_010446758.1, XP_010432147.1, XP_010437317.1
OG0003450	XP_006285054.1, XP_006295497.1	XP_010429163.1, XP_010417000.1, XP_010472230.1
OG0003450	XP_006284091.1	XP_010435328.1, XP_010440636.1, XP_010450259.1
OG0003452	XP_006287803.2	XP_010455371.1, XP_010438041.1
OG0003452	XP_006303649.1	XP_010478829.1
OG0003453	XP_006293429.1	XP_010497084.1, XP_010507784.1, XP_010512809.1, XP_019102007.1
OG0003454	XP_006294557.1	XP_010518436.1, XP_010507895.1
OG0003454	XP_006298115.1	XP_010489259.1, XP_010467404.1, XP_010516167.1
OG0003455	XP_006295550.1	XP_010508112.1, XP_010508111.1, XP_010506554.1, XP_010518213.1
OG0003456	XP_006295902.1	XP_010506413.1
OG0003456	XP_006295040.1	XP_010518083.1, XP_010506414.1, XP_010508251.1
OG0003457	XP_006295513.2	XP_010506297.1, XP_010508356.1, XP_010517976.1
OG0003457	XP_006291607.1	XP_019101716.1, XP_010413627.1, XP_010469261.1
OG0003458	XP_006294880.1	XP_010517972.1, XP_010506295.1
OG0003458	XP_023640711.1	XP_010512863.1, XP_010517973.1, XP_010507728.1
OG0003459	XP_006289567.1	XP_010496739.1, XP_010420680.1, XP_010454158.1
OG0003459	XP_006298269.1	XP_010436766.1, XP_010486109.1, XP_010464186.1
OG0003460	XP_023643342.1	XP_010438265.1
OG0003461	XP_006296625.1	XP_010464249.1, XP_010486185.1, XP_010468047.1, XP_010500154.1, XP_010463219.1, XP_010443175.1
OG0003462	XP_006296653.1	XP_010464536.1, XP_010468550.1, XP_010486461.1
OG0003463	XP_006292644.1	XP_019085926.1, XP_010514046.1
OG0003464	XP_023641496.1	XP_010486863.1, XP_010464927.1, XP_010498264.1
OG0003465	XP_006299806.1	XP_010487121.1, XP_010465206.1, XP_010500769.1
OG0003466	XP_006299764.1	XP_010501087.1, XP_010487141.1, XP_010465232.1, XP_010465226.1
OG0003466	XP_006300164.1	XP_010487142.1, XP_010465233.1, XP_010501099.1
OG0003467	XP_006300242.1	XP_010465581.1, XP_019096376.1, XP_010503542.1, XP_010465579.1
OG0003468	XP_006286134.2	XP_010448574.1, XP_010433781.1, XP_010439047.1
OG0003468	XP_006286102.1	XP_010448572.1, XP_010433778.1, XP_010439052.1
OG0003469	XP_023634629.1	XP_010432928.1, XP_010438115.1, XP_010447651.1
OG0003469	XP_023634947.1	XP_019089376.1
OG0003471	XP_023645368.1	XP_010488306.1, XP_010458028.2, XP_010475591.1, XP_010458027.1, XP_010488284.1
OG0003472	XP_006303836.1	XP_010490088.1, XP_010458239.1, XP_010475787.1
OG0003473	XP_006303181.1	XP_010458320.1, XP_010490486.1
OG0003473	XP_006301016.1	XP_010511109.1, XP_010414743.1
OG0003474	XP_006300469.2	XP_010470222.1, XP_010511038.1, XP_010414702.1
OG0003475	XP_006303147.1	XP_010476218.1, XP_010462668.1, XP_010494199.1
OG0003476	XP_006304591.1	XP_010458730.1, XP_010494757.1, XP_010476271.1
OG0003476	XP_006291421.1	XP_010425377.1, XP_010514320.1
OG0003477	XP_023632726.1	XP_010458972.1, XP_010496327.1, XP_010476526.1
OG0003477	XP_023645520.1	XP_010496317.1, XP_010480479.1
OG0003478	XP_023643661.1	XP_010417960.1, XP_010473205.1, XP_010510964.1
OG0003479	XP_023635161.1	XP_010441150.1, XP_010435944.1
OG0003479	XP_023635162.1	XP_019089643.1, XP_010450687.1, XP_019086830.1, XP_019087025.1
OG0003480	XP_006281281.1	XP_010442708.1, XP_010482543.1, XP_010444124.1
OG0003481	XP_006281527.1	XP_010481370.1, XP_010494928.1
OG0003481	XP_006284544.2	XP_010434707.1, XP_010449661.1
OG0003482	XP_006296857.1	XP_010489599.1, XP_010414738.1, XP_010467718.1
OG0003482	XP_006283034.1	XP_019088689.1
OG0003483	XP_006294579.1	XP_010502959.1, XP_010514644.1, XP_010425732.1
OG0003484	XP_006283464.1	XP_010431777.1, XP_010436936.1
OG0003484	XP_023635359.1	XP_019089445.1
OG0003485	XP_023635598.1	XP_010437212.1, XP_010432048.1
OG0003486	XP_023633687.1	XP_010437422.1
OG0003487	XP_006298822.2	XP_019096607.1, XP_019099029.1
OG0003487	XP_006284859.1	XP_019089824.1, XP_019088843.1
OG0003488	XP_006295476.1	XP_010429389.1, XP_010472427.1, XP_010417172.1
OG0003488	XP_006285656.1	XP_010447639.1, XP_010432923.1, XP_010438102.1
OG0003489	XP_006305730.1	XP_010498817.1, XP_010460090.1, XP_010477599.1
OG0003489	XP_006305731.1	XP_010477597.1
OG0003490	XP_023632740.1	XP_019094436.1
OG0003490	XP_006304874.1	XP_010501559.1
OG0003490	XP_006286438.2	XP_019090218.1, XP_019090138.1, XP_019088291.1, XP_019089719.1
OG0003491	XP_006302713.1	XP_010415619.1, XP_010470962.1
OG0003494	XP_023645943.1	XP_019094606.1, XP_019096699.1
OG0003495	XP_006301904.2	XP_010510919.1, XP_010415058.1, XP_010418966.1, XP_010470392.1, XP_010482235.1, XP_010448420.1, XP_010440786.1
OG0003496	XP_006300929.1, XP_006301393.1	XP_010511589.1, XP_010470560.1
OG0003496	XP_006300988.1	XP_010470559.1, XP_010415221.1, XP_010511861.1
OG0003496	XP_006300969.1	XP_019082626.1
OG0003497	XP_023643170.1, XP_023645946.1, XP_023643807.1	XP_010513629.1, XP_010496863.1
OG0003497	XP_006301976.1	XP_010511737.1, XP_010470704.1, XP_010415365.1
OG0003498	XP_023636519.1	XP_019088637.1
OG0003498	XP_006281900.2	XP_019083748.1, XP_019085035.1, XP_019093391.1, XP_010426785.1, XP_010513888.1, XP_019085833.1
OG0003499	XP_023633384.1, XP_023634297.1, XP_023641924.1, XP_023641954.1, XP_023641369.1, XP_023634633.1, XP_023640993.1, XP_023642982.1, XP_023636042.1, XP_023634295.1	XP_019090070.1, XP_019091071.1, XP_010412817.1, XP_019084291.1, XP_019090113.1, XP_019099690.1, XP_019082633.1, XP_019099822.1, XP_010462598.1, XP_019101845.1, XP_019094478.1, XP_019100843.1, XP_019100980.1, XP_019097415.1, XP_019097506.1, XP_019082761.1, XP_019085374.1, XP_019100008.1, XP_019097432.1, XP_019100916.1
OG0003500	XP_023639282.1, XP_023639283.1	XP_010426315.1, XP_010503110.1, XP_010425880.1
OG0003500	XP_023633923.1, XP_023638888.1, XP_023638887.1, XP_006279381.2, XP_023638889.1, XP_006293289.2, XP_023633943.1, XP_023633862.1, XP_023638890.1, XP_006279368.2	XP_010503109.1
OG0003501	XP_006289950.1, XP_006287949.1, XP_006287948.1	XP_010454710.1, XP_010493558.1, XP_010421235.1, XP_019090328.1, XP_010421238.1, XP_010493559.1
OG0003501	XP_006287964.1	XP_010421239.1, XP_010493563.1, XP_010454715.1
OG0003501	XP_006287965.1	XP_019090222.1, XP_019097418.1
OG0003502	XP_006281169.2	XP_010445217.1
OG0003502	XP_023633389.1	XP_010445172.1, XP_010442809.1, XP_010445163.1
OG0003503	XP_006292866.1	XP_019090360.1, XP_019084703.1
OG0003503	XP_023639088.1	XP_019102098.1, XP_019099932.1, XP_019102104.1
OG0003505	XP_023632921.1	XP_010501647.1
OG0003512	XP_006291236.1	XP_010509131.1, XP_010503027.1
OG0003512	XP_023640292.1	XP_010417357.1, XP_010472600.1, XP_010429587.1
OG0003513	XP_023636115.1, XP_023636970.1, XP_006287818.1	XP_010468454.1, XP_010422179.1, XP_019085358.1, XP_010455645.1
OG0003514	XP_006289380.1	XP_010492623.1, XP_010420397.1, XP_010453866.1
OG0003515	XP_006287120.1	XP_010453737.1, XP_010420265.1, XP_010492440.1
OG0003516	XP_023637151.1	XP_010419718.1, XP_019089870.1, XP_010491880.1
OG0003517	XP_023642320.1	XP_010487918.1, XP_010507992.1, XP_010466135.1
OG0003518	XP_023638584.1	XP_010515697.1, XP_010503977.1, XP_010426852.1
OG0003518	XP_006288680.1	XP_010452861.1, XP_010423058.1, XP_010491497.1
OG0003519	XP_006280926.1	XP_010457301.1, XP_010483808.1, XP_010443959.1
OG0003520	XP_006289219.1	XP_010491383.1, XP_010452732.1, XP_010423183.1
OG0003520	XP_006297450.1	XP_010486630.1, XP_010482360.1
OG0003521	XP_006294624.1	XP_010510790.1, XP_010473118.1, XP_010417879.1
OG0003522	XP_023639902.1	XP_010510739.1, XP_010473163.1
OG0003522	XP_023639889.1	XP_010510743.1, XP_010473160.1
OG0003523	XP_006294728.1, XP_006294768.1	XP_010414542.1, XP_010510637.1, XP_010470099.1, XP_010470100.1, XP_010510639.1, XP_010414545.1, XP_010513287.1, XP_019101474.1, XP_010470098.1, XP_010414541.1
OG0003524	XP_006296321.1	XP_019085076.1
OG0003525	XP_006295209.2, XP_006295266.1	XP_010414269.1, XP_010469856.1, XP_010510365.1
OG0003526	XP_023643837.1	XP_010469734.1, XP_010469722.1
OG0003526	XP_023640194.1	XP_010510212.1, XP_010414143.1
OG0003527	XP_006293642.1	XP_010469705.1, XP_010510200.1
OG0003528	XP_023639494.1, XP_023640444.1	XP_010469609.1, XP_010414012.1, XP_010510038.1
OG0003528	XP_023640266.1	XP_010469733.1, XP_010510184.1, XP_010414109.1
OG0003529	XP_006294604.1	XP_010414020.1, XP_010510060.2, XP_010469622.1
OG0003531	XP_023633107.1	XP_019095691.1, XP_010460751.2, XP_010478345.2
OG0003531	XP_023633108.1	XP_010460745.1, XP_010499481.1, XP_010478346.1
OG0003532	XP_006289817.1	XP_010456874.1, XP_010424543.1, XP_010468673.1
OG0003532	XP_006306300.1	XP_010501677.1, XP_010480777.1, XP_010460890.1
OG0003533	XP_006282421.2	XP_010444693.1, XP_010484552.1
OG0003534	XP_006287510.2	XP_010464230.1, XP_010444667.1
OG0003535	XP_023639731.1	XP_010484363.1, XP_019088721.1, XP_010463069.1
OG0003536	XP_006281076.2	XP_010483920.1, XP_010458394.1, XP_010444061.1
OG0003537	XP_023640284.1, XP_006279767.1	XP_019093435.1, XP_019088254.1, XP_010483864.1, XP_010457757.1, XP_010457781.1, XP_010457823.1, XP_010483862.1, XP_010444011.1, XP_019093420.1
OG0003538	XP_006287441.2, XP_023637548.1	XP_010421430.1, XP_010493831.1
OG0003540	XP_006289997.1	XP_010493406.1, XP_010421096.1
OG0003541	XP_006281674.1	XP_010483699.1, XP_010456508.1, XP_010443850.1
OG0003541	XP_006279833.1	XP_010456500.1, XP_010483698.1, XP_010443847.1, XP_010485265.1
OG0003542	XP_006300893.1	XP_019093043.1
OG0003542	XP_006289010.1	XP_019090245.1
OG0003543	XP_006281623.1	XP_010483581.1
OG0003543	XP_006281852.1	XP_010455085.1, XP_010483585.1, XP_010443707.1, XP_010443710.1
OG0003544	XP_006280964.2	XP_010443689.1, XP_010483558.1, XP_010485237.1, XP_010454932.1
OG0003545	XP_006279634.1	XP_010453468.1, XP_010443548.1, XP_010483400.1
OG0003546	XP_006279594.1	XP_010452800.1, XP_010443488.1, XP_010483318.1
OG0003547	XP_023632940.1	XP_010443286.1, XP_010450977.1
OG0003547	XP_006304810.2	XP_010488317.1, XP_010475597.1, XP_010458030.1
OG0003548	XP_006280688.1	XP_010449962.1, XP_010483016.1, XP_010443202.1
OG0003549	XP_023634973.1, XP_023634260.1, XP_006289816.1	XP_010423240.1, XP_010419059.1, XP_010452676.1, XP_019097526.1, XP_010491325.1
OG0003550	XP_023635953.1	XP_010491146.1, XP_010423397.1, XP_010452509.1
OG0003551	XP_006289427.1	XP_010452418.1, XP_010491044.1
OG0003551	XP_006296592.1	XP_019101142.1, XP_010464776.1
OG0003552	XP_006286829.2	XP_010469571.1, XP_010421791.1
OG0003552	XP_006296706.1	XP_010415390.1, XP_010467893.1, XP_010489492.1
OG0003553	XP_023637457.1	XP_010490726.1, XP_010490741.1
OG0003554	XP_023638535.1	XP_010425510.1, XP_010502744.1
OG0003554	XP_023634132.1	XP_010441204.1, XP_010450645.1, XP_010435985.1
OG0003555	XP_006301720.1	XP_010429767.1, XP_010417515.1
OG0003556	XP_006307235.1	XP_010498709.1, XP_010477500.1, XP_010459995.1
OG0003557	XP_006297938.1	XP_010467487.1, XP_010489352.1, XP_010515356.1
OG0003557	XP_006285055.1	XP_010432296.1, XP_010437490.1
OG0003558	XP_006304908.2	XP_010500526.1, XP_010479448.1, XP_019091372.1
OG0003559	XP_006284497.1	XP_010440467.1, XP_010435133.1, XP_010450044.1
OG0003560	XP_006285247.1	XP_010440446.1, XP_010435108.1, XP_010450023.1
OG0003561	XP_006281570.1	XP_010482453.1, XP_010426295.1
OG0003562	XP_006284858.1	XP_010440245.1, XP_010449886.1, XP_010434916.1
OG0003563	XP_006302823.1	XP_010416116.1, XP_010471385.1, XP_010428237.1
OG0003564	XP_023645218.1	XP_019099077.1, XP_010477094.1, XP_010459546.1
OG0003565	XP_006291745.1	XP_010425226.1, XP_010502447.1, XP_010425227.1, XP_010514195.1
OG0003565	XP_006291721.1	XP_010502446.1, XP_010425228.1, XP_010514198.1
OG0003566	XP_023643280.1	XP_010511991.1, XP_010415599.1
OG0003566	XP_006302462.2	XP_010470941.1, XP_010415598.1, XP_010511993.1
OG0003567	XP_023633530.1	XP_010494682.1, XP_010481547.1, XP_010441687.1
OG0003567	XP_023633496.1	XP_010494681.1
OG0003568	XP_006279618.1	XP_010442098.1, XP_010494256.1
OG0003568	XP_006301751.1	XP_010480278.1, XP_010415010.1, XP_010511304.1
OG0003569	XP_006301586.1	XP_010471423.1, XP_010428287.1, XP_010416171.1
OG0003571	XP_006285907.1	XP_010449149.1, XP_010439560.1, XP_010434265.1, XP_019086234.1
OG0003571	XP_006286230.2	XP_010434264.1
OG0003572	XP_006283924.1	XP_010439654.1, XP_010434362.1, XP_010449299.1
OG0003573	XP_006285288.1	XP_019088572.1, XP_019086515.1, XP_019086017.1
OG0003574	XP_006292828.1	XP_010503909.1, XP_010515642.1, XP_010426792.1
OG0003575	XP_006292766.1	XP_010468903.1
OG0003577	XP_006294329.2	XP_019101140.1, XP_010506730.1, XP_010518396.1
OG0003577	XP_006291206.2	XP_010413297.1, XP_010468977.1, XP_010512607.1
OG0003578	XP_006287661.1	XP_010423448.1, XP_010452470.1, XP_010491096.1
OG0003578	XP_006291039.1	XP_010469116.1, XP_010512522.1
OG0003579	XP_006300653.1	XP_010449746.1, XP_019083554.1, XP_010415079.1
OG0003579	XP_006290509.1	XP_010469149.1, XP_010512409.1, XP_010413523.1
OG0003580	XP_006290583.1	XP_019084892.1, XP_010504501.1
OG0003580	XP_006290581.1	XP_010427753.1, XP_010516497.1
OG0003581	XP_006290626.1	XP_010516458.1, XP_010504759.1, XP_010427718.1
OG0003583	XP_006293143.1	XP_010427268.1, XP_010426629.1, XP_019084885.1, XP_010427260.1, XP_010516069.1, XP_010427266.1
OG0003584	XP_006303651.1, XP_023638309.1	XP_010431152.1, XP_019085336.1, XP_010504085.1
OG0003585	XP_023645118.1	XP_010496372.1, XP_010482761.1, XP_010442936.1
OG0003585	XP_023642120.1	XP_010445966.1, XP_010442938.1, XP_010482769.1
OG0003586	XP_006302847.1	XP_010415209.1, XP_010470548.1, XP_010496349.1
OG0003587	XP_006292480.1	XP_010504478.1, XP_010516199.1, XP_010427409.1, XP_010430627.1
OG0003587	XP_006294563.1	XP_010505747.1, XP_010517440.1
OG0003588	XP_023639384.1, XP_006289466.2	XP_010456495.1
OG0003589	XP_006293687.1	XP_010505478.1, XP_010509127.1, XP_010517145.1
OG0003590	XP_006294573.2	XP_010509277.1
OG0003590	XP_006279122.2	XP_010509278.1, XP_019100485.1, XP_010517051.1, XP_010505376.2
OG0003591	XP_023640074.1	XP_010509811.1, XP_010413790.2
OG0003592	XP_006294007.1	XP_010429647.1, XP_010417412.1, XP_019093388.1
OG0003592	XP_006292330.1	XP_010503058.1, XP_010427122.1, XP_010514743.1, XP_010507158.1
OG0003593	XP_006290034.1	XP_010437993.1, XP_010421887.1
OG0003593	XP_006305303.1	XP_010499941.1, XP_010478820.1, XP_010461221.1
OG0003594	XP_006290137.1	XP_010469061.1, XP_010455543.1, XP_010422091.1
OG0003595	XP_006287155.1, XP_006286834.1	XP_010421514.1, XP_010455010.1
OG0003596	XP_006286930.1	XP_010421651.1, XP_010494034.1
OG0003597	XP_006296825.1	XP_010415905.1, XP_010490291.1
OG0003597	XP_006306584.1	XP_010457445.1, XP_010483095.1, XP_010475054.1
OG0003598	XP_006279766.1	XP_010482812.1, XP_010474340.1
OG0003599	XP_023636976.1	XP_010492829.1, XP_010454051.1, XP_010420572.1
OG0003600	XP_006290106.1	XP_010492301.1, XP_019090337.1, XP_010420133.1
OG0003601	XP_006298707.1	XP_010489793.1, XP_010499267.1, XP_010465038.2, XP_010497315.1
OG0003602	XP_006299029.1	XP_019089148.1, XP_019092227.1, XP_019097131.1, XP_010419208.1
OG0003603	XP_006297318.2	XP_010503804.1, XP_010487456.1, XP_010465617.1
OG0003603	XP_006303957.1	XP_010462065.1, XP_010500827.1, XP_010479733.1
OG0003604	XP_006294084.1	XP_010472431.1, XP_010429398.1, XP_019083721.1
OG0003604	XP_023634791.1	XP_010432914.1
OG0003605	XP_006298521.1	XP_010488046.1, XP_010466260.1, XP_010509121.1
OG0003606	XP_006297940.1	XP_010466267.1, XP_010488052.1, XP_010509183.1
OG0003607	XP_023642178.1	XP_010512483.1, XP_010488403.1
OG0003607	XP_023635638.1	XP_010435155.1, XP_010450066.1
OG0003608	XP_006283363.1	XP_010450050.1, XP_010435137.1, XP_010440473.1
OG0003608	XP_023641820.1	XP_010488386.1, XP_010466655.1, XP_010512318.1
OG0003609	XP_006290959.2	XP_010424979.1, XP_010502209.1, XP_010513955.1
OG0003610	XP_006302378.1	XP_010470346.1, XP_010511192.1, XP_010414898.1
OG0003610	XP_023644212.1, XP_023644213.1, XP_006301606.1	XP_019093283.1, XP_010414896.1
OG0003611	XP_006302788.2	XP_010511225.1, XP_010480203.1
OG0003612	XP_006290857.1, XP_006290861.1	XP_010426858.1, XP_010503985.1, XP_010515708.1
OG0003613	XP_006306803.2	XP_010477584.1, XP_019091229.1, XP_010498794.1
OG0003614	XP_006306479.1, XP_006304809.1	XP_010457292.1, XP_010474884.1, XP_010481374.1
OG0003614	XP_006305617.1	XP_010457291.1, XP_010481364.1, XP_010474883.1
OG0003615	XP_006304501.1	XP_010457658.1, XP_010501327.1, XP_010475275.1
OG0003615	XP_006306433.1	XP_010457659.1, XP_010485172.1, XP_010475273.1
OG0003616	XP_006305459.1	XP_010475330.1, XP_010457725.1, XP_010485731.1
OG0003617	XP_006306351.1	XP_010475360.1, XP_010457756.1
OG0003618	XP_006303511.1	XP_010475622.1, XP_010458066.1, XP_010488691.1
OG0003619	XP_023633126.1	XP_010490695.1, XP_010458346.1, XP_010475870.1
OG0003620	XP_006306076.1	XP_010491157.1
OG0003620	XP_006300657.1	XP_010511001.1, XP_010470182.1
OG0003621	XP_006306058.1, XP_006304235.1	XP_010475930.1, XP_010491443.1, XP_010458412.1
OG0003622	XP_006303370.1	XP_010458494.1, XP_010492361.1, XP_010476008.1
OG0003623	XP_006307442.1	XP_010458642.1, XP_010476180.1, XP_010493812.1
OG0003623	XP_006300477.1	XP_010418249.1
OG0003624	XP_006304133.1	XP_010476555.1, XP_010496570.1
OG0003625	XP_006307647.1	XP_010459203.1, XP_010497979.1, XP_010476773.1
OG0003626	XP_006307236.2	XP_010498047.1, XP_010476840.1, XP_010459267.1
OG0003627	XP_006306601.1	XP_019099113.1, XP_010462808.1, XP_010477321.1
OG0003628	XP_006282255.1	XP_010494517.1, XP_010441836.1
OG0003629	XP_006283723.1	XP_010432453.1, XP_010437658.1, XP_010447124.1
OG0003630	XP_006283054.1	XP_010437818.1
OG0003630	XP_006296473.1	XP_010417387.1, XP_010429623.1
OG0003631	XP_006290474.2, XP_023633860.1	XP_010503101.1, XP_010514781.1, XP_010425869.1
OG0003631	XP_006283617.1	XP_010447195.1, XP_010432512.1
OG0003632	XP_006294895.1	XP_010429529.1, XP_010417303.1, XP_019093488.1
OG0003632	XP_006284578.2	XP_010432760.1, XP_010447426.1
OG0003633	XP_006307526.2	XP_010477743.1, XP_010498945.1, XP_010460197.1
OG0003634	XP_006288019.1	XP_010427264.1, XP_010456258.1, XP_010419615.1
OG0003634	XP_006288073.1, XP_006288063.1	XP_010456228.1
OG0003635	XP_006306089.1	XP_019094931.1, XP_019091518.1, XP_019097975.1
OG0003635	XP_006296460.1	XP_019083087.1, XP_019093669.1, XP_019101062.1
OG0003636	XP_006296474.1	XP_010510533.1, XP_010414439.1
OG0003636	XP_006303622.1	XP_010475509.1, XP_010487520.1
OG0003637	XP_006296266.1	XP_010510745.1
OG0003637	XP_006306462.1	XP_010477657.1
OG0003638	XP_006299573.1	XP_019092446.1, XP_019093981.1, XP_019092442.1, XP_019096783.1, XP_019096805.1, XP_019092444.1, XP_019096809.1, XP_019092441.1, XP_019099072.1, XP_019096802.1, XP_019092445.1, XP_019093954.1
OG0003639	XP_006296180.1	XP_010485032.1, XP_010442539.1, XP_010472782.1
OG0003640	XP_006280808.1, XP_006280809.1, XP_006280807.1	XP_010444264.1, XP_010484105.1, XP_010460731.1
OG0003641	XP_023637565.1, XP_006281618.1, XP_023637561.1	XP_010445831.1
OG0003642	XP_023639163.1, XP_023638929.1, XP_023639162.1	XP_010412671.1, XP_010431176.1, XP_010503603.1
OG0003645	XP_006285429.1	XP_019088925.1, XP_019086121.1, XP_019087140.1
OG0003646	XP_006280325.1	XP_010482557.1, XP_010444324.1, XP_010442726.1
OG0003648	XP_023635614.1	XP_010447279.1
OG0003656	XP_023637886.1	XP_010515159.1, XP_010503472.1, XP_010426332.1
OG0003657	XP_006292106.1	XP_010503391.1, XP_010482056.1, XP_010515093.1
OG0003658	XP_006281933.1	XP_010494649.1, XP_010481582.1, XP_010441721.1
OG0003659	XP_023641514.1	XP_010443979.1, XP_010485443.1, XP_010463600.1
OG0003659	XP_023636221.1	XP_019097719.1, XP_019084648.1
OG0003660	XP_006283486.1	XP_019086988.1, XP_010434054.1, XP_010448901.1
OG0003661	XP_023637276.1	XP_010419773.1, XP_010491942.1
OG0003662	XP_006286859.1	XP_010453211.1, XP_010491902.1, XP_010419739.1
OG0003663	XP_023644763.1	XP_010497500.1, XP_019095216.1, XP_010459126.1
OG0003664	XP_006290031.1, XP_023641604.1	XP_010452962.1, XP_010422959.1, XP_010491604.1
OG0003665	XP_006299817.1	XP_010464756.1, XP_010486694.1, XP_010492758.1
OG0003666	XP_006303336.1	XP_010475448.1, XP_010486924.1, XP_010457855.1
OG0003666	XP_006296407.1	XP_010414286.1, XP_010510387.1, XP_010469878.1
OG0003667	XP_006291260.2	XP_010433918.1
OG0003668	XP_006279689.1	XP_019087997.1, XP_010444670.2
OG0003668	XP_006284451.1	XP_010448412.1, XP_010433616.1, XP_010438862.1
OG0003669	XP_006303406.1	XP_010460678.1, XP_010499425.1, XP_010478265.1
OG0003670	XP_006287609.1	XP_010493481.1, XP_010454647.1, XP_010421165.1
OG0003671	XP_006289550.1	XP_019083939.1, XP_019083940.1, XP_019090266.1
OG0003672	XP_006286737.2	XP_010493832.1, XP_019090423.1
