Orthogroup	Capsella_rubella	Arabidopsis_arenosa
OG0003051	XP_006285667.1	jg9991
OG0003052	XP_006295776.2	jg16523
OG0003052	XP_006284310.1	jg8346
OG0003053	XP_006306203.2	jg32260, jg32261
OG0003054	XP_006284252.1	jg10536
OG0003054	XP_006286238.2	jg10473
OG0003056	XP_006299446.1	jg24533
OG0003056	XP_006286966.1	jg5790
OG0003057	XP_006286759.2	jg6550
OG0003058	XP_006298205.1	jg24371
OG0003058	XP_006288228.2	jg6773
OG0003059	XP_006296086.1	jg20164
OG0003059	XP_006280350.1	jg21753
OG0003060	XP_006294730.1	jg19926
OG0003061	XP_006295606.1	jg19735
OG0003062	XP_006296003.1	jg19733
OG0003063	XP_006288910.1, XP_006288884.2, XP_006295417.2	jg19462
OG0003064	XP_006300214.1	jg24418
OG0003064	XP_023637218.1	jg6660
OG0003065	XP_006299796.1	jg24462
OG0003066	XP_006298834.2	jg24492
OG0003067	XP_006279872.1	jg21579
OG0003068	XP_006296741.1	jg24790
OG0003069	XP_006296763.1	jg25034
OG0003069	XP_023642271.1	jg25035
OG0003070	XP_006298160.1	jg25321
OG0003070	XP_006303178.1	jg33714
OG0003071	XP_023643556.1	jg2285
OG0003071	XP_023641083.1	jg25648
OG0003072	XP_006298550.1	jg25921
OG0003073	XP_023642007.1	jg25951
OG0003073	XP_006305898.1	jg32956
OG0003074	XP_023635590.1	jg12250
OG0003074	XP_006300942.1	jg2106
OG0003075	XP_023637200.1	jg5740
OG0003075	XP_006287032.1	jg5739
OG0003076	XP_023636204.1	jg8173
OG0003076	XP_006304638.1	jg28445
OG0003077	XP_006303837.1	jg28456
OG0003078	XP_006303792.1	jg28588
OG0003079	XP_006305361.1	jg28652
OG0003079	XP_006301078.1	jg1337
OG0003080	XP_006307671.1	jg28989
OG0003080	XP_023639419.1	jg18150
OG0003081	XP_006301799.2	jg926
OG0003081	XP_006305951.1	jg29490
OG0003082	XP_006291855.1	jg12961
OG0003083	XP_006305801.1	jg29984
OG0003084	XP_023643650.1	jg3132
OG0003084	XP_023645810.1	jg30034
OG0003085	XP_023645693.1	jg30373
OG0003085	XP_023643860.1	jg3050
OG0003086	XP_006301239.1	jg3281
OG0003086	XP_006303245.1	jg30589, jg30592
OG0003088	XP_006306476.1	jg30615
OG0003088	XP_006305646.1	jg30614
OG0003089	XP_006303183.1	jg30656
OG0003089	XP_006291836.2, XP_006291870.1	jg14035
OG0003092	XP_023640966.1	jg20678
OG0003092	XP_006282244.2	jg20686
OG0003093	XP_006284773.1	jg8686
OG0003094	XP_006284143.1	jg8863
OG0003095	XP_023635114.1	jg8865
OG0003096	XP_006285833.1	jg9191
OG0003096	XP_006284987.1	jg9190
OG0003097	XP_023643463.1	jg2557
OG0003097	XP_023644841.1	jg31054
OG0003098	XP_006288017.1	jg8093
OG0003101	XP_006299202.2	jg27971
OG0003101	XP_006297415.2	jg27972
OG0003101	XP_006282526.2	jg27969
OG0003102	XP_023634553.1	jg9341
OG0003102	XP_006293720.2	jg16869
OG0003103	XP_023640019.1	jg17886, jg17879, jg17893
OG0003103	XP_006293405.1	jg17885, jg17878
OG0003104	XP_023633438.1	jg23086
OG0003116	XP_006284287.1	jg9364
OG0003117	XP_006287789.1	jg5627
OG0003118	XP_006287217.1	jg5424
OG0003118	XP_023642440.1	jg24064
OG0003119	XP_006289274.2	jg5314
OG0003120	XP_006290108.1	jg4866
OG0003120	XP_006281052.1	jg23538
OG0003122	XP_006283973.1	jg13922, jg13924, jg9949
OG0003123	XP_006304074.1	jg32789
OG0003123	XP_023633957.1	jg9292
OG0003124	XP_006307096.2	jg31410
OG0003125	XP_006303203.1	jg31731
OG0003125	XP_006305679.1	jg29393
OG0003126	XP_023645866.1	jg31797
OG0003127	XP_006290913.1, XP_023639261.1	jg14934
OG0003128	XP_006289978.1	jg6058
OG0003129	XP_006279614.1	jg23330
OG0003129	XP_006291050.1	jg14698
OG0003130	XP_006281325.1	jg23266
OG0003131	XP_006279771.1	jg23113
OG0003132	XP_023637430.1	jg6257
OG0003133	XP_006301473.1	jg828
OG0003134	XP_006298572.1	jg26459
OG0003136	XP_006279138.1, XP_006289411.1	jg6063, jg6064
OG0003136	XP_006286426.1	jg6066
OG0003137	XP_023642301.1	jg24983
OG0003138	XP_006281549.1	jg21923
OG0003139	XP_023638738.1	jg22628
OG0003139	XP_006282756.1	jg9871
OG0003140	XP_006303559.1	jg30752
OG0003141	XP_023641319.1	jg25779
OG0003142	XP_023644627.1	jg28596
OG0003143	XP_023636531.1	jg7965
OG0003143	XP_023636426.1	jg7968
OG0003144	XP_006293305.2	jg15460, jg15458
OG0003145	XP_006287208.2	jg4217
OG0003146	XP_023636955.1	jg4197
OG0003148	XP_023642989.1	jg525
OG0003149	XP_006300740.1, XP_006287070.1	jg3777
OG0003150	XP_006300629.1	jg3743
OG0003151	XP_023645029.1	jg30120
OG0003152	XP_006307722.2	jg30122
OG0003153	XP_006301909.1	jg3567
OG0003154	XP_006307528.1	jg30661
OG0003155	XP_023642976.1	jg3340
OG0003156	XP_023638394.1	jg30534, jg13272
OG0003157	XP_006300503.1	jg3176
OG0003157	XP_006305120.1	jg30475
OG0003158	XP_006307616.1	jg33528
OG0003159	XP_006295518.1	jg18742
OG0003160	XP_023640473.1	jg18773
OG0003160	XP_006300648.1	jg2199
OG0003161	XP_023638605.1	jg14311
OG0003162	XP_006282594.1	jg11441
OG0003162	XP_006297643.1	jg26669
OG0003163	XP_006284802.1	jg11284
OG0003164	XP_023642650.1	jg26340
OG0003164	XP_006286201.1	jg11139
OG0003165	XP_006303627.1	jg30357
OG0003165	XP_006302579.1	jg2989
OG0003166	XP_006306937.1	jg30347
OG0003167	XP_006291729.1	jg13546
OG0003168	XP_006290933.1	jg13735
OG0003169	XP_006284021.1	jg12667
OG0003169	XP_006291373.1	jg13512
OG0003171	XP_006279889.1	jg20572
OG0003173	XP_023632603.1	jg33091
OG0003174	XP_006305920.2, XP_006303569.2	jg33497, jg33498, jg32345, jg32347, jg33499, jg32344, jg32350, jg32349
OG0003175	XP_006281095.1	jg20972
OG0003175	XP_006303344.2	jg32695
OG0003176	XP_023634239.1	jg10867
OG0003176	XP_006282964.1	jg10868
OG0003177	XP_006279824.1	jg21788
OG0003178	XP_006282022.1	jg21617
OG0003178	XP_006303791.2	jg29928
OG0003179	XP_006282574.1	jg10996
OG0003180	XP_006283553.1	jg10910
OG0003180	XP_006294082.1	jg18636
OG0003181	XP_006281675.2	jg23753
OG0003181	XP_023638376.1	jg14977
OG0003182	XP_006291085.1	jg16108
OG0003182	XP_023638577.1	jg25263
OG0003183	XP_023637742.1	jg16027
OG0003186	XP_006294378.1	jg17395, jg17346
OG0003187	XP_006293262.1, XP_006290809.1	jg15574
OG0003188	XP_006291562.1	jg15564
OG0003189	XP_006293664.1	jg19131
OG0003189	XP_006290589.1	jg15435
OG0003190	XP_006293244.1	jg15303
OG0003190	XP_006293678.1	jg18909
OG0003191	XP_006302514.1	jg2355
OG0003192	XP_006297219.1	jg27935, jg7308, jg7305
OG0003193	XP_006292703.1	jg15636
OG0003193	XP_006294497.1	jg19372
OG0003194	XP_006285261.2, XP_006293868.1	jg19133
OG0003195	XP_006296162.1	jg16826
OG0003195	XP_006285189.1	jg8641
OG0003196	XP_006296174.1	jg17062
OG0003196	XP_023635622.1	jg9209
OG0003197	XP_006288543.1	jg7556
OG0003198	XP_006288229.1	jg6650
OG0003199	XP_006297625.1	jg28284
OG0003199	XP_006283715.1	jg9591
OG0003200	XP_006289663.1	jg6807
OG0003201	XP_006298278.1	jg24428
OG0003202	XP_006286363.1	jg5747
OG0003202	XP_006297026.1	jg24558
OG0003203	XP_023642448.1	jg24675, jg24679
OG0003206	XP_006298805.1	jg25239
OG0003208	XP_006299790.2	jg25996
OG0003209	XP_023634695.1, XP_023634651.1	jg20910, jg6469, jg10830, jg1990, jg11275, jg25710, jg6355, jg17875, jg13583, jg10525, jg10532, jg13596
OG0003209	XP_023634712.1	jg27131
OG0003210	XP_006291420.1	jg12282
OG0003211	XP_006306939.1	jg28793
OG0003211	XP_023633083.1	jg29413
OG0003212	XP_006305942.1	jg29065
OG0003213	XP_006306342.1	jg29205
OG0003214	XP_006300441.1	jg997
OG0003214	XP_006305877.1	jg29447
OG0003215	XP_023644009.1, XP_006302176.2	jg575, jg574
OG0003215	XP_023633231.1	jg29729
OG0003216	XP_006297017.1	jg9252
OG0003216	XP_006306785.2	jg29777
OG0003217	XP_006292904.2	jg16882, jg13021
OG0003217	XP_006303175.1	jg29940
OG0003218	XP_023637252.1	jg21713
OG0003218	XP_006305567.1	jg30252
OG0003220	XP_023644007.1	jg2829
OG0003220	XP_006307658.2	jg30825
OG0003222	XP_006302454.1	jg2747
OG0003222	XP_006305189.1	jg30851
OG0003223	XP_006301557.1	jg883, jg882, jg26937
OG0003223	XP_006301215.1	jg881
OG0003224	XP_006301803.2	jg1087
OG0003224	XP_006302642.2, XP_006279103.2	jg1063, jg1065, jg1067
OG0003225	XP_006284675.2	jg11074
OG0003226	XP_023646036.1	jg32849, jg32872
OG0003227	XP_006298767.1	jg27530
OG0003227	XP_023634012.1	jg8927
OG0003228	XP_006286103.1	jg8998, jg9000
OG0003229	XP_023632920.1	jg31082
OG0003229	XP_006305850.1	jg32197
OG0003230	XP_006283681.1	jg9682
OG0003230	XP_006302216.1	jg1785
OG0003231	XP_006292439.1	jg13187
OG0003231	XP_006291887.1	jg13177
OG0003233	XP_023635267.1	jg8700
OG0003233	XP_006301757.1	jg1421
OG0003234	XP_006282524.1	jg3045
OG0003234	XP_006289858.2	jg7946
OG0003235	XP_023639593.1	jg25758, jg19695
OG0003236	XP_006296193.1	jg16678
OG0003236	XP_006285632.1	jg8522
OG0003237	XP_006284650.1	jg12422
OG0003238	XP_023644082.1	jg13950
OG0003239	XP_023638599.1	jg14304
OG0003239	XP_023638749.1	jg14303
OG0003240	XP_006285552.1, XP_006284982.1	jg10843
OG0003247	XP_006290594.2	jg14460
OG0003247	XP_006281878.1	jg22858
OG0003248	XP_006290744.1	jg14615, jg14614
OG0003249	XP_023638643.1	jg20405
OG0003250	XP_006287626.1	jg5339
OG0003251	XP_023642404.1	jg23887
OG0003251	XP_006287937.1	jg5218
OG0003252	XP_023635779.1	jg6514
OG0003253	XP_006283539.1	jg10749, jg26569
OG0003254	XP_023635550.1	jg23508
OG0003254	XP_006287293.2	jg4854
OG0003255	XP_006288251.1	jg4853
OG0003255	XP_006288241.1	jg4852
OG0003256	XP_023635899.1	jg4839, jg4841, jg4842
OG0003257	XP_006298216.1	jg4781
OG0003258	XP_023641456.1	jg23422
OG0003260	XP_006294053.1	jg18090
OG0003261	XP_006295756.1	jg18098
OG0003262	XP_006304341.1	jg28896
OG0003262	XP_006295298.1	jg18260
OG0003263	XP_006304698.1	jg33028
OG0003264	XP_006294710.1	jg18381
OG0003265	XP_023636161.1	jg7376
OG0003265	XP_023642614.1	jg26560
OG0003266	XP_006305441.1	jg31040
OG0003267	XP_006305999.1	jg31586
OG0003268	XP_006282090.1	jg23120
OG0003269	XP_006286942.1	jg4749
OG0003269	XP_023635901.1	jg23398
OG0003270	XP_023637229.1, XP_006279517.1	jg23066
OG0003272	XP_006292465.1	jg13212, jg13211
OG0003273	XP_006291692.2	jg14251
OG0003273	XP_006288588.1	jg6130
OG0003274	XP_006285554.2	jg27995
OG0003275	XP_006296826.1	jg25278
OG0003276	XP_006281504.1	jg22758
OG0003276	XP_006282808.1	jg12119
OG0003277	XP_006281046.1	jg22449
OG0003277	XP_006282707.1	jg9796
OG0003278	XP_006291199.1	jg14824
OG0003279	XP_006279650.1	jg23586
OG0003280	XP_006288612.2	jg4092, jg4051
OG0003281	XP_023645574.1	jg12317, jg12318
OG0003282	XP_006304050.1	jg30896, jg30899
OG0003283	XP_023640219.1, XP_023640065.1	jg17167
OG0003284	XP_006300989.1	jg3732
OG0003285	XP_006284208.1	jg10681
OG0003285	XP_006284229.1	jg10698
OG0003286	XP_006285709.1	jg10608
OG0003287	XP_023632718.1	jg30789, jg30791
OG0003289	XP_006284124.1	jg11252
OG0003290	XP_023641087.1	jg26445
OG0003290	XP_023634958.1	jg11237
OG0003291	XP_006300350.1	jg514, jg517
OG0003291	XP_023642994.1	jg513, jg550
OG0003292	XP_023632826.1	jg31058
OG0003293	XP_006306335.1	jg33366
OG0003293	XP_023634341.1	jg6006
OG0003295	XP_006285662.1	jg10757
OG0003297	XP_023633471.1	jg23293, jg23294
OG0003298	XP_006283107.1	jg10618
OG0003299	XP_006280024.1	jg1918, jg21791
OG0003300	XP_006279579.1	jg21138
OG0003300	XP_006306893.1	jg33155
OG0003301	XP_006291300.1	jg15023
OG0003302	XP_023639488.1	jg20017
OG0003303	XP_006293281.1	jg15358
OG0003305	XP_006283900.1	jg11641
OG0003305	XP_006297868.1	jg26877
OG0003306	XP_006280308.1	jg26915, jg21362
OG0003307	XP_023633287.1	jg31221
OG0003307	XP_006301528.2	jg2324
OG0003308	XP_006298890.1	jg28053
OG0003308	XP_006284849.1	jg9379
OG0003309	XP_006303464.1	jg33680
OG0003309	XP_006300126.1	jg25357
OG0003310	XP_023646060.1	jg32643
OG0003310	XP_023636419.1	jg7059
OG0003311	XP_006293795.2	jg20132
OG0003312	XP_023643601.1	jg3276
OG0003312	XP_006294486.1	jg19777
OG0003313	XP_006299480.1	jg27701
OG0003313	XP_006284527.1	jg8887
OG0003314	XP_006288133.1, XP_006298097.1	jg24405
OG0003315	XP_006287408.1	jg6541
OG0003316	XP_006296978.1	jg24553
OG0003316	XP_006286442.1	jg5749
OG0003317	XP_006281079.1	jg21431
OG0003318	XP_006299904.1	jg25708
OG0003319	XP_006299477.1	jg25760
OG0003320	XP_006304312.1	jg33054
OG0003321	XP_006285806.1	jg9601
OG0003321	XP_006286223.1	jg9144
OG0003322	XP_006284765.1	jg12421
OG0003322	XP_006279460.1	jg13882
OG0003323	XP_006299050.1	jg26450
OG0003324	XP_006284105.1	jg9394
OG0003324	XP_006300101.1	jg28080
OG0003325	XP_006300621.1	jg2347
OG0003325	XP_006280141.2	jg21580
OG0003326	XP_023638176.1	jg15076
OG0003327	XP_023645035.1	jg28469
OG0003328	XP_006287167.1	jg8134
OG0003328	XP_006306882.1	jg28494
OG0003330	XP_006304695.2	jg29084
OG0003331	XP_023642959.1	jg1535
OG0003331	XP_006303742.1	jg29235
OG0003332	XP_006303274.1	jg29916
OG0003332	XP_006291681.1	jg13072
OG0003333	XP_023645173.1	jg30077
OG0003334	XP_023644977.1	jg17012, jg30458
OG0003335	XP_006304111.1	jg30581
OG0003335	XP_006304113.1	jg30580
OG0003336	XP_006304593.1	jg30847
OG0003336	XP_006301571.1	jg2768
OG0003337	XP_006300411.1	jg2687
OG0003337	XP_006307091.1	jg30881
OG0003338	XP_006304840.1	jg30994
OG0003338	XP_006300378.1	jg2610
OG0003339	XP_023645728.1	jg23727
OG0003339	XP_023641587.1	jg23728
OG0003340	XP_006284779.2	jg10888
OG0003340	XP_023632843.1	jg20294
OG0003341	XP_006281952.1, XP_006282230.2	jg20675
OG0003342	XP_006300565.1, XP_023634714.1	jg2007
OG0003343	XP_006285671.2	jg9489
OG0003343	XP_006284994.1	jg9488
OG0003344	XP_006294142.1	jg16685
OG0003344	XP_006292348.2, XP_006292848.1	jg16686, jg26689
OG0003345	XP_023634036.1, XP_006283168.1	jg12762
OG0003347	XP_006283798.1	jg8788
OG0003349	XP_006306357.1	jg32624
OG0003349	XP_006284362.1	jg8943
OG0003350	XP_023634527.1	jg9161
OG0003351	XP_023643260.1	jg2841
OG0003352	XP_006290113.1	jg8101
OG0003352	XP_006305119.1	jg28464
OG0003353	XP_006283362.1	jg9700
OG0003354	XP_023632706.1	jg30769, jg30770
OG0003355	XP_023634501.1	jg30987
OG0003356	XP_006304487.1	jg31305
OG0003359	XP_023642934.1, XP_023640578.1	jg3875
OG0003360	XP_023634473.1, XP_023634255.1	jg11502, jg11503, jg11501
OG0003361	XP_023633388.1	jg21959, jg21965
OG0003361	XP_006296509.1, XP_023640367.1	jg17729
OG0003363	XP_023637568.1, XP_023639541.1, XP_023638919.1, XP_023638918.1, XP_023638735.1	jg14499, jg14500, jg14501
OG0003363	XP_023638917.1	jg14498
OG0003372	XP_006291376.1	jg14600
OG0003373	XP_023632828.1	jg31311
OG0003373	XP_006306603.1	jg31320
OG0003374	XP_006305007.1	jg31932
OG0003375	XP_006280724.1	jg21754
OG0003376	XP_006282775.1	jg11946
OG0003378	XP_006287900.1	jg5447
OG0003378	XP_023641053.1	jg24081
OG0003379	XP_006286162.1	jg12753
OG0003379	XP_006285910.1	jg12752
OG0003381	XP_023636286.1	jg5062
OG0003381	XP_023641282.1	jg25160
OG0003382	XP_006301885.1	jg2710, jg33151
OG0003383	XP_023636804.1	jg4904
OG0003384	XP_006284847.1	jg8574
OG0003385	XP_006286595.1	jg4665
OG0003386	XP_023637696.1	jg4617
OG0003387	XP_006280825.1	jg21728
OG0003387	XP_006284118.1	jg9981
OG0003388	XP_023637000.1	jg21709
OG0003388	XP_006283344.1	jg9984
OG0003389	XP_006294453.1	jg18328
OG0003389	XP_006296486.1	jg17520
OG0003390	XP_006296399.1	jg18061
OG0003391	XP_006281582.1, XP_006286635.1	jg20899, jg7193
OG0003392	XP_006281468.1, XP_006279075.1, XP_006282361.1	jg20781, jg20783, jg20782
OG0003393	XP_023640129.1	jg18602
OG0003393	XP_023645076.1	jg31620
OG0003394	XP_006294720.1	jg18601
OG0003394	XP_006305469.1	jg31621
OG0003395	XP_006281700.1	jg23608
OG0003395	XP_006292387.1	jg14834
OG0003396	XP_006281236.1	jg23469
OG0003396	XP_006288819.1	jg4791
OG0003397	XP_006284186.1	jg9017
OG0003398	XP_006282047.1	jg23288
OG0003399	XP_006295190.1, XP_023644146.1	jg23256
OG0003400	XP_006281091.1	jg23244
OG0003400	XP_006291853.1	jg14612
OG0003401	XP_023636972.1	jg6248
OG0003402	XP_023635957.1	jg5957
OG0003403	XP_023635702.1	jg6020, jg6018
OG0003404	XP_006281061.1	jg22778
OG0003404	XP_006292640.2	jg14518
OG0003405	XP_006280241.1	jg22548, jg2756
OG0003406	XP_006279398.2	jg21275
OG0003408	XP_006289738.1	jg4244
OG0003409	XP_023637644.1	jg4098
OG0003409	XP_006289900.1	jg4097
OG0003410	XP_006288935.1	jg3943
OG0003411	XP_023637643.1	jg3858
OG0003412	XP_006299577.1	jg24798
OG0003413	XP_006297382.2	jg25189
OG0003414	XP_006300751.1	jg3578
OG0003415	XP_006283385.1	jg8386
OG0003417	XP_006306215.1	jg33740
OG0003418	XP_006298072.1	jg25454
OG0003418	XP_006304511.2	jg33593
OG0003419	XP_006304589.1, XP_006306238.1	jg33552
OG0003419	XP_023645013.1	jg33551, jg2920
OG0003420	XP_023640770.1	jg18789
OG0003421	XP_006296836.1	jg26626
OG0003422	XP_006295445.1	jg16785
OG0003422	XP_023633708.1	jg8608
OG0003423	XP_023641919.1	jg3012
OG0003423	XP_006297558.1, XP_006300152.2	jg8935
OG0003424	XP_006290404.1	jg13619
OG0003424	XP_006291518.1	jg13618
OG0003425	XP_023643905.1	jg2532
OG0003425	XP_006305767.1	jg31081
OG0003426	XP_023640015.1	jg20451
OG0003426	XP_023633850.1	jg10756
OG0003427	XP_006305862.1	jg33341
OG0003427	XP_023645116.1	jg33339
OG0003428	XP_023645117.1	jg33340
OG0003428	XP_006299117.1	jg26320
OG0003429	XP_006303704.1	jg33487
OG0003429	XP_006299729.1	jg28300
OG0003431	XP_006285421.1	jg10718
OG0003432	XP_006282475.2	jg10733
OG0003432	XP_006292088.1	jg15185
OG0003433	XP_006293138.1	jg14943
OG0003434	XP_006280448.1	jg21799, jg21797
OG0003434	XP_006281528.1	jg21808
OG0003437	XP_023633839.1	jg10588
OG0003438	XP_006280941.2	jg20707
OG0003438	XP_006284391.1	jg10508
OG0003439	XP_023641255.1	jg16888
OG0003440	XP_006284492.1	jg10364
OG0003441	XP_006284570.1, XP_006303289.2	jg12000, jg32135
OG0003442	XP_023639457.1	jg19808
OG0003443	XP_006296390.1	jg19580
OG0003443	XP_006290420.1	jg15893
OG0003444	XP_006292110.1, XP_006295311.1	jg19427
OG0003445	XP_006291310.1, XP_006291314.1	jg15683
OG0003446	XP_006295954.1	jg19275
OG0003447	XP_023642208.1	jg27033
OG0003447	XP_006293001.1	jg15224
OG0003448	XP_006298053.1	jg26745, jg17213
OG0003449	XP_023635345.1	jg8668
OG0003450	XP_006285054.1, XP_006295497.1, XP_006284091.1	jg16669
OG0003452	XP_006287803.2	jg7292
OG0003452	XP_006303649.1	jg32087
OG0003453	XP_006293429.1	jg6824, jg20155
OG0003454	XP_006294557.1	jg20149
OG0003454	XP_006298115.1	jg27772
OG0003455	XP_006295550.1	jg19974
OG0003456	XP_006295902.1	jg19838
OG0003457	XP_006291607.1	jg16036
OG0003458	XP_006294880.1	jg19738
OG0003458	XP_023640711.1	jg19741
OG0003459	XP_006298269.1	jg24552, jg19885
OG0003461	XP_006296625.1	jg24613
OG0003462	XP_006296653.1	jg24824
OG0003463	XP_006292644.1	jg13075
OG0003464	XP_023641496.1	jg25145
OG0003465	XP_006299806.1	jg25515, jg25345
OG0003466	XP_006299764.1	jg25364
OG0003466	XP_006300164.1	jg25365
OG0003467	XP_006300242.1	jg25631
OG0003468	XP_006286134.2	jg10044
OG0003468	XP_006286102.1	jg10043
OG0003469	XP_023634629.1	jg9312
OG0003471	XP_023645368.1	jg29166, jg29165
OG0003472	XP_006303836.1	jg29317
OG0003473	XP_006303181.1	jg29372
OG0003473	XP_006301016.1	jg1157, jg1159
OG0003475	XP_006300607.1	jg605
OG0003475	XP_006303147.1	jg29689
OG0003476	XP_006304591.1	jg29749
OG0003476	XP_006291421.1	jg13353
OG0003477	XP_023632726.1	jg32102
OG0003477	XP_023645520.1	jg29945
OG0003478	XP_023643661.1	jg986
OG0003479	XP_023635161.1, XP_023635162.1	jg12612
OG0003480	XP_006298761.1	jg21877
OG0003481	XP_006281527.1	jg20342
OG0003481	XP_023637622.1, XP_006284544.2	jg10901
OG0003482	XP_006296857.1	jg28059
OG0003482	XP_006283034.1	jg11028
OG0003483	XP_006294579.1	jg20030
OG0003484	XP_006283464.1	jg8305, jg8298
OG0003485	XP_023635598.1	jg8577
OG0003486	XP_023633687.1	jg8760
OG0003487	XP_006284859.1	jg8890
OG0003488	XP_006295476.1	jg16896
OG0003488	XP_006285656.1	jg9305
OG0003489	XP_006305730.1, XP_006305731.1	jg30874
OG0003490	XP_023632740.1	jg30876
OG0003490	XP_006286438.2	jg7529, jg7527
OG0003491	XP_006302713.1	jg2554
OG0003492	XP_006296529.2, XP_023634020.1, XP_023636088.1, XP_023640319.1, XP_023644472.1, XP_023640344.1, XP_023640314.1, XP_023634538.1, XP_023638867.1, XP_023639645.1, XP_023641900.1, XP_023636045.1	jg17104, jg16425, jg27818, jg1491, jg6971, jg13938, jg11851, jg17382, jg32063, jg13939, jg1563
OG0003494	XP_023645943.1	jg33722
OG0003495	XP_006301904.2	jg1824, jg1708, jg1850, jg1827, jg1825, jg1709
OG0003496	XP_006300929.1, XP_006301393.1	jg2179
OG0003496	XP_006300988.1, XP_006300969.1	jg2182, jg2178, jg2180
OG0003497	XP_023643170.1, XP_023645946.1, XP_023643807.1	jg2248
OG0003497	XP_006301976.1	jg2322
OG0003498	XP_023636519.1, XP_006281900.2, XP_023636517.1	jg3712
OG0003499	XP_023633384.1, XP_023634297.1, XP_023641924.1, XP_023641954.1, XP_023641369.1, XP_023634633.1, XP_023640993.1, XP_023642982.1, XP_023636042.1, XP_023634295.1	jg17501
OG0003500	XP_023639287.1, XP_023639282.1, XP_023639283.1, XP_023633923.1, XP_023638888.1, XP_023638887.1, XP_006279381.2, XP_023638889.1, XP_006293289.2, XP_023633943.1, XP_023633862.1, XP_023638890.1, XP_006279368.2	jg14199
OG0003501	XP_006289950.1, XP_006287949.1, XP_006287948.1	jg6271
OG0003501	XP_006287964.1, XP_006287965.1	jg6274
OG0003502	XP_023633389.1	jg21972
OG0003512	XP_006291236.1, XP_023640292.1	jg17380
OG0003514	XP_006289380.1	jg5519
OG0003515	XP_006287120.1	jg5414, jg18792
OG0003516	XP_023637151.1	jg4979
OG0003517	XP_023635902.1	jg4748
OG0003517	XP_023642320.1	jg26123
OG0003518	XP_023638584.1	jg4709, jg15145
OG0003519	XP_006280926.1	jg23085
OG0003520	XP_006289219.1	jg4607
OG0003520	XP_006297450.1	jg24963
OG0003521	XP_006294624.1	jg17631
OG0003522	XP_023639902.1	jg17694
OG0003522	XP_023639889.1	jg17692
OG0003523	XP_006294728.1, XP_006294768.1	jg17795
OG0003524	XP_006296321.1	jg16611
OG0003525	XP_006295209.2, XP_006295266.1	jg18084
OG0003527	XP_006293642.1	jg18201
OG0003528	XP_023640266.1	jg18221
OG0003529	XP_006294604.1	jg18296
OG0003530	XP_006304378.2	jg28740
OG0003531	XP_023633107.1	jg31515
OG0003531	XP_023633108.1	jg31513
OG0003532	XP_006289817.1, XP_006306300.1	jg31651
OG0003533	XP_023635441.1	jg7618, jg21470
OG0003533	XP_006282421.2	jg23673
OG0003534	XP_023633449.1, XP_006287510.2	jg23649
OG0003535	XP_023639731.1	jg23557
OG0003536	XP_006281076.2	jg23170
OG0003537	XP_023640284.1, XP_006279767.1	jg23129
OG0003538	XP_006287441.2, XP_023637548.1	jg26913, jg6452
OG0003540	XP_006289997.1	jg6133
OG0003541	XP_006281674.1	jg22989, jg22990
OG0003542	XP_006300893.1	jg3020
OG0003542	XP_006289010.1	jg7261
OG0003543	XP_006281623.1	jg22882
OG0003543	XP_006281852.1	jg22883
OG0003544	XP_006280964.2	jg22871
OG0003545	XP_006279634.1	jg22735
OG0003546	XP_006279594.1	jg22682
OG0003548	XP_006280688.1	jg22399
OG0003549	XP_023634973.1, XP_023634260.1, XP_006289816.1	jg4551
OG0003550	XP_023635953.1	jg4353
OG0003551	XP_006289427.1	jg4272
OG0003552	XP_006286829.2	jg7180
OG0003552	XP_006296706.1	jg28131
OG0003553	XP_023637457.1	jg4012
OG0003554	XP_023638535.1	jg13491
OG0003554	XP_023634132.1	jg12668
OG0003555	XP_006301720.1	jg3586
OG0003556	XP_006307235.1	jg30803
OG0003557	XP_006297938.1	jg27851
OG0003557	XP_006285055.1	jg8817
OG0003558	XP_006304908.2	jg33103
OG0003559	XP_006284497.1	jg11336
OG0003560	XP_006285247.1	jg11307
OG0003561	XP_006281570.1	jg21779
OG0003561	XP_006281047.1	jg21780
OG0003562	XP_006284858.1	jg11106
OG0003563	XP_006302823.1	jg2969
OG0003564	XP_023645218.1	jg30421
OG0003565	XP_006291745.1, XP_006291721.1	jg13240, jg13238
OG0003566	XP_023643280.1	jg2537
OG0003566	XP_006302462.2	jg2536
OG0003567	XP_023633530.1	jg20519
OG0003567	XP_023633496.1	jg20520
OG0003568	XP_006279618.1	jg20988
OG0003568	XP_006301751.1	jg20989, jg1356
OG0003569	XP_006301586.1	jg3002
OG0003571	XP_006286230.2	jg10488
OG0003572	XP_006283924.1	jg10600
OG0003573	XP_006285288.1	jg10991
OG0003574	XP_006292828.1	jg15101
OG0003575	XP_006292766.1	jg20202
OG0003577	XP_006294329.2	jg20113
OG0003577	XP_006291206.2	jg16292
OG0003578	XP_006287661.1	jg4319
OG0003578	XP_006291039.1	jg16221
OG0003579	XP_006300653.1	jg1905
OG0003579	XP_006290509.1	jg16132
OG0003580	XP_006290583.1	jg15584
OG0003580	XP_006290581.1	jg15875
OG0003581	XP_006290626.1	jg15831
OG0003583	XP_006293143.1	jg15450
OG0003584	XP_006303651.1, XP_023638309.1	jg15259
OG0003585	XP_023645118.1	jg22102
OG0003586	XP_006302847.1	jg12308
