Orthogroup	Arabidopsis_lyrata_NCBI	Cardamine_amara
OG0001103	XP_002874426.1	evm.model.RL_4.980
OG0001103	XP_020889558.1	evm.model.RL_1.364
OG0001104	XP_002874417.1	evm.model.RL_4.989
OG0001104	XP_002882383.1	evm.model.RL_1.410.1.687c87ea
OG0001105	XP_020890395.1	evm.model.RL_3.2411
OG0001105	XP_020868673.1	evm.model.RL_5.1434.1.687c88b4
OG0001106	XP_002892926.1	evm.model.RL_5.1531
OG0001106	XP_002887758.1	evm.model.RL_3.2289
OG0001107	XP_002892972.1	evm.model.RL_5.1620
OG0001107	XP_002888915.1	evm.model.RL_3.1729
OG0001108	XP_020891734.1	evm.model.RL_3.1884
OG0001108	XP_002890303.2	evm.model.RL_5.1724
OG0001109	XP_020891315.1	evm.model.RL_3.2155
OG0001110	XP_002863104.1	evm.model.RL_3.1387
OG0001110	XP_020869675.1	evm.model.RL_5.3355
OG0001111	XP_020890875.1	evm.model.RL_3.1119
OG0001111	XP_002890725.2	evm.model.RL_5.3150.1.687c88c0
OG0001112	XP_002863965.1	evm.model.RL_4.930, evm.model.RL_4.899
OG0001115	XP_002888874.1	evm.model.RL_3.1636
OG0001115	XP_002890221.2	evm.model.RL_5.1574
OG0001116	XP_002894323.1	evm.model.RL_5.1917
OG0001116	XP_020888988.1	evm.model.RL_1.2034
OG0001117	XP_020875154.1	evm.model.RL_2.1109
OG0001120	XP_002869051.1	evm.model.RL_2.3116
OG0001120	XP_020889546.1	evm.model.RL_1.2960
OG0001121	XP_002864357.1	evm.model.RL_8.1088, evm.model.RL_8.1100
OG0001121	XP_002864356.1, XP_002894644.1	evm.model.RL_8.1380
OG0001124	XP_002884203.1	evm.model.RL_1.3221
OG0001124	XP_002867523.1	evm.model.RL_8.719, evm.model.RL_2.2224.1.687c86e5
OG0001125	XP_002891144.1	evm.model.RL_5.2800
OG0001125	XP_002879561.1	evm.model.RL_6.1648, evm.model.RL_6.1647
OG0001127	XP_020869197.1	evm.model.RL_5.1306.2.687c88b3
OG0001127	XP_020881175.1	evm.model.RL_7.2608
OG0001128	XP_002875253.2	evm.model.RL_7.2474
OG0001128	XP_002892761.1	evm.model.RL_5.1202
OG0001129	XP_002877144.1, XP_002877143.1	evm.model.RL_7.2143
OG0001130	XP_002877215.1	evm.model.RL_7.2038
OG0001130	XP_002870820.2	evm.model.RL_2.342
OG0001131	XP_002869647.2, XP_020873532.1	evm.model.RL_2.2102
OG0001131	XP_020888959.1	evm.model.RL_8.1801
OG0001132	XP_020876824.1	evm.model.RL_4.3238
OG0001132	XP_020888858.1	evm.model.RL_1.879
OG0001133	XP_020873834.1	evm.model.RL_2.2202
OG0001133	XP_002866079.1	evm.model.RL_8.1609
OG0001134	XP_002873612.1, XP_020879150.1	evm.model.RL_4.2280, evm.model.RL_4.2281
OG0001135	XP_020886652.1	evm.model.RL_8.2570.2.687c8562
OG0001135	XP_002871394.1	evm.model.RL_4.2586.1.687c86da
OG0001136	XP_002870080.1	evm.model.RL_2.1338
OG0001136	XP_020871512.1	evm.model.RL_4.132
OG0001137	XP_020882070.1	evm.model.RL_4.299
OG0001137	XP_020874975.1	evm.model.RL_2.1485
OG0001138	XP_002867782.1	evm.model.RL_2.1727
OG0001138	XP_002884299.1	evm.model.RL_3.941
OG0001138	XP_020877737.1	evm.model.RL_8.504
OG0001139	XP_020867732.1	evm.model.RL_5.3101
OG0001139	XP_002893460.1	evm.model.RL_5.3160
OG0001140	XP_002867039.2	evm.model.RL_2.3134
OG0001140	XP_020887910.1	evm.model.RL_1.2971
OG0001141	XP_002870876.1	evm.model.RL_2.424
OG0001142	XP_002885514.1	evm.model.RL_1.2167
OG0001142	XP_020874326.1	evm.model.RL_2.1010
OG0001143	XP_020882791.1	evm.model.RL_6.2645
OG0001143	XP_002876568.1	evm.model.RL_7.307
OG0001144	XP_002876537.2	evm.model.RL_7.352
OG0001144	XP_002880113.1	evm.model.RL_6.2569
OG0001145	XP_020886546.1, XP_020888848.1, XP_020886545.1	evm.model.RL_1.467
OG0001146	XP_002881787.1	evm.model.RL_6.2291
OG0001146	XP_020887597.1	evm.model.RL_1.939
OG0001147	XP_002871893.1	evm.model.RL_4.1695
OG0001148	XP_020890283.1	evm.model.RL_8.2539
OG0001148	XP_020877965.1	evm.model.RL_4.2615
OG0001149	XP_002877790.1	evm.model.RL_7.1270
OG0001149	XP_002866761.1	evm.model.RL_8.2824
OG0001150	XP_020878435.1	evm.model.RL_4.2029
OG0001150	XP_020887335.1	evm.model.RL_1.172
OG0001151	XP_020889431.1	evm.model.RL_1.618
OG0001151	XP_020866366.1	evm.model.RL_4.910
OG0001152	XP_002878078.1	evm.model.RL_7.749, evm.model.RL_2.774
OG0001152	XP_002879876.1	evm.model.RL_6.2180
OG0001153	XP_020880763.1	evm.model.RL_7.1106
OG0001153	XP_002879601.1	evm.model.RL_6.1726
OG0001154	XP_002889016.1	evm.model.RL_2.2538, evm.model.RL_3.1935
OG0001154	XP_020867723.1	evm.model.RL_5.1776
OG0001155	XP_002889052.1	evm.model.RL_3.2009
OG0001155	XP_020869056.1	evm.model.RL_5.1852
OG0001156	XP_020869255.1	evm.model.RL_5.3413
OG0001156	XP_020891124.1	evm.model.RL_3.1436
OG0001157	XP_002889866.1	evm.model.RL_5.1006
OG0001157	XP_020866048.1	evm.model.RL_5.997
OG0001158	XP_020890198.1	evm.model.RL_3.1469
OG0001158	XP_020867431.1	evm.model.RL_5.3448
OG0001159	XP_020890682.1	evm.model.RL_3.2075
OG0001159	XP_002881678.1, XP_002889092.1	evm.model.RL_3.2074
OG0001160	XP_020866782.1	evm.model.RL_5.3932
OG0001160	XP_020888094.1	evm.model.RL_1.1253
OG0001161	XP_020887651.1	evm.model.RL_1.2039
OG0001161	XP_002894326.1	evm.model.RL_5.1911
OG0001162	XP_002891483.1, XP_002891482.1, XP_002891481.1	evm.model.RL_5.2099, evm.model.RL_5.2098
OG0001164	XP_020870349.1	evm.model.RL_8.2333
OG0001165	XP_002873510.1	evm.model.RL_4.2449
OG0001165	XP_020877052.1, XP_020876790.1	evm.model.RL_4.2450
OG0001166	XP_020884293.1, XP_020882911.1	evm.model.RL_3.386
OG0001169	XP_002864307.1, XP_020871511.1	evm.model.RL_8.1508
OG0001170	XP_002882407.1	evm.model.RL_1.453
OG0001170	XP_020876892.1	evm.model.RL_4.1045.1.687c86d1
OG0001171	XP_002888117.1	evm.model.RL_3.403
OG0001171	XP_002889843.1	evm.model.RL_5.961
OG0001172	XP_002875208.1	evm.model.RL_7.2515
OG0001172	XP_020866589.1	evm.model.RL_5.1229
OG0001173	XP_002869627.2	evm.model.RL_2.2130
OG0001173	XP_020890826.1	evm.model.RL_3.56
OG0001174	XP_020886842.1, XP_020887374.1	evm.model.RL_1.986
OG0001174	XP_020876162.1	evm.model.RL_4.3033
OG0001175	XP_002864439.1	evm.model.RL_8.1695
OG0001176	XP_020890110.1	evm.model.RL_8.2629.2.687c8562
OG0001176	XP_002873459.1	evm.model.RL_4.2535
OG0001177	XP_020877019.1, XP_020877014.1	evm.model.RL_4.2754, evm.model.RL_4.2758
OG0001177	XP_020877020.1	evm.model.RL_4.2755
OG0001178	XP_002873324.1	evm.model.RL_4.2771
OG0001178	XP_020889153.1	evm.model.RL_8.2201, evm.model.RL_8.2202
OG0001179	XP_020874423.1	evm.model.RL_2.1426
OG0001179	XP_020887722.1	evm.model.RL_1.2341
OG0001179	XP_020876376.1	evm.model.RL_2.834
OG0001180	XP_020874997.1	evm.model.RL_2.1518
OG0001180	XP_020877464.1	evm.model.RL_4.326, evm.model.RL_4.329
OG0001181	XP_020873301.1	evm.model.RL_2.1682
OG0001181	XP_020876375.1	evm.model.RL_8.446
OG0001182	XP_020867305.1	evm.model.RL_5.3024
OG0001183	XP_002867056.1	evm.model.RL_2.3102
OG0001183	XP_002886126.2	evm.model.RL_1.2951
OG0001184	XP_002880253.1	evm.model.RL_6.2804
OG0001185	XP_020882405.1	evm.model.RL_7.209
OG0001185	XP_020885626.1	evm.model.RL_6.2774
OG0001186	XP_002878265.1	evm.model.RL_7.655, evm.model.RL_7.423
OG0001186	XP_020881021.1	evm.model.RL_7.426, evm.model.RL_7.424, evm.model.RL_7.656
OG0001187	XP_020873161.1, XP_020885568.1	evm.model.RL_6.1324
OG0001187	XP_002892277.1	evm.model.RL_5.386
OG0001188	XP_020876281.1	evm.model.RL_4.2897
OG0001188	XP_002881085.1	evm.model.RL_6.1106, evm.model.RL_6.1103, evm.model.RL_6.1081
OG0001189	XP_002884269.2	evm.model.RL_1.51.5.687c87e9
OG0001189	XP_020878051.1	evm.model.RL_4.2182
OG0001190	XP_002884421.1	evm.model.RL_1.314
OG0001190	XP_020876693.1	evm.model.RL_4.1830
OG0001191	XP_002874372.1	evm.model.RL_4.1037
OG0001191	XP_020889042.1	evm.model.RL_1.445
OG0001192	XP_020872639.1	evm.model.RL_2.1157
OG0001192	XP_020888041.1	evm.model.RL_3.719, evm.model.RL_1.613
OG0001193	XP_020880280.1	evm.model.RL_7.799
OG0001193	XP_002881679.1	evm.model.RL_6.2091
OG0001194	XP_002876343.1	evm.model.RL_7.769
OG0001194	XP_020887499.1	evm.model.RL_1.761
OG0001196	XP_020889990.1	evm.model.RL_3.1919
OG0001196	XP_020868414.1	evm.model.RL_5.1768.4.687c88b6
OG0001197	XP_002876258.1	evm.model.RL_7.925
OG0001198	XP_002874341.1	evm.model.RL_4.1070
OG0001200	XP_020879093.1	evm.model.RL_4.1661
OG0001201	XP_020881674.1	evm.model.RL_4.1362
OG0001202	XP_020882330.1	evm.model.RL_7.1368
OG0001202	XP_020881964.1, XP_020878000.1	evm.model.RL_7.1434
OG0001202	XP_020881967.1	evm.model.RL_7.1435
OG0001203	XP_020881502.1, XP_002875656.1	evm.model.RL_7.1922
OG0001205	XP_020867199.1	evm.model.RL_5.3779
OG0001205	XP_002882920.1	evm.model.RL_1.1439
OG0001206	XP_002885140.1, XP_020889140.1	evm.model.RL_1.1573, evm.model.RL_1.1574
OG0001207	XP_002868160.1	evm.model.RL_2.1156
OG0001207	XP_020889225.1	evm.model.RL_1.1613
OG0001208	XP_020869205.1, XP_020869854.1	evm.model.RL_5.2092
OG0001208	XP_002883153.1	evm.model.RL_1.1794
OG0001209	XP_002891522.1	evm.model.RL_5.2069.3.687c88b9
OG0001210	XP_020887417.1	evm.model.RL_1.1917
OG0001210	XP_002891569.1	evm.model.RL_5.2009
OG0001213	XP_020874240.1	evm.model.RL_6.798
OG0001218	XP_020886533.1	evm.model.RL_1.414
OG0001218	XP_002884491.1	evm.model.RL_1.432
OG0001222	XP_002867311.1	evm.model.RL_2.2623
OG0001222	XP_002880577.1	evm.model.RL_6.327
OG0001223	XP_002883920.1	evm.model.RL_1.2775
OG0001223	XP_002869181.2	evm.model.RL_2.2911
OG0001224	XP_020867893.1, XP_002892492.1	evm.model.RL_5.782.1.687c88af
OG0001224	XP_002891952.1	evm.model.RL_3.697
OG0001225	XP_020879816.1, XP_002875345.2	evm.model.RL_7.2344
OG0001226	XP_020880926.1, XP_002875424.1	evm.model.RL_7.2215
OG0001226	XP_002875426.2	evm.model.RL_7.2214
OG0001227	XP_020885883.1	evm.model.RL_1.866
OG0001227	XP_020879561.1	evm.model.RL_4.3256.3.687c86dd
OG0001229	XP_002864486.1	evm.model.RL_8.1767, evm.model.RL_8.1766
OG0001230	XP_002864755.1	evm.model.RL_8.2251
OG0001230	XP_002873305.1	evm.model.RL_4.2814
OG0001231	XP_002866459.1	evm.model.RL_8.2262
OG0001231	XP_002871264.2	evm.model.RL_4.2818
OG0001232	XP_020874304.1	evm.model.RL_2.1447
OG0001233	XP_002869798.1	evm.model.RL_2.1798
OG0001233	XP_002874733.1	evm.model.RL_8.584
OG0001234	XP_020890246.1	evm.model.RL_3.1960
OG0001234	XP_002863704.1	evm.model.RL_4.587
OG0001235	XP_020888615.1	evm.model.RL_1.2924
OG0001235	XP_020875128.1	evm.model.RL_2.3067
OG0001236	XP_020873905.1	evm.model.RL_2.1048, evm.model.RL_2.1124
OG0001236	XP_020884384.1	evm.model.RL_6.1321
OG0001237	XP_020885384.1	evm.model.RL_6.2736
OG0001237	XP_020881555.1	evm.model.RL_7.233
OG0001238	XP_020883117.1	evm.model.RL_6.2726
OG0001238	XP_020881577.1	evm.model.RL_7.248
OG0001239	XP_002876531.1	evm.model.RL_7.366
OG0001239	XP_020882985.1	evm.model.RL_6.2540
OG0001241	XP_002881921.1	evm.model.RL_6.2485
OG0001241	XP_002881920.1	evm.model.RL_6.2484
OG0001242	XP_020878746.1	evm.model.RL_4.3208
OG0001242	XP_002882637.1	evm.model.RL_1.891
OG0001243	XP_020878088.1	evm.model.RL_4.1692
OG0001243	XP_020889717.1	evm.model.RL_3.1106
OG0001244	XP_020869163.1	evm.model.RL_8.1492, evm.model.RL_8.1490_evm.model.RL_8.1491.1.687c97c0
OG0001244	XP_020877340.1, XP_020867001.1	evm.model.RL_4.1606, evm.model.RL_4.1607
OG0001245	XP_002877780.1	evm.model.RL_7.1290
OG0001245	XP_002866757.1	evm.model.RL_8.2812.1.687c8563
OG0001246	XP_002889394.1	evm.model.RL_5.82, evm.model.RL_5.106, evm.model.RL_5.35
OG0001246	XP_002874969.1	evm.model.RL_8.209
OG0001247	XP_020878329.1	evm.model.RL_8.314
OG0001247	XP_020888763.1	evm.model.RL_1.706
OG0001248	XP_002879203.1, XP_020885470.1, XP_020885467.1	evm.model.RL_5.602
OG0001248	XP_002863049.2	evm.model.RL_6.1025, evm.model.RL_6.1023, evm.model.RL_6.1022
OG0001249	XP_020882848.1	evm.model.RL_6.1950
OG0001250	XP_020876572.1	evm.model.RL_4.2088
OG0001250	XP_020887847.1	evm.model.RL_1.119
OG0001251	XP_002884314.1	evm.model.RL_1.142
OG0001251	XP_002873742.1	evm.model.RL_4.2059
OG0001252	XP_020886877.1	evm.model.RL_1.176
OG0001252	XP_020886876.1	evm.model.RL_1.175
OG0001253	XP_020885877.1	evm.model.RL_1.487
OG0001253	XP_020876889.1	evm.model.RL_4.1069
OG0001254	XP_002894316.1	evm.model.RL_5.1926
OG0001254	XP_002879579.1	evm.model.RL_6.1673
OG0001255	XP_020891132.1	evm.model.RL_3.2240
OG0001255	XP_020868944.1	evm.model.RL_5.1560
OG0001256	XP_020891089.1	evm.model.RL_3.1666
OG0001256	XP_020868107.1	evm.model.RL_5.1590
OG0001257	XP_020890577.1	evm.model.RL_3.1724
OG0001257	XP_002890250.1	evm.model.RL_5.1613
OG0001258	XP_020889791.1	evm.model.RL_3.1879
OG0001259	XP_002893054.1	evm.model.RL_5.1789
OG0001259	XP_020889651.1	evm.model.RL_3.1941
OG0001260	XP_020876297.1, XP_020871194.1	evm.model.RL_7.1935.1.687c84bb
OG0001261	XP_020867066.1	evm.model.RL_5.1275
OG0001261	XP_020881047.1	evm.model.RL_7.2564
OG0001262	XP_020867063.1	evm.model.RL_5.1265
OG0001263	XP_002889923.1	evm.model.RL_5.1088
OG0001263	XP_002888009.1	evm.model.RL_3.227
OG0001264	XP_002884964.1	evm.model.RL_1.1247
OG0001264	XP_002891844.1	evm.model.RL_5.3939
OG0001265	XP_020868774.1	evm.model.RL_5.1915
OG0001265	XP_020887855.1	evm.model.RL_1.2036
OG0001267	XP_002863582.2	evm.model.RL_4.424
OG0001268	XP_002893387.1	evm.model.RL_5.3304
OG0001269	XP_020868255.1	evm.model.RL_5.2990
OG0001274	XP_020885752.1	evm.model.RL_6.320
OG0001274	XP_002867317.1	evm.model.RL_2.2611
OG0001275	XP_020866686.1	evm.model.RL_5.3676
OG0001275	XP_020872134.1	evm.model.RL_2.3032
OG0001276	XP_020870433.1	evm.model.RL_5.975
OG0001277	XP_002886531.1, XP_002886533.1, XP_020871093.1	evm.model.RL_2.982, evm.model.RL_3.337
OG0001278	XP_002885789.1	evm.model.RL_1.2502
OG0001279	XP_002871647.1	evm.model.RL_4.2124
OG0001279	XP_020887568.1	evm.model.RL_1.92
OG0001280	XP_002877154.1	evm.model.RL_7.2122
OG0001280	XP_002870774.1	evm.model.RL_2.274
OG0001281	XP_002886356.1	evm.model.RL_3.62
OG0001282	XP_020873597.1	evm.model.RL_2.2133
OG0001282	XP_002866169.1	evm.model.RL_8.1760
OG0001283	XP_002876390.1, XP_002879915.1	evm.model.RL_7.669, evm.model.RL_6.2246
OG0001284	XP_002865770.1	evm.model.RL_8.1082
OG0001284	XP_020889085.1	evm.model.RL_8.2362
OG0001285	XP_020877975.1	evm.model.RL_8.1534
OG0001286	XP_002864371.1	evm.model.RL_8.1594
OG0001287	XP_020873403.1	evm.model.RL_2.2195
OG0001287	XP_020890653.1	evm.model.RL_8.1616
OG0001288	XP_020878517.1	evm.model.RL_4.2448
OG0001288	XP_002872166.1	evm.model.RL_4.1192
OG0001289	XP_002868059.1	evm.model.RL_2.1299, evm.model.RL_2.1345
OG0001289	XP_020871835.1	evm.model.RL_6.2673, evm.model.RL_4.71
OG0001290	XP_002874678.1	evm.model.RL_8.661
OG0001290	XP_002869770.1	evm.model.RL_2.1877
OG0001291	XP_002891016.1	evm.model.RL_5.2667
OG0001292	XP_002879246.1	evm.model.RL_6.1094
OG0001292	XP_020888052.1	evm.model.RL_1.86
OG0001293	XP_002876493.1	evm.model.RL_7.434
OG0001294	XP_020883255.1	evm.model.RL_6.136
OG0001294	XP_020874696.1	evm.model.RL_2.3344
OG0001295	XP_002868806.1	evm.model.RL_2.345
OG0001296	XP_002880456.1	evm.model.RL_6.178
OG0001296	XP_002879534.1	evm.model.RL_6.1601
OG0001297	XP_002872707.1	evm.model.RL_8.459
OG0001297	XP_020876639.1	evm.model.RL_8.458
OG0001298	XP_020872273.1	evm.model.RL_2.1012
OG0001298	XP_002885513.1	evm.model.RL_1.2165
OG0001299	XP_002882088.1	evm.model.RL_6.2818
OG0001299	XP_020885117.1	evm.model.RL_6.2817
OG0001299	XP_002882086.1	evm.model.RL_7.2130, evm.model.RL_7.2125
OG0001300	XP_020880153.1	evm.model.RL_7.540
OG0001300	XP_020884468.1	evm.model.RL_6.2360
OG0001301	XP_020879837.1	evm.model.RL_7.566
OG0001301	XP_020884223.1	evm.model.RL_6.2344
OG0001302	XP_020879771.1	evm.model.RL_8.2695
OG0001302	XP_020881267.1	evm.model.RL_7.1396
OG0001302	XP_002877709.1	evm.model.RL_7.1397
OG0001303	XP_002872971.1	evm.model.RL_8.21
OG0001303	XP_002880171.1	evm.model.RL_6.2662
OG0001303	XP_002892033.1	evm.model.RL_8.2905
OG0001304	XP_020867785.1	evm.model.RL_5.641
OG0001304	XP_002880987.2	evm.model.RL_6.956
OG0001305	XP_020887906.1	evm.model.RL_1.464
OG0001305	XP_020876904.1	evm.model.RL_4.1051
OG0001306	XP_002884517.1	evm.model.RL_1.484
OG0001307	XP_020888032.1	evm.model.RL_1.689
OG0001307	XP_020887079.1	evm.model.RL_1.690
OG0001309	XP_020884800.1	evm.model.RL_6.1897
OG0001309	XP_002876236.1	evm.model.RL_7.980
OG0001310	XP_002890191.1	evm.model.RL_5.1528
OG0001310	XP_020890451.1	evm.model.RL_3.2290
OG0001311	XP_002874414.2, XP_002865704.2	evm.model.RL_4.993
OG0001311	XP_020876953.1	evm.model.RL_4.996, evm.model.RL_4.997
OG0001312	XP_002882517.1	evm.model.RL_1.663
OG0001312	XP_020865594.1	evm.model.RL_4.837
OG0001313	XP_002888651.1	evm.model.RL_3.1208
OG0001314	XP_002882817.1	evm.model.RL_1.1243
OG0001314	XP_002894518.1	evm.model.RL_5.3949.1.687c88c6
OG0001315	XP_002882959.1	evm.model.RL_1.1499
OG0001315	XP_002894388.1	evm.model.RL_5.3719
OG0001316	XP_020868380.1	evm.model.RL_5.2189
OG0001316	XP_020889180.1	evm.model.RL_1.1663
OG0001317	XP_002883212.1	evm.model.RL_1.1913
OG0001318	XP_002868166.1	evm.model.RL_2.1143
OG0001318	XP_002868169.2	evm.model.RL_2.1142, evm.model.RL_2.1144
OG0001319	XP_002877898.2	evm.model.RL_7.1086
OG0001320	XP_020885804.1, XP_020872536.1	evm.model.RL_3.1499, evm.model.RL_2.2862
OG0001321	XP_020871795.1, XP_020869314.1	evm.model.RL_3.455, evm.model.RL_3.453
OG0001323	XP_020873477.1	evm.model.RL_2.2152
OG0001328	XP_002869325.1	evm.model.RL_2.2657
OG0001328	XP_002878766.1	evm.model.RL_6.350
OG0001330	XP_020887871.1	evm.model.RL_1.2910
OG0001330	XP_020873091.1	evm.model.RL_2.3056
OG0001331	XP_002894649.1	evm.model.RL_3.667, evm.model.RL_3.668
OG0001332	XP_002888230.1, XP_002888227.1	evm.model.RL_3.590.1.687c84ba
OG0001332	XP_020868186.1	evm.model.RL_5.839
OG0001333	XP_002889842.1	evm.model.RL_5.960
OG0001334	XP_020869341.1	evm.model.RL_5.1344
OG0001334	XP_002875082.1	evm.model.RL_7.2702
OG0001335	XP_002873155.1	evm.model.RL_4.3077
OG0001335	XP_020888983.1	evm.model.RL_1.963
OG0001336	XP_020888264.1	evm.model.RL_1.1081
OG0001336	XP_020878535.1	evm.model.RL_4.2903
OG0001337	XP_002866018.1	evm.model.RL_8.1501
OG0001337	XP_002867495.1	evm.model.RL_2.2271
OG0001338	XP_002866017.1	evm.model.RL_8.1500
OG0001339	XP_020879798.1	evm.model.RL_8.1650.1.687c855c
OG0001339	XP_020873306.1	evm.model.RL_2.2180.6.687c86e5
OG0001340	XP_002871462.1	evm.model.RL_4.2467, evm.model.RL_4.2468
OG0001341	XP_002873480.1	evm.model.RL_4.2501
OG0001342	XP_002871402.1	evm.model.RL_4.2574
OG0001342	XP_002866657.1	evm.model.RL_8.2604
OG0001343	XP_020877926.1	evm.model.RL_4.2719.1.687c86db
OG0001343	XP_020878973.1	evm.model.RL_4.1400
OG0001344	XP_020872415.1	evm.model.RL_2.1320
OG0001344	XP_002863376.1	evm.model.RL_4.99
OG0001345	XP_020875078.1	evm.model.RL_2.1439
OG0001345	XP_002865227.1	evm.model.RL_4.254
OG0001346	XP_002869924.1	evm.model.RL_2.1595
OG0001347	XP_020873832.1	evm.model.RL_2.1884
OG0001347	XP_020886972.1	evm.model.RL_1.81
OG0001348	XP_020889004.1	evm.model.RL_1.2954
OG0001348	XP_020875296.1	evm.model.RL_2.3106
OG0001349	XP_020888708.1	evm.model.RL_1.2989
OG0001349	XP_020874362.1	evm.model.RL_2.3148
OG0001350	XP_002878626.1	evm.model.RL_6.165
OG0001351	XP_002870402.1, XP_002870403.1	evm.model.RL_3.691, evm.model.RL_3.694, evm.model.RL_3.696, evm.model.RL_3.695
OG0001352	XP_002891209.1	evm.model.RL_5.2439
OG0001352	XP_002874542.1	evm.model.RL_8.888
OG0001353	XP_020874527.1	evm.model.RL_2.1469
OG0001353	XP_020886167.1	evm.model.RL_4.285
OG0001354	XP_002876682.2	evm.model.RL_7.103
OG0001354	XP_020883983.1	evm.model.RL_6.2900
OG0001355	XP_020883118.1	evm.model.RL_6.2728
OG0001356	XP_002876473.1	evm.model.RL_7.494
OG0001357	XP_020879839.1	evm.model.RL_7.562
OG0001357	XP_020884230.1	evm.model.RL_6.2340
OG0001358	XP_002881805.1	evm.model.RL_6.2313
OG0001358	XP_002878160.1	evm.model.RL_7.612
OG0001359	XP_002875766.1	evm.model.RL_7.1757
OG0001359	XP_020871232.1	evm.model.RL_8.2056
OG0001360	XP_020869139.1	evm.model.RL_5.394
OG0001360	XP_020883689.1	evm.model.RL_6.1315
OG0001361	XP_020885723.1	evm.model.RL_6.1355
OG0001361	XP_020868344.1	evm.model.RL_5.331
OG0001362	XP_020888534.1	evm.model.RL_1.1998
OG0001362	XP_020884280.1	evm.model.RL_6.769
OG0001363	XP_020873615.1	evm.model.RL_2.2219
OG0001363	XP_020884555.1, XP_020891048.1	evm.model.RL_3.273
OG0001364	XP_020879196.1	evm.model.RL_4.2125
OG0001364	XP_020887565.1	evm.model.RL_1.91
OG0001365	XP_002884288.1	evm.model.RL_1.101
OG0001365	XP_002873709.1	evm.model.RL_4.2116
OG0001366	XP_020876596.1	evm.model.RL_4.2043
OG0001367	XP_002865745.1	evm.model.RL_4.949
OG0001367	XP_020889436.1	evm.model.RL_1.585
OG0001368	XP_020876219.1	evm.model.RL_4.2199
OG0001370	XP_002890421.1	evm.model.RL_5.3644.1.687c88c4
OG0001370	XP_020865599.1	evm.model.RL_3.2068
OG0001371	XP_020867491.1	evm.model.RL_5.3358_evm.model.RL_5.3359
OG0001372	XP_002882274.1	evm.model.RL_1.233
OG0001372	XP_002871746.1	evm.model.RL_4.1941
OG0001373	XP_002891452.1	evm.model.RL_5.2136
OG0001373	XP_020888674.1	evm.model.RL_1.1743
OG0001374	XP_002889017.2	evm.model.RL_3.1938
OG0001374	XP_020870089.1	evm.model.RL_5.1785
OG0001375	XP_020868653.1	evm.model.RL_5.1469
OG0001375	XP_020891648.1	evm.model.RL_3.2360
OG0001376	XP_002885001.1	evm.model.RL_1.1318
OG0001376	XP_020870918.1	evm.model.RL_5.3881
OG0001377	XP_002883017.1	evm.model.RL_1.1593
OG0001377	XP_002883018.1	evm.model.RL_1.1594, evm.model.RL_8.723, evm.model.RL_1.1595
OG0001378	XP_020868743.1	evm.model.RL_5.2168
OG0001378	XP_020889242.1	evm.model.RL_1.1695
OG0001379	XP_020888584.1	evm.model.RL_1.1920
OG0001379	XP_020867110.1	evm.model.RL_5.2006.2.687c88b8
OG0001380	XP_002894255.1	evm.model.RL_5.1998
OG0001380	XP_020886279.1	evm.model.RL_1.1925
OG0001381	XP_020866287.1, XP_020879910.1, XP_020881818.1, XP_002875664.1, XP_002886040.1, XP_020866749.1, XP_020866149.1, XP_020870623.1, XP_002891597.1	evm.model.RL_6.54
OG0001382	XP_020884240.1	evm.model.RL_6.164
OG0001382	XP_020872683.1	evm.model.RL_2.3307
OG0001384	XP_002880490.2	evm.model.RL_6.222, evm.model.RL_6.221
OG0001384	XP_002880491.1	evm.model.RL_6.223
OG0001392	XP_002867095.1	evm.model.RL_2.3024
OG0001392	XP_020887999.1	evm.model.RL_1.2847
OG0001393	XP_002886100.1	evm.model.RL_1.2892
OG0001393	XP_020874363.1	evm.model.RL_2.3051
OG0001394	XP_002890962.2	evm.model.RL_5.2776, evm.model.RL_5.2759
OG0001395	XP_020873710.1	evm.model.RL_2.2174
OG0001396	XP_020880561.1	evm.model.RL_7.453
OG0001396	XP_002863069.1, XP_002863938.1, XP_020877286.1, XP_020874976.1, XP_020871403.1	evm.model.RL_4.597
OG0001397	XP_020867876.1	evm.model.RL_5.889
OG0001397	XP_002888198.1	evm.model.RL_3.537
OG0001398	XP_020880919.1	evm.model.RL_7.2691
OG0001398	XP_020868587.1	evm.model.RL_5.1350
OG0001399	XP_020880426.1	evm.model.RL_7.2570
OG0001399	XP_002892802.1	evm.model.RL_5.1281
OG0001400	XP_020882051.1	evm.model.RL_7.2446, evm.model.RL_7.2449
OG0001400	XP_002889996.1	evm.model.RL_5.1179
OG0001401	XP_002870751.1	evm.model.RL_2.245
OG0001401	XP_002873713.1	evm.model.RL_4.2112
OG0001402	XP_002870769.1	evm.model.RL_2.262
OG0001402	XP_020882363.1	evm.model.RL_7.2136
OG0001403	XP_020865992.1	evm.model.RL_3.207
OG0001404	XP_020868224.1	evm.model.RL_5.1080
OG0001405	XP_002873173.1	evm.model.RL_4.3052
OG0001406	XP_020873027.1	evm.model.RL_2.3306.5.687c86e8
OG0001406	XP_020878899.1	evm.model.RL_4.1097
OG0001407	XP_020890355.1	evm.model.RL_8.1379
OG0001407	XP_020872083.1	evm.model.RL_2.2310
OG0001408	XP_002865386.1	evm.model.RL_4.2538
OG0001409	XP_002864862.1	evm.model.RL_8.2437
OG0001410	XP_020869647.1	evm.model.RL_4.136
