Orthogroup	Arabidopsis_lyrata_NCBI	Erysimum_linariifolium
OG0001426	XP_002888691.1	El004G219870
OG0001427	XP_002874998.1	El001G001200
OG0001427	XP_002892067.1	El002G083440
OG0001428	XP_020868246.1	El002G084600
OG0001428	XP_020878261.1	El001G002990
OG0001429	XP_020877969.1	El001G003040
OG0001429	XP_002876686.1	El001G034920
OG0001430	XP_020870451.1	El002G086240
OG0001430	XP_020886615.1	El007G359200
OG0001431	XP_002889525.1	El002G086890
OG0001431	XP_002879409.1	El006G299370
OG0001432	XP_020867690.1	El002G088210
OG0001432	XP_002877944.1, XP_020885708.1	El006G300770
OG0001433	XP_002892347.1	El002G088920
OG0001433	XP_002879287.1	El006G301690
OG0001434	XP_020885348.1, XP_020873860.1	El006G303850
OG0001434	XP_002873234.1	El001G076170
OG0001435	XP_002892418.1	El002G090410
OG0001435	XP_020885140.1	El006G304820, El006G304780
OG0001436	XP_020877783.1	El001G063160
OG0001436	XP_002884399.1	El005G238020
OG0001437	XP_002871787.1	El001G062820
OG0001437	XP_020887007.1	El005G238250
OG0001438	XP_020876962.1	El001G048360
OG0001438	XP_020889000.1	El005G239640, El005G239620
OG0001439	XP_002888953.1	El004G226360
OG0001439	XP_020867086.1	El002G102630
OG0001440	XP_002890456.2	El002G106200
OG0001440	XP_002887683.1	El004G230510
OG0001441	XP_002887418.1	El004G224070
OG0001441	XP_002893236.1	El002G107620
OG0001442	XP_002887330.1	El004G222470
OG0001442	XP_020866029.1	El002G108440
OG0001443	XP_020868643.1	El002G110210
OG0001443	XP_002888732.1	El004G221030
OG0001444	XP_020873750.1, XP_020873740.1	El003G159050
OG0001444	XP_020873735.1	El003G159040
OG0001446	XP_002871299.1	El001G073820
OG0001446	XP_002866419.1	El007G329760
OG0001447	XP_002887416.1	El004G224050
OG0001448	XP_002894488.1	El002G140030
OG0001448	XP_020888057.1	El005G249880
OG0001449	XP_002885032.1	El005G250610
OG0001449	XP_002891775.1	El002G139440
OG0001450	XP_002891774.1	El002G139430
OG0001450	XP_020886846.1	El005G250620
OG0001451	XP_002894422.1	El002G138050
OG0001451	XP_002882932.1	El005G251870, El005G251860
OG0001452	XP_020868052.1	El002G137840
OG0001452	XP_020888633.1	El005G252100
OG0001453	XP_020870956.1	El002G137580
OG0001453	XP_002882956.1	El005G252300
OG0001454	XP_020889475.1	El005G252570
OG0001454	XP_002894383.1	El002G137360
OG0001455	XP_020889213.1	El005G253450
OG0001455	XP_020875330.1	El003G172100, El003G172090
OG0001456	XP_020869528.1, XP_020869526.1, XP_020888588.1	El005G257610
OG0001456	XP_002891573.1	El002G134610
OG0001457	XP_020887968.1	El005G258050
OG0001457	XP_020869093.1	El002G134850
OG0001458	XP_020879371.1	El002G116710, El002G116760, El002G116750
OG0001458	XP_020878737.1	El001G065050
OG0001459	XP_020869476.1	El002G105630, El002G105670
OG0001461	XP_020884721.1, XP_020873260.1	El006G299040
OG0001462	XP_020879410.1	El002G096730, El004G220110, El007G355380
OG0001462	XP_020866008.1, XP_020881125.1	El003G189540
OG0001463	XP_020871707.1	El006G307360, El007G341060
OG0001463	XP_002879281.2	El006G284330, El007G324140, El005G258400
OG0001464	XP_020872511.1	El003G153330
OG0001464	XP_020889557.1	El005G277790
OG0001465	XP_020886557.1	El005G277560
OG0001465	XP_020874024.1	El003G153130
OG0001466	XP_002867294.1	El003G151410
OG0001466	XP_020885201.1	El006G316760
OG0001467	XP_002872546.1	El001G007930
OG0001468	XP_020875283.1	El003G148400
OG0001469	XP_020877215.1	El002G124470, El002G124520, El002G124420
OG0001470	XP_002879568.1	El006G295320
OG0001470	XP_020872170.1	El003G170540
OG0001471	XP_020890097.1	El004G200240
OG0001471	XP_002892611.1	El002G094000
OG0001472	XP_020866504.1	El002G098910
OG0001472	XP_002876770.1	El001G036620
OG0001473	XP_020880428.1	El001G037900
OG0001473	XP_020870392.1	El002G098300
OG0001474	XP_002869634.1, XP_002869633.1	El003G158460, El003G158450
OG0001475	XP_002889907.1	El002G095410
OG0001475	XP_020891481.1	El004G198150
OG0001476	XP_020887261.1	El005G244640
OG0001477	XP_020879500.1	El001G074600
OG0001478	XP_002884748.1	El005G244890
OG0001478	XP_002873071.1	El001G079920
OG0001479	XP_002882705.1	El006G295900, El005G246370
OG0001480	XP_002867630.1	El003G159680
OG0001480	XP_020873747.1, XP_002865824.1	El007G343390
OG0001481	XP_020878352.1	El001G068500
OG0001481	XP_020886062.1	El002G128340
OG0001481	XP_020886059.1, XP_020886060.1	El003G186060
OG0001482	XP_020878249.1	El001G070660
OG0001482	XP_002872145.1	El001G053490
OG0001483	XP_002872132.1	El001G054460
OG0001483	XP_002871431.1	El001G071240
OG0001484	XP_020876764.1	El001G071280
OG0001484	XP_020878608.1	El001G054480
OG0001485	XP_020878761.1	El001G072860
OG0001485	XP_020885079.1	El007G326710
OG0001486	XP_020877988.1	El001G073140
OG0001487	XP_020877403.1	El001G056990
OG0001487	XP_020879519.1	El001G073580
OG0001488	XP_002870095.1	El003G169320
OG0001488	XP_002863361.1	El007G366260
OG0001489	XP_002872677.1	El001G005780
OG0001489	XP_002867781.1	El003G163410
OG0001490	XP_020867609.1	El002G115070
OG0001490	XP_002879480.1	El006G297200
OG0001491	XP_020867367.1	El002G116020
OG0001492	XP_020872546.1	El003G142690
OG0001492	XP_020885216.1	El006G320720
OG0001493	XP_020866872.1	El002G129260
OG0001493	XP_002863697.1	El007G358210
OG0001494	XP_020877665.1	El001G006290, El001G006310, El001G006320, El001G006300
OG0001494	XP_002874761.1	El001G006330
OG0001495	XP_002865115.1	El007G366600
OG0001496	XP_020887700.1	El005G267160
OG0001496	XP_002870373.2	El003G177080, El003G177100
OG0001497	XP_002870253.1	El003G173530
OG0001497	XP_020875008.1, XP_002870255.2	El003G173590, El003G173580
OG0001498	XP_002889494.1	El002G086070
OG0001498	XP_002886191.1	El005G277140
OG0001498	XP_002886579.1	El004G200340
OG0001498	XP_020875396.1	El003G168340
OG0001499	XP_020883169.1, XP_002878480.1	El001G035130, El006G280160
OG0001500	XP_020884366.1	El006G280740
OG0001500	XP_020880147.1	El001G034550
OG0001501	XP_020883919.1	El006G281110
OG0001502	XP_002881976.1	El006G284010
OG0001502	XP_020880877.1	El001G031960
OG0001503	XP_020881272.1	El001G031580
OG0001503	XP_020884277.1	El006G284720
OG0001504	XP_020882215.1	El001G031180
OG0001504	XP_020883767.1	El006G285370
OG0001505	XP_020881472.1	El001G031030
OG0001505	XP_002881895.1	El005G245290, El006G285590
OG0001506	XP_002882587.1	El005G243990
OG0001506	XP_020878642.1	El001G081830
OG0001507	XP_020879844.1	El001G016180
OG0001507	XP_002864620.1	El007G331950
OG0001508	XP_002877615.1	El001G018180
OG0001508	XP_002866555.2	El007G327140
OG0001509	XP_020882194.1	El001G019630
OG0001509	XP_002866690.1	El007G324250
OG0001510	XP_020878140.1, XP_020884120.1	El006G300800
OG0001510	XP_020867692.1	El002G088220
OG0001511	XP_020868705.1	El002G090520
OG0001511	XP_002879167.1	El006G304970
OG0001512	XP_020869561.1	El002G090920
OG0001512	XP_020883807.1	El006G306130
OG0001513	XP_020888154.1	El005G235910
OG0001514	XP_002884427.1	El005G238680
OG0001514	XP_002873882.1	El001G062380
OG0001515	XP_020865722.1, XP_020886133.1, XP_002874712.2, XP_002874721.2	El005G240770, El007G348220
OG0001516	XP_020886821.1	El005G241880
OG0001516	XP_020888620.1	El005G241890
OG0001517	XP_020880437.1	El001G027260
OG0001517	XP_020883942.1	El006G289520
OG0001518	XP_020885674.1	El006G289610
OG0001518	XP_020882492.1	El001G027120
OG0001519	XP_020889634.1	El004G226330
OG0001519	XP_020867084.1	El002G102620
OG0001520	XP_002877600.1	El001G017720
OG0001520	XP_002890310.1	El002G103250
OG0001521	XP_020868042.1	El002G105820
OG0001521	XP_020890845.1	El004G229980
OG0001522	XP_020868616.1	El002G108350
OG0001522	XP_002887338.1	El004G222700
OG0001523	XP_002890597.1	El002G109220
OG0001523	XP_020865608.1	El004G221840
OG0001524	XP_020869053.1	El002G113080
OG0001524	XP_002866458.1	El007G328880
OG0001526	XP_020883590.1	El006G317400
OG0001527	XP_020876336.1, XP_002893911.1	El001G067340
OG0001527	XP_020890383.1	El004G233860
OG0001528	XP_020878035.1	El001G066570
OG0001528	XP_002889041.1	El004G228380
OG0001529	XP_002873931.1	El001G061300
OG0001530	XP_002868470.1, XP_002891897.2, XP_020868321.1, XP_002870348.1, XP_002870347.1, XP_002863931.1	El007G346910
OG0001531	XP_002871203.1	El001G076010, El001G075990
OG0001531	XP_020888311.1	El005G247120
OG0001532	XP_002866292.2	El007G332620
OG0001533	XP_020881881.1, XP_002876032.1, XP_002876033.1	El001G020550
OG0001534	XP_020865719.1, XP_020890428.1	El004G232400
OG0001534	XP_020890436.1	El004G232410
OG0001535	XP_002894511.1	El002G140630
OG0001535	XP_002882820.1	El005G249340
OG0001536	XP_020888907.1	El005G249680
OG0001536	XP_020869277.1	El002G140150
OG0001537	XP_020867820.1	El002G137650
OG0001537	XP_002885097.1	El005G252240
OG0001538	XP_020889133.1	El005G253240
OG0001538	XP_020868345.1	El002G136610
OG0001539	XP_002885685.1	El005G268660
OG0001539	XP_002885684.1	El005G268650
OG0001540	XP_002881339.1	El006G296790
OG0001540	XP_002881014.1	El006G304450
OG0001541	XP_020869848.1, XP_002891930.1	El004G209940, El004G209860
OG0001541	XP_020879705.1	El001G034880
OG0001543	XP_020880272.1	El001G013020
OG0001544	XP_020874432.1	El003G172850
OG0001544	XP_002868199.1	El003G172840
OG0001545	XP_002865272.1	El007G362640
OG0001546	XP_020884354.1	El006G291660
OG0001546	XP_020885741.1	El006G291640
OG0001547	XP_020887306.1	El002G106930, El005G258480
OG0001549	XP_020887163.1	El005G279090
OG0001549	XP_002867448.1	El003G155420
OG0001550	XP_020888294.1, XP_002878024.1	El005G246930
OG0001550	XP_020876016.1	El001G076200
OG0001551	XP_020874472.1	El003G151630
OG0001551	XP_020883908.1	El006G316940
OG0001552	XP_002867265.1	El003G150780
OG0001552	XP_002878844.2	El006G315010
OG0001553	XP_002886607.1	El004G200800
OG0001553	XP_002892586.2	El002G093680
OG0001554	XP_020866929.1	El002G094980
OG0001554	XP_020890608.1	El004G198930
OG0001555	XP_020869889.1	El002G096860
OG0001555	XP_002876920.1	El001G039430
OG0001556	XP_020883460.1	El006G293720
OG0001556	XP_020880096.1	El001G040910
OG0001557	XP_002882615.1	El005G244520
OG0001557	XP_002875067.1, XP_002889206.1	El001G043580, El002G141060
OG0001558	XP_020876997.1	El001G078110
OG0001558	XP_020886650.1	El005G245860
OG0001559	XP_002865753.1	El007G345030
OG0001559	XP_002867672.1	El003G160520
OG0001560	XP_020871825.1	El007G344730
OG0001560	XP_002867666.1	El003G160440, El006G312040
OG0001561	XP_002864181.1, XP_020872491.1	El007G341020, El007G341040, El001G048180
OG0001562	XP_002866125.1	El007G336070
OG0001562	XP_020876009.1	El001G077430
OG0001563	XP_020879392.1	El001G060920
OG0001563	XP_020878383.1	El001G069150
OG0001564	XP_020883436.1	El006G293050, El006G293040
OG0001564	XP_020867038.1	El002G104650
OG0001565	XP_020878455.1	El001G073930
OG0001565	XP_002864724.1	El007G329660
OG0001566	XP_020874546.1	El003G167050
OG0001567	XP_020868493.1	El002G122590
OG0001567	XP_020868491.1	El002G122580
OG0001568	XP_020868244.1	El002G114490
OG0001568	XP_020870418.1, XP_020870416.1	El002G114500
OG0001569	XP_020883214.1	El006G297040
OG0001569	XP_020867499.1	El002G115520
OG0001570	XP_002876507.2	El001G031070
OG0001570	XP_020868658.1	El002G117660
OG0001571	XP_002884056.2	El005G274840
OG0001571	XP_020875126.1	El003G146840
OG0001572	XP_020874628.1	El003G143740
OG0001572	XP_020884255.1	El006G319830
OG0001573	XP_020875633.1	El003G143340
OG0001573	XP_020885509.1	El006G320130
OG0001574	XP_020874414.1	El003G142630
OG0001574	XP_020884488.1	El006G321090
OG0001575	XP_002880375.1	El006G321280
OG0001575	XP_020875228.1	El003G142420
OG0001576	XP_002870808.2	El003G188590
OG0001577	XP_002870777.1	El003G189250
OG0001578	XP_020888818.1	El003G164020, El003G164290, El003G164060, El007G366710
OG0001578	XP_020884987.1	El006G299300
OG0001579	XP_020874753.1	El003G169820
OG0001579	XP_002863338.1	El007G366700
OG0001581	XP_002878482.1	El001G035140
OG0001581	XP_002880317.1	El006G280170
OG0001582	XP_020880398.1	El001G031570
OG0001582	XP_020883434.1	El006G284740
OG0001583	XP_020885016.1	El006G286850
OG0001583	XP_020881292.1	El003G152050, El001G029330
OG0001584	XP_020881608.1	El001G029010
OG0001584	XP_002879955.1	El006G287340
OG0001585	XP_002876403.1	El001G028680
OG0001585	XP_020884024.1	El006G287860
OG0001586	XP_020878926.1	El001G060750
OG0001587	XP_002874097.1	El001G057410, El001G057440
OG0001588	XP_002877515.1	El001G016120
OG0001589	XP_020867589.1	El007G327070
OG0001589	XP_002875918.1	El001G018310
OG0001590	XP_002876300.1	El001G026380
OG0001590	XP_020871654.1	El007G324310
OG0001591	XP_020867327.1	El002G084650
OG0001591	XP_020878256.1	El001G003020
OG0001592	XP_002889445.1	El002G085070
OG0001592	XP_020878325.1	El001G003540
OG0001593	XP_002879450.1	El006G298520
OG0001593	XP_002892219.1	El002G086480
OG0001594	XP_020870787.1	El002G087370
OG0001594	XP_002881221.1, XP_020885310.1	El006G299840
OG0001595	XP_020885940.1	El005G237530
OG0001595	XP_020885939.1	El005G237520
OG0001596	XP_020878196.1	El001G062530
OG0001596	XP_002882316.1	El005G238430
OG0001597	XP_020875862.1	El001G051190
OG0001597	XP_002884540.1	El005G240950
OG0001598	XP_002882460.1	El005G241470
OG0001598	XP_020878602.1	El001G061620
OG0001599	XP_020880373.1	El007G349470
OG0001599	XP_020888761.1	El005G242930
OG0001600	XP_002881452.1	El006G294200
OG0001600	XP_002877895.1	El001G023520
OG0001601	XP_002892967.1	El002G101930
OG0001601	XP_002888909.1	El004G225260
OG0001602	XP_002893174.1	El002G106000
OG0001603	XP_020891529.1	El004G222300
OG0001603	XP_002893271.1	El002G108580
OG0001604	XP_020867671.1	El002G108650
OG0001604	XP_002887312.1	El004G222210
OG0001605	XP_002893280.1	El002G108680
OG0001605	XP_002887308.1	El004G222180
OG0001606	XP_002880517.2	El006G318300
OG0001606	XP_020884521.1	El006G318330
OG0001607	XP_020870917.1	El002G096090
OG0001607	XP_020891191.1	El004G196960
OG0001608	XP_020866044.1	El002G094570
OG0001609	XP_020878974.1	El001G061390
OG0001609	XP_002892154.1	El002G085090
OG0001610	XP_020876051.1	El001G077760
OG0001610	XP_020886857.1	El005G246000
OG0001611	XP_020889649.1	El004G227830
OG0001611	XP_020889650.1	El004G227840
OG0001612	XP_002882816.1	El005G249260
OG0001612	XP_002894521.1	El002G140780
OG0001613	XP_020867161.1	El002G138110
OG0001613	XP_020886017.1	El005G251800
OG0001614	XP_002894313.1	El002G135720
OG0001614	XP_002885417.1, XP_002862672.1	El005G259050
OG0001615	XP_020882841.1	El006G300720
OG0001615	XP_020867312.1	El002G135690
OG0001616	XP_020887283.1	El005G274990, El005G275000, El005G275020
OG0001616	XP_020875187.1	El003G146780
OG0001617	XP_002886035.1	El005G277980
OG0001617	XP_020874593.1	El003G153600
OG0001618	XP_002894559.1	El002G141370
OG0001618	XP_002882791.1	El005G248650
OG0001619	XP_020881375.1	El001G023510
OG0001619	XP_020883203.1	El006G294210
OG0001620	XP_002868022.1, XP_020875598.1, XP_002868021.1	El003G168770
OG0001621	XP_020866564.1, XP_020869684.1	El002G135250
OG0001621	XP_020866563.1	El002G135340
OG0001622	XP_002890575.1, XP_002867997.1, XP_020870516.1, XP_002890572.1	El002G109900, El002G110040, El002G110030, El002G110060, El002G110050
OG0001622	XP_020870495.1	El002G097910, El002G097920
OG0001622	XP_020879002.1	El001G080900
OG0001623	XP_020880008.1	El001G028050, El001G028070
OG0001625	XP_020883740.1	El006G287580, El006G287590
OG0001625	XP_020884574.1	El006G287550
OG0001627	XP_002890724.1	El002G112980
OG0001627	XP_020867903.1	El002G112990
OG0001628	XP_002892469.1	El002G139180
OG0001628	XP_020879320.1	El003G177000, El001G008900, El001G008920, El003G177010, El001G008890
OG0001628	XP_002886803.1, XP_002886802.1	El004G211860
OG0001629	XP_020882176.1	El001G039350
OG0001630	XP_002879340.1	El006G300590
OG0001630	XP_020885494.1	El006G300560
OG0001631	XP_002887152.1	El004G218460
OG0001631	XP_002893438.1	El002G112490
OG0001632	XP_002894438.2	El004G202340
OG0001632	XP_020890315.1	El004G202400, El004G202420, El004G202470, El004G202380, El004G202410
OG0001633	XP_002869821.1	El006G310370
OG0001641	XP_002886870.2	El055G375870
OG0001642	XP_020886832.1	El005G272500
OG0001642	XP_002867146.1	El003G148720
OG0001643	XP_002886064.1	El005G273860
OG0001643	XP_020872748.1	El003G147500
OG0001644	XP_020890080.1	El004G200500
OG0001644	XP_002889832.1	El002G093790
OG0001645	XP_002875240.2	El001G039100
OG0001645	XP_002875239.1	El001G039090
OG0001646	XP_020879622.1	El001G040790
OG0001646	XP_002892724.1	El002G096580
OG0001647	XP_020872137.1	El003G192030
OG0001647	XP_020880804.1	El001G041850
OG0001648	XP_020874901.1	El003G191800
OG0001648	XP_020882217.1	El001G042110
OG0001649	XP_002870750.1	El003G189790
OG0001649	XP_002877136.1	El001G044260
OG0001650	XP_020882200.1	El001G046090
OG0001650	XP_020872946.1	El003G188560
OG0001651	XP_020873445.1	El003G158190
OG0001651	XP_020867401.1	El007G335300
OG0001652	XP_020889251.1	El005G244410
OG0001652	XP_020876703.1	El001G081160
OG0001653	XP_020888377.1	El005G245010
OG0001653	XP_002872400.1	El001G010970
OG0001654	XP_020879352.1	El001G079300
OG0001654	XP_020888363.1	El005G245100
OG0001655	XP_020875963.1	El001G076760
OG0001655	XP_002882713.1	El005G246540
OG0001656	XP_020888312.1	El005G248200
OG0001656	XP_002871590.1	El001G067780
OG0001657	XP_002867529.1	El003G157340
OG0001657	XP_020871691.1	El007G337420
OG0001658	XP_020888483.1	El007G337070
OG0001658	XP_002867539.1	El003G157490
OG0001659	XP_002871271.1	El001G074340
OG0001659	XP_020878005.1	El001G074350
OG0001660	XP_002869935.1	El003G165470
OG0001660	XP_002863558.1	El007G361310
OG0001661	XP_002872643.1	El001G006730
OG0001661	XP_002867752.1	El003G162720
OG0001662	XP_020873620.1	El003G162590
OG0001662	XP_020877707.1	El001G006950
OG0001663	XP_020879136.1	El001G009340
OG0001663	XP_002890537.1	El002G108000
OG0001664	XP_020885605.1	El006G296600
OG0001664	XP_020866422.1	El002G116690
OG0001665	XP_020885508.1	El006G296430
OG0001666	XP_020875626.1	El003G146370
OG0001666	XP_002884081.1	El005G275280
OG0001667	XP_002878673.1	El006G318730
OG0001667	XP_002866958.1	El003G144850
OG0001668	XP_020875663.1	El003G144550
OG0001668	XP_002880477.1	El006G318990
OG0001669	XP_002880432.1	El006G320160
OG0001669	XP_020874986.1	El003G143280
OG0001670	XP_020875421.1	El003G142370
OG0001670	XP_020885000.1	El006G321410
OG0001671	XP_020870579.1, XP_020869400.1, XP_020870581.1, XP_002891202.2	El002G124450
OG0001671	XP_002874556.1	El001G010610
OG0001672	XP_020869541.1	El002G113360
OG0001672	XP_002873145.1	El001G078210
OG0001673	XP_002870440.1	El003G183400
OG0001673	XP_002885759.1	El005G269520
OG0001674	XP_020872623.1	El003G175400, El003G175480
OG0001675	XP_002880275.2	El006G280900
OG0001675	XP_020881581.1	El001G034380
OG0001676	XP_020882650.1	El006G284130
OG0001676	XP_002881964.1, XP_002881963.1	El006G284140
OG0001677	XP_020880169.1	El001G030920
OG0001677	XP_020883355.1	El006G285630
OG0001678	XP_020880598.1	El001G030430
OG0001678	XP_002880005.1	El006G286170
OG0001679	XP_020880497.1	El001G030140
OG0001679	XP_020884457.1	El006G286530
OG0001681	XP_002866754.1	El007G322640
OG0001681	XP_002877774.1	El001G021000
OG0001682	XP_002874882.1	El001G003690
OG0001682	XP_002889459.1	El002G085270
OG0001683	XP_002892196.1	El002G085930
OG0001683	XP_020871881.1	El007G359900
OG0001684	XP_002865429.1	El007G358850
OG0001684	XP_020867548.1	El002G086400
OG0001685	XP_002889505.1	El002G086440
OG0001685	XP_020865954.1	El007G358840
OG0001686	XP_020883114.1	El006G298620
OG0001686	XP_002889510.1	El002G086520
OG0001687	XP_020867120.1	El002G086780
OG0001687	XP_020883868.1	El006G298910
OG0001688	XP_020870498.1	El002G088580
OG0001688	XP_002881162.1	El006G301300
OG0001689	XP_020868609.1	El002G089050
OG0001689	XP_002881132.1	El006G301830
OG0001690	XP_002879265.1	El006G302210
OG0001690	XP_020869367.1	El002G089250
OG0001691	XP_002892379.1	El002G089550
OG0001691	XP_002879250.1, XP_002862737.1	El006G302730
OG0001693	XP_020885251.1	El006G304340
OG0001693	XP_020870891.1	El002G090180
OG0001694	XP_020876289.1	El001G064040
OG0001694	XP_020887940.1	El005G237330
OG0001695	XP_020866316.1	El002G091360
OG0001695	XP_002884450.1	El005G239120
OG0001696	XP_020876915.1	El001G048900
OG0001696	XP_020876909.1	El001G048880, El001G048930
OG0001696	XP_002884489.1	El005G239930
OG0001697	XP_020888040.1	El005G241980
OG0001698	XP_020884182.1	El006G289880
OG0001698	XP_002876333.1	El001G027000
OG0001699	XP_002877926.1	El001G024180
OG0001699	XP_020883435.1	El006G293060
OG0001700	XP_002887774.1	El004G232690
OG0001700	XP_020868957.1	El002G100440
OG0001701	XP_002890385.1	El002G104700
OG0001701	XP_020890789.1	El003G173760, El004G228940
OG0001702	XP_020867544.1, XP_020890848.1	El004G229990
OG0001702	XP_002893161.1	El002G105830
OG0001703	XP_020870864.1	El002G106380
OG0001703	XP_020891531.1	El004G230710
OG0001704	XP_002890539.1	El002G108030
OG0001704	XP_002888835.1	El004G223270
OG0001705	XP_020870912.1	El002G108510
OG0001705	XP_020890254.1	El004G222390
OG0001706	XP_020868422.1, XP_002893461.1	El002G112950, El002G112970
OG0001707	XP_020875112.1	El003G188660
OG0001707	XP_020868696.1	El002G115910
OG0001708	XP_002872226.1	El001G051270
OG0001709	XP_020890289.1	El007G327720
OG0001709	XP_020880374.1	El001G017610
OG0001710	XP_020865584.1	El004G229910
OG0001711	XP_002883013.1	El005G253350
OG0001711	XP_002870208.1	El003G172250
OG0001712	XP_002894202.1	El002G133790
OG0001712	XP_002885296.1	El005G256560
OG0001713	XP_002891536.1	El002G134030
OG0001713	XP_002883188.1	El005G257030
OG0001714	XP_002883258.1	El005G258420
OG0001714	XP_020870654.1	El002G135210
OG0001715	XP_020886161.1	El005G267860
OG0001715	XP_002885643.2	El005G267600
OG0001717	XP_002875106.1	El001G037040, El001G037030
OG0001717	XP_020880650.1	El004G214140, El004G214220, El004G214070, El004G214160, El004G214100
OG0001718	XP_020879894.1	El001G016020
OG0001718	XP_020881844.1	El003G178370
OG0001718	XP_020879895.1	El001G016030
OG0001719	XP_002886215.1	El005G273500, El005G273510
OG0001719	XP_020887835.1	El005G273520, El005G273550
OG0001721	XP_002889987.1	El002G096670
OG0001721	XP_002875346.1, XP_020869012.1	El003G184570, El007G365880, El002G096660
OG0001722	XP_020865736.1	El008G369230
OG0001722	XP_020865763.1	El007G335670, El007G335690
OG0001724	XP_020884375.1	El006G301780
OG0001725	XP_002873886.1, XP_002873887.1, XP_002873884.2	El001G062350
OG0001727	XP_002864392.1	El007G336720
OG0001728	XP_020879058.1	El001G051020, El001G051120
OG0001728	XP_020870831.1, XP_020870830.1, XP_020870022.1, XP_020866128.1, XP_002891133.2, XP_020869435.1	El002G118810
OG0001729	XP_002875533.2	El001G046210
OG0001729	XP_020870152.1	El001G039480
OG0001730	XP_002868558.1	El003G193660
OG0001730	XP_020875579.1	El003G155650
OG0001731	XP_002867366.1	El003G153010
OG0001731	XP_002867367.1	El003G153030
OG0001732	XP_020874549.1	El003G152950
OG0001732	XP_020888883.1	El005G277410
OG0001733	XP_002867341.1	El003G152490
OG0001733	XP_002880536.1	El006G317790
OG0001734	XP_002867322.1, XP_002867321.1	El003G152110
OG0001734	XP_002880560.1	El006G317370
OG0001735	XP_020886831.1	El005G272490
OG0001735	XP_020874633.1	El003G148740, El003G148760
OG0001736	XP_002867075.1	El003G146930
OG0001736	XP_020887536.1	El005G274750
OG0001736	XP_002886109.1	El005G274740
OG0001737	XP_002879530.1	El006G296070
OG0001737	XP_020870296.1	El002G118060
OG0001738	XP_002893726.1	El002G119900
OG0001738	XP_020883778.1	El006G295730
OG0001739	XP_020868105.1	El004G205730
OG0001739	XP_020868185.1	El002G092450
OG0001740	XP_020891369.1	El004G203330
OG0001740	XP_002892542.1	El002G092970
OG0001741	XP_020866468.1	El002G093360
OG0001741	XP_020890279.1	El004G202310
OG0001742	XP_002883600.1, XP_002883601.1	El005G268840
OG0001742	XP_002886617.1	El004G201070
OG0001742	XP_002883597.1	El005G268820
OG0001743	XP_002889854.1	El002G094250
OG0001743	XP_002888095.1	El004G199730
OG0001744	XP_002868618.1	El003G192150
OG0001744	XP_002875351.1	El001G041620
OG0001745	XP_002875387.1, XP_002887065.1, XP_020889804.1, XP_002862504.1	El001G042400
OG0001745	XP_002868646.1	El003G191560
OG0001746	XP_002862551.1, XP_002875455.1	El001G043710
OG0001746	XP_002868676.2	El003G190550
OG0001747	XP_020882086.1	El001G045970
OG0001748	XP_002870852.1	El003G187020
OG0001748	XP_020891753.1	El004G217060
OG0001749	XP_020890558.1	El004G194370
OG0001749	XP_020872577.1	El003G193300
OG0001750	XP_020865620.1, XP_020890194.1	El004G195950
OG0001751	XP_002884864.1	El005G247460
OG0001751	XP_020876282.1	El003G156450, El001G075450
OG0001753	XP_020888283.1	El005G248070
OG0001753	XP_020875781.1	El001G074890
OG0001754	XP_020878671.1	El007G343080
OG0001754	XP_002867627.1	El003G159540
OG0001755	XP_020873639.1	El003G158780
OG0001755	XP_020871706.1	El006G315970
OG0001756	XP_020868511.1, XP_002864212.1	El007G340320
OG0001756	XP_020874380.1	El003G156210
OG0001757	XP_020871161.1	El007G336240
OG0001757	XP_020873424.1	El003G157800
OG0001758	XP_020879399.1	El001G060870
OG0001758	XP_020879418.1	El001G068930
OG0001759	XP_002871300.2	El001G073810
OG0001759	XP_002866415.1	El007G329790
OG0001760	XP_002870096.1	El003G169340
OG0001760	XP_002863360.1	El007G366270
OG0001761	XP_002863446.1	El007G364130
OG0001761	XP_002870033.1	El003G167880
OG0001762	XP_002865231.1	El007G363880
OG0001763	XP_020873111.1	El003G165920
OG0001764	XP_020877723.1	El001G005660
OG0001764	XP_002867787.2	El003G163540
OG0001765	XP_002872556.1	El001G007810, El001G007780
OG0001765	XP_002872559.1, XP_020879100.1	El001G007770, El001G007760
OG0001766	XP_002874626.1	El001G008940
OG0001766	XP_020869727.1	El002G120940
OG0001767	XP_020865600.1, XP_020873508.1	El004G223720
OG0001767	XP_020877363.1	El001G009930
OG0001767	XP_020869387.1	El002G123050
OG0001768	XP_002879456.1	El006G298420
OG0001768	XP_020866880.1	El002G113690
OG0001769	XP_020887826.1	El005G275440
OG0001769	XP_020874931.1	El003G146140
OG0001770	XP_020885115.1	El007G323870
OG0001770	XP_002876004.1	El001G019980
OG0001771	XP_020882967.1	El006G319370
OG0001771	XP_020874282.1	El003G144250
OG0001772	XP_020875572.1	El003G142020
OG0001772	XP_020890543.1	El004G218570
OG0001773	XP_002865913.1	El007G341130
OG0001773	XP_002879493.2	El006G296940
OG0001774	XP_002865454.1, XP_002872405.2	El007G358320, El007G358310
OG0001775	XP_002867800.1	El003G163690
OG0001775	XP_002872701.1	El001G005410
OG0001776	XP_020871883.1, XP_020872928.1, XP_002862806.1, XP_020887557.1	El007G362870
OG0001777	XP_020879212.1	El001G002220
