Orthogroup	Arabidopsis_lyrata_NCBI	Aethionema_saxatile
OG0001913	XP_020883447.1	As006G127010
OG0001914	XP_020882798.1	As006G127230
OG0001915	XP_020885824.1	As006G127440
OG0001915	XP_002892324.1	As008G194000
OG0001916	XP_020883553.1	As006G128760
OG0001917	XP_020885139.1	As006G129560
OG0001918	XP_020885344.1, XP_002880809.1	As006G131460, As006G131480
OG0001919	XP_020878299.1	As009G200030
OG0001919	XP_020885952.1	As006G132900
OG0001920	XP_002873774.1, XP_020889331.1	As006G135730
OG0001921	XP_002871718.1	As009G202390
OG0001921	XP_002884339.1	As006G135780
OG0001922	XP_020886157.1	As006G139010
OG0001922	XP_020876938.1	As009G205870
OG0001923	XP_020882807.1	As006G143780
OG0001923	XP_020881542.1	As012G281320
OG0001924	XP_020880619.1, XP_002879660.2	As006G145930
OG0001925	XP_002881556.1	As006G147060
OG0001925	XP_020880256.1	As012G278170
OG0001926	XP_020883680.1	As006G147410
OG0001926	XP_020881623.1	As012G278430
OG0001927	XP_002890120.1	As007G152220
OG0001928	XP_002887737.1	As010G241680
OG0001928	XP_020866551.1	As007G153570
OG0001929	XP_020889762.1	As007G154160, As010G240740
OG0001930	XP_020867618.1	As007G155140
OG0001930	XP_020890838.1	As010G239150
OG0001931	XP_020865799.1	As010G238790
OG0001931	XP_002893022.1	As007G155320
OG0001932	XP_002893043.1	As007G155730
OG0001932	XP_002889008.1	As010G238480
OG0001933	XP_002893156.1	As007G157160
OG0001934	XP_020866041.1	As007G158150
OG0001934	XP_002889173.1	As010G235460
OG0001935	XP_002890566.1	As007G159310
OG0001936	XP_020873928.1	As007G160030
OG0001937	XP_020870103.1	As007G160520
OG0001937	XP_020891242.1	As010G232650
OG0001939	XP_020883982.1	As007G180980
OG0001940	XP_020878252.1	As009G200550
OG0001942	XP_002863151.1, XP_002882862.1, XP_002862273.1	As012G269080, As012G281590, As012G269060
OG0001943	XP_002878346.2	As009G212210
OG0001944	XP_020888270.1, XP_020875992.1	As009G212500
OG0001945	XP_020880300.1	As010G221720
OG0001946	XP_020879955.1	As010G222400
OG0001947	XP_020881696.1, XP_002877374.1	As010G225810
OG0001948	XP_002877329.1	As010G226330
OG0001949	XP_020880295.1	As010G227300
OG0001950	XP_020888793.1	As011G245930
OG0001950	XP_020869140.1	As012G269040
OG0001951	XP_002885062.1, XP_020867175.1	As011G247100
OG0001952	XP_002870193.2	As012G274580
OG0001952	XP_020889198.1	As011G248940
OG0001953	XP_002885307.1	As011G251400
OG0001953	XP_020866711.1	As012G272660
OG0001954	XP_002885405.1	As011G253050
OG0001955	XP_020867788.1, XP_002883294.1	As011G253690
OG0001956	XP_002883899.1	As011G262750
OG0001957	XP_020884308.1	As012G275050
OG0001958	XP_002885925.2, XP_002885924.1	As012G285290
OG0001959	XP_002876521.2	As012G285720
OG0001971	XP_020874616.1	As001G001000
OG0001971	XP_002883967.2	As011G266510
OG0001972	XP_020874569.1	As001G002350
OG0001972	XP_002884154.1	As011G265560
OG0001973	XP_020875086.1	As001G003210
OG0001973	XP_002880568.1	As007G178320
OG0001974	XP_002878754.1	As007G178030
OG0001974	XP_002869331.1	As001G003630
OG0001975	XP_020887196.1	As011G262160
OG0001976	XP_020874314.1	As001G014460
OG0001976	XP_020888019.1	As011G263480
OG0001977	XP_002881409.1	As004G083090
OG0001977	XP_020872208.1	As001G017810
OG0001978	XP_002888093.1	As001G021620
OG0001978	XP_002889857.1	As008G186230
OG0001979	XP_020881098.1	As001G023520
OG0001979	XP_020867996.1	As008G182890
OG0001980	XP_002875146.1	As001G023690
OG0001980	XP_002892801.1	As008G183040
OG0001981	XP_020867960.1	As008G184280
OG0001981	XP_020882265.1	As001G025280
OG0001982	XP_002876987.1	As001G025560
OG0001982	XP_020867859.1	As008G184440
OG0001983	XP_002877025.1	As001G026070
OG0001983	XP_020872140.1	As005G112750
OG0001984	XP_020880968.1	As001G026200
OG0001984	XP_002870678.1	As004G097590
OG0001985	XP_002892683.1	As003G060640, As001G031850
OG0001986	XP_020880238.1	As012G283190
OG0001986	XP_002879912.1	As002G033250
OG0001987	XP_002873136.1	As005G109150
OG0001987	XP_020886426.1	As002G035510
OG0001988	XP_020888290.1	As002G037170, As012G276490
OG0001989	XP_020888337.1, XP_020879359.1	As002G037240, As002G037260
OG0001990	XP_002866033.1	As002G046030
OG0001990	XP_020875391.1	As006G132420
OG0001991	XP_020873788.1	As002G046910
OG0001992	XP_020873343.1	As002G047670, As006G134320
OG0001993	XP_020891023.1	As002G047890
OG0001993	XP_020873642.1	As006G134180
OG0001994	XP_002866213.1, XP_002869654.1	As002G049230
OG0001995	XP_020878344.1, XP_020878198.1	As002G051030
OG0001996	XP_002871492.1, XP_002872192.1, XP_002872191.1	As002G051550
OG0001997	XP_020877282.1	As002G053610
OG0001997	XP_020882971.1	As007G179950
OG0001998	XP_002871372.2	As002G053810
OG0001998	XP_002864892.1	As005G117250
OG0001999	XP_002873320.1	As002G055150
OG0002000	XP_020879849.1	As009G218350
OG0002000	XP_020875825.1	As002G055410
OG0002001	XP_002865164.1	As004G089230
OG0002001	XP_020874649.1	As003G056260
OG0002002	XP_020872209.1	As004G087210
OG0002003	XP_020873297.1	As003G060220
OG0002003	XP_002872689.1	As004G085600
OG0002004	XP_020877695.1	As004G084930
OG0002004	XP_002867746.1	As003G060850
OG0002005	XP_020876274.1	As004G084290
OG0002005	XP_020873605.1	As003G061860
OG0002006	XP_020873365.1	As003G061930
OG0002006	XP_002872543.1	As004G084140
OG0002007	XP_020873823.1	As003G061950
OG0002008	XP_020877247.1	As004G083850
OG0002008	XP_002891012.2	As003G062340
OG0002009	XP_002891356.1, XP_002891355.1, XP_002891357.1	As003G065730
OG0002010	XP_020884233.1	As003G069430
OG0002010	XP_020866792.1	As003G069440
OG0002011	XP_002890808.1, XP_002879489.1	As003G069960
OG0002012	XP_020887282.1	As011G264500
OG0002012	XP_020874384.1	As003G071790
OG0002013	XP_002884071.1	As011G264560
OG0002013	XP_020873085.1	As003G071910
OG0002014	XP_020873050.1, XP_020888349.1	As003G072220
OG0002015	XP_002886185.1, XP_002866990.1	As003G073000
OG0002016	XP_020883855.1	As007G179840
OG0002016	XP_002868971.1	As003G073990
OG0002017	XP_020884533.1	As007G180300
OG0002018	XP_020884193.1	As007G180950
OG0002018	XP_002868885.2	As003G075740
OG0002020	XP_002892644.2, XP_002892645.1	As004G084030
OG0002021	XP_020873591.1, XP_002874660.1	As004G084130
OG0002022	XP_020868338.1, XP_020877684.1	As004G088650
OG0002023	XP_020886048.1	As011G254830
OG0002023	XP_020874648.1	As004G095790
OG0002024	XP_002868239.1	As004G096090
OG0002024	XP_020886689.1	As011G254270
OG0002026	XP_002880137.1	As005G102350
OG0002026	XP_002876545.1	As012G286200
OG0002027	XP_020881524.1	As012G283860
OG0002027	XP_002881783.1	As005G105970
OG0002028	XP_002877399.1	As006G129780, As005G114290
OG0002029	XP_002892069.1, XP_020866205.1	As008G198670
OG0002029	XP_002875002.1	As006G122080
OG0002030	XP_020878315.1	As006G123400
OG0002030	XP_020867758.1	As008G197470
OG0002031	XP_020867468.1, XP_020884055.1	As008G195950, As006G125520
OG0002032	XP_002879377.2	As006G125680
OG0002032	XP_020869721.1	As008G194980
OG0002033	XP_020868595.1	As008G193380
OG0002033	XP_020883949.1	As006G127930
OG0002034	XP_002889652.1, XP_020883277.1	As006G129090
OG0002035	XP_002866085.1	As006G134600
OG0002036	XP_020876571.1	As009G201600
OG0002036	XP_002882222.1	As006G135320
OG0002037	XP_002871686.2	As009G201610
OG0002037	XP_002882223.1	As006G135340
OG0002038	XP_020889231.1	As011G248890
OG0002038	XP_020889016.1	As006G138750
OG0002039	XP_020880281.1	As012G282060
OG0002039	XP_002862287.1, XP_002879822.1	As006G143240
OG0002040	XP_002879617.1	As006G145140
OG0002040	XP_002876178.1	As012G276560
OG0002041	XP_002881490.1	As006G145740
OG0002041	XP_002877914.1	As012G277090
OG0002042	XP_020884754.1, XP_002879742.1, XP_020882754.1	As006G148500
OG0002043	XP_002894146.1, XP_002894147.1	As007G151940
OG0002044	XP_020867926.1	As007G152130
OG0002044	XP_020891379.1	As010G243920
OG0002045	XP_002890124.1	As007G152270
OG0002045	XP_002889288.1	As010G243670
OG0002046	XP_020867562.1	As007G152480
OG0002046	XP_002887805.1	As010G243220
OG0002047	XP_002890169.1	As007G152970
OG0002047	XP_002889235.1	As010G242530
OG0002048	XP_020867526.1	As007G153870
OG0002048	XP_020889740.1	As010G241130, As010G241120
OG0002049	XP_002887473.1	As010G240580
OG0002049	XP_020868970.1	As007G154260
OG0002050	XP_020870746.1	As007G156920
OG0002050	XP_020890552.1	As010G237010
OG0002051	XP_020868620.1, XP_020885219.1	As007G157010
OG0002052	XP_020869250.1	As007G157110
OG0002052	XP_020889644.1	As010G236740
OG0002053	XP_020867682.1	As007G157350
OG0002053	XP_020890166.1	As010G236420
OG0002054	XP_020866096.1	As007G159150
OG0002054	XP_020865801.1	As010G234050
OG0002055	XP_002890576.2	As007G159360
OG0002055	XP_002888789.1	As010G233640
OG0002056	XP_020884889.1	As007G166910
OG0002059	XP_020867624.1	As008G195200
OG0002060	XP_002888765.1	As010G233260
OG0002060	XP_002871634.1	As009G200610
OG0002061	XP_020881951.1	As009G216670
OG0002062	XP_020871404.1, XP_020871473.1, XP_002866412.1	As009G217750
OG0002063	XP_002873295.1, XP_020882218.1	As009G220000
OG0002064	XP_002876086.1, XP_020880080.1, XP_020880078.1	As010G220250
OG0002065	XP_020890860.1	As010G234940, As010G234930
OG0002066	XP_020890173.1	As010G236630
OG0002067	XP_020865863.1	As010G237600
OG0002069	XP_002887781.1	As010G242720
OG0002069	XP_002887780.1	As010G242710
OG0002070	XP_020869557.1, XP_020865604.1	As010G242940
OG0002071	XP_020887159.1	As011G245310
OG0002071	XP_020867877.1	As012G268370
OG0002072	XP_002891828.1	As012G268720
OG0002072	XP_020888589.1	As011G245540
OG0002073	XP_020867155.1	As012G269780
OG0002073	XP_020888813.1	As011G247000
OG0002074	XP_002868149.1	As012G274260
OG0002074	XP_020889203.1	As011G249220
OG0002075	XP_020886939.1	As011G266590
OG0002075	XP_002883961.1	As011G266600, As011G266610
OG0002076	XP_002894565.1	As012G267730
OG0002077	XP_002891646.1, XP_020889064.1	As012G271430
OG0002078	XP_002876328.1, XP_020881536.1, XP_020882496.1	As012G282170
OG0002079	XP_020878905.1, XP_002869619.2	As012G289110
OG0002092	XP_020865780.1, XP_020888556.1	As001G011000
OG0002093	XP_020889502.1	As011G262560
OG0002093	XP_020872187.1	As001G012790
OG0002094	XP_002869142.1	As001G014220
OG0002094	XP_002884163.2	As011G263260, As011G263270, As011G263250
OG0002095	XP_002884045.1	As011G264280
OG0002095	XP_020874548.1	As001G015590
OG0002096	XP_020870790.1	As001G019160
OG0002096	XP_002889744.1	As008G188390
OG0002097	XP_020890310.1	As001G020040
OG0002097	XP_020868764.1	As008G187890
OG0002098	XP_020890093.1, XP_020865866.1	As001G021050, As001G020990
OG0002099	XP_002892612.1	As008G186590
OG0002099	XP_002886573.1	As001G021230
OG0002100	XP_020869268.1	As008G183510
OG0002100	XP_020881977.1	As001G024090
OG0002101	XP_002870676.1	As004G097680
OG0002101	XP_020880323.1	As001G026130
OG0002102	XP_020883120.1, XP_002882538.2	As008G193520
OG0002103	XP_002887878.1, XP_020874351.1	As001G030420
OG0002104	XP_002887935.1	As001G031080
OG0002104	XP_002870638.1	As004G097980
OG0002105	XP_020869525.1	As008G184590
OG0002105	XP_002886433.1	As001G031610
OG0002106	XP_002886475.1	As001G032220
OG0002106	XP_020868464.1	As008G185350
OG0002107	XP_002878099.1	As012G283100
OG0002107	XP_002881751.1	As002G033430
OG0002108	XP_002870933.2	As005G106800
OG0002108	XP_020888739.1	As002G033880
OG0002109	XP_020877380.1, XP_020888371.1	As002G034790
OG0002110	XP_020888372.1, XP_002871024.1, XP_002890223.1	As002G034840
OG0002111	XP_002873138.1	As005G109170
OG0002112	XP_002873178.1	As009G214170
OG0002112	XP_002884809.1	As002G036200
OG0002113	XP_020882147.1, XP_002877286.2	As010G226410, As002G055080, As009G211550, As002G036950
OG0002114	XP_002865977.1	As002G045310
OG0002115	XP_002862180.1, XP_020873480.1	As006G134480
OG0002115	XP_002864375.1	As002G046920
OG0002116	XP_020871610.1	As002G047280
OG0002116	XP_002869598.1	As006G134680
OG0002117	XP_002871547.1, XP_002893458.1	As002G050550
OG0002118	XP_020877554.1	As002G051600
OG0002119	XP_020876740.1, XP_020878028.1	As002G052490, As009G215680
OG0002120	XP_020876252.1	As009G217000
OG0002120	XP_020878155.1, XP_002871342.1	As002G054310
OG0002121	XP_002866456.1	As009G218370
OG0002121	XP_020878612.1	As002G055430
OG0002122	XP_020889763.1	As004G091050
OG0002122	XP_002870109.1	As003G055700
OG0002123	XP_002865237.1	As004G088050
OG0002123	XP_020874524.1	As003G057490
OG0002124	XP_020867528.1	As004G087910
OG0002124	XP_002867952.1	As003G057570
OG0002125	XP_020874727.1	As003G058390
OG0002125	XP_020891554.1	As004G087050
OG0002126	XP_002874836.1	As004G086210
OG0002126	XP_020872909.1	As003G059150
OG0002127	XP_020878448.1	As004G084210
OG0002127	XP_020873465.1	As003G061890
OG0002128	XP_020878669.1	As004G083870
OG0002128	XP_020868992.1	As003G062310
OG0002129	XP_020879044.1	As004G083170
OG0002129	XP_002891070.1	As003G063110
OG0002130	XP_002879136.1, XP_002880969.1	As003G063540
OG0002131	XP_020878372.1, XP_020869119.1	As003G070530, As007G154020, As007G153030, As008G197820
OG0002132	XP_002867066.1	As003G071840
OG0002132	XP_020887286.1	As011G264530
OG0002133	XP_002867063.1, XP_020872242.1	As003G071900
OG0002134	XP_002867042.1	As003G072310
OG0002135	XP_020888924.1, XP_020873013.1	As003G073010
OG0002136	XP_002866820.1	As003G076020
OG0002137	XP_002868713.1, XP_002868712.1	As004G078390
OG0002138	XP_020885763.1	As004G081040
OG0002138	XP_020883126.1	As004G081050
OG0002139	XP_002865467.1	As004G082130
OG0002140	XP_002872503.1, XP_002874615.1	As004G083590
OG0002141	XP_020874396.1	As004G094840
OG0002141	XP_002883467.1	As011G255830
OG0002142	XP_002876703.1	As012G288880
OG0002142	XP_020884784.1, XP_002867754.1	As005G098660
OG0002143	XP_002876699.1	As012G288840
OG0002143	XP_020884478.1	As005G098750
OG0002144	XP_020884460.1, XP_002881859.1	As005G104820
OG0002145	XP_020884634.1, XP_002876451.1	As005G105110
OG0002146	XP_020881322.1	As010G226030
OG0002146	XP_002872013.1	As005G113570
OG0002147	XP_002866356.1, XP_002866355.1	As005G114740
OG0002149	XP_002866535.1	As005G116000
OG0002150	XP_020881753.1	As005G119390
OG0002151	XP_020883788.1	As005G119890
OG0002151	XP_020887642.1	As011G265280
OG0002152	XP_020876326.1	As006G121340
OG0002152	XP_002892042.1	As008G199170
OG0002153	XP_020870069.1	As008G199090
OG0002153	XP_020879542.1	As006G121420, As006G121450, As006G121430, As006G121440
OG0002154	XP_020886793.1	As006G124450
OG0002154	XP_020870732.1	As008G197060
OG0002155	XP_020871032.1	As006G124840
OG0002155	XP_002892201.1	As008G196370
OG0002156	XP_002881268.1	As006G125510
OG0002156	XP_002885624.1	As011G256260
OG0002157	XP_020885307.1	As006G126130
OG0002157	XP_020870784.1	As008G195150
OG0002158	XP_020875088.1, XP_002867491.1	As006G134420
OG0002159	XP_020886676.1	As006G135630
OG0002159	XP_002871710.1	As009G202140
OG0002161	XP_002884455.1	As006G137820
OG0002162	XP_020887533.1	As011G255490
OG0002162	XP_020889393.1	As006G139680
OG0002164	XP_002865722.1	As006G140400
OG0002165	XP_020878507.1, XP_002884685.1	As006G141860
OG0002166	XP_002878068.1	As012G282620
OG0002166	XP_020883743.1	As006G142540
OG0002167	XP_002881662.1	As006G143510
OG0002168	XP_002879581.1	As006G144410
OG0002168	XP_020881688.1	As012G275860
OG0002169	XP_002881605.1	As006G147220
OG0002170	XP_002887809.1	As010G243340
OG0002171	XP_002890153.1	As007G152690
OG0002171	XP_002889262.1	As010G243080
OG0002172	XP_002890154.1	As007G152710
OG0002172	XP_020891604.1	As010G243060
OG0002173	XP_020868560.1	As007G162550, As007G152940
OG0002175	XP_020891505.1, XP_020868621.1	As007G157000
OG0002176	XP_020866448.1	As007G158590
OG0002177	XP_002890547.1	As007G159160
OG0002177	XP_002888817.1	As010G233980
OG0002178	XP_020889993.1	As010G233400
OG0002178	XP_020870554.1	As007G159520
OG0002179	XP_002888613.1	As010G228080
OG0002179	XP_002890710.1	As007G161940
OG0002181	XP_020873147.1	As007G180290
OG0002182	XP_020871208.1	As009G217880
OG0002182	XP_020869266.1	As008G183490
OG0002183	XP_002892750.1, XP_020880066.1	As008G184110
OG0002184	XP_002893613.1, XP_002892663.1	As008G185390
OG0002185	XP_020891571.1	As008G185450
OG0002186	XP_020890035.1, XP_020866950.1	As008G186630
OG0002187	XP_002892522.1, XP_020887330.1	As008G187990, As008G187980
OG0002188	XP_002892295.1	As008G194770
OG0002189	XP_020888308.1, XP_020876037.1	As009G212710
OG0002190	XP_020886856.1, XP_002873171.1	As009G214050
OG0002191	XP_020886172.1, XP_002872196.1, XP_002872195.1	As009G214800, As009G214810, As009G214820, As009G214830
OG0002192	XP_020881775.1, XP_002874051.1	As010G226340, As010G226370
OG0002193	XP_002871914.1	As010G227440
OG0002194	XP_020870666.1	As012G267860
OG0002194	XP_002884935.1	As011G244820
OG0002195	XP_002882822.2	As011G245320
OG0002195	XP_002894508.1	As012G268390, As012G268380
OG0002196	XP_020874334.1	As012G274610
OG0002196	XP_020889216.1	As011G248930
OG0002197	XP_020889177.1	As011G249530
OG0002197	XP_020868379.1	As012G273930
OG0002198	XP_020888127.1	As011G250040
OG0002198	XP_020868449.1	As012G273610
OG0002199	XP_020888849.1	As011G250200
OG0002199	XP_020867041.1	As012G273540
OG0002200	XP_002884156.1, XP_002886203.1	As011G263110, As011G263100, As011G263120, As011G263140
OG0002201	XP_020888532.1, XP_020885923.1	As011G263850
OG0002202	XP_020887615.1, XP_020887616.1	As011G264220
OG0002203	XP_020886506.1	As011G265590
OG0002204	XP_020888643.1, XP_020887811.1	As011G265910
OG0002205	XP_002894230.1	As012G272390
OG0002206	XP_002894213.1, XP_020888577.1	As012G272700
OG0002207	XP_020874651.1	As012G274600
OG0002207	XP_020874650.1	As012G274590
OG0002209	XP_002880180.1, XP_020881142.1	As012G287010
OG0002219	XP_020874204.1	As011G266500, As001G001030
OG0002220	XP_020873130.1	As001G001360
OG0002220	XP_002883976.1	As011G266370
OG0002221	XP_020888120.1	As011G266270
OG0002222	XP_002867242.1	As001G003170
OG0002223	XP_020872516.1, XP_020866954.1, XP_020868571.1, XP_020867575.1	As001G003220
OG0002224	XP_020885203.1	As007G177890
OG0002224	XP_020874498.1	As001G003870
OG0002225	XP_020873212.1, XP_002878840.1	As001G004480, As007G167250
OG0002226	XP_020874463.1	As001G013710
OG0002226	XP_020887344.1	As011G262760
OG0002227	XP_002886108.1	As011G264310
OG0002228	XP_002881394.1	As004G079560
OG0002228	XP_020869919.1	As001G016920
OG0002229	XP_020880633.1, XP_020882522.1	As001G022380
OG0002230	XP_002876790.1	As001G023120
OG0002231	XP_020866966.1	As008G183860
OG0002232	XP_002875297.1	As001G025040
OG0002232	XP_020867865.1	As008G184120
OG0002234	XP_020872961.1	As004G078540
OG0002234	XP_020882234.1	As001G027460
OG0002235	XP_020890000.1	As001G028650
OG0002236	XP_002870534.1	As004G077180
OG0002237	XP_002870497.1	As004G077070
OG0002237	XP_002888443.1	As001G029300
OG0002238	XP_020890557.1, XP_002868578.1	As001G030680
OG0002239	XP_020865871.1	As001G032110
OG0002240	XP_002864505.1	As002G048910
OG0002240	XP_002867587.1	As002G032600
OG0002241	XP_020878565.1	As005G106870
OG0002241	XP_020887082.1	As002G033920
OG0002242	XP_020886100.1, XP_020878424.1	As002G035430
OG0002243	XP_020890710.1	As002G035850
OG0002244	XP_002864829.1, XP_020888323.1, XP_002885463.1	As002G037570
OG0002245	XP_002867623.1	As007G164410
OG0002245	XP_020882877.1	As002G043270
OG0002246	XP_002862377.1, XP_020872012.1	As002G043800
OG0002246	XP_002865878.1	As002G043790
OG0002247	XP_020882984.1	As002G043870
OG0002248	XP_002866046.1	As002G046280
OG0002248	XP_020873380.1	As006G132480
OG0002249	XP_020883500.1	As002G046860
OG0002249	XP_020873459.1	As006G134430
OG0002250	XP_020873293.1	As006G134310
OG0002251	XP_020885990.1	As002G048040
OG0002251	XP_020873623.1	As006G134130
OG0002252	XP_020868444.1, XP_020873385.1	As003G068140, As003G068150, As002G049250
OG0002253	XP_020870383.1	As002G050570, As007G162200
OG0002254	XP_020879404.1, XP_020878115.1	As002G050950
OG0002255	XP_020875901.1	As005G109480
OG0002255	XP_002873544.1	As002G051240
OG0002256	XP_020868556.1	As004G088090
OG0002256	XP_002867964.1	As003G057450
OG0002257	XP_020873713.1	As003G060360
OG0002257	XP_020873671.1	As003G060350
OG0002258	XP_002893647.1, XP_002881362.1	As003G071400
OG0002259	XP_002867022.1, XP_020872899.1, XP_020872900.1	As003G072530
OG0002260	XP_002869811.1, XP_002891065.1, XP_002893786.1	As003G073150
OG0002261	XP_020872239.1, XP_002869010.1	As003G073200
OG0002262	XP_020875668.1	As003G073490
OG0002262	XP_020885434.1	As007G179650
OG0002263	XP_020875350.1	As003G074930
OG0002263	XP_020884845.1	As007G180440
OG0002264	XP_020884626.1, XP_002868854.1	As003G076150
OG0002265	XP_020872988.1, XP_002877175.1	As004G078230
OG0002266	XP_002863736.1	As004G082310
OG0002267	XP_002868346.1	As004G094550
OG0002267	XP_002883484.1	As011G256140
OG0002268	XP_020885931.1	As011G255280
OG0002268	XP_020873062.1	As004G095460
OG0002269	XP_002870306.1	As004G095670
OG0002269	XP_002885542.1	As011G254970
OG0002270	XP_002883384.1	As004G095780
OG0002271	XP_020886692.1	As011G254180
OG0002271	XP_002868226.1	As004G096150
OG0002272	XP_020886041.1	As004G096630, As011G253440
OG0002273	XP_020880420.1	As012G287020
OG0002273	XP_020885589.1	As005G101670
OG0002274	XP_002881956.1	As005G102930
OG0002274	XP_020882460.1	As012G285990
OG0002275	XP_020883339.1	As005G103040
OG0002276	XP_002881949.1	As005G103070
OG0002276	XP_020880247.1	As012G285930
OG0002277	XP_002876442.1	As012G284270
OG0002277	XP_002881829.1	As005G105240
OG0002278	XP_020880872.1	As012G283950
OG0002278	XP_020883757.1	As005G105690
OG0002279	XP_020878966.1	As005G106590
OG0002279	XP_002882278.1	As006G136200
OG0002280	XP_002875702.1	As010G225820
OG0002280	XP_002872023.1	As005G113800
OG0002281	XP_020879685.1	As010G225790
OG0002281	XP_002874104.1	As005G113820
OG0002282	XP_020882498.1, XP_020882572.1	As005G114390
OG0002283	XP_020883947.1	As005G118460
OG0002284	XP_020868346.1, XP_020878268.1	As006G121770
OG0002285	XP_020876384.1, XP_020866638.1	As006G124180
OG0002285	XP_020869569.1	As008G196900
OG0002286	XP_020871949.1	As006G124410
OG0002287	XP_002892302.1	As008G194720
OG0002287	XP_002879349.1	As006G126840
OG0002288	XP_020884815.1, XP_002892327.1	As006G127520
OG0002289	XP_020870896.1, XP_020870898.1	As008G192670, As006G143160, As006G129000
OG0002290	XP_020884183.1	As006G130740
OG0002291	XP_020872675.1, XP_020884606.1	As006G131820
OG0002292	XP_020878482.1	As009G199850
OG0002292	XP_020886217.1	As006G133070
OG0002293	XP_002884296.1	As006G135020
OG0002293	XP_020876609.1	As009G201080
OG0002294	XP_020877575.1	As009G202150
OG0002294	XP_020886677.1	As006G135640
OG0002295	XP_020878349.1, XP_020889332.1	As006G135770
OG0002296	XP_020887869.1	As006G135950
OG0002297	XP_020879327.1	As009G202760
OG0002297	XP_020888992.1	As006G136000
OG0002298	XP_020888669.1	As006G136540
OG0002299	XP_020878698.1	As009G205760
OG0002299	XP_020887210.1, XP_020873809.1	As006G139080
OG0002300	XP_002865725.2	As009G208050
OG0002301	XP_020888782.1, XP_020890474.1	As006G140570
OG0002302	XP_002879650.2	As006G145700
OG0002302	XP_020882364.1	As012G276990
OG0002303	XP_020889875.1	As010G243690
OG0002303	XP_020870647.1	As007G152260
OG0002304	XP_020869558.1	As007G152800
OG0002304	XP_020891331.1	As010G242920
OG0002305	XP_020891697.1	As010G242620
OG0002305	XP_002890166.2	As007G152910
OG0002306	XP_020867778.1	As007G153120
OG0002306	XP_020891354.1	As010G242410
OG0002307	XP_002893011.1	As007G155170
OG0002308	XP_002893149.1	As007G157100
OG0002308	XP_020891042.1	As010G236750
OG0002309	XP_002890469.1	As007G157880
OG0002309	XP_020890630.1, XP_020872960.1	As010G235820
OG0002310	XP_020867046.1	As007G158020
OG0002310	XP_020891016.1	As010G235690
OG0002311	XP_020867768.1	As007G159800
OG0002311	XP_002888763.1	As010G233250
OG0002312	XP_002887284.1	As010G233170
OG0002313	XP_002890666.1	As007G160900
OG0002313	XP_020865978.1	As010G232070
OG0002314	XP_002890712.1	As007G161970
OG0002314	XP_002888611.1	As010G228200
OG0002315	XP_002867349.1	As007G179120
OG0002317	XP_020867784.1, XP_020879140.1, XP_020874157.1, XP_020873082.1, XP_002868555.1	As008G191700
OG0002320	XP_002892071.1	As009G203290, As008G198660
OG0002321	XP_002884908.1, XP_002873617.1	As009G210450
OG0002324	XP_002887348.2, XP_020891143.1	As010G234070, As010G234060
OG0002325	XP_020887396.1	As011G245000
OG0002325	XP_020868475.1	As012G267960
OG0002326	XP_020886844.1	As011G245270
OG0002326	XP_002894514.1	As012G268280
OG0002327	XP_002891767.2	As012G269490
OG0002327	XP_002885040.1	As011G246480
OG0002328	XP_020888689.1	As011G247870
OG0002328	XP_002894393.1	As012G270520
OG0002329	XP_020888673.1	As011G250400
OG0002329	XP_002891453.1	As012G273150
OG0002330	XP_020870612.1	As012G273200
OG0002330	XP_020887395.1	As011G250470
OG0002331	XP_020885851.1	As011G253230
OG0002331	XP_002894320.1	As012G271530
OG0002332	XP_020888743.1, XP_020885922.1, XP_020866428.1, XP_020872583.1, XP_020874194.1, XP_020865690.1, XP_020880710.1, XP_020871463.1, XP_020879223.1, XP_020884718.1	As011G259980
OG0002333	XP_020872151.1	As011G262900
OG0002334	XP_002886298.1, XP_020875578.1	As011G267380
OG0002335	XP_020868005.1, XP_020888447.1	As012G270830
OG0002336	XP_002891683.1	As012G270850
OG0002337	XP_020881979.1	As012G276000
OG0002338	XP_020881139.1, XP_020883884.1	As012G282580
OG0002339	XP_002879926.1, XP_002876397.1	As012G283640
OG0002348	XP_002886294.1, XP_020874883.1	As001G000290
OG0002349	XP_002869494.1	As001G000470
OG0002349	XP_002886279.1	As011G267120
OG0002350	XP_002867423.1	As011G266520
OG0002350	XP_002886018.1	As001G000960
OG0002351	XP_002878716.1	As007G178570
OG0002351	XP_020872862.1	As001G002790
OG0002352	XP_020884158.1	As007G178130
OG0002352	XP_002867309.1	As001G003450
OG0002353	XP_002867087.1	As001G015080, As001G015070
OG0002354	XP_002893845.1	As001G015950
OG0002354	XP_002881406.1	As004G079070
OG0002355	XP_020866379.1, XP_020886786.1	As001G018710
OG0002356	XP_020868169.1	As008G188060
OG0002356	XP_020890874.1	As001G019650
OG0002357	XP_020881540.1	As001G020450
OG0002357	XP_020868833.1	As008G187120
OG0002358	XP_020880017.1	As008G182760, As001G023080
OG0002359	XP_002892815.1	As008G182860
OG0002359	XP_020881092.1	As001G023380
OG0002360	XP_002875123.1, XP_002875122.1	As001G023460, As001G023470
OG0002361	XP_020874926.1	As004G097560
OG0002361	XP_020881211.1	As001G026270
OG0002362	XP_002877065.1	As001G026570
OG0002362	XP_020874720.1	As004G097290
OG0002363	XP_002875417.1, XP_020874168.1	As001G026840
