Orthogroup	Erysimum_linariifolium	Capsella_rubella
OG0003039	El004G201800	XP_006300657.1
OG0003040	El004G201610, El004G201650	XP_006302542.1
OG0003041	El004G200490	XP_006301941.2
OG0003041	El002G093750	XP_006304314.1
OG0003042	El001G042860	XP_006291729.1
OG0003043	El004G212690	XP_006302994.1
OG0003044	El002G095760	XP_023645238.1
OG0003044	El004G197580	XP_006302066.1
OG0003045	El005G247690, El005G247680	XP_023641496.1
OG0003046	El007G339690	XP_023643327.1
OG0003046	El003G156130	XP_006283056.1
OG0003047	El007G326150	XP_023641456.1
OG0003048	El007G326880	XP_006281338.1
OG0003048	El001G073130	XP_023637134.1
OG0003049	El003G169350	XP_023635656.1
OG0003049	El007G366280	XP_006281997.1
OG0003050	El001G006710	XP_006288513.1
OG0003050	El003G162740	XP_006284357.1
OG0003051	El003G162460	XP_023635228.1
OG0003051	El001G007100	XP_006287184.1
OG0003052	El001G009940	XP_023636687.1
OG0003052	El002G123120	XP_006306961.1
OG0003053	El001G011450	XP_006287079.1
OG0003053	El006G301510	XP_006293708.1
OG0003054	El002G130190	XP_006307520.1
OG0003054	El007G357390	XP_006279885.2
OG0003055	El002G113880	XP_023645807.1
OG0003056	El006G298090	XP_006296145.1
OG0003056	El002G113930	XP_006305266.1
OG0003057	El003G146600	XP_023635434.1
OG0003057	El005G275170	XP_006299275.1
OG0003058	El006G318290	XP_006296162.1
OG0003058	El003G145200	XP_006285189.1
OG0003059	El006G296000	XP_006296111.1
OG0003059	El007G361920	XP_006280402.1
OG0003060	El001G005080	XP_023637560.1
OG0003061	El007G366560	XP_006282082.1
OG0003062	El003G182720	XP_023633880.1
OG0003062	El005G271300	XP_006299724.2
OG0003063	El005G268140	XP_006297684.1
OG0003063	El003G178200	XP_006285259.2
OG0003064	El005G264760, El003G175160	XP_006298891.1
OG0003065	El003G173290	XP_006284906.1
OG0003065	El005G260370	XP_006300206.1
OG0003066	El004G195180	XP_023643965.1
OG0003066	El004G202720	XP_006300525.1
OG0003067	El001G032660	XP_006291552.1
OG0003068	El001G031390	XP_006292783.1
OG0003068	El006G285030	XP_006294349.1
OG0003070	El001G011840	XP_006293128.1
OG0003070	El001G059170	XP_006289996.1
OG0003071	El001G014080	XP_006292450.1
OG0003071	El007G330260	XP_006281214.1
OG0003072	El007G330680	XP_006280128.1
OG0003073	El005G240810	XP_023642215.1
OG0003073	El001G050930	XP_006286399.2
OG0003074	El001G019670	XP_006291633.1
OG0003074	El007G324230	XP_006280935.1
OG0003075	El007G324080	XP_006279535.1
OG0003075	El001G019740	XP_006292265.1
OG0003076	El007G323120	XP_023644266.1
OG0003076	El001G020560	XP_006291367.1
OG0003077	El003G160610	XP_023634400.1
OG0003078	El001G021500	XP_006291736.1
OG0003079	El001G000770	XP_023636204.1
OG0003079	El002G082980	XP_006304638.1
OG0003080	El006G300740	XP_023639574.1
OG0003080	El002G088130	XP_023645476.1
OG0003081	El007G329410	XP_023633438.1
OG0003082	El006G302170	XP_006294053.1
OG0003083	El002G089800	XP_006304695.2
OG0003083	El006G303190	XP_023640037.1
OG0003084	El006G306330, El006G306320	XP_006295264.1
OG0003085	El006G307320	XP_006294624.1
OG0003087	El005G237540	XP_006297603.1
OG0003087	El001G063660	XP_006287673.1
OG0003089	El005G240680	XP_006298123.1
OG0003089	El001G050720	XP_006288233.1
OG0003090	El001G061560, El001G061550	XP_006286363.1
OG0003090	El005G241420, El005G241430	XP_006297026.1
OG0003091	El001G022040	XP_023638176.1
OG0003093	El004G234240	XP_006300629.1
OG0003094	El002G101130	XP_006307605.1
OG0003094	El004G231890	XP_006302333.1
OG0003095	El002G101380	XP_006307109.1
OG0003095	El007G343840	XP_006280247.1
OG0003096	El007G356950	XP_006281166.1, XP_006281178.1
OG0003097	El002G109700	XP_006303937.1
OG0003097	El004G221370	XP_006301045.1
OG0003098	El002G098870	XP_006304133.1
OG0003099	El001G020450	XP_006290402.2
OG0003100	El002G089260	XP_006305208.1
OG0003101	El001G066610	XP_023637030.1
OG0003101	El005G235630	XP_006282333.1
OG0003102	El001G067820, El001G067830	XP_006290124.1
OG0003103	El007G329350	XP_006279856.1
OG0003103	El001G074130	XP_006286959.1
OG0003104	El005G265710	XP_006279962.1
OG0003105	El001G017420	XP_006290495.1
OG0003105	El001G017430	XP_023638014.1
OG0003106	El007G322320	XP_006279622.1
OG0003106	El001G021440	XP_006290918.1
OG0003107	El007G328280	XP_006279906.1
OG0003107	El001G016790	XP_023637782.1
OG0003108	El001G011780, El004G194940	XP_006290600.1
OG0003108	El001G059220	XP_006289752.1
OG0003109	El004G212780, El004G225430	XP_006302823.1
OG0003110	El004G233200	XP_023644382.1
OG0003110	El002G141550	XP_023644728.1
OG0003111	El005G249350	XP_006298160.1
OG0003111	El002G140600	XP_006303178.1
OG0003112	El005G243440	XP_023642002.1
OG0003112	El005G249470	XP_023641065.1
OG0003113	El005G252500	XP_006299318.1
OG0003113	El005G252490	XP_006298254.1
OG0003114	El005G256680	XP_006298223.1
OG0003115	El002G136030	XP_006303488.1
OG0003116	El005G265020	XP_006296683.1
OG0003117	El005G268250	XP_006299105.2
OG0003117	El003G178310	XP_006285207.1
OG0003118	El001G002330	XP_006287526.1
OG0003119	El005G273670	XP_006297614.1
OG0003120	El005G273720	XP_006297087.1
OG0003120	El003G147710	XP_006283215.1
OG0003121	El005G249990	XP_006296845.1
OG0003121	El002G139970	XP_006304604.1
OG0003122	El002G117340, El002G117320	XP_006305895.2
OG0003123	El001G024170	XP_023638105.1
OG0003124	El001G024760	XP_023638316.1
OG0003127	El004G195910	XP_023642996.1
OG0003129	El003G166090, El001G058340	XP_023635702.1
OG0003130	El005G243300, El007G343200	XP_006299516.1, XP_006279044.2
OG0003131	El006G304810	XP_023642934.1, XP_023640578.1
OG0003139	El003G154530	XP_023634032.1
OG0003139	El003G153880, El003G153450	XP_006282861.1
OG0003141	El003G148100	XP_023634971.1
OG0003142	El003G147000	XP_023634716.1
OG0003142	El005G274630	XP_006299883.1
OG0003143	El003G171140	XP_006282574.1
OG0003144	El002G093920	XP_006305951.1
OG0003144	El004G200640	XP_006301799.2
OG0003145	El002G093940	XP_006304451.1
OG0003145	El004G200360	XP_006300615.1
OG0003146	El001G037280	XP_006292801.1
OG0003146	El002G098530	XP_006305891.1
OG0003147	El003G192100	XP_006286072.1
OG0003147	El001G041670	XP_023638084.1
OG0003148	El001G042080	XP_006292474.2
OG0003150	El001G045030	XP_006290933.1
OG0003151	El003G184140	XP_006283832.1
OG0003152	El004G194660	XP_006301732.1
OG0003152	El003G193130	XP_023634336.1
OG0003153	El004G194670	XP_006303011.1
OG0003153	El003G193110	XP_023635084.1
OG0003154	El004G195930	XP_023642989.1
OG0003155	El001G077440	XP_006289738.1
OG0003156	El002G131530	XP_006305194.1
OG0003157	El003G157610	XP_006284183.1
OG0003158	El001G071880	XP_023635899.1
OG0003159	El003G165430	XP_023635154.1
OG0003160	El002G113250	XP_006305464.1
OG0003161	El004G212140, El004G212330	XP_006301664.2
OG0003162	El004G215020, El004G214990	XP_006302911.1
OG0003163	El001G005250	XP_006289634.2
OG0003163	El003G163900	XP_006285930.1
OG0003164	El003G177750	XP_006285842.1
OG0003164	El005G267580	XP_006297780.1
OG0003165	El004G216330, El004G232260	XP_006301909.1
OG0003166	El006G282170	XP_006294536.1
OG0003166	El001G033390	XP_006291404.1
OG0003167	El006G282910	XP_023639331.1
OG0003168	El005G244080	XP_006296779.2
OG0003168	El005G244060, El005G244050	XP_006299756.1
OG0003169	El005G244760	XP_006299797.1
OG0003169	El001G080200	XP_006288714.1
OG0003170	El001G019990	XP_023638763.1
OG0003170	El007G323860	XP_006280940.1
OG0003171	El001G001650	XP_006288017.1
OG0003172	El001G001720	XP_023637094.1, XP_023637654.1
OG0003174	El001G004040	XP_006287734.1
OG0003174	El002G085350	XP_006307501.1
OG0003175	El002G086940	XP_006306689.1
OG0003175	El006G299310	XP_006293436.1
OG0003177	El006G303440, El006G303450	XP_023639558.1, XP_006294939.1
OG0003178	El001G067440	XP_006287365.1
OG0003179	El005G234940	XP_006300265.2
OG0003179	El001G067540	XP_006286781.1
OG0003180	El001G047710	XP_006289663.1
OG0003181	El005G240450	XP_006299796.1
OG0003182	El005G244040	XP_006300034.1, XP_023641246.1
OG0003182	El001G081740	XP_006289419.1
OG0003183	El003G171610	XP_006285261.2
OG0003183	El006G290810	XP_006293868.1
OG0003184	El006G294750, El006G294760	XP_006295518.1
OG0003185	El006G292030, El006G292020	XP_006294282.1, XP_023640190.1
OG0003186	El002G102670	XP_023645693.1
OG0003187	El004G228780	XP_006302193.1
OG0003187	El002G104540	XP_006307354.1
OG0003188	El002G105040	XP_006304292.1
OG0003189	El002G105060	XP_006305646.1
OG0003189	El002G106680, El002G105070	XP_006306476.1
OG0003190	El004G230610	XP_006303042.2
OG0003190	El002G106260	XP_006305794.1
OG0003191	El004G229630	XP_006302416.1
OG0003192	El001G050850	XP_006289423.1
OG0003192	El002G102270	XP_006303165.1
OG0003193	El004G217770	XP_006300765.1
OG0003193	El002G112780	XP_023645189.1
OG0003194	El003G151930	XP_006283459.1
OG0003194	El006G317120	XP_023639338.1
OG0003195	El006G320170	XP_006296134.1
OG0003195	El006G320520	XP_023640201.1
OG0003196	El002G099050	XP_006305801.1
OG0003197	El004G197310, El004G197880	XP_006303055.2
OG0003197	El002G095870	XP_023645215.1
OG0003198	El004G209290	XP_006300956.2
OG0003199	El005G272400	XP_006300216.1
OG0003199	El005G272420	XP_006297095.2
OG0003200	El002G091160	XP_006303723.2
OG0003200	El007G360920	XP_006306342.1
OG0003201	El002G086770	XP_006306939.1
OG0003201	El002G093250	XP_023633083.1
OG0003202	El002G085750, El007G345270	XP_023645712.1
OG0003203	El001G048650	XP_006288403.2
OG0003204	El001G078070	XP_023636955.1
OG0003205	El003G172910	XP_006282524.1
OG0003205	El001G052840	XP_006286403.1
OG0003205	El001G003230	XP_006289858.2
OG0003206	El003G150500	XP_006285786.2
OG0003206	El001G052960	XP_023636432.1
OG0003207	El007G330090	XP_006281059.2
OG0003208	El004G229760	XP_023642976.1
OG0003208	El004G229750	XP_023644203.1
OG0003209	El005G250520	XP_023642378.1
OG0003210	El005G250630	XP_023641299.1
OG0003211	El001G048400, El005G251850	XP_006281160.1, XP_006298690.1
OG0003212	El005G252550, El005G252540	XP_006300242.1
OG0003213	El002G120520, El005G252910	XP_006298721.1
OG0003214	El005G255070	XP_006298550.1
OG0003214	El002G132300	XP_006303525.1
OG0003215	El005G255900	XP_006298635.1
OG0003216	El005G276360	XP_006299202.2
OG0003216	El005G276380, El005G276370, El005G276430	XP_006282526.2, XP_006297415.2
OG0003217	El005G279140	XP_006297625.1
OG0003217	El003G155470	XP_006283715.1
OG0003218	El002G138080	XP_023644974.1
OG0003218	El002G138090	XP_006305531.1
OG0003219	El002G135920	XP_006307656.1
OG0003220	El005G257110	XP_006298078.1
OG0003220	El002G134130	XP_023645732.1
OG0003222	El001G025880	XP_006291701.1
OG0003222	El001G025890	XP_006291724.1
OG0003223	El006G314160	XP_006295082.1
OG0003224	El001G027230	XP_006291562.1
OG0003225	El001G027450	XP_006290583.1
OG0003226	El001G031400	XP_006292758.1
OG0003226	El006G285020	XP_023639620.1
OG0003227	El004G216020, El004G216040, El004G216050, El004G216060	XP_006302479.2
OG0003227	El004G216010	XP_006302575.2
OG0003228	El001G019300	XP_006292024.1
OG0003229	El005G273060, El004G227160	XP_006299339.1
OG0003230	El007G366320	XP_006279811.2
OG0003231	El003G165910	XP_023633870.1
OG0003233	El003G142720	XP_006283947.1
OG0003234	El006G306160	XP_006295904.1
OG0003234	El002G090960	XP_006306431.1
OG0003235	El002G096750	XP_023632957.1
OG0003236	El002G103610	XP_023644977.1
OG0003238	El005G249660	XP_023635701.1
OG0003239	El001G002230	XP_023633351.1, XP_023634299.1, XP_023636145.1
OG0003239	El001G005320	XP_023634301.1
OG0003241	El004G212710	XP_023637087.1, XP_006302784.1
OG0003243	El003G177550	XP_023633413.1, XP_023644432.1
OG0003247	El006G317700	XP_006295064.1
OG0003248	El003G152300	XP_023634553.1
OG0003248	El006G317670	XP_006293720.2
OG0003249	El003G150710	XP_023634497.1
OG0003249	El006G314910	XP_006294869.2
OG0003250	El003G150430	XP_006285557.1
OG0003250	El006G314370	XP_023639380.1
OG0003251	El003G173270	XP_006286210.1
OG0003252	El003G148910	XP_006282972.1
OG0003253	El007G360150	XP_006279075.1, XP_006281468.1, XP_006282361.1
OG0003254	El006G287240	XP_006296268.1
OG0003255	El002G118250	XP_006303203.1
OG0003255	El002G093130	XP_006305679.1
OG0003256	El002G096880	XP_006307612.1
OG0003256	El001G039590	XP_006291040.1
OG0003257	El001G043120	XP_006291239.1
OG0003258	El003G187900	XP_006284765.1
OG0003258	El001G046480	XP_006279460.1
OG0003259	El004G218360	XP_023643008.1
OG0003259	El004G197920	XP_006301946.1
OG0003259	El004G197910	XP_006302714.2
OG0003260	El005G270390	XP_006293262.1, XP_006290809.1
OG0003261	El007G340070	XP_006281571.2
OG0003262	El007G338940	XP_006279669.2
OG0003262	El003G156720	XP_006282698.1
OG0003263	El003G157390	XP_006284754.1
OG0003263	El007G337350	XP_023643881.1
OG0003264	El001G070380	XP_006287786.1
OG0003264	El001G052900	XP_006287744.1
OG0003265	El001G071200	XP_006290094.1
OG0003266	El001G056740	XP_023637718.1
OG0003266	El001G073450	XP_006286568.1
OG0003267	El001G073620	XP_006286595.1
OG0003268	El003G167660, El003G167730	XP_006285421.1
OG0003269	El001G006020	XP_006286358.1
OG0003270	El002G124810, El002G124800	XP_006306012.2, XP_006306203.2
OG0003271	El002G113680	XP_023644886.1
OG0003273	El002G117290	XP_006305469.1
OG0003273	El006G296330	XP_006294720.1
OG0003274	El005G274800	XP_006298711.1
OG0003274	El003G146880	XP_006284550.2
OG0003275	El005G275140	XP_006299001.1
OG0003275	El003G146630	XP_006285246.1
OG0003276	El005G276320	XP_006297953.1
OG0003277	El003G145630, El005G276670	XP_006285554.2
OG0003278	El006G321500	XP_006295776.2
OG0003278	El003G142220	XP_006284310.1
OG0003279	El003G142210	XP_006283575.1
OG0003280	El006G295500	XP_006295268.1
OG0003280	El002G118930	XP_006303413.2
OG0003281	El007G363610	XP_006280657.1, XP_006281787.2
OG0003282	El003G183530	XP_006283233.1
OG0003282	El005G270150	XP_006297077.1
OG0003283	El003G178620, El003G180760	XP_023634540.1
OG0003283	El005G268430	XP_006298377.1
OG0003284	El003G176730	XP_006282594.1
OG0003285	El003G176660	XP_006283141.1
OG0003286	El003G174450	XP_006284802.1
OG0003287	El003G174150	XP_006284124.1
OG0003288	El007G343180	XP_006280350.1
OG0003288	El006G280280	XP_006296086.1
OG0003289	El006G284950	XP_006296003.1
OG0003292	El001G057570	XP_006289156.2, XP_023636449.1
OG0003293	El001G018170	XP_006290729.1
OG0003294	El007G325720	XP_006281386.1
OG0003294	El001G072230	XP_006288969.1
OG0003295	El001G019580	XP_006290548.1
OG0003295	El007G324370	XP_006279943.1
OG0003296	El007G322620	XP_006279829.1
OG0003296	El001G021060	XP_006292971.2
OG0003297	El001G021210	XP_023638376.1
OG0003297	El007G322450	XP_006281675.2
OG0003298	El007G360110	XP_006281535.1
OG0003298	El002G085820	XP_023645228.1
OG0003299	El006G299570	XP_006295065.1
OG0003299	El002G087220	XP_023645770.1
OG0003300	El002G089660	XP_006306455.1
OG0003300	El006G302900	XP_006295366.1
OG0003301	El006G308130, El006G308110	XP_006293453.1, XP_006293454.1
OG0003302	El006G311830	XP_006295415.1
OG0003302	El003G149440	XP_006285466.1
OG0003303	El005G234930	XP_023642404.1
OG0003303	El001G067560	XP_006287937.1
OG0003304	El005G243870	XP_006296741.1
OG0003305	El001G064070	XP_006287873.1
OG0003306	El005G239600	XP_006298205.1
OG0003307	El005G239990	XP_006298054.1
OG0003308	El005G242910	XP_006298757.1
OG0003308	El007G349280	XP_006279504.1
OG0003309	El007G349210, El003G159410	XP_006283973.1
OG0003310	El002G101120	XP_023632732.1
OG0003310	El004G231910	XP_006300814.1
OG0003311	El002G101280, El007G358180	XP_006305593.1
OG0003312	El004G225750	XP_006302579.1
OG0003312	El002G102490	XP_006303627.1
OG0003313	El004G226000	XP_006303729.1
OG0003314	El004G227300	XP_023643100.1
OG0003314	El002G103100	XP_023644614.1
OG0003315	El002G105550	XP_006307528.1
OG0003316	El001G045000, El002G107210, El002G107230	XP_023632718.1, XP_006304762.1
OG0003317	El002G107700	XP_006301142.1, XP_006300971.1, XP_006301344.1, XP_006301788.1, XP_006284897.2, XP_006306009.2
OG0003318	El002G108610, El002G108600	XP_006304050.1
OG0003319	El002G110790	XP_023644841.1
OG0003319	El002G110240, El002G110780	XP_023643463.1
OG0003320	El002G112390	XP_023645582.1
OG0003321	El006G315270	XP_006294253.1
OG0003321	El003G150870	XP_023633738.1
OG0003322	El001G057300	XP_023637334.1
OG0003322	El002G095000	XP_006307355.1
OG0003324	El001G066340	XP_006287626.1
OG0003325	El001G049040	XP_006286930.1
OG0003326	El001G075160	XP_023637273.1
OG0003326	El001G075170	XP_023637180.1
OG0003327	El001G076510	XP_006287444.2, XP_006287339.1
OG0003328	El001G056040	XP_023636972.1
OG0003329	El004G218380	XP_006302623.1
OG0003330	El004G221130	XP_006302053.1
OG0003331	El004G230800	XP_006302655.1
OG0003332	El002G103760	XP_006305120.1
OG0003332	El004G227770	XP_006300503.1
OG0003333	El004G226310	XP_006301497.1
OG0003334	El004G232250	XP_006301927.1
OG0003334	El004G232240	XP_006300474.1
OG0003335	El004G232300	XP_006302915.1
OG0003335	El002G100810	XP_006303390.1
OG0003336	El005G249240	XP_023642515.1
OG0003337	El005G254040	XP_006298728.1
OG0003338	El005G261040	XP_023641087.1
OG0003338	El003G174020	XP_023634958.1
OG0003339	El002G138400	XP_006307616.1
OG0003340	El001G028800	XP_023645396.1, XP_023637766.1
OG0003341	El007G357950, El007G357940, El001G029610	XP_006292940.1
OG0003341	El001G029630	XP_023643968.1
OG0003342	El001G030300	XP_006290420.1
OG0003343	El001G034400	XP_006290895.1, XP_006292419.1
OG0003344	El003G192690	XP_023634341.1
OG0003344	El002G136540, El002G136530	XP_006306335.1
OG0003345	El003G186560	XP_006279310.2
OG0003346	El001G032650	XP_006293220.1
OG0003347	El001G023680	XP_006292674.1
OG0003351	El003G162880	XP_006285025.2
OG0003355	El004G212230, El004G212370, El004G212060, El004G212130, El001G080590, El004G212110, El004G212040	XP_006301904.2
OG0003356	El005G245980	XP_006298960.1, XP_006292614.2
OG0003359	El003G150750	XP_006285833.1
OG0003360	El003G150530	XP_023634527.1
OG0003362	El003G148830	XP_006283361.1
OG0003363	El003G148180	XP_023634012.1
OG0003363	El005G272520	XP_006298767.1
OG0003364	El003G147540	XP_023635114.1
OG0003365	El003G148920	XP_006286103.1
OG0003366	El003G170010	XP_006283553.1
OG0003366	El006G295910	XP_006294082.1
OG0003367	El001G037090	XP_006292904.2
OG0003367	El002G098600	XP_006303175.1
OG0003368	El001G038000, El007G354790, El007G355260, El007G355020	XP_006290659.1
OG0003368	El001G000920	XP_006289823.1
OG0003370	El001G039920	XP_023638180.1
OG0003371	El003G191530	XP_006284021.1
OG0003371	El001G042520	XP_006291373.1
OG0003372	El003G189590	XP_006284328.1
OG0003372	El001G044520	XP_006293097.1
OG0003373	El003G186260	XP_023635590.1
OG0003373	El004G215720	XP_006300942.1
OG0003374	El004G211560	XP_006302216.1
OG0003374	El003G156520	XP_006283681.1
OG0003375	El004G195510	XP_006302819.2
OG0003375	El003G192610	XP_006286283.1
OG0003376	El003G158550	XP_023634386.1
OG0003377	El007G334840	XP_006280491.1
OG0003377	El003G173480	XP_006295784.2, XP_006295817.2
OG0003378	El003G160360, El003G183370	XP_006285271.1
OG0003379	El007G336930	XP_006279572.1
OG0003379	El003G157630	XP_006282565.2
OG0003380	El007G333790	XP_006279594.1
OG0003381	El003G155880	XP_006285230.1
OG0003381	El007G333680	XP_006282153.1
OG0003382	El007G325270	XP_023635550.1
OG0003382	El001G071760	XP_006287293.2
OG0003383	El007G329420	XP_006280926.1
OG0003384	El003G167200	XP_006284208.1
OG0003384	El003G167380	XP_006284229.1
OG0003385	El007G361040	XP_006280941.2
OG0003385	El003G165370	XP_006284391.1
OG0003387	El002G120970	XP_006305209.1
OG0003387	El001G008960	XP_006288116.1
OG0003389	El006G297770	XP_006293463.2
OG0003389	El002G114710	XP_006307096.2
OG0003390	El002G116720	XP_006305999.1
OG0003391	El003G145500	XP_023635345.1
OG0003392	El003G143870	XP_006285632.1
OG0003392	El006G319680	XP_006296193.1
OG0003393	El003G143790	XP_006284177.1
OG0003394	El001G058000	XP_006289978.1
OG0003395	El003G165490	XP_006286238.2, XP_006284252.1
OG0003396	El001G007660	XP_006287995.1, XP_006289222.1
OG0003397	El007G363700	XP_006281088.1
OG0003398	El005G268910	XP_006297868.1
OG0003398	El003G179280	XP_006283900.1
OG0003399	El003G176670	XP_006282589.1
OG0003400	El003G176190	XP_006285703.1
OG0003400	El003G176230	XP_006285986.1
OG0003401	El003G174500	XP_006284517.2
OG0003402	El003G173010	XP_006285994.1, XP_006285714.1
OG0003403	El001G035240	XP_006292766.1
OG0003404	El006G280640	XP_006293795.2
OG0003406	El001G039010	XP_006292439.1
OG0003407	El005G243930	XP_006299577.1
OG0003408	El001G019700	XP_006292387.1
OG0003408	El007G324180	XP_006281700.1
OG0003409	El007G323750	XP_006279521.1
OG0003409	El001G020040	XP_006290363.1
OG0003410	El001G000990	XP_006288162.2
OG0003410	El002G083300	XP_023645035.1
OG0003411	El001G003050	XP_023636531.1
OG0003412	El006G299760	XP_006293699.1
OG0003412	El002G087290	XP_006304766.1
OG0003413	El006G302090	XP_006295756.1
OG0003414	El006G303120	XP_006295188.1
OG0003415	El005G235410	XP_006297963.1
OG0003416	El001G065100	XP_006287900.1
OG0003416	El005G236850	XP_023641053.1
OG0003417	El005G240070	XP_006300214.1, XP_023637218.1
OG0003418	El005G240170	XP_006298278.1
OG0003419	El005G241390	XP_006296978.1
OG0003419	El001G061510	XP_006286442.1
OG0003421	El004G216690	XP_006300648.1
OG0003421	El006G294390	XP_023640473.1
OG0003422	El006G293120	XP_006295587.1
OG0003422	El001G024140	XP_006290640.1
OG0003424	El001G024900	XP_006293281.1
OG0003425	El002G099540	XP_023645810.1
OG0003426	El007G343830	XP_023637252.1
OG0003426	El002G101390	XP_006305567.1
OG0003427	El002G105280	XP_006306614.1
OG0003427	El005G244780	XP_023641437.1
OG0003428	El002G105510	XP_006303183.1
OG0003428	El001G012130	XP_006291870.1, XP_006291836.2
OG0003429	El002G105530	XP_006303143.1
OG0003429	El004G229810	XP_006301931.1
OG0003430	El002G109630	XP_006304840.1
OG0003430	El004G221470	XP_006300378.1
OG0003431	El002G110280	XP_023632826.1
OG0003432	El002G112120	XP_006304969.1
OG0003433	El006G315810	XP_006294920.1
OG0003434	El006G318780	XP_006293683.1
OG0003435	El002G083140	XP_006303837.1
OG0003436	El002G092320	XP_006303836.1
OG0003437	El007G343160	XP_006280724.1
OG0003438	El005G235730	XP_006297996.1
OG0003438	El001G066520	XP_006288061.1
OG0003439	El001G063430	XP_006287847.2
OG0003439	El005G237790	XP_006299060.1
OG0003440	El001G062840	XP_006287789.1
OG0003441	El007G328520, El007G328510	XP_006306131.1, XP_006280803.1
OG0003442	El007G327750	XP_006281091.1
OG0003442	El001G017570, El001G017600	XP_006291853.1
OG0003443	El001G018980	XP_006292754.1
OG0003443	El001G055890	XP_023637430.1
OG0003444	El001G017620	XP_006290744.1
OG0003445	El001G057260	XP_006288588.1
OG0003445	El001G013830	XP_006291692.2
OG0003446	El002G108310	XP_006303371.1
OG0003447	El004G224100	XP_023643887.1
OG0003448	El004G232960	XP_006302466.1
OG0003448	El002G100350	XP_006307722.2
OG0003449	El005G248630	XP_006298805.1
OG0003450	El002G140380	XP_006303670.2
OG0003450	El005G249440	XP_023641154.1
OG0003451	El005G254630	XP_006297066.1, XP_023642549.1
OG0003452	El005G255170	XP_006297463.1
OG0003452	El005G255160	XP_023641373.1
OG0003453	El005G255330, El005G255340	XP_023642170.1, XP_023642018.1
OG0003454	El005G272890	XP_006297553.1, XP_006296609.1
OG0003455	El005G273630	XP_006298822.2
OG0003456	El002G137880	XP_006303704.1
OG0003456	El005G279420	XP_006299729.1
OG0003457	El001G025860	XP_006290589.1
OG0003457	El006G290770	XP_006293664.1
OG0003458	El007G344080, El001G032230	XP_006291085.1
OG0003459	El002G140170	XP_006303464.1
OG0003459	El005G249640	XP_006300126.1
OG0003460	El002G125260	XP_023644449.1
OG0003462	El002G093610	XP_006306058.1
OG0003462	El002G093600	XP_006304235.1
OG0003463	El002G099690	XP_006304828.2
OG0003464	El005G240720	XP_006298834.2
OG0003464	El005G240710	XP_006298894.1
OG0003465	El002G120780	XP_023645866.1
OG0003465	El002G118880, El004G212120, El004G212050	XP_006306925.1
OG0003466	El001G073940, El001G073950	XP_006287610.2
OG0003481	El005G277810	XP_006300050.1
OG0003481	El003G153340	XP_006296037.1
OG0003482	El005G277170	XP_006298890.1
OG0003483	El002G130270	XP_006304074.1
OG0003483	El003G151890	XP_023633957.1
OG0003484	El003G150440	XP_006285676.1
OG0003484	El006G314380	XP_006293477.1
OG0003485	El003G149090	XP_006284186.1
OG0003487	El002G091490	XP_006303742.1
OG0003487	El004G210520	XP_023642959.1
OG0003488	El004G205160, El004G205130	XP_006302356.2, XP_006302373.1
OG0003489	El004G201470	XP_006300441.1
OG0003489	El002G093520	XP_006305877.1
OG0003490	El002G094190	XP_006303370.1
OG0003491	El001G042430	XP_023638535.1
OG0003491	El003G191540	XP_023634132.1
OG0003492	El004G214550	XP_006300565.1
OG0003492	El003G185040	XP_023634714.1
OG0003493	El005G245210	XP_006298176.1
OG0003493	El005G245190	XP_006298180.1
OG0003494	El007G345070	XP_006282022.1
OG0003494	El002G098480	XP_006303791.2
OG0003495	El007G342800	XP_006279824.1
OG0003496	El007G340720	XP_006280339.2
OG0003497	El003G158560	XP_006282756.1
OG0003498	El001G070470	XP_023642859.1
OG0003499	El001G072390	XP_006298216.1
OG0003499	El007G325910	XP_006280875.1
OG0003500	El001G072720	XP_006286942.1
OG0003500	El007G326420	XP_023635901.1
OG0003501	El001G072750	XP_023635902.1
OG0003501	El005G257310	XP_023642320.1
OG0003502	El003G164270	XP_023634818.1
OG0003503	El003G161530	XP_006285075.1, XP_006286136.1
OG0003504	El001G009720	XP_006290034.1
OG0003504	El002G122210	XP_006305303.1
OG0003505	El001G010410	XP_006305761.1, XP_006288873.1
OG0003506	El006G296320	XP_023640129.1
OG0003506	El002G117280	XP_023645076.1
OG0003507	El002G117390	XP_006304015.1
OG0003508	El005G275150	XP_006298143.1
OG0003508	El003G146620	XP_006284060.1
OG0003509	El003G145910	XP_006283636.1
OG0003510	El006G318720	XP_006295445.1
OG0003510	El003G144870	XP_023633708.1
OG0003511	El003G186510	XP_006291420.1
OG0003512	El007G358060	XP_006281095.1
OG0003512	El002G128740	XP_006303344.2
OG0003513	El001G004740	XP_006287092.1
OG0003514	El002G130760, El002G130710, El002G130700	XP_006304866.1, XP_006304007.1, XP_006295835.1, XP_006304928.1, XP_006306046.2, XP_023644518.1, XP_023644516.1
OG0003514	El003G184850, El007G364920	XP_006281578.1
OG0003515	El007G366240	XP_006281527.1
OG0003515	El005G271220, El003G169910	XP_006284544.2
OG0003517	El003G179740, El003G179730	XP_023634143.1, XP_006286120.1
OG0003519	El003G177320	XP_023634879.1
OG0003520	El005G264720, El002G114090, El002G114040	XP_023641820.1
OG0003520	El003G175140	XP_006283363.1
OG0003521	El003G192020	XP_006285078.1
OG0003522	El006G283370	XP_006295829.1
OG0003523	El001G029650	XP_006292898.2
