Orthogroup	Erysimum_linariifolium	Raphanus_sativus
OG0001429	El001G034920	XP_018484827.1
OG0001430	El002G086240	XP_018451138.1, XP_018492859.1, XP_018492843.1, XP_018479574.1, XP_018466622.1, XP_018479584.1
OG0001430	El007G359200	XP_018481004.1
OG0001431	El006G299370	XP_018483706.1, XP_018462020.1, XP_018475852.1, XP_018439703.1
OG0001432	El002G088210	XP_018489682.1, XP_018447605.1
OG0001432	El006G300770	XP_018475763.1
OG0001433	El002G088920	XP_018472757.1
OG0001433	El006G301690	XP_018480435.1
OG0001434	El006G303850	XP_018478828.1
OG0001434	El001G076170	XP_018471103.1, XP_018463565.1
OG0001435	El002G090410	XP_018449554.1, XP_018489332.1, XP_018442498.1
OG0001435	El006G304820, El006G304780	XP_018437421.1, XP_018481329.1
OG0001436	El001G063160	XP_018446132.1
OG0001436	El005G238020	XP_018489974.1, XP_018489742.1
OG0001437	El001G062820	XP_018476134.1, XP_018467995.1, XP_018445793.1
OG0001437	El005G238250	XP_018492951.1
OG0001438	El001G048360	XP_018477510.1, XP_018452580.1, XP_018461282.1
OG0001438	El005G239640, El005G239620	XP_018489660.1, XP_018438051.1
OG0001439	El004G226360	XP_018452643.1
OG0001439	El002G102630	XP_018435843.1, XP_018451520.1
OG0001440	El002G106200	XP_018433947.1, XP_018464738.1, XP_018465074.1, XP_018488697.1, XP_018461923.1
OG0001441	El004G224070	XP_018442652.1, XP_018457767.1, XP_018471373.1
OG0001441	El002G107620	XP_018433562.1, XP_018440674.1
OG0001442	El004G222470	XP_018452966.1
OG0001442	El002G108440	XP_018490576.1
OG0001443	El002G110210	XP_018449348.1, XP_018466799.1
OG0001443	El004G221030	XP_018444135.1, XP_018454957.1, XP_018454953.1
OG0001444	El003G159050, El003G159040, El003G159020	XP_018478408.1
OG0001446	El001G073820	XP_018444025.1
OG0001446	El007G329760	XP_018486349.1, XP_018457006.1, XP_018433835.1
OG0001447	El004G224050	XP_018456082.1, XP_018456081.1
OG0001448	El002G140030	XP_018451546.1
OG0001448	El005G249880	XP_018493267.1, XP_018493474.1, XP_018459542.1, XP_018441285.1, XP_018441379.1
OG0001449	El002G139440	XP_018492416.1, XP_018487994.1, XP_018462131.1
OG0001450	El002G139430	XP_018485452.1
OG0001450	El005G250620	XP_018492695.1, XP_018461937.1, XP_018433932.1, XP_018440779.1
OG0001451	El002G138050	XP_018489655.1, XP_018470268.1
OG0001452	El002G137840	XP_018469627.1
OG0001452	El005G252100	XP_018434054.1, XP_018434020.1, XP_018490926.1
OG0001453	El002G137580	XP_018486913.1
OG0001453	El005G252300	XP_018437098.1
OG0001454	El005G252570	XP_018432709.1, XP_018438232.1
OG0001454	El002G137360	XP_018480677.1, XP_018486397.1
OG0001455	El005G253450	XP_018489121.1
OG0001455	El003G172100, El003G172090	XP_018437969.1, XP_018484546.1
OG0001456	El005G257610, El002G134610	XP_018487594.1, XP_018485424.1, XP_018488970.1, XP_018488236.1, XP_018461644.1, XP_018437038.1, XP_018437034.1
OG0001457	El005G258050	XP_018490777.1, XP_018439949.1
OG0001457	El002G134850	XP_018459878.1
OG0001458	El002G116710, El002G116760, El002G116750, El001G056220, El001G065050	XP_018453768.1
OG0001458	El001G056240	XP_018452602.1, XP_018463203.1
OG0001461	El006G299040	XP_018440856.1, XP_018440854.1
OG0001463	El006G284330, El007G324140, El005G258400	XP_018468928.1, XP_018460062.1, XP_018468927.1, XP_018469082.1
OG0001464	El003G153330	XP_018448393.1, XP_018481498.1, XP_018481075.1
OG0001464	El005G277790	XP_018454911.1, XP_018454974.1, XP_018436758.1
OG0001465	El005G277560	XP_018456660.1, XP_018441778.1
OG0001465	El003G153130	XP_018483517.1, XP_018470492.1, XP_018470494.1
OG0001466	El003G151410	XP_018447212.1, XP_018456553.1, XP_018485355.1
OG0001466	El006G316760	XP_018477671.1
OG0001467	El001G007930	XP_018464695.1, XP_018458956.1
OG0001468	El003G148420	XP_018461186.1, XP_018470040.1
OG0001469	El002G119610, El002G118830	XP_018485792.1, XP_018459271.1
OG0001470	El006G295320	XP_018480751.1
OG0001470	El003G170540	XP_018481906.1, XP_018450005.1, XP_018457809.1
OG0001471	El004G200240	XP_018442000.1
OG0001471	El002G094000	XP_018491713.1, XP_018483562.1
OG0001472	El002G098910	XP_018484725.1
OG0001472	El001G036620	XP_018477723.1, XP_018434166.1
OG0001473	El001G037900	XP_018440271.1, XP_018483250.1
OG0001473	El002G098300	XP_018433840.1, XP_018433788.1
OG0001474	El003G158460, El003G158450	XP_018482023.1, XP_018469187.1
OG0001475	El002G095410	XP_018479568.1, XP_018463633.1
OG0001475	El004G198150	XP_018457643.1
OG0001476	El005G244640	XP_018474736.1, XP_018444258.1, XP_018444179.1
OG0001477	El004G200190	XP_018435527.1
OG0001478	El005G244890	XP_018437011.1
OG0001478	El001G079920	XP_018470610.1, XP_018446143.1, XP_018473581.1
OG0001480	El003G159680	XP_018481306.1, XP_018481526.1, XP_018468730.1, XP_018449805.1
OG0001481	El001G068500, El002G128340, El005G268210, El003G186060	XP_018456348.1, XP_018443317.1, XP_018442806.1
OG0001482	El001G070660	XP_018474468.1, XP_018473362.1, XP_018452419.1
OG0001482	El001G053490	XP_018459220.1, XP_018441134.1
OG0001483	El001G054460	XP_018481223.1
OG0001483	El001G071240	XP_018444709.1, XP_018454484.1, XP_018476882.1
OG0001484	El001G071280	XP_018444293.1
OG0001484	El001G054480	XP_018481753.1
OG0001485	El001G072860	XP_018476199.1, XP_018442503.1
OG0001485	El007G326710	XP_018436595.1, XP_018490910.1
OG0001486	El001G073140	XP_018476754.1, XP_018462490.1, XP_018445279.1
OG0001487	El001G056990	XP_018483776.1
OG0001487	El001G073580	XP_018456073.1, XP_018472651.1, XP_018445259.1
OG0001488	El003G169320	XP_018482983.1, XP_018471579.1
OG0001488	El007G366260	XP_018433871.1, XP_018452836.1
OG0001489	El003G163410	XP_018445616.1
OG0001490	El002G115070	XP_018489118.1, XP_018481028.1, XP_018483735.1, XP_018450380.1, XP_018450381.1
OG0001490	El006G297200	XP_018436829.1
OG0001491	El002G116020	XP_018474473.1, XP_018474462.1, XP_018474457.1, XP_018474446.1
OG0001492	El003G142690	XP_018484232.1, XP_018450459.1, XP_018451466.1
OG0001492	El006G320720	XP_018438973.1
OG0001493	El002G129260	XP_018437305.1, XP_018447688.1, XP_018459746.1
OG0001493	El007G358210	XP_018484237.1, XP_018455083.1
OG0001494	El001G006290, El001G006310, El001G006320, El001G006300, El001G006330	XP_018472540.1, XP_018474626.1, XP_018460338.1
OG0001495	El007G366600	XP_018457008.1, XP_018455946.1
OG0001496	El005G267160	XP_018486894.1, XP_018486911.1, XP_018441978.1
OG0001496	El003G177080, El003G177100	XP_018447143.1
OG0001497	El003G173530	XP_018467663.1, XP_018451137.1
OG0001497	El003G173590, El003G173580	XP_018478894.1, XP_018478895.1
OG0001498	El002G086070	XP_018432673.1, XP_018441733.1, XP_018447438.1, XP_018447450.1
OG0001499	El005G276140, El005G276020, El002G094320, El005G275800	XP_018485022.1
OG0001500	El006G280740	XP_018476608.1, XP_018477480.1, XP_018441472.1
OG0001500	El001G034550	XP_018485294.1
OG0001501	El006G281110	XP_018440551.1, XP_018484952.1, XP_018483149.1, XP_018484941.1
OG0001502	El006G284010	XP_018433490.1, XP_018473273.1
OG0001502	El001G031960	XP_018442576.1, XP_018487171.1, XP_018463553.1
OG0001503	El001G031580	XP_018447000.1
OG0001503	El006G284720	XP_018441960.1, XP_018461823.1
OG0001504	El001G031180	XP_018442478.1
OG0001504	El006G285370	XP_018434817.1, XP_018476896.1
OG0001505	El001G031030	XP_018442929.1, XP_018489165.1
OG0001505	El005G245290, El006G285590	XP_018472925.1
OG0001506	El005G243990	XP_018491495.1
OG0001506	El001G081830	XP_018442104.1, XP_018474418.1
OG0001507	El001G016180	XP_018437452.1, XP_018490009.1
OG0001507	El007G331950	XP_018454932.1, XP_018476131.1
OG0001508	El001G018180	XP_018436926.1, XP_018489087.1
OG0001508	El007G327140	XP_018454238.1, XP_018454237.1, XP_018462984.1, XP_018489874.1
OG0001509	El001G019630	XP_018452050.1, XP_018440293.1
OG0001509	El007G324250	XP_018457015.1, XP_018452495.1, XP_018491204.1, XP_018432591.1
OG0001510	El006G300800	XP_018482878.1, XP_018475760.1
OG0001510	El002G088220	XP_018489693.1, XP_018489085.1
OG0001511	El002G090520	XP_018435812.1, XP_018482210.1, XP_018471659.1
OG0001511	El006G304970	XP_018474985.1
OG0001512	El002G090920	XP_018485456.1, XP_018451604.1, XP_018486173.1
OG0001512	El006G306130	XP_018483396.1
OG0001513	El005G235910	XP_018489872.1, XP_018438386.1
OG0001514	El005G238680	XP_018485492.1, XP_018440913.1
OG0001515	El005G240770, El007G348220	XP_018437593.1
OG0001516	El005G241880	XP_018440174.1, XP_018440198.1
OG0001517	El001G027260	XP_018492191.1
OG0001517	El006G289520	XP_018459968.1
OG0001518	El006G289610	XP_018477569.1, XP_018475721.1
OG0001518	El001G027120	XP_018442697.1, XP_018442698.1, XP_018486614.1
OG0001519	El004G226330	XP_018457805.1
OG0001519	El002G102620	XP_018451519.1
OG0001520	El001G017720	XP_018488682.1
OG0001520	El002G103250	XP_018455401.1, XP_018438168.1
OG0001521	El004G229980	XP_018466672.1, XP_018442497.1
OG0001522	El002G108350	XP_018433688.1, XP_018461689.1, XP_018448285.1
OG0001522	El004G222700	XP_018446631.1, XP_018457357.1
OG0001523	El002G109220	XP_018436788.1
OG0001523	El004G221840	XP_018447980.1, XP_018449772.1, XP_018461985.1
OG0001524	El002G113080	XP_018449173.1, XP_018450549.1, XP_018493452.1
OG0001524	El007G328880	XP_018493050.1
OG0001526	El006G317400	XP_018478613.1, XP_018478630.1, XP_018491664.1, XP_018491592.1
OG0001527	El001G067340	XP_018470998.1, XP_018450872.1
OG0001527	El004G233860	XP_018470624.1, XP_018456805.1
OG0001528	El001G066570	XP_018456849.1
OG0001529	El001G061300, El004G229720, El001G061290	XP_018444524.1, XP_018485516.1, XP_018469928.1
OG0001530	El007G346910	XP_018480057.1, XP_018479354.1
OG0001531	El005G247120	XP_018490054.1, XP_018438170.1, XP_018466197.1, XP_018489895.1
OG0001532	El007G332620	XP_018455722.1, XP_018468942.1
OG0001533	El001G020550	XP_018480982.1, XP_018437251.1, XP_018438102.1
OG0001535	El002G140630	XP_018449720.1
OG0001535	El005G249340	XP_018488495.1, XP_018489192.1, XP_018435100.1
OG0001536	El005G249680	XP_018490834.1, XP_018439829.1
OG0001536	El002G140150	XP_018450627.1
OG0001537	El002G137650	XP_018439615.1, XP_018451647.1, XP_018451645.1, XP_018492848.1
OG0001537	El005G252240	XP_018440694.1
OG0001538	El005G253240	XP_018486454.1, XP_018461303.1
OG0001538	El002G136610	XP_018441879.1, XP_018485395.1, XP_018451829.1
OG0001539	El005G268660	XP_018490403.1
OG0001540	El006G296790, El006G304450	XP_018462169.1
OG0001541	El004G209940, El004G209860, El001G034880	XP_018467555.1, XP_018490318.1, XP_018461357.1, XP_018444816.1
OG0001543	El006G314930, El004G214370, El004G205290, El004G205980	XP_018448391.1, XP_018467330.1, XP_018449047.1
OG0001544	El003G172840	XP_018467666.1
OG0001545	El007G362640	XP_018455893.1
OG0001546	El006G291660, El006G291640	XP_018434351.1, XP_018478578.1, XP_018482838.1
OG0001547	El002G106930, El005G258480	XP_018466893.1, XP_018441530.1, XP_018487608.1
OG0001549	El005G279090	XP_018441700.1, XP_018441702.1
OG0001549	El003G155420	XP_018450515.1, XP_018471565.1, XP_018484254.1
OG0001551	El003G151630	XP_018448895.1, XP_018470667.1
OG0001551	El006G316940	XP_018441559.1, XP_018434962.1
OG0001552	El003G150780	XP_018472156.1, XP_018480242.1, XP_018480238.1
OG0001552	El006G315010	XP_018490436.1, XP_018437520.1
OG0001553	El004G200800	XP_018461933.1
OG0001553	El002G093680	XP_018433188.1, XP_018432716.1, XP_018443241.1, XP_018443185.1
OG0001554	El004G198930	XP_018457497.1, XP_018433386.1
OG0001555	El008G369030, El002G096860	XP_018440381.1, XP_018484640.1
OG0001555	El001G039430	XP_018440402.1
OG0001556	El006G293720	XP_018484812.1
OG0001556	El001G040910	XP_018484639.1, XP_018441067.1, XP_018441011.1
OG0001557	El001G043580, El002G141060	XP_018437201.1, XP_018481231.1, XP_018437390.1
OG0001558	El001G078110	XP_018446980.1, XP_018471279.1, XP_018476111.1
OG0001558	El005G245860	XP_018439551.1
OG0001559	El007G345030	XP_018476221.1, XP_018465488.1
OG0001559	El003G160520	XP_018483139.1, XP_018479116.1, XP_018445757.1
OG0001560	El007G344730	XP_018473403.1, XP_018476312.1
OG0001560	El003G160440, El006G312040	XP_018445262.1, XP_018445113.1, XP_018484371.1
OG0001561	El007G341020, El007G341040, El001G048180	XP_018453640.1, XP_018450755.1, XP_018448405.1, XP_018451674.1
OG0001562	El007G336070	XP_018468771.1
OG0001562	El001G077430	XP_018444791.1, XP_018473425.1
OG0001563	El001G060920	XP_018476275.1, XP_018443949.1
OG0001563	El001G069150	XP_018446699.1, XP_018446706.1, XP_018471437.1
OG0001564	El006G293050, El006G293040	XP_018433915.1, XP_018473010.1, XP_018466079.1
OG0001564	El002G104650	XP_018450729.1
OG0001565	El001G073930	XP_018446712.1
OG0001565	El007G329660	XP_018432814.1
OG0001566	El007G363400	XP_018457244.1, XP_018480386.1, XP_018466844.1
OG0001566	El003G167050	XP_018484469.1, XP_018447067.1, XP_018451174.1
OG0001567	El002G122590	XP_018447064.1, XP_018485609.1
OG0001567	El002G122580	XP_018435615.1, XP_018487250.1
OG0001568	El002G114490, El002G114500	XP_018489459.1, XP_018449551.1
OG0001569	El006G297040	XP_018439863.1
OG0001569	El002G115520	XP_018490468.1, XP_018435413.1, XP_018451273.1, XP_018451281.1
OG0001570	El001G031070	XP_018442144.1, XP_018460713.1
OG0001570	El002G117660	XP_018449599.1, XP_018449185.1
OG0001571	El005G274840	XP_018493339.1
OG0001571	El003G146840	XP_018451816.1, XP_018450118.1, XP_018484637.1
OG0001572	El003G143740	XP_018449254.1, XP_018472254.1
OG0001572	El006G319830	XP_018485321.1, XP_018441266.1
OG0001573	El003G143340	XP_018481083.1, XP_018481041.1, XP_018468162.1, XP_018449264.1
OG0001573	El006G320130	XP_018478835.1
OG0001574	El003G142630	XP_018471560.1
OG0001574	El006G321090	XP_018433856.1, XP_018474838.1, XP_018474635.1
OG0001575	El003G142420	XP_018454211.1, XP_018483849.1, XP_018450574.1
OG0001576	El003G188590	XP_018483060.1, XP_018484666.1, XP_018459744.1, XP_018459840.1
OG0001576	El003G188690	XP_018482718.1, XP_018483023.1
OG0001577	El003G189250	XP_018477104.1
OG0001578	El006G299300	XP_018454149.1
OG0001579	El003G169820	XP_018481981.1, XP_018481979.1
OG0001579	El007G366700	XP_018439046.1
OG0001581	El001G035140	XP_018480983.1, XP_018460345.1, XP_018485752.1, XP_018490739.1
OG0001581	El006G280170	XP_018485318.1
OG0001582	El001G031570	XP_018444020.1
OG0001583	El006G286850	XP_018436523.1
OG0001583	El003G152050, El001G029330	XP_018432699.1, XP_018462613.1, XP_018482285.1
OG0001584	El006G287340	XP_018459949.1
OG0001585	El001G028680	XP_018460288.1, XP_018458586.1
OG0001585	El006G287860	XP_018465278.1, XP_018488611.1, XP_018488658.1
OG0001586	El006G317000	XP_018474773.1
OG0001587	El001G057410, El001G057440	XP_018453364.1
OG0001587	El001G057430	XP_018465647.1, XP_018465663.1, XP_018468829.1
OG0001588	El001G016120	XP_018441527.1
OG0001589	El007G327070	XP_018433060.1, XP_018432515.1
OG0001589	El001G018310	XP_018433505.1
OG0001590	El001G026380	XP_018446051.1, XP_018457029.1
OG0001590	El007G324310	XP_018488175.1, XP_018491828.1
OG0001591	El002G084650	XP_018437202.1
OG0001591	El001G003020	XP_018476355.1, XP_018461885.1, XP_018456767.1
OG0001592	El002G085070	XP_018441423.1
OG0001592	El001G003540	XP_018459241.1
OG0001593	El006G298520	XP_018482441.1
OG0001593	El002G086480	XP_018489971.1, XP_018487133.1, XP_018466533.1
OG0001594	El002G087370	XP_018447643.1
OG0001594	El006G299840	XP_018448099.1
OG0001595	El005G237530	XP_018490307.1, XP_018490248.1
OG0001595	El005G237520	XP_018438722.1, XP_018438717.1, XP_018435262.1
OG0001596	El001G062530	XP_018472613.1, XP_018442943.1
OG0001596	El005G238430	XP_018491751.1, XP_018434139.1
OG0001597	El005G240950	XP_018489017.1, XP_018432611.1, XP_018492273.1
OG0001598	El005G241470	XP_018486437.1, XP_018492043.1
OG0001599	El007G349470	XP_018478908.1
OG0001599	El005G242930	XP_018485663.1
OG0001600	El006G294200	XP_018441658.1, XP_018484748.1, XP_018472869.1
OG0001601	El002G101930	XP_018447357.1, XP_018469049.1, XP_018473038.1
OG0001601	El004G225260	XP_018443519.1, XP_018471624.1
OG0001602	El002G105990, El002G106000	XP_018439866.1
OG0001603	El004G222300	XP_018468423.1, XP_018459397.1
OG0001603	El002G108580	XP_018450618.1, XP_018450617.1
OG0001604	El002G108650	XP_018450623.1, XP_018450621.1, XP_018436204.1
OG0001604	El004G222210	XP_018454673.1
OG0001605	El002G108680	XP_018447419.1, XP_018447418.1, XP_018491397.1
OG0001605	El004G222180	XP_018468327.1
OG0001606	El006G318330	XP_018433995.1
OG0001607	El002G096090	XP_018447913.1, XP_018435231.1, XP_018435225.1, XP_018469543.1
OG0001609	El001G061390	XP_018474543.1, XP_018445822.1, XP_018445819.1
OG0001609	El002G085090	XP_018486866.1
OG0001610	El001G077760	XP_018466330.1, XP_018461908.1, XP_018442556.1, XP_018473043.1
OG0001610	El005G246000	XP_018488910.1
OG0001611	El004G227830	XP_018442333.1
OG0001611	El004G227840, El004G227860, El004G224500, El004G227850	XP_018444090.1
OG0001612	El005G249260	XP_018440120.1, XP_018488498.1
OG0001613	El002G138110	XP_018488179.1, XP_018448871.1
OG0001613	El005G251800	XP_018439752.1
OG0001614	El002G135720	XP_018448390.1, XP_018449363.1
OG0001615	El006G300720	XP_018440040.1
OG0001615	El002G135690	XP_018448084.1, XP_018490190.1
OG0001616	El005G275000, El005G275020	XP_018486290.1, XP_018433535.1
OG0001616	El003G146780	XP_018478489.1
OG0001617	El003G153600	XP_018472290.1
OG0001618	El002G141370	XP_018451855.1, XP_018440054.1
OG0001618	El005G248650	XP_018487273.1, XP_018486296.1, XP_018487338.1
OG0001619	El001G023510	XP_018489905.1
OG0001619	El006G294210	XP_018438636.1, XP_018482291.1
OG0001621	El002G135250	XP_018448843.1, XP_018448841.1, XP_018466858.1, XP_018448840.1, XP_018466866.1
OG0001621	El007G333640	XP_018478027.1, XP_018478047.1
OG0001621	El002G135340	XP_018448842.1, XP_018448844.1
OG0001625	El006G287550	XP_018450531.1, XP_018439111.1
OG0001627	El002G112980	XP_018438726.1, XP_018492233.1
OG0001628	El002G139180, El002G091430, El002G091440	XP_018475562.1
OG0001628	El002G098070	XP_018450147.1
OG0001629	El001G039350	XP_018478567.1, XP_018458391.1, XP_018436927.1
OG0001631	El004G218460	XP_018445993.1, XP_018446061.1, XP_018468898.1, XP_018446377.1
OG0001631	El002G112490	XP_018449883.1, XP_018469207.1
OG0001633	El006G310370, El003G162990, El003G163010, El003G163000, El003G163020	XP_018456316.1
OG0001641	El055G375870	YP_006665997.1
OG0001642	El005G272500	XP_018438219.1, XP_018461410.1, XP_018452895.1, XP_018453937.1, XP_018453934.1
OG0001642	El003G148720	XP_018461093.1, XP_018482685.1
OG0001643	El005G273860	XP_018493328.1, XP_018457645.1
OG0001643	El003G147500	XP_018447959.1, XP_018450704.1
OG0001644	El004G200500	XP_018438083.1, XP_018438084.1
OG0001644	El002G093790	XP_018440934.1
OG0001645	El001G039090	XP_018438131.1, XP_018457253.1, XP_018457255.1, XP_018437404.1, XP_018458390.1, XP_018481175.1
OG0001646	El001G040790	XP_018480771.1, XP_018480759.1
OG0001646	El002G096580	XP_018441579.1
OG0001647	El003G192030	XP_018484621.1
OG0001647	El001G041850	XP_018478701.1, XP_018462284.1, XP_018463699.1
OG0001648	El003G191800	XP_018477120.1
OG0001648	El001G042110	XP_018485220.1, XP_018452549.1
OG0001649	El003G189790	XP_018444202.1
OG0001649	El001G044260	XP_018481273.1, XP_018454833.1, XP_018437882.1, XP_018438140.1
OG0001650	El001G046090	XP_018454836.1, XP_018435086.1, XP_018478396.1
OG0001650	El003G188560	XP_018466083.1
OG0001651	El003G158190	XP_018472181.1
OG0001651	El007G335300	XP_018476203.1, XP_018474399.1, XP_018452141.1
OG0001652	El005G244410	XP_018489482.1, XP_018489832.1, XP_018437631.1
OG0001652	El001G081160	XP_018444302.1
OG0001653	El005G245010	XP_018490693.1, XP_018492207.1
OG0001653	El001G010970	XP_018457146.1, XP_018462155.1
OG0001654	El001G079300	XP_018470958.1, XP_018470957.1
OG0001654	El005G245100	XP_018432536.1, XP_018490690.1
OG0001655	El001G076760	XP_018446941.1
OG0001655	El005G246540	XP_018485409.1, XP_018489132.1, XP_018465740.1
OG0001656	El005G248200	XP_018490598.1, XP_018436639.1, XP_018490431.1, XP_018467152.1
OG0001657	El003G157340	XP_018451726.1, XP_018483180.1, XP_018477167.1
OG0001658	El007G337070	XP_018476532.1, XP_018470568.1
OG0001658	El003G157490	XP_018482651.1
OG0001659	El001G074340	XP_018460888.1, XP_018475435.1, XP_018472462.1
OG0001659	El001G074350	XP_018444321.1
OG0001660	El003G165470	XP_018451333.1, XP_018485004.1, XP_018467962.1
OG0001660	El007G361310	XP_018477472.1
OG0001661	El003G162720	XP_018478142.1
OG0001662	El003G162590	XP_018478914.1, XP_018469811.1, XP_018467851.1
OG0001662	El001G006950	XP_018472916.1
OG0001663	El001G009340	XP_018476653.1, XP_018476654.1
OG0001663	El002G108000	XP_018467066.1
OG0001664	El006G296600	XP_018440018.1
OG0001664	El002G116690	XP_018451040.1, XP_018451043.1, XP_018433080.1
OG0001665	El006G296430	XP_018462899.1, XP_018472695.1, XP_018480410.1, XP_018460982.1, XP_018438275.1
OG0001666	El003G146370	XP_018477379.1
OG0001666	El005G275280	XP_018434904.1, XP_018434923.1
OG0001667	El006G318730	XP_018481653.1, XP_018462624.1, XP_018438073.1
OG0001667	El003G144850	XP_018449020.1, XP_018450217.1, XP_018482448.1
OG0001668	El003G144550	XP_018483408.1, XP_018447625.1, XP_018469111.1
OG0001668	El006G318990	XP_018480934.1
OG0001669	El006G320160	XP_018477441.1, XP_018434730.1, XP_018438870.1
OG0001669	El003G143280	XP_018447481.1
OG0001670	El003G142370	XP_018447854.1, XP_018447695.1, XP_018470464.1, XP_018478926.1, XP_018480223.1
OG0001670	El006G321410	XP_018478600.1
OG0001671	El002G124780, El002G124440, El002G124730, El002G124770, El001G011050, El002G124450	XP_018492396.1
OG0001671	El001G010610	XP_018476712.1
OG0001672	El002G113360	XP_018435909.1, XP_018447257.1
OG0001672	El001G078210	XP_018442236.1, XP_018442237.1
OG0001673	El005G269520	XP_018458129.1
OG0001674	El003G175400, El003G175480	XP_018450681.1
OG0001674	El003G175390	XP_018485263.1
OG0001675	El006G280900	XP_018481743.1, XP_018481748.1
OG0001675	El001G034380	XP_018481435.1, XP_018489415.1, XP_018444640.1
OG0001676	El006G284130	XP_018473421.1
OG0001676	El006G284140	XP_018455347.1, XP_018438288.1, XP_018438329.1
OG0001677	El001G030920	XP_018492134.1
OG0001677	El006G285630	XP_018477830.1, XP_018475902.1
OG0001678	El001G030430	XP_018446598.1
OG0001678	El006G286170	XP_018483390.1
OG0001679	El001G030140	XP_018465393.1, XP_018491523.1
OG0001679	El006G286530	XP_018482776.1, XP_018483636.1
OG0001681	El007G322640	XP_018433093.1, XP_018457764.1, XP_018433511.1
OG0001681	El001G021000	XP_018449029.1
OG0001682	El001G003690	XP_018452582.1, XP_018452583.1
OG0001682	El002G085270	XP_018438622.1, XP_018440100.1
OG0001683	El002G085930	XP_018449457.1, XP_018449454.1
OG0001683	El007G359900	XP_018434246.1, XP_018453263.1
OG0001684	El007G358850	XP_018457485.1, XP_018457484.1
OG0001684	El002G086400	XP_018447096.1, XP_018447965.1, XP_018461439.1, XP_018488142.1, XP_018488135.1
OG0001685	El002G086440	XP_018493390.1, XP_018442369.1
OG0001685	El007G358840	XP_018441991.1, XP_018456943.1, XP_018456940.1
OG0001686	El006G298620	XP_018484565.1, XP_018433484.1
OG0001686	El002G086520	XP_018476847.1, XP_018447095.1, XP_018449448.1
OG0001687	El006G298910	XP_018472784.1, XP_018484926.1, XP_018461741.1
OG0001688	El002G088580	XP_018437032.1
OG0001688	El006G301300	XP_018480610.1, XP_018440797.1
OG0001689	El002G089050	XP_018451143.1, XP_018472701.1, XP_018493467.1
OG0001689	El006G301830	XP_018440152.1
OG0001690	El006G302210	XP_018485195.1
OG0001690	El002G089250	XP_018486892.1, XP_018440014.1
OG0001691	El002G089550	XP_018437191.1, XP_018488680.1
OG0001691	El006G302730	XP_018476026.1, XP_018482753.1
OG0001693	El006G304340	XP_018483578.1, XP_018460859.1, XP_018436851.1
OG0001693	El002G090180	XP_018468568.1, XP_018493581.1
OG0001694	El001G064040	XP_018471571.1, XP_018445140.1
OG0001694	El005G237330	XP_018490656.1, XP_018436796.1, XP_018436794.1
OG0001695	El002G091360	XP_018433360.1, XP_018449642.1
OG0001695	El005G239120	XP_018491429.1
OG0001696	El001G048900, El001G048880, El001G048930, El005G239930	XP_018457788.1, XP_018484082.1
OG0001697	El005G241980	XP_018490176.1, XP_018490188.1
OG0001698	El006G289880	XP_018476008.1, XP_018440570.1
OG0001698	El001G027000	XP_018485162.1, XP_018485859.1, XP_018485885.1
OG0001699	El001G024180	XP_018446622.1
OG0001699	El006G293060	XP_018483446.1, XP_018483445.1
OG0001700	El004G232690	XP_018442684.1, XP_018443797.1, XP_018452939.1
OG0001700	El002G100440	XP_018452353.1
OG0001701	El002G104700	XP_018436110.1
OG0001701	El003G173760, El004G228940	XP_018445996.1, XP_018443433.1
OG0001702	El004G229990	XP_018442979.1, XP_018443096.1, XP_018444027.1
OG0001702	El002G105830	XP_018459931.1
OG0001703	El002G106380	XP_018449317.1, XP_018449518.1, XP_018450679.1
OG0001703	El004G230710	XP_018455741.1
OG0001704	El002G108030	XP_018473703.1
OG0001704	El004G223270	XP_018456088.1, XP_018470626.1, XP_018470627.1
OG0001705	El002G108510	XP_018438627.1, XP_018467768.1
OG0001705	El004G222390	XP_018444625.1, XP_018461004.1
OG0001707	El002G115910	XP_018432742.1, XP_018462842.1
OG0001708	El001G051270	XP_018477968.1, XP_018477970.1, XP_018440389.1
OG0001709	El001G017610	XP_018442051.1
OG0001710	El002G105730	XP_018459133.1
OG0001710	El004G229910	XP_018443418.1, XP_018465452.1, XP_018442871.1
OG0001711	El005G253350	XP_018486964.1, XP_018432642.1
OG0001711	El003G172250	XP_018478196.1
OG0001712	El002G133790	XP_018480924.1
OG0001712	El005G256560	XP_018461602.1, XP_018489177.1, XP_018489224.1, XP_018489201.1
OG0001713	El002G134030	XP_018451468.1
OG0001713	El005G257030	XP_018440810.1, XP_018440809.1, XP_018432895.1
OG0001714	El005G258420	XP_018490914.1, XP_018486619.1
OG0001714	El002G135210	XP_018484377.1, XP_018489525.1
OG0001715	El005G267860	XP_018492495.1
OG0001715	El005G267600	XP_018435511.1
OG0001717	El004G214140, El004G214220, El004G214070, El004G214160, El004G214100, El004G214200	XP_018491737.1, XP_018486035.1, XP_018491736.1, XP_018487617.1
OG0001718	El001G016100	XP_018436149.1
OG0001718	El001G016030	XP_018456356.1
OG0001719	El005G273500, El005G273510, El005G273520, El005G273550	XP_018453943.1, XP_018453945.1
OG0001721	El002G096670	XP_018460871.1
OG0001721	El003G184570, El007G365880, El002G096660	XP_018458807.1
OG0001722	El007G335670, El007G335690	XP_018469769.1
OG0001723	El001G004600	XP_018467270.1
