Orthogroup	Erysimum_linariifolium	Brassica_oleracea
OG0002262	El006G318710	XP_013634110.1
OG0002263	El003G143360	XP_013625585.1, XP_013593499.1, XP_013638280.1
OG0002263	El006G320120	XP_013635195.1
OG0002264	El006G321640, El006G297160, El003G142130	XP_013623056.1
OG0002265	El003G189110	XP_013633864.1
OG0002265	El001G045450	XP_013609576.1, XP_013597790.1
OG0002266	El007G357680	XP_013631230.1, XP_013606052.1
OG0002266	El002G129390	XP_013600181.1
OG0002267	El003G176890	XP_013602254.1
OG0002267	El005G266960	XP_013597765.1, XP_013604275.1, XP_013622750.1
OG0002268	El005G264580	XP_013596542.1, XP_013631944.1
OG0002268	El003G175120	XP_013634913.1
OG0002269	El003G174860	XP_013602423.1
OG0002269	El005G263150	XP_013636218.1, XP_013625564.1, XP_013638497.1
OG0002270	El005G262350	XP_013607357.1
OG0002271	El005G260990	XP_013607584.1
OG0002271	El003G173930	XP_013602806.1
OG0002272	El003G172740	XP_013601643.1, XP_013597785.1
OG0002273	El001G032880	XP_013600409.1, XP_013591206.1
OG0002273	El006G282950	XP_013636956.1
OG0002274	El006G284460	XP_013635136.1, XP_013637610.1
OG0002274	El001G031790	XP_013631697.1
OG0002275	El006G284670	XP_013627865.1, XP_013633594.1
OG0002276	El006G284680	XP_013637156.1
OG0002276	El001G031600	XP_013604805.1, XP_013631371.1
OG0002277	El001G029360	XP_013602809.1
OG0002277	El006G286890	XP_013634513.1
OG0002278	El001G028850	XP_013604868.1
OG0002278	El006G287540	XP_013629478.1, XP_013636658.1
OG0002279	El001G081630	XP_013614162.1, XP_013621748.1
OG0002279	El005G237470	XP_013621811.1
OG0002280	El001G013710	XP_013589985.1
OG0002280	El001G057330	XP_013620030.1
OG0002281	El001G013790	XP_013587455.1
OG0002281	El001G057290	XP_013625918.1, XP_013614229.1
OG0002282	El007G330630	XP_013620078.1, XP_013610920.1
OG0002283	El007G324760	XP_013628759.1
OG0002284	El002G083260	XP_013600347.1, XP_013587354.1
OG0002285	El001G004200	XP_013614646.1
OG0002285	El002G086190	XP_013619452.1
OG0002286	El002G085680	XP_013638266.1
OG0002286	El007G360160	XP_013612703.1, XP_013616298.1
OG0002287	El002G087810	XP_013585640.1
OG0002287	El006G300410, El006G300400	XP_013635071.1, XP_013635557.1
OG0002288	El006G301350	XP_013625656.1
OG0002288	El002G088600	XP_013586793.1, XP_013599532.1
OG0002289	El002G090020, El002G090050	XP_013583870.1, XP_013600458.1, XP_013599856.1
OG0002290	El006G307480	XP_013636596.1
OG0002290	El002G091150	XP_013604833.1, XP_013604374.1, XP_013638962.1
OG0002291	El003G149630	XP_013621736.1
OG0002291	El006G312770	XP_013637310.1
OG0002292	El001G066870	XP_013613396.1
OG0002292	El005G235470	XP_013628764.1, XP_013614031.1
OG0002293	El005G236150	XP_013629920.1
OG0002293	El001G065990	XP_013630513.1
OG0002294	El001G065080	XP_013612904.1
OG0002294	El005G236870	XP_013625770.1
OG0002295	El001G064580	XP_013629350.1
OG0002295	El005G237020	XP_013630421.1, XP_013632804.1
OG0002296	El005G237220	XP_013584978.1
OG0002297	El001G064150	XP_013625345.1, XP_013608858.1
OG0002297	El005G237270	XP_013584535.1
OG0002298	El001G063320	XP_013608861.1
OG0002298	El005G237820	XP_013625357.1
OG0002299	El001G050710	XP_013618237.1, XP_013609602.1, XP_013595422.1
OG0002300	El007G345980, El007G345990	XP_013596346.1, XP_013614017.1
OG0002301	El005G242210	XP_013638175.1
OG0002301	El007G346550	XP_013616173.1, XP_013598006.1
OG0002302	El006G293460	XP_013634320.1
OG0002302	El001G023920	XP_013600779.1
OG0002303	El004G233970	XP_013591990.1
OG0002303	El002G099780	XP_013604857.1, XP_013585649.1
OG0002304	El002G100300	XP_013638772.1, XP_013600227.1
OG0002304	El004G233040	XP_013588295.1
OG0002305	El004G232750	XP_013618714.1
OG0002305	El002G100420	XP_013586810.1
OG0002306	El002G100650	XP_013587498.1
OG0002306	El004G232480	XP_013588140.1, XP_013591728.1
OG0002307	El002G102920	XP_013602043.1, XP_013600635.1
OG0002307	El004G226980	XP_013590427.1
OG0002308	El002G105470	XP_013587252.1, XP_013605565.1
OG0002308	El004G229620	XP_013588201.1
OG0002309	El002G106340	XP_013603643.1
OG0002309	El004G230680	XP_013591732.1
OG0002310	El002G106460	XP_013603640.1
OG0002310	El004G230850	XP_013620768.1
OG0002311	El002G109270	XP_013587416.1
OG0002311	El004G221800	XP_013589756.1, XP_013588253.1
OG0002312	El004G221700	XP_013589760.1, XP_013590504.1
OG0002313	El002G110910	XP_013613940.1
OG0002313	El004G220160	XP_013589842.1
OG0002314	El002G112760	XP_013628732.1, XP_013599080.1
OG0002314	El004G217990	XP_013619548.1, XP_013590883.1
OG0002315	El003G152630	XP_013590221.1
OG0002316	El002G091710	XP_013604827.1
OG0002318	El002G141270	XP_013590299.1
OG0002319	El002G084470	XP_013584471.1, XP_013626895.1, XP_013603099.1
OG0002320	El001G001260	XP_013619650.1
OG0002320	El002G083470	XP_013637940.1
OG0002321	El005G248290	XP_013625722.1
OG0002321	El001G068110	XP_013606162.1, XP_013625509.1
OG0002322	El001G077020, El001G078150	XP_013619180.1, XP_013609330.1
OG0002323	El001G069990, El001G082130	XP_013601757.1, XP_013632556.1, XP_013601681.1
OG0002325	El005G249080	XP_013623244.1, XP_013611002.1
OG0002325	El002G141030	XP_013587838.1
OG0002326	El005G249320	XP_013586433.1
OG0002326	El002G140680	XP_013621744.1
OG0002327	El002G139200	XP_013613488.1
OG0002327	El005G250670	XP_013584248.1
OG0002328	El005G252340	XP_013636339.1, XP_013585896.1
OG0002329	El005G255500	XP_013622044.1, XP_013638993.1
OG0002329	El002G132570	XP_013591061.1
OG0002331	El005G259080	XP_013638180.1
OG0002331	El002G135840	XP_013592032.1
OG0002333	El003G148020	XP_013591584.1
OG0002333	El005G273120	XP_013625952.1, XP_013595622.1
OG0002334	El003G155660	XP_013603954.1, XP_013597007.1, XP_013602959.1
OG0002335	El002G136920	XP_013592585.1, XP_013592403.1, XP_013627331.1
OG0002335	El005G252850	XP_013637995.1
OG0002336	El005G252870	XP_013637994.1
OG0002336	El002G136900	XP_013592401.1, XP_013625996.1
OG0002337	El001G022820	XP_013602637.1, XP_013595369.1, XP_013631410.1
OG0002338	El001G027390	XP_013605481.1, XP_013588646.1
OG0002338	El006G289280	XP_013636605.1
OG0002339	El006G287990	XP_013634180.1
OG0002339	El001G028500	XP_013602548.1
OG0002340	El004G214490	XP_013628149.1, XP_013624650.1
OG0002341	El001G005430	XP_013610847.1, XP_013628412.1
OG0002341	El001G005420	XP_013617476.1
OG0002343	El001G016220, El001G016230, El006G306060	XP_013607875.1
OG0002345	El002G109230	XP_013598940.1
OG0002348	El003G155500	XP_013603158.1
OG0002349	El003G155320	XP_013586327.1, XP_013604854.1
OG0002349	El005G278880	XP_013609660.1, XP_013593522.1
OG0002351	El006G317660	XP_013631565.1
OG0002351	El003G152290	XP_013599281.1
OG0002352	El006G317030	XP_013630883.1, XP_013604121.1
OG0002352	El003G151730	XP_013598988.1
OG0002353	El003G147220	XP_013623299.1, XP_013622567.1, XP_013595771.1, XP_013594263.1
OG0002353	El003G147230	XP_013600873.1
OG0002354	El006G295420	XP_013629934.1, XP_013631604.1, XP_013636361.1
OG0002355	El004G209620	XP_013588871.1
OG0002355	El005G240150	XP_013584156.1
OG0002356	El002G092510	XP_013638600.1
OG0002356	El004G204590	XP_013612085.1, XP_013605022.1
OG0002357	El001G029440	XP_013605681.1
OG0002358	El002G098690	XP_013600188.1
OG0002359	El002G098550	XP_013583942.1
OG0002359	El001G037270	XP_013608824.1, XP_013618079.1
OG0002361	El003G191760	XP_013590071.1
OG0002361	El001G042240	XP_013616168.1
OG0002362	El001G042600	XP_013596763.1, XP_013610634.1
OG0002362	El003G191330	XP_013634818.1
OG0002363	El001G043020	XP_013618574.1, XP_013610691.1, XP_013596226.1
OG0002363	El003G190900	XP_013633202.1
OG0002364	El004G214540	XP_013614689.1, XP_013615351.1, XP_013616863.1
OG0002365	El004G211800	XP_013618296.1
OG0002365	El003G183930	XP_013634300.1
OG0002366	El002G096130	XP_013637732.1
OG0002366	El004G196940	XP_013613987.1, XP_013614483.1
OG0002367	El007G335420	XP_013610774.1, XP_013621216.1
OG0002367	El003G158140	XP_013626000.1
OG0002368	El006G288350	XP_013636116.1
OG0002368	El001G028210	XP_013604446.1
OG0002369	El006G288930	XP_013634784.1
OG0002369	El006G288920	XP_013635103.1
OG0002371	El005G245120	XP_013586028.1
OG0002371	El001G079260	XP_013622838.1
OG0002372	El005G246400	XP_013587095.1
OG0002372	El001G076930	XP_013606718.1
OG0002373	El001G075120	XP_013628862.1, XP_013638649.1
OG0002373	El005G247940	XP_013596121.1
OG0002374	El003G160090	XP_013599955.1, XP_013605654.1
OG0002374	El007G344620	XP_013625381.1
OG0002375	El003G161880	XP_013596159.1
OG0002375	El007G342740	XP_013619787.1
OG0002376	El003G158980	XP_013596687.1
OG0002376	El007G341440	XP_013622163.1, XP_013613072.1
OG0002377	El003G156770	XP_013598475.1, XP_013600792.1
OG0002378	El003G157250	XP_013608489.1
OG0002378	El007G337590	XP_013620736.1, XP_013629160.1
OG0002379	El003G158370	XP_013602581.1, XP_013614200.1
OG0002379	El007G334930	XP_013606394.1
OG0002380	El007G325470	XP_013620675.1
OG0002380	El001G072110	XP_013606249.1
OG0002381	El001G073090	XP_013629316.1, XP_013613244.1
OG0002381	El007G326910	XP_013625413.1
OG0002382	El001G073990	XP_013612445.1
OG0002382	El007G329610	XP_013598288.1
OG0002383	El007G364250	XP_013620301.1
OG0002383	El003G168040	XP_013599052.1, XP_013596986.1
OG0002384	El007G361090	XP_013595858.1, XP_013609315.1
OG0002384	El003G165450	XP_013589220.1, XP_013626051.1
OG0002385	El003G164980	XP_013617915.1, XP_013621728.1
OG0002386	El001G006050	XP_013610186.1, XP_013626878.1
OG0002386	El003G163110	XP_013584972.1
OG0002387	El003G144930	XP_013637709.1, XP_013599236.1
OG0002387	El006G318600	XP_013633600.1
OG0002388	El003G144440	XP_013593704.1
OG0002388	El006G318890	XP_013602438.1
OG0002389	El003G141700	XP_013595222.1, XP_013601718.1
OG0002389	El006G295660, El006G295670	XP_013629834.1
OG0002390	El006G295770	XP_013637331.1
OG0002390	El002G119960	XP_013586301.1
OG0002392	El003G164970	XP_013630620.1
OG0002392	El001G004530	XP_013611464.1
OG0002393	El003G178570	XP_013636143.1
OG0002393	El005G268410	XP_013597569.1, XP_013628446.1
OG0002394	El003G177800	XP_013600623.1
OG0002394	El005G267670	XP_013622973.1, XP_013593768.1
OG0002395	El005G267420	XP_013587255.1, XP_013627118.1, XP_013596283.1
OG0002396	El005G264740	XP_013599301.1
OG0002396	El003G175150	XP_013628850.1, XP_013637311.1
OG0002397	El003G191590	XP_013614270.1, XP_013633167.1
OG0002397	El001G042350	XP_013618520.1
OG0002398	El006G279660	XP_013635443.1, XP_013615078.1
OG0002398	El001G035390	XP_013591515.1, XP_013636062.1
OG0002399	El001G035000	XP_013604119.1
OG0002399	El006G280110	XP_013636008.1
OG0002400	El006G281650	XP_013630919.1
OG0002400	El001G033850	XP_013600931.1, XP_013629577.1
OG0002401	El006G282480	XP_013636400.1
OG0002401	El001G033130	XP_013600084.1, XP_013589399.1
OG0002402	El006G282880	XP_013633899.1
OG0002402	El001G032900	XP_013635935.1, XP_013600738.1
OG0002403	El004G226070	XP_013590885.1
OG0002403	El002G102140	XP_013603333.1, XP_013602289.1
OG0002404	El006G285390	XP_013635724.1
OG0002404	El001G055880	XP_013610571.1, XP_013597023.1
OG0002406	El001G059550	XP_013613307.1, XP_013616110.1
OG0002406	El001G046900	XP_013628713.1
OG0002408	El007G330400	XP_013606685.1
OG0002409	El007G325390, El007G325400	XP_013622601.1, XP_013626305.1
OG0002409	El007G325410, El007G325420	XP_013619427.1
OG0002410	El001G019790	XP_013618919.1
OG0002410	El007G323940	XP_013612577.1, XP_013629145.1
OG0002411	El002G101710	XP_013601803.1
OG0002411	El004G224930	XP_013591675.1, XP_013588662.1, XP_013590425.1, XP_013613932.1
OG0002412	El002G082990	XP_013585831.1
OG0002412	El001G000800	XP_013628270.1, XP_013606767.1
OG0002413	El002G083180	XP_013604168.1, XP_013587076.1
OG0002414	El002G085210	XP_013586653.1
OG0002414	El001G003680	XP_013612308.1
OG0002415	El002G086080	XP_013584428.1, XP_013603508.1
OG0002416	El007G359070	XP_013609283.1
OG0002416	El002G086280	XP_013602561.1
OG0002417	El006G299220	XP_013633980.1
OG0002417	El002G087020	XP_013583751.1
OG0002418	El006G300310	XP_013635868.1
OG0002418	El002G087780	XP_013585745.1
OG0002419	El006G302060	XP_013633636.1, XP_013631359.1
OG0002420	El006G305970	XP_013625063.1
OG0002420	El006G305960	XP_013634922.1
OG0002421	El006G306490	XP_013637579.1, XP_013630434.1
OG0002421	El002G090990	XP_013637871.1
OG0002422	El007G337560	XP_013595013.1, XP_013612702.1
OG0002422	El003G157280	XP_013597674.1
OG0002423	El005G236330	XP_013586124.1, XP_013628508.1
OG0002423	El001G065800	XP_013620598.1, XP_013611591.1
OG0002424	El001G065490	XP_013616127.1
OG0002424	El005G236560	XP_013584598.1, XP_013583476.1
OG0002425	El005G236610	XP_013628318.1
OG0002425	El001G065410	XP_013618195.1
OG0002426	El001G065300	XP_013612846.1
OG0002427	El005G237400	XP_013585485.1
OG0002427	El001G063900	XP_013606746.1
OG0002428	El005G238480	XP_013584749.1, XP_013619637.1
OG0002428	El001G062490	XP_013605964.1
OG0002429	El002G089590	XP_013603992.1
OG0002430	El005G243730	XP_013618076.1
OG0002430	El005G243680	XP_013615137.1
OG0002431	El001G026210	XP_013636150.1
OG0002432	El006G290530	XP_013634705.1, XP_013625899.1
OG0002433	El004G233690	XP_013619862.1
OG0002433	El002G099940	XP_013583790.1
OG0002434	El002G100670	XP_013585663.1
OG0002435	El004G225960	XP_013590000.1
OG0002435	El002G102360, El004G206980	XP_013583624.1
OG0002436	El002G106230	XP_013587638.1
OG0002436	El004G230570	XP_013587812.1
OG0002437	El002G107110, El002G106790	XP_013594719.1
OG0002437	El004G231310	XP_013591737.1, XP_013618458.1
OG0002438	El002G107220	XP_013584268.1, XP_013594133.1
OG0002439	El004G224090	XP_013592114.1, XP_013590349.1
OG0002439	El002G107610	XP_013602503.1
OG0002440	El001G035970	XP_013614775.1, XP_013614809.1, XP_013592240.1, XP_013591672.1, XP_013620676.1
OG0002441	El002G108260	XP_013587372.1, XP_013598353.1
OG0002441	El004G222870	XP_013588277.1
OG0002442	El004G222020	XP_013592383.1
OG0002442	El002G108880	XP_013595843.1, XP_013586909.1
OG0002443	El002G111370	XP_013638640.1
OG0002443	El004G220580	XP_013588492.1
OG0002444	El004G219550	XP_013591667.1, XP_013591496.1
OG0002444	El002G111750	XP_013598222.1
OG0002445	El007G341620	XP_013630586.1
OG0002445	El003G159010	XP_013602541.1, XP_013605425.1
OG0002446	El003G156370	XP_013595281.1, XP_013600928.1
OG0002446	El007G339510	XP_013606686.1
OG0002447	El003G150140	XP_013595925.1, XP_013629042.1
OG0002447	El006G313990	XP_013599740.1
OG0002448	El001G020660	XP_013589299.1, XP_013596898.1
OG0002448	El002G127920	XP_013603314.1
OG0002449	El002G096500	XP_013604463.1
OG0002449	El001G041040	XP_013612615.1
OG0002450	El002G090830	XP_013605373.1, XP_013614525.1
OG0002451	El002G090710	XP_013638724.1
OG0002451	El006G305440	XP_013633873.1, XP_013631438.1
OG0002452	El002G089860	XP_013605571.1
OG0002452	El006G303300	XP_013631478.1
OG0002453	El001G003270	XP_013619556.1
OG0002453	El002G084870	XP_013585209.1
OG0002454	El002G084860	XP_013584708.1, XP_013602914.1
OG0002454	El001G003240	XP_013629649.1
OG0002455	El001G063910, El001G063930, El001G063920	XP_013620486.1
OG0002456	El001G062680	XP_013614125.1
OG0002456	El001G062570	XP_013611359.1, XP_013610026.1
OG0002458	El001G025520	XP_013636393.1, XP_013636442.1, XP_013615383.1
OG0002460	El001G074710	XP_013630202.1, XP_013611585.1
OG0002460	El007G333050	XP_013612467.1
OG0002462	El004G229430	XP_013590044.1
OG0002462	El002G105270	XP_013599865.1, XP_013595362.1
OG0002463	El004G229130	XP_013588037.1
OG0002463	El002G104950	XP_013600137.1, XP_013584000.1
OG0002464	El004G226900	XP_013591380.1
OG0002465	El002G099440	XP_013583805.1
OG0002465	El004G234350	XP_013618822.1
OG0002466	El005G250120	XP_013638981.1, XP_013639549.1
OG0002466	El002G139820	XP_013588519.1
OG0002467	El005G250560	XP_013625228.1
OG0002467	El002G139450	XP_013591799.1
OG0002468	El002G138520, El002G138640	XP_013592702.1
OG0002468	El005G251690	XP_013637854.1
OG0002469	El003G171620	XP_013601574.1
OG0002469	El005G253690	XP_013609497.1
OG0002470	El005G254370	XP_013621847.1
OG0002470	El002G131670	XP_013613842.1, XP_013587145.1
OG0002471	El005G254560	XP_013629647.1, XP_013609209.1
OG0002472	El005G254680	XP_013637774.1
OG0002472	El002G132000	XP_013604278.1
OG0002473	El005G254990	XP_013629927.1
OG0002473	El002G132280	XP_013603218.1
OG0002474	El003G174200	XP_013607476.1
OG0002474	El005G261440	XP_013615649.1, XP_013585993.1, XP_013585995.1
OG0002475	El003G174970	XP_013605850.1, XP_013602174.1
OG0002475	El005G263640	XP_013607239.1
OG0002478	El002G138420	XP_013622211.1, XP_013592792.1, XP_013587918.1
OG0002479	El006G296500	XP_013622513.1
OG0002480	El006G288700	XP_013601985.1
OG0002480	El001G027760	XP_013635768.1, XP_013588190.1
OG0002482	El007G366310	XP_013616404.1, XP_013619693.1, XP_013595768.1
OG0002483	El002G140670	XP_013591013.1, XP_013627577.1, XP_013590971.1
OG0002484	El003G189000, El007G335380, El007G335360, El007G335370	XP_013610587.1, XP_013619818.1
OG0002485	El001G051370	XP_013608678.1, XP_013614666.1
OG0002487	El006G292970	XP_013584523.1
OG0002489	El007G341520	XP_013610805.1
OG0002490	El006G320490	XP_013632424.1, XP_013596945.1
OG0002494	El005G279490	XP_013614199.1
OG0002494	El003G155770	XP_013596064.1, XP_013638488.1
OG0002496	El006G320630	XP_013604789.1, XP_013634246.1
OG0002497	El003G151460	XP_013597783.1, XP_013628664.1
OG0002498	El003G151370	XP_013603983.1, XP_013599138.1
OG0002498	El006G316700	XP_013600090.1
OG0002499	El001G058250	XP_013618670.1, XP_013625908.1
OG0002500	El005G272750	XP_013625052.1, XP_013599447.1, XP_013607907.1
OG0002502	El006G295840	XP_013631968.1, XP_013633825.1
OG0002503	El002G091630	XP_013586820.1, XP_013605063.1
OG0002504	El002G092800	XP_013599835.1, XP_013587682.1
OG0002505	El002G093310	XP_013600256.1
OG0002505	El004G202180	XP_013613147.1
OG0002506	El004G201320	XP_013612591.1
OG0002506	El002G093580	XP_013586313.1
OG0002507	El001G037710	XP_013620910.1
OG0002508	El002G097870	XP_013605525.1, XP_013602558.1
OG0002509	El001G038690	XP_013616606.1, XP_013607224.1
OG0002510	El002G096480	XP_013587019.1, XP_013601058.1
OG0002510	El001G041110	XP_013613431.1, XP_013597644.1
OG0002511	El001G044210, El001G044190, El001G044490	XP_013584352.1, XP_013628504.1
OG0002512	El001G031800	XP_013631978.1
OG0002512	El002G140700	XP_013588736.1
OG0002513	El005G246100	XP_013589082.1, XP_013626880.1
OG0002513	El001G077390, El001G077380, El001G077400	XP_013627184.1
OG0002514	El001G076750	XP_013611633.1
OG0002515	El001G075860	XP_013612352.1
OG0002515	El005G247310	XP_013628146.1, XP_013585713.1, XP_013616144.1
OG0002516	El003G158820, El003G158850	XP_013600199.1, XP_013599847.1, XP_013599860.1
OG0002517	El003G156320	XP_013601012.1
OG0002517	El007G339560, El007G339590	XP_013611039.1
OG0002518	El007G336590	XP_013623060.1
OG0002518	El003G157720	XP_013614736.1, XP_013599294.1
OG0002519	El003G157740	XP_013608058.1, XP_013593804.1, XP_013605462.1
OG0002519	El007G336550	XP_013622213.1
OG0002520	El007G336170	XP_013625622.1, XP_013606338.1
OG0002520	El003G157840	XP_013583534.1
OG0002521	El001G069500	XP_013626226.1, XP_013616572.1, XP_013609274.1
OG0002522	El007G326040	XP_013609226.1
OG0002523	El007G366520	XP_013598742.1
OG0002523	El003G169650	XP_013639821.1
OG0002524	El003G162670	XP_013586071.1, XP_013595978.1
OG0002525	El002G123890	XP_013588513.1, XP_013583806.1, XP_013599939.1
OG0002526	El002G117200	XP_013603404.1
OG0002526	El003G159400	XP_013590154.1
OG0002527	El006G296150	XP_013631856.1
OG0002527	El002G117670	XP_013638079.1
OG0002528	El005G275510	XP_013609057.1, XP_013627426.1
OG0002528	El003G146060	XP_013594360.1
OG0002529	El003G144970	XP_013593697.1
OG0002529	El006G318530	XP_013599923.1
OG0002530	El006G319160	XP_013604088.1
OG0002530	El003G144600	XP_013597948.1, XP_013624794.1
OG0002531	El006G319950, El003G143610	XP_013637566.1
OG0002532	El003G142840	XP_013629977.1, XP_013599390.1
OG0002533	El003G141860	XP_013637055.1, XP_013593185.1
OG0002534	El001G010270	XP_013622396.1
OG0002535	El001G007110	XP_013621180.1, XP_013611664.1
OG0002535	El003G162450	XP_013593830.1
OG0002536	El003G163130	XP_013600212.1, XP_013629703.1
OG0002536	El001G005980	XP_013608718.1
OG0002537	El001G005800	XP_013608887.1
OG0002537	El002G087120	XP_013586852.1
OG0002538	El003G175970	XP_013636580.1, XP_013605791.1
OG0002538	El003G175980	XP_013603042.1, XP_013636581.1, XP_013605723.1
OG0002539	El003G175060	XP_013614139.1
OG0002539	El003G175070	XP_013599786.1
OG0002540	El003G172750, El003G172760	XP_013594244.1
OG0002541	El001G035380	XP_013636060.1, XP_013591514.1
OG0002542	El006G281940	XP_013633640.1
OG0002542	El001G033580	XP_013592197.1
OG0002543	El006G282560	XP_013637318.1, XP_013631938.1
OG0002543	El001G033060	XP_013599871.1
OG0002544	El001G031430	XP_013602802.1, XP_013592843.1
OG0002545	El006G287730	XP_013637461.1
OG0002547	El001G028670	XP_013602544.1
OG0002547	El006G287920	XP_013633444.1
OG0002548	El006G291740	XP_013632489.1, XP_013637629.1
OG0002548	El001G079150	XP_013626863.1
OG0002549	El002G128910, El008G369100, El006G289730	XP_013625878.1, XP_013633765.1
OG0002550	El001G059480	XP_013626213.1, XP_013609396.1
OG0002551	El001G015900	XP_013630550.1
OG0002551	El007G331580	XP_013621627.1, XP_013628855.1, XP_013612675.1
OG0002552	El007G327080	XP_013630698.1
OG0002553	El007G323340	XP_013597539.1
OG0002553	El001G020410	XP_013604172.1
OG0002554	El007G362220, El007G322730	XP_013598600.1, XP_013606540.1, XP_013606539.1
OG0002555	El002G083720	XP_013602107.1, XP_013638062.1
OG0002556	El001G001710	XP_013609880.1
OG0002556	El002G083870	XP_013586613.1, XP_013639068.1
OG0002557	El002G088270	XP_013602551.1
OG0002557	El006G300960	XP_013625126.1
OG0002558	El003G157330	XP_013600638.1
OG0002559	El005G235510	XP_013585296.1
OG0002560	El001G066120	XP_013626720.1, XP_013610594.1
OG0002560	El005G236030	XP_013626309.1, XP_013584200.1
OG0002561	El001G064310	XP_013611059.1, XP_013628546.1
OG0002561	El005G237190	XP_013621970.1
OG0002562	El001G048660	XP_013597362.1
OG0002562	El005G239710	XP_013585908.1
OG0002565	El006G294800	XP_013600454.1, XP_013614508.1
OG0002566	El006G292910	XP_013634418.1, XP_013637619.1
OG0002567	El002G100310	XP_013587699.1, XP_013587141.1
OG0002567	El004G233020	XP_013592572.1
OG0002568	El004G227920	XP_013592674.1
OG0002568	El002G103940	XP_013587645.1
OG0002569	El004G228890	XP_013588319.1
OG0002569	El002G104640	XP_013587647.1, XP_013602101.1, XP_013596631.1
OG0002570	El002G104770	XP_013638795.1
OG0002570	El004G229000	XP_013590536.1
OG0002571	El004G229470	XP_013591902.1
OG0002571	El002G105310	XP_013595762.1
OG0002572	El004G230370	XP_013592634.1, XP_013616634.1, XP_013588291.1
OG0002573	El004G221650	XP_013589749.1
OG0002573	El002G109580	XP_013638005.1
OG0002574	El002G111730	XP_013587375.1
OG0002574	El004G219530	XP_013591669.1, XP_013591499.1
OG0002575	El002G109730, El005G267440	XP_013604651.1
OG0002576	El002G096680	XP_013637760.1
OG0002577	El002G089980	XP_013638216.1
OG0002578	El002G088730	XP_013603188.1
OG0002579	El002G088470	XP_013602940.1, XP_013600685.1, XP_013584038.1
OG0002580	El006G300270	XP_013635436.1
OG0002580	El002G087730	XP_013585177.1
OG0002581	El002G083820, El002G094730	XP_013603168.1, XP_013584168.1, XP_013602713.1
OG0002582	El004G200330, El006G289290	XP_013631200.1, XP_013631579.1
OG0002583	El001G019480	XP_013600553.1
OG0002583	El001G055030	XP_013593945.1
OG0002584	El001G016530	XP_013629260.1
OG0002584	El007G332610	XP_013625953.1
OG0002585	El007G331300	XP_013611645.1
OG0002587	El037G374570, El002G104040	XP_013587194.1
OG0002587	El004G228030	XP_013621385.1
OG0002588	El004G226850	XP_013592033.1, XP_013591349.1
OG0002589	El002G101660	XP_013584949.1
OG0002589	El004G224850	XP_013590062.1, XP_013616217.1
OG0002590	El002G139700	XP_013622096.1, XP_013591756.1
OG0002591	El005G249450	XP_013638182.1
OG0002591	El002G140370	XP_013629928.1
OG0002592	El002G139770	XP_013592306.1, XP_013591963.1
OG0002592	El005G250190	XP_013586577.1
OG0002593	El002G137870	XP_013626975.1, XP_013592806.1
OG0002593	El005G252050	XP_013638498.1
OG0002594	El002G137640, El005G252250	XP_013592088.1, XP_013591773.1
OG0002595	El002G136940	XP_013590014.1
OG0002596	El005G253420	XP_013601683.1
OG0002596	El003G172120	XP_013598025.1
OG0002597	El005G254160	XP_013586991.1
OG0002597	El002G131410	XP_013591550.1
OG0002598	El005G254770	XP_013609114.1, XP_013586245.1
OG0002598	El002G132110	XP_013604575.1
OG0002599	El005G260150	XP_013599550.1
OG0002599	El005G260140	XP_013637843.1, XP_013630120.1
OG0002601	El006G314180	XP_013602912.1
OG0002601	El003G150280	XP_013617713.1
OG0002602	El005G248970	XP_013611066.1, XP_013628951.1
OG0002603	El005G258950	XP_013638725.1
OG0002603	El002G135710	XP_013592327.1
OG0002604	El002G133260	XP_013639595.1, XP_013594292.1, XP_013590881.1
OG0002605	El001G027780	XP_013601973.1
OG0002605	El006G288670	XP_013631051.1
OG0002606	El001G029450	XP_013635671.1, XP_013634781.1, XP_013603221.1
OG0002606	El006G286990, El006G286970	XP_013635619.1
OG0002607	El001G015460, El001G031720	XP_013634663.1, XP_013599775.1
OG0002608	El005G262740	XP_013639706.1, XP_013632083.1
OG0002610	El007G364540	XP_013617673.1
OG0002611	El006G291190	XP_013634962.1, XP_013627677.1
OG0002612	El003G150470	XP_013623258.1
OG0002614	El001G041300	XP_013613427.1
OG0002616	El001G013260, El003G174610	XP_013601084.1
OG0002618	El007G326810, El007G358580, El007G326800	XP_013627242.1
OG0002619	El005G267010	XP_013601528.1
OG0002622	El003G155090	XP_013608206.1, XP_013605671.1
OG0002624	El006G313680	XP_013634969.1
OG0002624	El003G149920	XP_013596164.1, XP_013638596.1, XP_013626957.1
OG0002626	El003G147990, El002G127200	XP_013601569.1, XP_013628761.1
OG0002627	El003G147850	XP_013602275.1
OG0002627	El005G273610	XP_013622206.1
OG0002628	El005G273920	XP_013622300.1
OG0002628	El003G147440	XP_013598159.1
OG0002629	El006G296020	XP_013636642.1
OG0002629	El002G118160	XP_013620846.1
OG0002630	El006G295540	XP_013631630.1
OG0002631	El006G295330	XP_013622222.1
OG0002631	El003G170530	XP_013601322.1
OG0002632	El004G207500	XP_013636301.1, XP_013633953.1, XP_013608960.1
OG0002633	El002G092460	XP_013604451.1, XP_013603009.1, XP_013638156.1
OG0002634	El004G202960	XP_013635583.1, XP_013605688.1
