Orthogroup	Erysimum_linariifolium	Alyssum_gmelinii
OG0002484	El003G189000, El007G335380, El007G335360, El007G335370	Ag002G190890, Ag002G190850
OG0002485	El001G051370	Ag007G634440
OG0002485	El001G051380	Ag003G279330
OG0002486	El002G105320	Ag004G334760
OG0002487	El004G196390	Ag004G384320, Ag004G384350, Ag004G384270
OG0002494	El003G155770	Ag003G253690
OG0002496	El006G320630	Ag006G521690
OG0002497	El003G151460	Ag003G269460
OG0002498	El003G151370	Ag003G269850
OG0002499	El001G058250	Ag008G715550
OG0002500	El003G148300, El005G272750	Ag003G280910
OG0002503	El002G091630, El004G210050	Ag004G309070
OG0002504	El002G092800	Ag004G310760
OG0002505	El002G093310	Ag004G311760
OG0002505	El004G202180	Ag004G369490
OG0002506	El004G201320	Ag004G371470
OG0002506	El002G093580	Ag004G312160
OG0002507	El001G037710	Ag004G320770, Ag006G517830
OG0002508	El001G038290, El001G038360	Ag005G477690
OG0002508	El002G097870	Ag004G319440
OG0002509	El001G038690	Ag008G662590
OG0002510	El002G096480	Ag004G317010
OG0002511	El001G044210, El001G044190, El001G044490	Ag001G070200, Ag001G061040
OG0002512	El001G031800	Ag001G092040
OG0002512	El002G140700	Ag001G001300
OG0002513	El005G246100	Ag005G474690
OG0002513	El001G077390, El001G077380, El001G077400	Ag006G499350
OG0002514	El005G246560, El001G076750	Ag005G473900
OG0002515	El005G247310	Ag005G472490
OG0002516	El003G158820, El003G158850	Ag007G585490, Ag007G585510
OG0002517	El003G156320	Ag003G252570
OG0002517	El007G339560, El007G339590	Ag008G686770
OG0002518	El003G157720	Ag003G250500
OG0002519	El003G157740, El007G336550	Ag003G250460
OG0002520	El007G336170	Ag008G696960
OG0002522	El007G326040	Ag008G731150
OG0002523	El003G169650	Ag006G577660
OG0002524	El001G006770	Ag002G143870, Ag002G144360
OG0002524	El003G162670	Ag006G551170
OG0002525	El002G123890	Ag006G535150
OG0002526	El002G117200	Ag007G580450
OG0002526	El003G159400	Ag007G586250
OG0002527	El006G296150	Ag002G162040
OG0002527	El002G117670	Ag007G579770
OG0002528	El005G275510	Ag005G415160
OG0002528	El003G146060	Ag003G287860
OG0002529	El003G144970	Ag003G290690, Ag001G017030
OG0002529	El006G318530	Ag006G523970
OG0002530	El003G144600	Ag003G291600
OG0002531	El003G143610	Ag003G293270
OG0002532	El003G142840	Ag003G295040
OG0002533	El003G141860	Ag003G296930
OG0002535	El001G007110, El003G162450	Ag002G143230
OG0002536	El003G163130	Ag006G552760
OG0002536	El001G005980	Ag002G141570
OG0002537	El001G005800	Ag002G140850
OG0002537	El002G087120	Ag004G303260
OG0002538	El003G175970	Ag005G405260
OG0002538	El003G175980	Ag001G037830
OG0002539	El003G175060	Ag001G036710
OG0002539	El003G175070	Ag001G036720
OG0002540	El003G172750, El003G172760	Ag001G033510
OG0002541	El001G035380	Ag001G098440
OG0002542	El006G281940	Ag002G203040
OG0002542	El001G033580	Ag001G094990
OG0002543	El006G282560	Ag002G202530
OG0002543	El001G033060	Ag001G094110
OG0002544	El006G284960	Ag002G198350
OG0002544	El001G031430	Ag001G091540
OG0002545	El006G287730	Ag002G191470
OG0002547	El001G028670	Ag001G083950
OG0002547	El006G287920	Ag002G190820
OG0002548	El006G291740	Ag002G176690
OG0002548	El001G079150	Ag006G495930
OG0002549	El002G130360	Ag002G186820
OG0002551	El001G015900	Ag001G052070
OG0002552	El007G327080	Ag008G729550
OG0002553	El007G323340	Ag008G734640
OG0002554	El007G362220, El007G322730	Ag001G100050
OG0002555	El002G083720	Ag004G298730
OG0002556	El001G001710	Ag006G514230, Ag006G545690
OG0002556	El002G083870	Ag004G298880
OG0002557	El002G088270	Ag004G304940
OG0002557	El006G300960	Ag007G591080
OG0002558	El005G264510	Ag001G034270
OG0002558	El003G157330	Ag003G251050
OG0002559	El005G235510	Ag001G100410
OG0002559	El001G066790	Ag007G615170
OG0002560	El001G066120	Ag007G618100
OG0002560	El005G236030	Ag005G490270
OG0002561	El001G064310	Ag007G623080
OG0002562	El001G048660	Ag007G637760
OG0002562	El005G239710	Ag005G484720
OG0002563	El002G115480	Ag005G484570
OG0002564	El005G241490	Ag005G481780
OG0002566	El006G292910	Ag002G172370
OG0002567	El002G100310	Ag004G324860
OG0002568	El004G227920	Ag003G226430
OG0002568	El002G103940	Ag004G332460
OG0002569	El004G228890	Ag003G222490
OG0002569	El002G104640	Ag004G334090
OG0002570	El002G104770, El004G229000	Ag003G222230
OG0002571	El004G229470	Ag003G220060
OG0002571	El002G105310	Ag004G335580
OG0002572	El004G230370	Ag003G218270
OG0002572	El002G106060	Ag004G337450
OG0002573	El004G221650	Ag004G346180
OG0002573	El002G109580	Ag003G243110
OG0002574	El004G219530	Ag004G351450
OG0002575	El002G109730, El005G267440	Ag004G321090
OG0002577	El002G089980	Ag004G306990
OG0002578	El002G088730	Ag008G697910, Ag004G305470
OG0002578	El002G088740	Ag004G305450
OG0002580	El006G300270	Ag007G590160
OG0002580	El002G087730	Ag004G304170, Ag004G304160
OG0002581	El002G083820, El002G094730	Ag004G298810, Ag004G298800
OG0002582	El004G200330, El006G289290	Ag002G186080
OG0002583	El001G019480	Ag008G693110
OG0002583	El001G055030	Ag008G722000
OG0002584	El001G016530	Ag001G053020
OG0002584	El007G332610	Ag008G706760
OG0002585	El007G331300	Ag008G709510
OG0002587	El037G374570, El002G104040	Ag004G332590
OG0002587	El004G228030	Ag003G226110
OG0002588	El004G226850	Ag003G231660
OG0002588	El003G174590, El003G174560	Ag004G330360, Ag004G330380, Ag004G330370
OG0002589	El002G101660	Ag004G327580
OG0002589	El004G224850	Ag003G238700
OG0002590	El005G250260	Ag005G467450
OG0002591	El005G249450	Ag005G469040
OG0002591	El002G140370	Ag001G016720, Ag001G002320
OG0002592	El002G139770	Ag001G003650
OG0002592	El005G250190	Ag005G467560
OG0002593	El002G137870	Ag001G007300
OG0002593	El005G252050	Ag005G463500
OG0002594	El002G137640	Ag001G007750
OG0002594	El005G252250	Ag005G463010, Ag006G549780, Ag002G112380
OG0002595	El002G136940	Ag001G009010
OG0002596	El005G253420	Ag005G460250, Ag005G454600
OG0002596	El003G172120	Ag001G031690, Ag001G030540
OG0002597	El005G254160	Ag005G458740
OG0002597	El002G131410	Ag001G027310
OG0002598	El005G254770	Ag005G456770
OG0002599	El005G260150, El005G260140	Ag005G440580, Ag005G440620
OG0002601	El006G314180	Ag006G550970
OG0002601	El003G150280	Ag003G279070
OG0002602	El005G248970	Ag005G469990
OG0002603	El005G258950	Ag005G444170, Ag005G442890
OG0002603	El002G135710	Ag001G011230
OG0002604	El002G133260	Ag007G588860, Ag003G261990, Ag003G262340
OG0002605	El001G027780	Ag001G081580
OG0002605	El006G288670	Ag002G188220
OG0002607	El001G015460, El001G031720	Ag001G092240, Ag001G092210, Ag001G092200, Ag001G092230, Ag001G092330, Ag001G092280
OG0002608	El005G266930, El005G267070, El005G267030	Ag001G005320, Ag001G005250, Ag004G368450, Ag005G431350
OG0002609	El003G169120	Ag001G096640, Ag001G096690, Ag001G097370, Ag001G097290
OG0002610	El003G168980	Ag008G703650, Ag008G703690, Ag008G703720, Ag008G703670, Ag006G576820
OG0002610	El007G364540	Ag002G108710, Ag002G112330, Ag002G112230
OG0002611	El006G291200, El006G291190	Ag002G178330
OG0002612	El003G150470, El003G150460	Ag003G279400
OG0002613	El002G123430	Ag004G301430, Ag004G301440, Ag004G301390
OG0002614	El001G041300	Ag008G667480
OG0002615	El002G106430	Ag004G338140
OG0002616	El001G013260, El003G174610	Ag007G581870, Ag006G505180
OG0002617	El003G186740, El003G186730	Ag006G573120, Ag006G573040, Ag006G573010, Ag006G573030, Ag006G573050
OG0002618	El007G326810, El007G358580, El007G326800	Ag008G730190
OG0002622	El005G278680	Ag005G402980
OG0002622	El003G155090	Ag003G255280
OG0002623	El003G151940	Ag003G267640
OG0002624	El003G149920	Ag003G278100
OG0002626	El003G147990, El002G127200	Ag003G281940
OG0002627	El003G147850	Ag003G282170
OG0002628	El003G147440	Ag003G283180
OG0002629	El006G296020	Ag002G162350
OG0002629	El002G118160	Ag007G579610
OG0002630	El002G119360, El006G295540	Ag007G578610
OG0002631	El003G170530	Ag001G101560
OG0002632	El004G207500	Ag004G366600
OG0002632	El002G091990	Ag004G309630, Ag001G083910, Ag004G395070
OG0002633	El002G092460	Ag004G310470
OG0002634	El004G202960	Ag004G369090
OG0002634	El002G093070	Ag004G311210
OG0002635	El002G094740	Ag004G313950
OG0002635	El004G199190	Ag004G377000
OG0002636	El002G098770	Ag004G321280
OG0002637	El002G097880	Ag004G319430
OG0002638	El001G039710	Ag008G664140
OG0002638	El002G096890	Ag004G317750
OG0002639	El001G041580	Ag008G667870
OG0002639	El001G080100	Ag006G494010
OG0002641	El003G189270	Ag007G648650
OG0002642	El004G217310	Ag004G356460
OG0002642	El003G188230	Ag007G647270
OG0002643	El003G186210	Ag007G646080
OG0002643	El004G215660	Ag004G358820
OG0002644	El003G156560	Ag003G252310
OG0002645	El007G334590	Ag008G701890
OG0002645	El003G158500	Ag003G249220
OG0002646	El001G078520	Ag006G497220
OG0002646	El005G245580	Ag005G475820
OG0002647	El007G345040	Ag001G041410
OG0002649	El001G070270	Ag005G480610
OG0002650	El007G338030	Ag008G689490
OG0002651	El007G337750	Ag008G693340
OG0002652	El005G277370	Ag005G408870
OG0002653	El001G070990	Ag007G605960
OG0002653	El001G053980	Ag008G721390
OG0002654	El007G324490	Ag008G733330
OG0002654	El001G071380	Ag007G605080
OG0002655	El001G071970	Ag007G604090
OG0002655	El007G325070	Ag008G732570
OG0002656	El007G325810	Ag008G731530
OG0002656	El001G072320	Ag007G603140
OG0002657	El003G168670	Ag006G576110
OG0002657	El003G173070	Ag001G033900
OG0002658	El003G165150	Ag006G562640
OG0002658	El003G165140	Ag006G562670, Ag006G562680
OG0002659	El003G163290	Ag006G553310
OG0002659	El001G005870	Ag002G141160
OG0002660	El001G006160	Ag002G142420
OG0002660	El003G162910	Ag006G552110
OG0002661	El003G161730	Ag006G548180, Ag006G546490
OG0002661	El001G007610	Ag002G145840
OG0002662	El002G123590	Ag006G534950
OG0002662	El001G010040	Ag002G156060, Ag002G153510
OG0002663	El002G113730	Ag007G583690
OG0002664	El003G146540	Ag003G286160, Ag003G286170
OG0002665	El003G146040	Ag004G393380, Ag003G287910
OG0002665	El005G275590	Ag005G413070, Ag005G413510
OG0002666	El003G145720	Ag003G288780, Ag003G288810, Ag003G288760
OG0002667	El003G145610	Ag003G288990
OG0002667	El005G276690	Ag005G410990
OG0002668	El003G145130	Ag003G289990, Ag003G290130, Ag003G290180, Ag003G290150
OG0002669	El003G144330	Ag005G446620
OG0002670	El006G320730	Ag006G521560
OG0002670	El003G142680	Ag003G295170
OG0002671	El003G191030	Ag002G175640
OG0002671	El003G191260	Ag007G652750
OG0002672	El003G189620	Ag007G649110
OG0002673	El001G010320	Ag002G153140, Ag002G155800
OG0002673	El002G098680	Ag004G321190
OG0002674	El001G006080	Ag002G142020
OG0002675	El003G164930	Ag006G564010
OG0002675	El001G006550, El001G004550	Ag002G130110
OG0002676	El003G179390	Ag001G043400
OG0002676	El005G268960	Ag005G426920
OG0002678	El003G176970	Ag001G038520
OG0002679	El003G174880, El005G263210	Ag005G436190
OG0002680	El005G262780	Ag005G436570
OG0002681	El006G281660	Ag002G203420
OG0002681	El001G033810, El001G033750	Ag001G095220
OG0002682	El001G030850	Ag001G090320
OG0002682	El006G285720	Ag002G196570
OG0002683	El006G287200	Ag002G192880
OG0002683	El001G029570	Ag001G086130
OG0002684	El006G287750	Ag002G191430
OG0002684	El001G028790	Ag001G084410
OG0002685	El005G244010	Ag005G478350
OG0002686	El001G078540	Ag006G497200
OG0002687	El001G014260	Ag003G278210
OG0002687	El007G330590	Ag008G711700
OG0002688	El003G184900, El001G014850	Ag001G051010
OG0002688	El007G330940	Ag008G710570
OG0002690	El007G331500, El007G362080	Ag001G052100, Ag008G709190
OG0002691	El001G018270	Ag001G057150
OG0002691	El007G327110	Ag008G729520
OG0002692	El001G000570	Ag006G517290
OG0002692	El002G083040	Ag004G297870
OG0002693	El001G003580, El002G085180	Ag004G300690
OG0002693	El001G003590	Ag007G599460
OG0002694	El007G360400	Ag007G586620
OG0002695	El006G300710	Ag007G590860
OG0002695	El002G088110	Ag004G304820
OG0002696	El002G090460	Ag004G307550
OG0002696	El006G304670	Ag007G595170
OG0002698	El005G237600	Ag005G487860
OG0002698	El001G063570	Ag007G625240
OG0002699	El005G237660	Ag005G487790
OG0002699	El001G063520	Ag007G625360
OG0002700	El005G238490	Ag005G486370
OG0002701	El005G242440, El007G347620	Ag005G480350
OG0002702	El001G027440	Ag001G080680
OG0002702	El006G289180	Ag002G186550
OG0002704	El006G293470	Ag002G170810
OG0002704	El001G023940	Ag001G072420
OG0002705	El001G024990	Ag001G074810
OG0002705	El006G291430	Ag002G177830
OG0002706	El004G232980	Ag003G211550
OG0002706	El002G100340	Ag004G324880
OG0002707	El004G225650	Ag003G236430
OG0002707	El002G102060	Ag004G328740
OG0002708	El004G227930	Ag003G226350
OG0002708	El002G103950	Ag004G332470
OG0002709	El004G229920	Ag003G219290
OG0002709	El002G105740	Ag004G336630
OG0002710	El002G108040	Ag004G340810
OG0002710	El004G223240	Ag004G343040
OG0002711	El005G266790, El002G109370	Ag003G242850
OG0002712	El004G219500, El002G111900	Ag004G351640
OG0002713	El004G219480	Ag004G351670
OG0002714	El002G099180	Ag004G322590
OG0002715	El002G098960	Ag004G321990
OG0002716	El002G093330	Ag004G311790
OG0002716	El002G093320	Ag004G311770
OG0002717	El001G064770, El001G064930	Ag007G622150
OG0002718	El006G314750, El005G273050	Ag007G625000
OG0002719	El001G054610, El001G054720, El007G358870, El001G054630, El001G054650, El001G054710, El007G358880	Ag008G721890, Ag008G721870
OG0002720	El001G021180	Ag001G059860, Ag001G063340, Ag001G063290
OG0002720	El001G021170, El003G175950	Ag001G063260, Ag001G059970
OG0002721	El001G055370, El001G055400	Ag008G722440
OG0002722	El004G220330	Ag004G349750
OG0002723	El004G231390	Ag003G215030
OG0002724	El002G105170	Ag004G335100
OG0002724	El004G229290	Ag003G220660
OG0002725	El005G249020	Ag005G469920
OG0002725	El005G249010	Ag005G469930
OG0002726	El005G252010	Ag005G463760
OG0002726	El002G137910	Ag001G007270
OG0002727	El002G136800	Ag001G009250
OG0002728	El005G256580	Ag005G450800
OG0002729	El005G258370	Ag005G445840
OG0002729	El002G135120	Ag001G012750, Ag001G012760
OG0002730	El005G260070	Ag005G441030
OG0002731	El005G261310	Ag005G438390
OG0002731	El003G174120	Ag001G034870
OG0002733	El002G133280, El002G133290	Ag001G021100
OG0002734	El006G296690	Ag002G160910
OG0002735	El005G270080, El001G015850, El007G347040	Ag001G072400
OG0002736	El006G292290	Ag002G174880
OG0002736	El001G024810	Ag001G074410
OG0002737	El006G288690	Ag002G188180
OG0002737	El001G027770	Ag001G081570
OG0002738	El007G366770	Ag002G123510, Ag002G123500, Ag004G335260, Ag001G015690, Ag002G174930, Ag002G123520
OG0002739	El001G020020	Ag001G059200
OG0002739	El001G020030	Ag001G059210
OG0002739	El007G323770	Ag008G734130
OG0002740	El001G030760	Ag001G090060
OG0002741	El004G219310	Ag001G083430
OG0002742	El001G044740, El004G212450	Ag003G266550
OG0002743	El003G149080	Ag003G275750
OG0002743	El003G149070	Ag003G275730
OG0002744	El002G093300	Ag004G311650, Ag004G311720, Ag004G311680, Ag004G311710
OG0002745	El002G095140	Ag004G314670, Ag004G314690
OG0002746	El002G097500	Ag004G319140
OG0002748	El001G072260	Ag007G603290
OG0002749	El007G335510, El007G335550	Ag008G699260
OG0002753	El003G155630	Ag003G253900
OG0002754	El005G278580	Ag005G402790
OG0002755	El003G151190	Ag003G270880
OG0002757	El003G147960	Ag003G281990
OG0002758	El005G274110	Ag005G417320
OG0002760	El003G159660	Ag007G598690
OG0002762	El004G199080	Ag004G377610
OG0002762	El002G094900	Ag004G314240
OG0002763	El002G098990	Ag004G322020
OG0002764	El002G097400	Ag004G318710
OG0002764	El001G038750	Ag008G662660
OG0002765	El001G041700	Ag008G668440
OG0002765	El001G073390	Ag007G601210
OG0002766	El003G186090	Ag004G359670
OG0002767	El004G196520	Ag004G383870
OG0002767	El002G096310	Ag004G316670
OG0002768	El007G335290	Ag008G699880
OG0002769	El005G244600	Ag005G477190
OG0002771	El001G071900	Ag007G604200
OG0002771	El007G325180	Ag008G732420
OG0002772	El007G326680	Ag008G730320
OG0002772	El001G072820	Ag007G602080
OG0002773	El001G074300	Ag006G508470
OG0002773	El007G329140	Ag008G726200
OG0002774	El003G165960	Ag006G558150
OG0002774	El007G361760	Ag002G102200
OG0002775	El003G165830	Ag006G559340
OG0002775	El007G361630	Ag002G124650
OG0002776	El003G164500	Ag005G431060
OG0002776	El003G164510	Ag006G565770
OG0002777	El003G163920, El003G163930	Ag006G567590
OG0002778	El006G315620, El006G315680, El006G315670, El006G315600	Ag006G564240, Ag006G564280, Ag006G564210, Ag004G370470, Ag006G564190
OG0002779	El002G122280, El002G122260	Ag006G539240, Ag006G536650
OG0002780	El002G125070, El002G125060	Ag006G534280
OG0002781	El003G144640	Ag003G291560
OG0002783	El003G142360	Ag003G296210
OG0002784	El007G366350	Ag002G114210, Ag002G121900
OG0002785	El003G182730	Ag001G042460
OG0002785	El005G271310	Ag005G420710
OG0002786	El005G271090	Ag005G424380, Ag003G278970
OG0002787	El003G183460	Ag005G425890
OG0002788	El005G264070	Ag005G435760
OG0002789	El005G261870	Ag005G437220
OG0002789	El003G174430	Ag001G035660
OG0002790	El005G261140	Ag005G438890
OG0002791	El003G173020	Ag001G033850
OG0002791	El005G260000	Ag005G441220
OG0002793	El006G280890	Ag002G204580
OG0002793	El001G034430	Ag001G096720, Ag001G096730
OG0002794	El006G283130, El001G032610	Ag001G093540, Ag001G093550
OG0002795	El001G032030	Ag001G092690
OG0002796	El006G285300	Ag002G197410
OG0002796	El006G285270	Ag002G197440
OG0002797	El001G029310	Ag001G085520
OG0002797	El006G286840	Ag002G193440
OG0002798	El001G028860	Ag001G084780
OG0002800	El001G079090	Ag006G496040, Ag006G496030, Ag006G496020, Ag006G496010
OG0002800	El001G079130	Ag006G495950
OG0002801	El001G011750	Ag001G093670, Ag008G717130
OG0002802	El001G012040, El001G058930	Ag008G716500
OG0002803	El007G332480	Ag008G706880
OG0002805	El002G089760	Ag004G306680
OG0002805	El006G303140	Ag007G593700
OG0002806	El002G084000	Ag004G299220
OG0002806	El001G001830	Ag006G513890
OG0002807	El001G003760	Ag007G599270
OG0002808	El006G299770	Ag007G589520
OG0002809	El006G301090	Ag007G591270
OG0002809	El002G088490	Ag004G305180
OG0002810	El002G089040	Ag004G305760
OG0002810	El006G301820	Ag007G592040
OG0002811	El006G303940, El006G303870	Ag007G594540, Ag007G594560
OG0002812	El006G307010	Ag007G596990
OG0002813	El005G235320	Ag001G100670
OG0002813	El001G067100	Ag007G614010
OG0002814	El001G065770	Ag007G619290
OG0002814	El005G236370	Ag005G489890
OG0002815	El005G237670	Ag005G487780
OG0002815	El001G063490	Ag007G625520
OG0002816	El005G238780	Ag005G485950, Ag005G485960
OG0002817	El005G238940	Ag005G485710
OG0002817	El001G062190	Ag007G630570
OG0002818	El008G369160, El005G239850	Ag005G484520
OG0002819	El001G061460	Ag007G631850
OG0002819	El005G241360, El004G208960	Ag005G482060
OG0002821	El005G242120	Ag005G480770, Ag005G480780
OG0002822	El005G239190	Ag005G485350
OG0002822	El001G051730	Ag005G481350, Ag003G261760
OG0002823	El001G023270	Ag001G069900
OG0002823	El006G294600	Ag002G166580
OG0002824	El001G024570	Ag001G073610
OG0002824	El006G292430	Ag002G174450
OG0002825	El004G234250	Ag003G208320
OG0002825	El002G099570	Ag004G323050
OG0002826	El004G233410	Ag003G210560
OG0002826	El002G100090	Ag004G324460
OG0002827	El002G101590	Ag004G327500
OG0002827	El004G224750	Ag003G239010
OG0002828	El002G101630	Ag004G327550
OG0002828	El004G224800	Ag003G238950
OG0002829	El002G102030	Ag004G328680
OG0002829	El004G225420	Ag003G236950
OG0002830	El002G102980	Ag004G330920
OG0002831	El004G227310	Ag003G229420
OG0002831	El002G103110	Ag004G331450
OG0002832	El002G104900	Ag004G334490
OG0002832	El004G229080	Ag003G221810
OG0002833	El002G104910	Ag004G334500
OG0002833	El004G229090	Ag003G221800
OG0002834	El002G109260	Ag003G242670
OG0002834	El004G221810	Ag004G345680
OG0002835	El004G220280	Ag004G349860
OG0002836	El004G219730, El002G111880	Ag004G350720
OG0002837	El004G219180	Ag004G352960
OG0002838	El003G160480	Ag006G563490, Ag005G478710
OG0002840	El003G142660	Ag003G295270
OG0002840	El006G321040	Ag006G521470
OG0002841	El006G299660	Ag007G589580
OG0002841	El002G087280	Ag004G303550
OG0002842	El002G085040, El004G210630	Ag004G300520, Ag004G300540, Ag004G300570
OG0002843	El002G084620	Ag001G001970, Ag003G216360
OG0002844	El001G066560	Ag007G616460, Ag007G616440, Ag007G616490
OG0002845	El001G061710	Ag007G629600
OG0002846	El007G345300	Ag007G640980, Ag006G506740
OG0002848	El001G055320	Ag008G722400
OG0002849	El001G019160	Ag008G692450
OG0002849	El001G055610	Ag008G722630
OG0002850	El005G265700	Ag008G726440
OG0002851	El001G056360	Ag008G723600
OG0002851	El001G018520	Ag008G691160
OG0002852	El001G056450	Ag008G723760
OG0002853	El007G328960, El007G329000, El007G328980, El007G328900	Ag008G726590
OG0002854	El004G207780, El004G207740	Ag008G706670
OG0002855	El005G235660	Ag001G100180
OG0002855	El007G332750, El007G335530	Ag008G706360
OG0002856	El001G016580, El007G332780	Ag008G706300
OG0002857	El001G020240	Ag001G060140
OG0002859	El007G331230, El001G015320	Ag008G709840
OG0002860	El003G147930	Ag003G282060
OG0002860	El005G273490	Ag005G418240
OG0002861	El002G084100	Ag004G299350
OG0002861	El004G222780	Ag004G343880
OG0002862	El004G226970	Ag003G231430, Ag003G231340
OG0002863	El004G233640	Ag003G209700
OG0002863	El002G099950	Ag004G324070
OG0002864	El002G140480	Ag001G002130
OG0002864	El005G249400	Ag005G469140
OG0002865	El002G140050	Ag001G002950
OG0002865	El005G249770	Ag005G468320
OG0002866	El005G250070	Ag005G467860
OG0002866	El002G139870	Ag001G003560
OG0002867	El005G250220	Ag005G467500
OG0002867	El002G139750	Ag001G003720
OG0002868	El005G252020	Ag005G463750
OG0002868	El002G137890	Ag001G007280
OG0002869	El002G135050	Ag001G012890
OG0002869	El005G258340	Ag005G445860
OG0002870	El004G194480	Ag008G718610, Ag008G702660, Ag008G702780, Ag008G702980
OG0002871	El005G272660	Ag007G591240
OG0002872	El003G163910, El005G273840	Ag006G505490, Ag006G505470, Ag006G567610
OG0002873	El003G152820	Ag003G261450
OG0002873	El005G277270	Ag005G409330
OG0002874	El002G125460	Ag005G404460
OG0002875	El005G258380	Ag005G445830
OG0002876	El002G135330	Ag001G011990
OG0002876	El002G133320	Ag001G021030
OG0002877	El001G025910	Ag001G076780
OG0002878	El006G288830	Ag002G187900
OG0002878	El001G027710	Ag001G081420
OG0002879	El001G028480	Ag001G083650
OG0002879	El006G288020	Ag002G190440
OG0002880	El001G028780	Ag001G084400
OG0002880	El001G076490	Ag006G501330
OG0002881	El001G029230, El001G029240	Ag001G085400
OG0002882	El007G365310, El007G362680	Ag002G116840
OG0002883	El003G191440	Ag005G402480
OG0002885	El005G253860, El003G170380	Ag008G700570, Ag005G459310
OG0002886	El001G064950, El001G064780, El001G064940	Ag007G622010
OG0002890	El005G279170	Ag005G404050
OG0002891	El003G152590	Ag003G265450, Ag003G266260
OG0002892	El006G315440	Ag006G525230
OG0002892	El003G150920	Ag003G272130
OG0002893	El003G150720	Ag003G273140
OG0002894	El001G012650	Ag010G739510, Ag001G049420
OG0002894	El003G150110	Ag003G278510
OG0002895	El003G149730	Ag003G277670
OG0002896	El003G175600, El003G148930	Ag003G275210
OG0002897	El003G147680	Ag003G282690
OG0002897	El005G273770, El007G357480	Ag005G417830
OG0002898	El005G253390	Ag005G460300
OG0002899	El002G119590, El006G295580	Ag007G578380
OG0002900	El006G295360	Ag002G164340
OG0002900	El003G170390	Ag001G101420
OG0002901	El002G093720	Ag004G312370
OG0002901	El004G200460	Ag004G373230
OG0002902	El004G199100	Ag004G377470
OG0002903	El002G099220, El002G099240	Ag004G322660, Ag004G322670, Ag004G322680
OG0002904	El002G098740	Ag004G321260
OG0002904	El001G036860	Ag005G406190
OG0002905	El003G190670	Ag007G650810
OG0002905	El001G043170	Ag008G672410
OG0002906	El004G195790, El003G192500	Ag004G388680, Ag004G393680
OG0002907	El007G334240, El003G158630	Ag008G702690
OG0002909	El005G245990	Ag005G474850
OG0002909	El001G077780	Ag006G499000
OG0002910	El001G075600	Ag006G503960
OG0002910	El005G247340	Ag005G472440
OG0002911	El005G248210	Ag005G471290
OG0002911	El001G067770	Ag007G612910
OG0002912	El007G338960	Ag008G687500
OG0002912	El002G111380	Ag003G244870
OG0002913	El007G337930	Ag001G057450
OG0002914	El007G336120, El003G157890	Ag008G697080
OG0002915	El007G333500, El007G333360	Ag008G705140
OG0002916	El002G112810, El002G113060	Ag003G246970
OG0002917	El001G069570, El001G051680	Ag007G608570
OG0002918	El001G056900	Ag008G724310
OG0002919	El001G074050	Ag007G600120
OG0002920	El007G328620	Ag008G726960
OG0002921	El007G366540	Ag002G123220
OG0002922	El003G169180	Ag006G577150
OG0002924	El001G006670, El003G162750	Ag002G144730
OG0002925	El003G162550	Ag006G550760
OG0002926	El002G120620	Ag001G084250, Ag006G540760
OG0002926	El001G008790	Ag002G147810
OG0002927	El002G121780	Ag006G536940, Ag006G539460
OG0002928	El002G122610	Ag006G538830, Ag006G536320
OG0002928	El004G223620	Ag004G342130
OG0002929	El002G123420	Ag006G535690
OG0002929	El002G107360	Ag004G339120
OG0002930	El006G297930	Ag006G516510
OG0002931	El003G146660	Ag003G285960
OG0002932	El003G145160	Ag003G289870
OG0002932	El006G318400	Ag006G524020
OG0002933	El003G144720	Ag003G291080
OG0002934	El007G337960	Ag003G292320
OG0002935	El003G142640	Ag004G328000, Ag003G215990, Ag003G295300
OG0002936	El003G142560	Ag003G295520
OG0002936	El006G321180	Ag006G521250
OG0002937	El003G142450	Ag003G295820, Ag003G295810
OG0002937	El003G142440	Ag003G295830
OG0002938	El003G142000	Ag003G296710
OG0002938	El006G321710	Ag006G518280
OG0002939	El001G011010, El001G006850	Ag001G005150
OG0002940	El006G297120	Ag002G103170
OG0002941	El003G179800	Ag003G285870, Ag003G285860
OG0002942	El003G175870	Ag001G037690
OG0002942	El005G265640	Ag005G433900, Ag005G432540
OG0002943	El003G192270, El003G192320	Ag007G655730
OG0002944	El001G034770	Ag001G097660
OG0002944	El006G280380	Ag002G205850
OG0002945	El002G099750	Ag004G323590, Ag005G489250, Ag001G091110
OG0002946	El006G281740	Ag002G203330
OG0002946	El001G033680	Ag001G095150
OG0002947	El006G283620	Ag002G200600
OG0002948	El001G055220	Ag002G200240
OG0002949	El006G284230	Ag002G199430
OG0002949	El004G205200, El004G205230	Ag002G199450
OG0002950	El007G322010	Ag001G099190
OG0002950	El001G021700	Ag001G067050
OG0002951	El006G284930	Ag002G198390
OG0002952	El006G285190	Ag002G197730
OG0002952	El001G031240	Ag001G091190
OG0002953	El006G285380	Ag002G197170
OG0002954	El001G031120	Ag001G090830
OG0002954	El006G285450	Ag002G197090
OG0002955	El001G081670	Ag006G491570
OG0002955	El005G244030	Ag005G478330
OG0002956	El001G059010	Ag008G716600, Ag008G716610
OG0002956	El001G058850	Ag008G716430
OG0002957	El001G014510	Ag010G740680, Ag001G050430
OG0002957	El007G330710	Ag008G711430, Ag008G711440
OG0002959	El001G071650	Ag007G604650
