Orthogroup	Erysimum_linariifolium	Euclidium_syriacum
OG0003255	El002G118250	ESY16_g61979_DN3_SP0_c0.t1
OG0003255	El002G093130	ESY5_g3426_DN3_SP0_c0.t1
OG0003257	El001G043120	ESY21_g55547_DN2_SP0_c0.t1
OG0003258	El003G187900	ESY8_g60964_DN3_SP0_c0.t1
OG0003258	El001G046480	ESY2_g35160_DN3_SP0_c0.t1
OG0003259	El004G218360, El004G197920	ESY2_g33656_DN3_SP0_c0.t1, ESY2_g33657_DN3_SP0_c0.t1
OG0003259	El004G197910	ESY2_g33655_DN3_SP0_c0.t1
OG0003260	El001G027340, El005G270390	ESY1_g10602_DN3_SP0_c0.t1
OG0003261	El007G340070	ESY6_g47213_DN3_SP1_c0.t1
OG0003262	El007G338940, El003G156720	ESY16_g62194_DN2_SP0_c0.t1
OG0003263	El003G157390	ESY16_g62360_DN2_SP0_c0.t1
OG0003263	El007G337350	ESY6_g47971_DN1_SP0_c0.t1
OG0003264	El001G070380	ESY7_g18162_DN3_SP0_c0.t1
OG0003264	El001G052900	ESY6_g49964_DN3_SP0_c0.t1
OG0003265	El001G071200	ESY7_g18076_DN3_SP5_c14.t1
OG0003266	El001G056740	ESY6_g50182_DN3_SP0_c0.t1
OG0003266	El001G073450	ESY7_g18674_DN2_SP0_c0.t1
OG0003267	El004G226410, El001G073620	ESY7_g18650_DN3_SP0_c0.t1
OG0003268	El003G167660, El003G167730, El003G167720, El003G167710	ESY9_g42724_DN3_SP0_c0.t1, ESY9_g42725_DN3_SP0_c0.t1
OG0003269	El001G006020	ESY7_g16086_DN3_SP0_c0.t1
OG0003270	El002G124840, El002G124810, El002G124800	ESY14_g20842_DN3_SP0_c0.t1
OG0003271	El002G113680	ESY8_g58547_DN3_SP0_c10.t1
OG0003273	El002G117290, El006G296330	ESY4_g23686_DN3_SP8_c0.t1
OG0003274	El005G274800	ESY11_g54016_DN3_SP8_c0.t1
OG0003274	El003G146880	ESY4_g25380_DN3_SP2_c0.t1
OG0003275	El005G275140	ESY11_g54079_DN2_SP0_c0.t1
OG0003275	El003G146630	ESY4_g25325_DN3_SP0_c0.t1
OG0003276	El005G276320	ESY11_g54220_DN3_SP7_c0.t1
OG0003277	El003G145630, El005G276670	ESY4_g26255_DN3_SP0_c0.t1
OG0003278	El006G321500	ESY8_g59895_DN3_SP7_c0.t1
OG0003278	El003G142220	ESY4_g26879_DN3_SP5_c0.t1
OG0003279	El003G142210	ESY4_g26888_DN3_SP0_c0.t1
OG0003280	El006G295500, El002G118930	ESY16_g61840_DN3_SP1_c0.t1
OG0003281	El007G363550, El007G363610	ESY7_g16801_DN3_SP0_c0.t1
OG0003282	El003G183530, El005G270150	ESY17_g39527_DN3_SP0_c0.t1
OG0003283	El003G178620, El003G180760, El005G268430	ESY3_g27567_DN2_SP0_c0.t1
OG0003284	El003G176730	ESY15_g65959_DN3_SP7_c0.t1
OG0003285	El003G176660	ESY15_g65979_DN3_SP2_c0.t1
OG0003287	El003G174150	ESY22_g40908_DN3_SP8_c0.t1
OG0003287	El005G261350	ESY3_g28793_DN3_SP5_c0.t1
OG0003288	El007G343180, El006G280280	ESY12_g52232_DN3_SP7_c0.t1
OG0003289	El006G284950	ESY12_g52163_DN3_SP0_c9.t1
OG0003292	El001G057570	ESY6_g48999_DN3_SP8_c0.t1
OG0003292	El001G013610	ESY1_g7298_DN3_SP3_c0.t1
OG0003293	El001G018170	ESY1_g9201_DN3_SP2_c0.t1
OG0003293	El007G327220	ESY6_g49699_DN3_SP1_c0.t1
OG0003294	El007G325720	ESY6_g50630_DN3_SP7_c0.t1
OG0003294	El001G072230	ESY7_g17922_DN3_SP8_c0.t1
OG0003296	El007G322620	ESY6_g50278_DN3_SP0_c0.t1
OG0003296	El001G021060	ESY1_g10076_DN2_SP0_c0.t1
OG0003297	El001G021210, El007G322450	ESY6_g50233_DN3_SP7_c0.t1
OG0003298	El007G360110	ESY8_g58163_DN3_SP8_c0.t1
OG0003298	El002G085820	ESY5_g5088_DN3_SP1_c0.t1
OG0003299	El006G299570	ESY20_g12691_DN3_SP0_c0.t1
OG0003299	El002G087220	ESY5_g4879_DN3_SP0_c0.t1
OG0003301	El006G308130, El006G308110	ESY8_g59087_DN3_SP3_c0.t1, ESY8_g59090_DN3_SP5_c0.t1
OG0003302	El006G311830	ESY8_g59216_DN3_SP3_c0.t1
OG0003302	El003G149440	ESY4_g25958_DN3_SP0_c11.t1
OG0003303	El005G234930	ESY3_g32688_DN3_SP5_c0.t1
OG0003303	El001G067560	ESY7_g17668_DN3_SP8_c0.t1
OG0003304	El001G082170	ESY7_g19659_DN3_SP0_c0.t1
OG0003304	El005G243870	ESY3_g30793_DN2_SP0_c0.t1
OG0003305	El001G064070	ESY7_g17241_DN3_SP8_c0.t1
OG0003306	El005G239600	ESY3_g31926_DN3_SP8_c0.t1
OG0003307	El001G049210, El005G239990	ESY3_g31809_DN3_SP7_c0.t1
OG0003308	El005G242910	ESY3_g30673_DN3_SP0_c0.t1
OG0003308	El007G349280	ESY15_g64738_DN2_SP0_c0.t1
OG0003309	El007G349210, El003G159410	ESY13_g56755_DN3_SP0_c0.t1
OG0003310	El002G101120	ESY5_g4375_DN3_SP0_c0.t1
OG0003310	El004G231910	ESY2_g36113_DN3_SP0_c0.t1
OG0003311	El002G101280, El007G358180	ESY5_g4355_DN3_SP0_c0.t1
OG0003312	El004G225750	ESY2_g35942_DN3_SP0_c0.t1
OG0003312	El002G102490	ESY5_g4215_DN3_SP0_c0.t1
OG0003313	El004G226000	ESY2_g34862_DN3_SP8_c0.t1
OG0003314	El004G227300, El002G103100	ESY2_g35006_DN2_SP0_c13.t1
OG0003315	El004G229830	ESY2_g34688_DN3_SP0_c0.t1
OG0003315	El002G105550	ESY5_g2546_DN3_SP0_c0.t1
OG0003316	El001G045000, El002G107210, El002G107230	ESY2_g35033_DN3_SP0_c0.t1
OG0003317	El002G107700	ESY5_g2264_DN3_SP0_c92.t1
OG0003318	El002G108610, El002G108600	ESY5_g2094_DN3_SP5_c0.t1, ESY2_g35588_DN3_SP0_c15.t1
OG0003319	El002G110790	ESY5_g1561_DN3_SP8_c0.t1, ESY16_g62349_DN3_SP0_c0.t1
OG0003319	El002G110240, El002G110780	ESY2_g35443_DN3_SP0_c0.t1
OG0003320	El002G112390	ESY13_g57570_DN3_SP0_c0.t1, ESY6_g47537_DN3_SP3_c0.t1, ESY8_g60779_DN3_SP6_c0.t1
OG0003321	El006G315270	ESY8_g59362_DN3_SP0_c0.t1
OG0003321	El003G150870	ESY4_g25050_DN3_SP2_c0.t1
OG0003322	El001G057300, El002G095000	ESY5_g3705_DN3_SP8_c0.t1
OG0003324	El005G235890, El001G066340	ESY7_g17487_DN3_SP1_c0.t1
OG0003325	El001G049040	ESY10_g15652_DN1_SP0_c0.t1, ESY6_g49830_DN3_SP0_c0.t1
OG0003326	El001G075160, El001G075170	ESY7_g18714_DN3_SP8_c0.t1
OG0003327	El001G076510	ESY7_g18864_DN3_SP8_c0.t1
OG0003328	El001G056040, El001G018970	ESY6_g50117_DN3_SP5_c0.t1
OG0003329	El004G218380	ESY21_g55175_DN3_SP0_c0.t1
OG0003330	El004G221130	ESY2_g35467_DN3_SP7_c0.t1
OG0003330	El002G110070	ESY3_g28806_DN3_SP0_c0.t1
OG0003331	El004G230800	ESY2_g35092_DN3_SP6_c0.t1
OG0003332	El002G103760, El004G227770	ESY2_g36000_DN1_SP0_c0.t1
OG0003333	El004G226310	ESY2_g34896_DN3_SP0_c0.t1
OG0003333	El002G102580	ESY5_g4205_DN3_SP0_c0.t1
OG0003334	El004G232250, El004G232240	ESY2_g36161_DN3_SP0_c0.t1, ESY2_g36158_DN1_SP0_c0.t1, ESY2_g36162_DN3_SP0_c0.t1, ESY2_g36164_DN3_SP0_c0.t1, ESY7_g18276_DN2_SP0_c0.t1
OG0003335	El004G232300, El002G100810	ESY2_g36822_DN3_SP8_c0.t1
OG0003336	El005G249240	ESY3_g30186_DN3_SP0_c0.t1, ESY12_g51957_DN3_SP0_c0.t1, ESY3_g30187_DN3_SP0_c0.t1, ESY3_g30185_DN3_SP0_c0.t1
OG0003337	El005G254040, El002G131330	ESY2_g38331_DN3_SP0_c0.t1
OG0003339	El002G138400	ESY2_g36927_DN1_SP0_c0.t1
OG0003339	El005G251410	ESY3_g30513_DN1_SP0_c0.t1
OG0003340	El001G028800	ESY1_g11703_DN3_SP0_c0.t1
OG0003341	El007G357950, El007G357940, El001G029610, El001G029630	ESY1_g11520_DN3_SP0_c0.t1, ESY1_g11518_DN2_SP0_c0.t1
OG0003342	El001G030300	ESY1_g11398_DN3_SP0_c0.t1
OG0003343	El001G034400	ESY1_g12418_DN3_SP8_c0.t1
OG0003344	El003G192710, El003G192690	ESY7_g16743_DN3_SP0_c0.t1, ESY2_g37168_DN1_SP0_c0.t1
OG0003345	El003G186560	ESY12_g50873_DN2_SP0_c0.t1, ESY1_g5741_DN2_SP0_c0.t1
OG0003347	El001G023680	ESY1_g11172_DN3_SP0_c0.t1
OG0003350	El003G151280	ESY4_g24966_DN3_SP0_c0.t1
OG0003351	El003G162880, El003G162870	ESY9_g43804_DN3_SP0_c0.t1
OG0003352	El001G064800	ESY7_g17315_DN3_SP0_c0.t1, ESY7_g17314_DN3_SP0_c0.t1, ESY7_g17313_DN3_SP0_c0.t1
OG0003356	El005G245980	ESY3_g31128_DN3_SP0_c0.t1
OG0003356	El007G342120, El007G342110	ESY3_g31119_DN3_SP0_c16.t1
OG0003359	El003G150750	ESY4_g25065_DN3_SP0_c0.t1
OG0003360	El003G150530	ESY8_g59336_DN3_SP0_c0.t1
OG0003361	El051G375550	ESY76_g38900_DN1_SP0_p0.t1
OG0003361	El036G374370	ESY32_g45740_DN2_SP1_c0.t1
OG0003362	El003G148830	ESY4_g25794_DN3_SP0_c0.t1
OG0003363	El003G148180, El005G272520	ESY4_g25699_DN3_SP4_c0.t1
OG0003364	El003G147540	ESY4_g25522_DN3_SP8_c5.t1
OG0003364	El001G002690	ESY4_g25890_DN3_SP0_c0.t1
OG0003365	El003G148920	ESY4_g25817_DN3_SP0_c0.t1, ESY4_g25821_DN3_SP0_c0.t1
OG0003366	El003G170010, El006G295910	ESY16_g61626_DN3_SP8_c0.t1
OG0003367	El004G194920	ESY10_g14468_DN3_SP0_c0.t1
OG0003367	El002G098600	ESY5_g2824_DN3_SP3_c0.t1
OG0003368	El001G038000, El007G354790, El007G355260, El007G355020, El001G000920	ESY1_g10629_DN3_SP0_c0.t1
OG0003369	El001G038860	ESY10_g14152_DN3_SP0_c0.t1
OG0003369	El003G190160	ESY8_g60507_DN3_SP0_c0.t1
OG0003370	El001G039920	ESY10_g14020_DN3_SP0_c0.t1
OG0003371	El003G191530	ESY8_g60282_DN3_SP8_c0.t1
OG0003371	El001G042520	ESY21_g55847_DN3_SP8_c0.t1
OG0003372	El003G189590, El001G044520	ESY2_g34545_DN3_SP2_c0.t1
OG0003373	El003G186260, El004G215720	ESY2_g35237_DN3_SP8_c0.t1
OG0003374	El004G211560	ESY2_g34354_DN3_SP6_c0.t1
OG0003374	El003G156520	ESY16_g62153_DN3_SP8_c0.t1
OG0003375	El004G195510	ESY2_g33403_DN3_SP4_c0.t1
OG0003375	El003G192610	ESY8_g60106_DN3_SP8_c0.t1
OG0003376	El003G158550	ESY13_g56265_DN3_SP0_c23.t1
OG0003378	El003G160360, El003G183370	ESY15_g65237_DN3_SP6_c19.t1
OG0003379	El007G336930	ESY6_g48011_DN3_SP0_c0.t1
OG0003379	El003G157630	ESY16_g61657_DN3_SP0_c0.t1, ESY16_g62419_DN3_SP0_c0.t1
OG0003380	El007G333790	ESY6_g48512_DN3_SP2_c0.t1
OG0003381	El003G155880	ESY4_g23900_DN3_SP0_c0.t1
OG0003381	El007G333680	ESY6_g48524_DN2_SP0_c0.t1
OG0003382	El007G325270, El001G071760	ESY6_g50564_DN3_SP8_c0.t1
OG0003383	El007G329420	ESY6_g49512_DN3_SP8_c8.t1
OG0003384	El003G167200, El003G167380	ESY9_g42792_DN3_SP8_c21.t1
OG0003385	El007G361040	ESY7_g16590_DN2_SP0_c0.t1
OG0003385	El003G165370	ESY9_g43311_DN2_SP0_c0.t1
OG0003387	El002G120970, El001G008960	ESY14_g19794_DN3_SP1_c0.t1
OG0003388	El001G047160	ESY4_g24058_DN2_SP0_c0.t1
OG0003389	El006G297770, El002G114710	ESY1_g5863_DN3_SP6_c0.t1
OG0003390	El002G116720, El002G116730	ESY4_g23652_DN3_SP6_c0.t1
OG0003391	El003G145500	ESY4_g26298_DN3_SP6_c0.t1
OG0003393	El003G143790, El006G319740, El006G319770	ESY8_g59691_DN3_SP1_c17.t1
OG0003394	El001G058000	ESY6_g49020_DN3_SP8_c0.t1
OG0003394	El003G185220	ESY17_g40201_DN3_SP4_c0.t1
OG0003395	El003G165490	ESY18_g63696_DN3_SP0_c0.t1
OG0003396	El001G007660	ESY18_g63651_DN3_SP0_c0.t1, ESY18_g63511_DN3_SP0_c0.t1
OG0003397	El003G167140	ESY9_g42861_DN3_SP5_c0.t1
OG0003397	El007G363700	ESY7_g16807_DN3_SP8_c0.t1
OG0003398	El005G268910, El003G179280	ESY17_g39558_DN3_SP4_c0.t1
OG0003399	El003G176670	ESY10_g14466_DN3_SP0_c0.t1, ESY8_g58513_DN3_SP0_c15.t1, ESY12_g51744_DN3_SP0_c0.t1
OG0003400	El003G176190, El003G176290, El003G176240, El003G176230	ESY27_g13527_DN3_SP8_c0.t1
OG0003401	El003G174500	ESY22_g40754_DN3_SP8_c0.t1
OG0003402	El003G173010	ESY2_g38873_DN3_SP0_c0.t1
OG0003404	El006G280630, El006G280640	ESY12_g51430_DN3_SP8_c0.t1
OG0003405	El001G031410	ESY1_g11897_DN3_SP8_c0.t1
OG0003406	El001G039010, El001G038890	ESY10_g14144_DN3_SP0_c0.t1
OG0003407	El001G082030	ESY7_g19646_DN3_SP0_c0.t1
OG0003407	El005G243930	ESY3_g30806_DN3_SP8_c0.t1
OG0003408	El001G019700, El007G324180	ESY6_g50420_DN2_SP0_c0.t1
OG0003409	El007G323750, El001G020040	ESY6_g50406_DN3_SP1_c0.t1
OG0003410	El001G000990, El002G083300	ESY5_g5496_DN3_SP3_c0.t1
OG0003411	El001G003050	ESY20_g13268_DN3_SP0_c5.t1
OG0003412	El006G299760	ESY20_g12680_DN3_SP0_c0.t1
OG0003412	El002G087290	ESY5_g4871_DN3_SP0_c0.t1
OG0003413	El006G302090	ESY8_g58604_DN3_SP6_c0.t1
OG0003414	El006G303120	ESY8_g58736_DN3_SP0_c0.t1
OG0003414	El001G076520	ESY7_g18865_DN3_SP0_c0.t1
OG0003415	El005G235410	ESY3_g32643_DN3_SP0_c0.t1
OG0003416	El001G065100	ESY7_g17333_DN3_SP7_c0.t1
OG0003416	El005G236850	ESY3_g32468_DN3_SP3_c0.t1
OG0003417	El005G240070	ESY3_g31798_DN3_SP8_c0.t1, ESY10_g15590_DN3_SP5_c0.t1
OG0003418	El005G240170, El001G049520	ESY3_g31786_DN3_SP8_c0.t1
OG0003419	El005G241390	ESY3_g31576_DN3_SP4_c0.t1
OG0003419	El001G061510	ESY7_g16926_DN3_SP8_c0.t1
OG0003421	El004G216690	ESY16_g62440_DN3_SP0_c0.t1
OG0003421	El006G294390	ESY9_g44365_DN3_SP7_c43.t1
OG0003423	El006G292460	ESY9_g45087_DN3_SP0_c0.t1
OG0003424	El006G291570	ESY9_g45359_DN3_SP6_c0.t1
OG0003424	El001G024900	ESY1_g10987_DN3_SP8_c0.t1
OG0003425	El002G099540	ESY5_g2925_DN3_SP7_c0.t1
OG0003426	El007G343830, El002G101390	ESY5_g4344_DN3_SP8_c31.t1
OG0003427	El002G105280	ESY5_g3897_DN2_SP0_c15.t1
OG0003427	El005G244780	ESY3_g30964_DN3_SP0_c0.t1
OG0003428	El002G105510, El001G012130	ESY5_g2549_DN3_SP0_c0.t1
OG0003429	El002G105530, El004G229810	ESY2_g34690_DN3_SP8_c0.t1
OG0003430	El002G109630, El004G221470	ESY2_g35497_DN3_SP2_c0.t1
OG0003431	El002G110280	ESY5_g1600_DN3_SP0_c0.t1
OG0003432	El002G112120	ESY5_g1076_DN3_SP6_c0.t1
OG0003433	El006G315810	ESY8_g59381_DN3_SP5_c0.t1
OG0003434	El006G318780	ESY4_g26474_DN3_SP0_c0.t1
OG0003435	El007G335520	ESY6_g48244_DN3_SP0_c0.t1
OG0003435	El002G083140	ESY5_g5507_DN3_SP0_c0.t1
OG0003436	El002G092320	ESY5_g3312_DN3_SP0_c0.t1
OG0003437	El007G343160	ESY3_g29341_DN3_SP6_c0.t1
OG0003437	El003G148670, El004G230620	ESY2_g34155_DN3_SP0_c0.t1
OG0003438	El005G235730	ESY3_g32606_DN3_SP0_c0.t1
OG0003438	El001G066520	ESY7_g17530_DN3_SP0_c0.t1
OG0003439	El001G063430	ESY7_g17158_DN3_SP7_c0.t1
OG0003439	El005G237790	ESY3_g32294_DN3_SP0_c0.t1
OG0003440	El001G062840	ESY2_g35022_DN3_SP5_c0.t1, ESY2_g35355_DN3_SP0_c0.t1, ESY7_g19168_DN3_SP0_c0.t1, ESY7_g17106_DN3_SP0_c0.t1
OG0003441	El007G328520, El007G328510	ESY6_g49391_DN3_SP0_c0.t1, ESY6_g49390_DN3_SP0_c0.t1
OG0003442	El007G327750, El001G017570, El001G017600	ESY6_g49800_DN3_SP8_c0.t1
OG0003443	El001G018980, El001G055890	ESY6_g50111_DN3_SP0_c0.t1
OG0003444	El001G017620	ESY1_g8991_DN3_SP0_c0.t1, ESY11_g53639_DN1_SP0_c0.t1, ESY11_g53638_DN3_SP0_c0.t1
OG0003445	El001G057260, El001G013830	ESY6_g48970_DN3_SP8_c0.t1
OG0003446	El002G108310	ESY2_g35627_DN2_SP0_c0.t1
OG0003447	El002G107600, El004G224100	ESY2_g35772_DN3_SP7_c0.t1
OG0003448	El004G232960, El002G100350	ESY2_g36693_DN3_SP2_c0.t1
OG0003449	El005G248630	ESY2_g33397_DN3_SP0_c0.t1, ESY20_g12703_DN3_SP0_c0.t1, ESY8_g58283_DN3_SP0_c0.t1, ESY2_g37005_DN3_SP0_c0.t1, ESY8_g58285_DN3_SP0_c0.t1, ESY20_g12705_DN3_SP0_c0.t1, ESY3_g30119_DN3_SP0_c0.t1
OG0003450	El002G140380	ESY2_g36286_DN3_SP0_c0.t1
OG0003450	El005G249440	ESY3_g30226_DN2_SP0_c0.t1
OG0003451	El005G277360, El005G254630	ESY3_g29761_DN3_SP1_c0.t1
OG0003452	El005G255170	ESY3_g29719_DN3_SP7_c0.t1
OG0003452	El005G255160	ESY3_g29720_DN3_SP0_c0.t1
OG0003453	El005G255330, El005G255340	ESY3_g29710_DN3_SP0_c0.t1, ESY3_g29708_DN3_SP0_c0.t1
OG0003455	El003G147810, El005G273630	ESY4_g25574_DN3_SP1_c0.t1
OG0003456	El002G137880	ESY2_g36984_DN3_SP0_c0.t1
OG0003456	El005G279420	ESY11_g54974_DN3_SP1_c0.t1
OG0003457	El001G025860	ESY1_g10810_DN2_SP0_c15.t1
OG0003457	El006G290770	ESY9_g45471_DN3_SP0_c11.t1
OG0003458	El007G344080, El001G032230	ESY1_g12103_DN3_SP7_c0.t1
OG0003460	El002G125260	ESY4_g26080_DN2_SP0_c0.t1
OG0003461	El004G202110, El004G202100	ESY5_g3578_DN3_SP0_c0.t1, ESY2_g33617_DN3_SP0_c0.t1, ESY5_g5265_DN3_SP0_c0.t1
OG0003462	El002G093610, El002G093600	ESY5_g3509_DN3_SP0_c0.t1, ESY5_g3508_DN2_SP0_c0.t1
OG0003463	El002G099690	ESY1_g11171_DN3_SP0_c0.t1
OG0003464	El005G240720, El005G240710	ESY1_g12237_DN3_SP0_c0.t1
OG0003465	El004G212030, El004G212090, El004G212100	ESY16_g61872_DN2_SP0_c0.t1
OG0003465	El002G118880, El004G212120, El004G212050	ESY16_g61874_DN3_SP0_c0.t1
OG0003467	El007G335130, El003G144050	ESY5_g3535_DN3_SP0_c0.t1
OG0003467	El007G335140, El007G335120	ESY6_g48299_DN3_SP0_c0.t1
OG0003481	El005G277810	ESY11_g54598_DN3_SP0_c0.t1
OG0003481	El003G153340	ESY4_g24433_DN3_SP0_c0.t1
OG0003482	El003G152740	ESY11_g54355_DN3_SP8_c0.t1
OG0003483	El002G130270, El003G151890	ESY4_g24806_DN3_SP0_c0.t1
OG0003484	El003G150440	ESY4_g25232_DN3_SP8_c0.t1
OG0003484	El006G314380	ESY8_g59332_DN3_SP7_c0.t1
OG0003485	El003G149090	ESY4_g25854_DN3_SP0_c0.t1
OG0003486	El004G219760	ESY2_g34400_DN3_SP0_c0.t1, ESY2_g34402_DN2_SP0_c0.t1
OG0003487	El002G091490	ESY5_g3190_DN3_SP8_c0.t1
OG0003487	El004G210520	ESY2_g34278_DN3_SP6_c0.t1
OG0003488	El004G205160, El004G205130	ESY2_g34132_DN2_SP0_c0.t1, ESY5_g3097_DN2_SP0_c0.t1
OG0003488	El004G205190, El004G205180	ESY2_g34138_DN1_SP0_c0.t1
OG0003489	El004G201470	ESY2_g34020_DN3_SP8_c0.t1
OG0003489	El002G093520	ESY5_g3495_DN3_SP0_c0.t1
OG0003490	El004G199820	ESY2_g33886_DN2_SP0_c0.t1
OG0003491	El001G042430	ESY21_g55869_DN3_SP8_c0.t1
OG0003491	El003G191540	ESY8_g60278_DN3_SP0_c0.t1
OG0003492	El004G214550, El003G185040	ESY2_g35300_DN3_SP2_c0.t1
OG0003493	El005G245210	ESY6_g49325_DN3_SP2_c0.t1
OG0003493	El005G245190	ESY7_g16710_DN3_SP0_c0.t1
OG0003494	El007G345070, El002G098480	ESY20_g13031_DN3_SP0_c0.t1
OG0003495	El007G342800	ESY6_g46129_DN3_SP0_c0.t1
OG0003496	El007G340720	ESY6_g46916_DN3_SP8_c0.t1
OG0003497	El007G334410, El003G158560	ESY6_g48420_DN3_SP4_c0.t1
OG0003498	El001G070470	ESY7_g18147_DN3_SP0_c0.t1
OG0003499	El001G072390	ESY7_g17893_DN3_SP8_c0.t1
OG0003499	El007G325910	ESY6_g50671_DN3_SP3_c0.t1
OG0003500	El001G072720	ESY7_g17823_DN3_SP0_c0.t1
OG0003500	El007G326420	ESY6_g50729_DN3_SP8_c0.t1
OG0003501	El001G072750, El005G257310	ESY7_g17820_DN3_SP0_c0.t1
OG0003502	El003G164270, El003G183380	ESY9_g42677_DN2_SP0_c9.t1
OG0003503	El003G161530	ESY23_g101_DN3_SP1_c0.t1
OG0003504	El001G009720, El002G122210	ESY14_g20145_DN3_SP8_c0.t1
OG0003506	El006G296320, El002G117280	ESY4_g23685_DN3_SP8_c0.t1
OG0003507	El002G117390	ESY4_g23762_DN2_SP0_c0.t1
OG0003508	El005G275150	ESY11_g54082_DN3_SP8_c0.t1
OG0003508	El003G146620	ESY4_g25324_DN3_SP0_c0.t1
OG0003509	El005G276250, El005G276220, El005G276230, El003G145910	ESY4_g26191_DN3_SP0_c0.t1
OG0003510	El006G318720	ESY8_g59596_DN3_SP1_c0.t1
OG0003510	El003G144870	ESY4_g26480_DN3_SP8_c0.t1
OG0003511	El003G186510	ESY8_g61294_DN3_SP0_c0.t1
OG0003512	El007G358060	ESY1_g6172_DN3_SP1_c0.t1
OG0003512	El002G128740	ESY4_g22137_DN3_SP0_c0.t1
OG0003513	El001G004740	ESY7_g16474_DN3_SP8_c0.t1
OG0003514	El002G130760, El002G130710, El002G130700, El003G184850, El007G364920	ESY4_g25688_DN3_SP0_c0.t1
OG0003515	El007G366240, El005G271220, El003G169910	ESY10_g14745_DN3_SP8_c0.t1
OG0003517	El003G179740, El003G179730	ESY3_g27330_DN3_SP0_c0.t1, ESY3_g27370_DN3_SP0_c0.t1
OG0003519	El003G177320	ESY16_g61760_DN3_SP0_c0.t1
OG0003519	El005G267380	ESY2_g37678_DN2_SP0_c0.t1
OG0003520	El005G264720, El002G114090, El002G114040, El003G175140	ESY3_g28485_DN3_SP6_c0.t1
OG0003521	El003G192020	ESY12_g51833_DN3_SP0_c0.t1
OG0003522	El006G283370, El002G131890	ESY10_g14559_DN3_SP0_c0.t1, ESY9_g45045_DN1_SP0_c0.t1
OG0003523	El001G029650	ESY1_g11513_DN3_SP0_c0.t1
OG0003524	El001G018410, El007G326980	ESY6_g49660_DN3_SP8_c0.t1
OG0003525	El007G324940, El001G071640	ESY7_g18012_DN3_SP7_c0.t1
OG0003526	El007G324280	ESY6_g50450_DN3_SP0_c0.t1
OG0003526	El001G019590	ESY1_g9740_DN3_SP0_c0.t1
OG0003527	El007G323360, El007G349270	ESY6_g50347_DN3_SP0_c0.t1
OG0003528	El006G302530	ESY8_g58677_DN3_SP8_c8.t1
OG0003528	El002G089440	ESY5_g4597_DN3_SP1_c8.t1
OG0003529	El003G157350	ESY6_g47965_DN3_SP0_c0.t1
OG0003529	El007G337400	ESY6_g47964_DN3_SP0_c0.t1
OG0003531	El005G241110, El001G061060	ESY3_g31601_DN3_SP8_c0.t1
OG0003532	El005G242220	ESY3_g31456_DN3_SP6_c20.t1
OG0003532	El007G346820	ESY15_g64395_DN3_SP0_c20.t1
OG0003533	El004G199700, El006G290490	ESY9_g45528_DN1_SP0_c0.t1
OG0003534	El001G025870, El006G290740	ESY1_g10808_DN3_SP5_c0.t1
OG0003535	El006G294190, El007G348640	ESY5_g5155_DN3_SP0_c0.t1, ESY16_g61737_DN3_SP0_c0.t1
OG0003537	El004G225820	ESY2_g34847_DN3_SP0_c0.t1
OG0003537	El002G102370	ESY5_g4230_DN3_SP8_c0.t1
OG0003538	El002G103190	ESY5_g4137_DN3_SP6_c0.t1
OG0003539	El004G223850, El002G107760	ESY5_g2250_DN3_SP6_c0.t1
OG0003540	El002G108490	ESY5_g2125_DN3_SP8_c0.t1
OG0003540	El004G222400	ESY2_g35598_DN3_SP7_c0.t1
OG0003541	El002G109160, El004G221900	ESY2_g35545_DN2_SP3_c0.t1
OG0003542	El004G218770	ESY2_g34503_DN2_SP0_c0.t1
OG0003543	El004G218190	ESY19_g41865_DN3_SP2_c0.t1
OG0003544	El007G352480, El007G352430, El007G353270, El007G352510, El003G181370	ESY5_g3438_DN3_SP0_c0.t1, ESY10_g15228_DN3_SP0_c0.t1, ESY10_g14769_DN3_SP0_c0.t1
OG0003545	El006G306630, El001G049690	ESY8_g59396_DN3_SP8_c0.t1
OG0003546	El006G300360	ESY8_g58392_DN3_SP0_c0.t1
OG0003546	El002G087790	ESY5_g4802_DN2_SP0_c0.t1, ESY5_g4799_DN3_SP0_c0.t1
OG0003547	El001G063640	ESY7_g17185_DN3_SP8_c10.t1
OG0003548	El001G061630	ESY3_g29492_DN3_SP0_c0.t1
OG0003549	El005G241900, El007G345420	ESY3_g31496_DN3_SP8_c0.t1
OG0003550	El007G347660	ESY15_g64472_DN3_SP3_c0.t1
OG0003550	El005G242460	ESY3_g31412_DN3_SP6_c0.t1
OG0003551	El001G054820, El001G054990, El001G054900, El001G055020, El001G054950, El001G054830	ESY6_g50036_DN3_SP0_c0.t1
OG0003552	El001G017500	ESY1_g8886_DN3_SP7_c0.t1
OG0003553	El007G327590	ESY6_g49778_DN3_SP8_c0.t1
OG0003553	El004G204620	ESY6_g49779_DN3_SP0_c0.t1
OG0003555	El001G018300	ESY1_g9278_DN3_SP0_c0.t1
OG0003556	El002G108100	ESY5_g2174_DN3_SP8_c0.t1
OG0003556	El004G223140	ESY2_g35658_DN3_SP7_c0.t1
OG0003557	El004G226080	ESY11_g54699_DN3_SP7_c10.t1
OG0003558	El004G232340, El002G100760	ESY2_g36817_DN3_SP8_c0.t1
OG0003559	El004G233010, El002G100330	ESY2_g36688_DN3_SP8_c0.t1
