Orthogroup	Erysimum_linariifolium	Arabis_alpina
OG0001747	El001G045970	Aa_G999890.h1.t1, Aa_G999890.h2.t1
OG0001748	El003G187020	Aa_G417800.h1.t1
OG0001748	El004G217060	Aa_G63770.h1.t1
OG0001749	El004G194370	Aa_G186160.h1.t1
OG0001749	El003G193300	Aa_G185100.h1.t1
OG0001750	El004G195950	Aa_G462370.h1.t1
OG0001751	El005G247460	Aa_G102900.h1.t1
OG0001751	El003G156450, El001G075450	Aa_G414680.h1.t1
OG0001753	El005G248070	Aa_G40600.h1.t1
OG0001753	El001G074890	Aa_G640340.h1.t1
OG0001754	El007G343080	Aa_G153070.h1.t1
OG0001754	El003G159540	Aa_G353720.h1.t1
OG0001755	El003G158780	Aa_G29590.h1.t1
OG0001755	El006G315970	Aa_G238060.h1.t1
OG0001756	El007G340320	Aa_G308710.h1.t1
OG0001757	El003G157800	Aa_G69790.h1.t1
OG0001758	El001G060870	Aa_G181430.h1.t1
OG0001758	El001G068930	Aa_G155010.h1.t1
OG0001760	El007G366270	Aa_G213790.h1.t1
OG0001761	El007G364130	Aa_G207220.h1.t1
OG0001761	El003G167880	Aa_G345110.h1.t1
OG0001762	El007G363880	Aa_G176650.h1.t1
OG0001763	El003G165920	Aa_G204130.h1.t1
OG0001764	El001G005660	Aa_G320510.h1.t1
OG0001764	El003G163540	Aa_G371050.h1.t1
OG0001766	El001G008940	Aa_G273610.h1.t1
OG0001767	El004G223720	Aa_G344050.h1.t1
OG0001767	El001G009930	Aa_G3340.h1.t1
OG0001767	El002G123050	Aa_G554680.h1.t1
OG0001768	El006G298420	Aa_G567520.h1.t1
OG0001768	El002G113690	Aa_G48030.h1.t1
OG0001769	El005G275440	Aa_G249570.h1.t1
OG0001770	El007G323870	Aa_G23610.h1.t1
OG0001770	El001G019980	Aa_G52930.h1.t1
OG0001771	El006G319370	Aa_G375060.h1.t1
OG0001771	El003G144250	Aa_G615870.h1.t1
OG0001772	El003G142020	Aa_G650410.h1.t1
OG0001772	El004G218570	Aa_G545260.h2.t1, Aa_G545260.h1.t1
OG0001773	El007G341130	Aa_G435740.h1.t1
OG0001773	El006G296940	Aa_G12040.h1.t1
OG0001774	El007G358320, El007G358310	Aa_G631120.h1.t1, Aa_G631110.h1.t1
OG0001775	El003G163690	Aa_G117440.h1.t1
OG0001775	El001G005410	Aa_G320680.h1.t1
OG0001776	El007G362870	Aa_G651260.h1.t1
OG0001777	El001G002220	Aa_G206210.h1.t1, Aa_G46550.h1.t1, Aa_G184640.h1.t1
OG0001777	El003G191080	Aa_G495360.h1.t1
OG0001778	El006G280150	Aa_G206130.h1.t1
OG0001778	El001G035120	Aa_G364300.h1.t1
OG0001779	El001G034890	Aa_G605810.h1.t1
OG0001779	El006G280240	Aa_G241280.h1.t1
OG0001780	El006G283390	Aa_G175160.h1.t1
OG0001780	El001G032300	Aa_G354050.h1.t1
OG0001781	El001G031750	Aa_G218940.h1.t1
OG0001781	El006G284390	Aa_G479520.h1.t1
OG0001782	El001G030630	Aa_G262270.h1.t1
OG0001782	El006G285860	Aa_G734120.h1.t1
OG0001783	El007G332150, El001G059850	Aa_G642600.h1.t1, Aa_G36110.h1.t1, Aa_G646180.h1.t1
OG0001784	El007G323780	Aa_G23700.h1.t1
OG0001784	El001G020010	Aa_G53030.h1.t1
OG0001785	El001G000510	Aa_G299890.h1.t1, Aa_G299900.h1.t1
OG0001785	El002G083170	Aa_G291150.h1.t1
OG0001786	El002G083400	Aa_G105880.h1.t1
OG0001786	El001G001170	Aa_G67960.h1.t1
OG0001787	El001G002210	Aa_G46560.h1.t1
OG0001787	El002G084070	Aa_G452100.h1.t1
OG0001788	El001G002680	Aa_G191540.h1.t1
OG0001788	El002G084350	Aa_G6560.h1.t1
OG0001790	El006G301050	Aa_G167500.h1.t1
OG0001790	El002G088450	Aa_G140130.h1.t1
OG0001791	El006G301610	Aa_G555080.h1.t1
OG0001792	El006G302590	Aa_G35500.h1.t1
OG0001792	El002G089480	Aa_G429770.h1.t1
OG0001793	El002G089670	Aa_G182240.h1.t1
OG0001793	El006G302910	Aa_G161560.h1.t1, Aa_G161560.h2.t1
OG0001794	El002G089960	Aa_G543890.h1.t1
OG0001795	El005G236700	Aa_G42410.h1.t1
OG0001795	El001G065270	Aa_G59330.h1.t1
OG0001796	El005G237440	Aa_G111660.h1.t1
OG0001796	El001G063800	Aa_G309580.h1.t1
OG0001797	El001G063270	Aa_G387580.h1.t1
OG0001797	El005G237880	Aa_G44850.h1.t1
OG0001798	El001G051500	Aa_G141000.h1.t1
OG0001798	El005G241040	Aa_G205860.h1.t1
OG0001799	El001G049640	Aa_G25930.h1.t1
OG0001799	El005G241060	Aa_G205870.h1.t1
OG0001800	El005G241570	Aa_G49770.h1.t1
OG0001800	El001G062020	Aa_G372450.h1.t1
OG0001801	El007G346960	Aa_G675480.h1.t1
OG0001801	El005G242280	Aa_G49740.h1.t1
OG0001802	El004G216090	Aa_G296230.h1.t1, Aa_G652430.h1.t1
OG0001803	El006G294330	Aa_G426250.h1.t1
OG0001803	El001G023460	Aa_G395730.h1.t1
OG0001804	El004G233300	Aa_G304400.h1.t1, Aa_G265700.h1.t1, Aa_G265720.h1.t1
OG0001805	El004G232290	Aa_G370240.h1.t1
OG0001805	El002G100830	Aa_G131920.h1.t1
OG0001806	El004G224380	Aa_G347840.h1.t1
OG0001806	El002G101400	Aa_G324100.h1.t1
OG0001807	El006G295230	Aa_G24620.h1.t1
OG0001807	El002G103790	Aa_G323760.h1.t1
OG0001808	El004G228880	Aa_G87880.h1.t1
OG0001808	El002G104630	Aa_G436660.h1.t1
OG0001809	El004G221530	Aa_G504900.h1.t1
OG0001809	El002G109610	Aa_G281110.h1.t1
OG0001811	El004G218800	Aa_G218580.h1.t1
OG0001811	El002G112320	Aa_G233470.h1.t1
OG0001812	El004G218670	Aa_G28720.h1.t1
OG0001812	El002G112420	Aa_G431860.h1.t1
OG0001814	El006G320670	Aa_G666760.h1.t1
OG0001814	El003G142730	Aa_G352040.h1.t1
OG0001815	El001G062000	Aa_G446920.h1.t1
OG0001816	El005G240000	Aa_G4900.h1.t1
OG0001816	El001G049220, El002G126610	Aa_G251070.h1.t1
OG0001817	El001G076650	Aa_G464250.h1.t1
OG0001817	El005G246660	Aa_G195570.h1.t1
OG0001818	El001G019310	Aa_G97810.h1.t1
OG0001818	El001G055350	Aa_G45420.h1.t1
OG0001819	El007G322530	Aa_G43800.h1.t1
OG0001819	El001G021130	Aa_G11490.h1.t1
OG0001820	El001G018460	Aa_G426060.h1.t1
OG0001820	El001G056390	Aa_G578280.h1.t1
OG0001821	El002G137170	Aa_G255970.h1.t1
OG0001821	El005G252660	Aa_G242060.h1.t1
OG0001822	El002G136510	Aa_G229380.h1.t1
OG0001823	El005G278770	Aa_G422240.h1.t1, Aa_G194460.h1.t1, Aa_G422250.h1.t1
OG0001824	El006G292810	Aa_G197110.h1.t1
OG0001824	El001G024360	Aa_G394510.h1.t1
OG0001825	El001G026860	Aa_G753680.h1.t1
OG0001826	El001G028130	Aa_G174900.h1.t1
OG0001826	El006G288290	Aa_G88500.h1.t1
OG0001827	El001G028340	Aa_G513100.h1.t1
OG0001828	El006G284100	Aa_G265120.h1.t1
OG0001828	El001G031880	Aa_G103360.h1.t1
OG0001832	El006G295530, El006G311880	Aa_G24940.h2.t1, Aa_G24940.h1.t1
OG0001833	El003G151290, El007G355170, El007G349780	Aa_G145040.h1.t1
OG0001833	El003G151310	Aa_G241530.h1.t1
OG0001834	El002G099860, El002G099850	Aa_G165330.h1.t1, Aa_G111480.h1.t1
OG0001835	El002G104460	Aa_G266350.h1.t1
OG0001835	El002G104470	Aa_G266330.h1.t1
OG0001838	El003G169520	Aa_G697090.h1.t1
OG0001839	El006G308060	Aa_G18750.h1.t1, Aa_G36950.h1.t1, Aa_G436980.h2.t1, Aa_G152230.h1.t1
OG0001844	El003G154430	Aa_G512080.h1.t1
OG0001844	El005G278230	Aa_G331510.h1.t1
OG0001845	El003G152640	Aa_G158900.h1.t1
OG0001846	El005G274690	Aa_G542180.h1.t1
OG0001846	El003G147050	Aa_G379280.h1.t1
OG0001847	El003G170500	Aa_G296060.h1.t1, Aa_G296050.h1.t1
OG0001847	El003G170510	Aa_G1007590.h1.t1
OG0001848	El002G093440	Aa_G226650.h1.t1
OG0001849	El004G199580	Aa_G177240.h1.t1
OG0001850	El001G041770	Aa_G120820.h1.t1
OG0001851	El003G191690	Aa_G553490.h1.t1
OG0001851	El001G042290	Aa_G437780.h1.t1
OG0001852	El003G189520	Aa_G486790.h1.t1
OG0001853	El001G013680	Aa_G192010.h1.t1, Aa_G192010.h2.t1, Aa_G212730.h1.t1
OG0001854	El004G215170	Aa_G663820.h1.t1
OG0001854	El004G214720, El004G214700	Aa_G107080.h1.t1
OG0001856	El004G198060	Aa_G488340.h1.t1
OG0001856	El002G095480	Aa_G298900.h1.t1
OG0001857	El003G158380	Aa_G43070.h1.t1
OG0001857	El007G334850	Aa_G168130.h1.t1
OG0001858	El001G078440	Aa_G140740.h1.t1
OG0001858	El005G245620	Aa_G419540.h1.t1
OG0001859	El005G245930	Aa_G137230.h1.t1
OG0001859	El001G078010	Aa_G73210.h1.t1
OG0001860	El001G076640	Aa_G464230.h1.t1
OG0001860	El005G246670	Aa_G195560.h1.t1
OG0001861	El005G246770	Aa_G195430.h1.t1
OG0001861	El001G076420	Aa_G261370.h1.t1
OG0001862	El001G075350	Aa_G694660.h1.t1
OG0001862	El005G247630	Aa_G5550.h1.t1
OG0001863	El003G159360	Aa_G90860.h1.t1
OG0001863	El007G342570	Aa_G675250.h1.t1
OG0001864	El007G337920	Aa_G432970.h1.t1
OG0001865	El007G337710	Aa_G123350.h1.t1
OG0001865	El003G157130, El007G323630	Aa_G129660.h1.t1
OG0001866	El007G337450	Aa_G149070.h1.t1
OG0001866	El003G157320	Aa_G363810.h1.t1
OG0001867	El007G334210, El003G158640	Aa_G307730.h1.t1
OG0001868	El001G060780	Aa_G112810.h1.t1
OG0001868	El001G069410	Aa_G256470.h1.t1
OG0001869	El007G324500	Aa_G81400.h1.t1
OG0001869	El001G071390	Aa_G98290.h1.t1
OG0001870	El007G324750	Aa_G292850.h1.t1
OG0001870	El001G071560	Aa_G98170.h1.t1
OG0001871	El007G325040	Aa_G37210.h1.t1
OG0001872	El007G325640	Aa_G20910.h1.t1
OG0001872	El001G072140	Aa_G152740.h1.t1
OG0001873	El001G072510	Aa_G231030.h1.t1
OG0001873	El001G072520	Aa_G231020.h1.t1
OG0001874	El001G072930	Aa_G473370.h1.t1
OG0001875	El001G073590	Aa_G319310.h1.t1
OG0001875	El001G057050	Aa_G97950.h1.t1
OG0001876	El007G329880	Aa_G94860.h1.t1
OG0001876	El001G073780	Aa_G541410.h1.t1
OG0001877	El001G074360, El007G361230	Aa_G275580.h1.t1
OG0001877	El007G329080	Aa_G435230.h1.t1
OG0001878	El003G169500	Aa_G607240.h1.t1
OG0001878	El007G366430	Aa_G315600.h1.t1
OG0001879	El003G168880	Aa_G152180.h1.t1
OG0001879	El007G365590	Aa_G41330.h1.t1
OG0001880	El003G168490, El003G168500	Aa_G176410.h1.t1, Aa_G176400.h1.t1
OG0001881	El003G165050	Aa_G665640.h4.t1, Aa_G665640.h1.t1, Aa_G665640.h3.t1, Aa_G665640.h5.t1, Aa_G665640.h2.t1
OG0001882	El001G004950	Aa_G373240.h1.t1
OG0001882	El003G164470	Aa_G398630.h1.t1
OG0001883	El001G005140	Aa_G257130.h1.t1
OG0001884	El002G099270	Aa_G121150.h1.t1
OG0001884	El004G201750	Aa_G239240.h1.t1
OG0001885	El002G120850	Aa_G107860.h1.t1
OG0001885	El001G008930	Aa_G273600.h1.t1
OG0001886	El002G123760	Aa_G211990.h1.t1, Aa_G211990.h2.t1
OG0001886	El001G010120	Aa_G601720.h1.t1
OG0001887	El001G010980	Aa_G12650.h1.t1
OG0001887	El002G125420	Aa_G239560.h1.t1
OG0001888	El006G297620, El006G297650	Aa_G366310.h1.t1
OG0001889	El005G276660	Aa_G415540.h1.t1
OG0001889	El003G145650	Aa_G342330.h1.t1
OG0001890	El003G144020	Aa_G294410.h1.t1
OG0001890	El003G144080	Aa_G294520.h1.t1
OG0001891	El003G158510	Aa_G240610.h1.t1
OG0001891	El002G093730	Aa_G545750.h1.t1
OG0001892	El007G358360	Aa_G32680.h1.t1
OG0001892	El002G113350	Aa_G130870.h1.t1
OG0001893	El001G008750	Aa_G480730.h1.t1
OG0001894	El006G289800	Aa_G38340.h1.t1
OG0001894	El001G005700	Aa_G320490.h1.t1
OG0001896	El003G156000	Aa_G733770.h1.t1
OG0001897	El005G265910	Aa_G179070.h1.t1
OG0001897	El003G176310	Aa_G206610.h1.t1
OG0001898	El005G261820	Aa_G265520.h1.t1
OG0001898	El003G174350	Aa_G31020.h1.t1
OG0001899	El003G173640	Aa_G482180.h1.t1
OG0001899	El005G260920	Aa_G384920.h1.t1
OG0001900	El003G193280	Aa_G185130.h1.t1
OG0001901	El006G280020, El006G314870	Aa_G12870.h1.t1
OG0001901	El001G034900	Aa_G605820.h1.t1
OG0001902	El001G034370	Aa_G2440.h1.t1
OG0001902	El006G280920	Aa_G177970.h1.t1
OG0001903	El001G032390	Aa_G353970.h1.t1
OG0001903	El006G283290	Aa_G443520.h1.t1
OG0001904	El006G283400, El005G276440	Aa_G175170.h1.t1
OG0001905	El001G031640	Aa_G349420.h1.t1
OG0001906	El001G030910	Aa_G568520.h1.t1
OG0001906	El006G285650	Aa_G125580.h1.t1
OG0001907	El001G018080	Aa_G768750.h1.t1
OG0001908	El007G327060	Aa_G75120.h1.t1
OG0001909	El001G002050	Aa_G46640.h1.t1, Aa_G247560.h1.t1
OG0001909	El002G084210	Aa_G6440.h1.t1
OG0001910	El001G004290	Aa_G132970.h1.t1
OG0001910	El002G085510	Aa_G134770.h1.t1
OG0001911	El007G359030	Aa_G219580.h1.t1
OG0001912	El006G300250	Aa_G154580.h1.t1
OG0001912	El002G087680	Aa_G79330.h1.t1
OG0001913	El002G087980	Aa_G219940.h1.t1
OG0001913	El006G300630	Aa_G445730.h1.t1
OG0001914	El006G300060, El006G299460, El006G299140	Aa_G235050.h1.t1
OG0001915	El006G301250	Aa_G359430.h1.t1
OG0001915	El002G088570	Aa_G517610.h1.t1
OG0001916	El002G089870	Aa_G275760.h1.t1
OG0001916	El006G303310	Aa_G142680.h1.t1, Aa_G199780.h1.t1
OG0001917	El006G304830	Aa_G264410.h1.t1
OG0001917	El002G090370	Aa_G558380.h1.t1
OG0001918	El006G311260	Aa_G663300.h1.t1
OG0001919	El001G067110	Aa_G258180.h1.t1
OG0001920	El001G064620	Aa_G539770.h1.t1
OG0001920	El005G236980	Aa_G250420.h1.t1
OG0001921	El001G064590	Aa_G539750.h1.t1
OG0001921	El005G237030	Aa_G250380.h1.t1
OG0001922	El005G240610	Aa_G51100.h1.t1
OG0001922	El001G050590	Aa_G414020.h1.t1
OG0001923	El006G290680	Aa_G412590.h1.t1
OG0001923	El001G025950	Aa_G501180.h1.t1
OG0001924	El001G024110	Aa_G13930.h1.t1
OG0001924	El006G293190	Aa_G30030.h1.t1
OG0001925	El006G292300	Aa_G150870.h1.t1
OG0001926	El006G292050	Aa_G172150.h1.t1
OG0001926	El001G022190	Aa_G235880.h1.t1
OG0001927	El004G234000	Aa_G410340.h1.t1
OG0001927	El002G099720	Aa_G525760.h1.t1
OG0001928	El004G231810	Aa_G470660.h1.t1
OG0001928	El002G101220	Aa_G275030.h1.t1
OG0001929	El002G101870	Aa_G454440.h1.t1
OG0001929	El004G225140	Aa_G341740.h1.t1
OG0001930	El002G102880	Aa_G119160.h1.t1
OG0001930	El004G226920	Aa_G283730.h1.t1
OG0001931	El004G227290	Aa_G64540.h1.t1
OG0001931	El002G103090	Aa_G497080.h1.t1
OG0001932	El002G103650	Aa_G407740.h1.t1
OG0001932	El004G227640	Aa_G259430.h1.t1
OG0001933	El004G229820	Aa_G165000.h1.t1
OG0001934	El002G107070	Aa_G166070.h1.t1
OG0001934	El004G231250	Aa_G204300.h1.t1
OG0001935	El002G108450	Aa_G837680.h1.t1
OG0001935	El004G222450	Aa_G163360.h1.t1
OG0001937	El002G110660	Aa_G254950.h1.t1
OG0001937	El004G220720	Aa_G786710.h2.t1, Aa_G786710.h1.t1
OG0001938	El002G112870	Aa_G415670.h1.t1
OG0001938	El002G112880	Aa_G415660.h1.t1
OG0001939	El006G321200	Aa_G74440.h1.t1
OG0001940	El001G079380, El002G083730, El007G349410	Aa_G291120.h1.t1
OG0001940	El001G078890	Aa_G167770.h1.t1
OG0001941	El007G341920, El001G061320	Aa_G62790.h1.t1
OG0001943	El005G247400	Aa_G102830.h1.t1
OG0001944	El005G247240	Aa_G216020.h1.t1
OG0001945	El001G055060, El001G019460	Aa_G45250.h1.t1
OG0001946	El001G018470	Aa_G106950.h1.t1
OG0001946	El001G056380	Aa_G578270.h1.t1
OG0001947	El001G013740, El001G013760, El001G013730	Aa_G192020.h1.t1
OG0001948	El001G012570	Aa_G403380.h1.t1
OG0001948	El001G058280	Aa_G8680.h1.t1
OG0001949	El001G059600	Aa_G15630.h1.t1
OG0001949	El002G123090	Aa_G490450.h1.t1
OG0001950	El005G250020	Aa_G472310.h1.t1
OG0001950	El002G139900	Aa_G118210.h1.t1
OG0001951	El005G251320	Aa_G1360.h1.t1
OG0001951	El002G138350	Aa_G603610.h1.t1
OG0001952	El005G253480	Aa_G97080.h1.t1
OG0001953	El005G256760	Aa_G371390.h1.t1
OG0001953	El002G133940	Aa_G687530.h1.t1
OG0001954	El001G068760	Aa_G155180.h1.t1
OG0001954	El005G258760	Aa_G133250.h1.t1
OG0001955	El002G136180	Aa_G611070.h1.t1
OG0001956	El005G272900	Aa_G541710.h1.t1
OG0001957	El006G296470	Aa_G406500.h1.t1
OG0001957	El002G117120	Aa_G138740.h1.t1
OG0001958	El005G272340, El005G272320, El005G272330, El002G122830, El002G122740	Aa_G739940.h1.t1, Aa_G739930.h1.t1
OG0001959	El001G031320	Aa_G322950.h1.t1
OG0001960	El002G138030	Aa_G396700.h1.t1
OG0001961	El002G134580	Aa_G334840.h1.t1
OG0001962	El002G089890	Aa_G275730.h1.t1
OG0001963	El001G003370, El001G003360	Aa_G188830.h1.t1
OG0001971	El003G154550	Aa_G343420.h1.t1
OG0001971	El005G278310	Aa_G64120.h1.t1
OG0001972	El003G152730	Aa_G325440.h1.t1
OG0001972	El005G277150	Aa_G426560.h1.t1
OG0001973	El003G152000	Aa_G120660.h1.t1
OG0001973	El006G317160	Aa_G271140.h1.t1
OG0001974	El006G316920	Aa_G310000.h1.t1
OG0001974	El003G151600	Aa_G399000.h1.t1
OG0001975	El005G272050	Aa_G105160.h1.t1
OG0001975	El003G149010	Aa_G258370.h1.t1
OG0001976	El003G147660	Aa_G557000.h1.t1
OG0001976	El005G273780	Aa_G313570.h1.t1
OG0001977	El006G295300	Aa_G24690.h1.t1
OG0001978	El004G199690	Aa_G177300.h1.t1
OG0001978	El002G094430	Aa_G804100.h1.t1
OG0001979	El001G037660	Aa_G435360.h1.t1
OG0001979	El002G098500	Aa_G117630.h1.t1
OG0001980	El001G037910	Aa_G146240.h1.t1
OG0001980	El002G098290	Aa_G117800.h1.t1
OG0001981	El002G096620	Aa_G26720.h1.t1
OG0001981	El001G040710	Aa_G276760.h1.t1
OG0001982	El001G041150	Aa_G25600.h1.t1
OG0001982	El002G096460	Aa_G26520.h1.t1
OG0001983	El001G041880	Aa_G508040.h1.t1
OG0001983	El003G192010	Aa_G229840.h1.t1
OG0001984	El001G042150	Aa_G263330.h1.t1
OG0001984	El003G191790	Aa_G413270.h1.t1
OG0001985	El002G095790	Aa_G246060.h1.t1
OG0001985	El004G197500	Aa_G357250.h1.t1
OG0001986	El001G028110	Aa_G174910.h1.t1
OG0001986	El006G288280	Aa_G88490.h1.t1
OG0001987	El001G078480	Aa_G140780.h1.t1
OG0001987	El005G245600	Aa_G419560.h1.t1
OG0001988	El005G246730	Aa_G195480.h1.t1
OG0001989	El005G246990	Aa_G216150.h1.t1, Aa_G869660.h1.t1
OG0001989	El001G076110	Aa_G813620.h1.t1, Aa_G216160.h1.t1
OG0001990	El007G338320	Aa_G516260.h1.t1
OG0001990	El003G156940	Aa_G107270.h1.t1
OG0001991	El007G337200	Aa_G641460.h1.t1
OG0001992	El007G336220	Aa_G641220.h1.t1
OG0001993	El007G336010	Aa_G580850.h1.t1
OG0001993	El003G157980	Aa_G227930.h1.t1
OG0001994	El007G334110	Aa_G575480.h1.t1, Aa_G575490.h1.t1
OG0001995	El001G069290	Aa_G256620.h1.t1
OG0001995	El001G060820	Aa_G112750.h1.t1
OG0001996	El001G069870	Aa_G267600.h1.t1
OG0001996	El001G052040	Aa_G113020.h1.t1
OG0001997	El001G072380	Aa_G516760.h1.t1
OG0001997	El006G319400	Aa_G165190.h1.t1
OG0001998	El001G072630	Aa_G637990.h1.t1
OG0001998	El007G326220	Aa_G51650.h1.t1
OG0001999	El001G074150	Aa_G471540.h1.t1
OG0001999	El007G329230	Aa_G401170.h1.t1
OG0002000	El007G329030, El001G074450	Aa_G275500.h1.t1
OG0002001	El007G365710	Aa_G324640.h1.t1
OG0002001	El003G168950	Aa_G152240.h1.t1
OG0002002	El003G165900	Aa_G204110.h1.t1
OG0002003	El001G005630	Aa_G320540.h1.t1
OG0002004	El001G006790	Aa_G35170.h1.t1
OG0002004	El003G162630	Aa_G19900.h1.t1
OG0002005	El001G007880	Aa_G289320.h1.t1
OG0002005	El003G161210	Aa_G417280.h1.t1
OG0002006	El003G161120	Aa_G124480.h1.t1
OG0002006	El001G008010	Aa_G275340.h1.t1
OG0002007	El003G161100	Aa_G124460.h1.t1
OG0002008	El001G008580	Aa_G129070.h1.t1
OG0002008	El002G120350	Aa_G376020.h1.t1
OG0002010	El002G114690	Aa_G408530.h1.t1
OG0002011	El002G115310	Aa_G223730.h1.t1
OG0002011	El006G297070	Aa_G142250.h1.t1
OG0002012	El005G274980	Aa_G650560.h1.t1
OG0002012	El003G146790	Aa_G426380.h1.t1
OG0002013	El005G275130	Aa_G580080.h1.t1
OG0002013	El003G146640	Aa_G157120.h1.t1
OG0002014	El003G146260	Aa_G514690.h1.t1
OG0002015	El005G277010	Aa_G426660.h1.t1
OG0002015	El003G145390	Aa_G223210.h1.t1
OG0002016	El006G319230	Aa_G195500.h1.t1
OG0002016	El003G144410	Aa_G661990.h1.t1
OG0002017	El006G319840	Aa_G407220.h1.t1
OG0002018	El006G321130	Aa_G50380.h1.t1
OG0002018	El003G142590	Aa_G351890.h1.t1
OG0002019	El006G295400	Aa_G414380.h1.t1
OG0002020	El002G115220	Aa_G223710.h1.t1
OG0002020	El004G210730	Aa_G418650.h1.t1, Aa_G318510.h1.t1
OG0002021	El003G161020, El003G161000	Aa_G500540.h1.t1
OG0002021	El001G008090	Aa_G275300.h1.t1
OG0002022	El002G101690	Aa_G528250.h1.t1
OG0002022	El007G364600	Aa_G822590.h1.t1
OG0002023	El005G262340, El003G174550	Aa_G413560.h1.t1, Aa_G233310.h1.t1
OG0002024	El005G261100	Aa_G198870.h1.t1
OG0002025	El006G281630	Aa_G196890.h1.t1
OG0002026	El001G032000	Aa_G102460.h1.t1
OG0002027	El001G028770	Aa_G369790.h1.t1
OG0002027	El006G287780	Aa_G188360.h1.t1
OG0002028	El001G014250	Aa_G436380.h1.t1
OG0002028	El007G330530	Aa_G362110.h1.t1
OG0002029	El001G001250	Aa_G67870.h1.t1
OG0002030	El002G084830	Aa_G228420.h1.t1
OG0002031	El002G086660	Aa_G38960.h1.t1, Aa_G38960.h2.t1, Aa_G363600.h1.t1, Aa_G363600.h2.t1
OG0002032	El006G299980	Aa_G424780.h1.t1
OG0002032	El002G087510	Aa_G219010.h1.t1
OG0002033	El002G089140	Aa_G22470.h1.t1
OG0002033	El006G302020	Aa_G374200.h1.t1
OG0002034	El002G090080	Aa_G310530.h1.t1
OG0002034	El006G304140	Aa_G400780.h1.t1, Aa_G425720.h1.t1
OG0002035	El007G336940	Aa_G480150.h1.t1
OG0002035	El003G157620	Aa_G86680.h1.t1
OG0002036	El001G065560	Aa_G383460.h1.t1
OG0002036	El005G236480	Aa_G42610.h1.t1
OG0002037	El001G065550	Aa_G383450.h1.t1
OG0002037	El005G236500	Aa_G42590.h1.t1
OG0002038	El005G253410	Aa_G617210.h1.t1, Aa_G242750.h1.t1
OG0002038	El005G240460	Aa_G50960.h1.t1
OG0002039	El001G026790	Aa_G213630.h1.t1
OG0002039	El006G290030	Aa_G38080.h1.t1
OG0002040	El006G294140	Aa_G595080.h1.t1
OG0002040	El001G023560	Aa_G447730.h1.t1
OG0002041	El006G293410	Aa_G548170.h1.t1
OG0002041	El001G023970	Aa_G14150.h1.t1
OG0002042	El003G163850, El006G291820, El006G291830	Aa_G730580.h1.t1
OG0002043	El007G361440, El002G131960	Aa_G13540.h1.t1
OG0002043	El002G132700	Aa_G121270.h1.t1
OG0002044	El004G234220	Aa_G497420.h1.t1
OG0002045	El002G099790	Aa_G25250.h1.t1
OG0002045	El004G233900	Aa_G410400.h1.t1
OG0002046	El004G233420	Aa_G293580.h1.t1
OG0002047	El006G318640, El004G232630	Aa_G80400.h1.t1
OG0002048	El002G101570	Aa_G188660.h1.t1
OG0002048	El004G224720	Aa_G187210.h1.t1
OG0002049	El004G225240	Aa_G341840.h1.t1
OG0002049	El002G101920	Aa_G80280.h1.t1, Aa_G188200.h1.t1, Aa_G924510.h2.t1, Aa_G924510.h1.t1
OG0002050	El002G105240	Aa_G334090.h1.t1
OG0002050	El004G229390	Aa_G111110.h1.t1
OG0002051	El002G105340	Aa_G33330.h1.t1
OG0002052	El002G105480	Aa_G60730.h1.t1
OG0002052	El004G229650	Aa_G418920.h1.t1
OG0002053	El002G105860	Aa_G374450.h1.t1
OG0002053	El004G230010	Aa_G215540.h1.t1
OG0002054	El002G108190	Aa_G399850.h1.t1, Aa_G399850.h2.t1
OG0002054	El004G223020	Aa_G232210.h1.t1
OG0002055	El002G108520	Aa_G62600.h1.t1
OG0002055	El004G222370	Aa_G68650.h1.t1
OG0002057	El003G150830	Aa_G324910.h1.t1
OG0002057	El006G315130	Aa_G373610.h1.t1
OG0002058	El006G317900, El005G247050	Aa_G166880.h1.t1
OG0002059	El002G087320	Aa_G235380.h1.t1
OG0002059	El006G299810	Aa_G243640.h1.t1
OG0002060	El004G221830	Aa_G189640.h1.t1
OG0002060	El001G066630	Aa_G8080.h1.t1
OG0002061	El001G055980, El001G056060	Aa_G377390.h1.t1
OG0002063	El001G074760	Aa_G244380.h1.t1
OG0002063	El007G333100	Aa_G344350.h1.t1
OG0002064	El001G021680, El001G021690	Aa_G122710.h1.t1
OG0002065	El004G214730, El004G214740	Aa_G642350.h3.t1, Aa_G642350.h1.t1, Aa_G642350.h2.t1, Aa_G629580.h1.t1, Aa_G140020.h1.t1
OG0002066	El004G229800	Aa_G165040.h1.t1
OG0002067	El004G228660	Aa_G281700.h1.t1
OG0002067	El004G228680	Aa_G281690.h1.t1
OG0002068	El004G232710	Aa_G80490.h1.t1, Aa_G80470.h1.t1
OG0002069	El004G232850	Aa_G336990.h1.t1
OG0002069	El004G232820	Aa_G336980.h1.t1
OG0002071	El002G140580	Aa_G193240.h1.t1
OG0002072	El002G140310	Aa_G231480.h1.t1
OG0002072	El005G249510	Aa_G606970.h1.t1
OG0002073	El002G138200	Aa_G74130.h1.t1
OG0002073	El005G251220	Aa_G1470.h1.t1
OG0002074	El003G171430	Aa_G380650.h1.t1
OG0002074	El005G253920	Aa_G380640.h1.t1, Aa_G56920.h1.t1
OG0002075	El005G278430	Aa_G596990.h1.t1
OG0002075	El005G278420	Aa_G64290.h1.t1
