Orthogroup	Erysimum_linariifolium	Eutrema_salsugineum
OG0001739	El002G092450	XP_006417552.1
OG0001740	El004G203330	XP_024004449.1
OG0001740	El002G092970	XP_006417506.1
OG0001741	El002G093360	XP_006417471.1
OG0001741	El004G202310	XP_024004723.1
OG0001742	El004G201070	XP_006392164.1
OG0001742	El005G268820	XP_006418636.2
OG0001743	El002G094250	XP_006417383.1
OG0001743	El004G199730	XP_006392026.1
OG0001744	El003G192150	XP_006405402.1
OG0001744	El001G041620	XP_006395496.1
OG0001745	El003G191560	XP_024014571.1
OG0001746	El001G043710	XP_006395359.1
OG0001746	El003G190550	XP_006405561.1
OG0001747	El001G045970	XP_006395264.1
OG0001748	El003G187020	XP_006405777.1
OG0001748	El004G217060	XP_006391463.1
OG0001749	El004G194370	XP_024015728.1
OG0001749	El003G193300	XP_006405307.1
OG0001750	El004G195950	XP_006391740.2
OG0001751	El005G247460	XP_006407412.1
OG0001751	El003G156450, El001G075450	XP_024011798.1
OG0001752	El004G211750	XP_024009284.1, XP_024004896.1, XP_024015951.1, XP_024010335.1
OG0001753	El005G248070	XP_024014893.1
OG0001753	El001G074890	XP_006399172.1
OG0001754	El007G343080	XP_006402027.1
OG0001754	El003G159540	XP_006413344.1, XP_006413343.1
OG0001755	El003G158780	XP_006413280.1
OG0001755	El006G315970	XP_024011971.1
OG0001756	El007G340320	XP_006401758.1
OG0001756	El003G156210	XP_006413023.1
OG0001757	El003G157800	XP_006413161.1
OG0001758	El001G060870	XP_006400505.1
OG0001758	El001G068930	XP_024012406.1
OG0001759	El001G073810	XP_024012326.1
OG0001760	El007G366270	XP_006398406.1
OG0001761	El007G364130	XP_006398272.1
OG0001761	El003G167880	XP_006414079.1
OG0001762	El007G363880	XP_006398248.1
OG0001763	El003G165920	XP_006413919.1
OG0001763	El003G175420, El003G175500	XP_006414762.1
OG0001764	El001G005660	XP_006396706.1
OG0001764	El003G163540	XP_024005440.1
OG0001765	El001G007810, El001G007780, El001G007820, El001G007770, El001G007760, El001G007800	XP_006396936.1, XP_006396935.1
OG0001766	El001G008940	XP_006397067.2
OG0001767	El004G223720	XP_006390729.1
OG0001768	El006G298420	XP_006410494.1
OG0001768	El002G113690	XP_006415702.1
OG0001769	El005G275440	XP_006409225.1
OG0001769	El003G146140	XP_006412031.1
OG0001770	El007G323870	XP_006411865.1
OG0001770	El001G019980	XP_024013654.1
OG0001771	El006G319370	XP_006404744.1
OG0001771	El003G144250	XP_006411848.1
OG0001772	El003G142020	XP_006411649.1
OG0001772	El004G218570	XP_006391195.1
OG0001773	El007G341130	XP_006401822.1
OG0001773	El006G296940	XP_006410581.1
OG0001774	El007G358320, El007G358310	XP_024008001.1
OG0001775	El003G163690	XP_006413699.1
OG0001775	El001G005410	XP_006396681.1
OG0001776	El007G363230, El007G356230	XP_024011110.1
OG0001777	El001G002220	XP_006396395.1
OG0001777	El003G191080	XP_006405499.1
OG0001778	El006G280150	XP_006397963.1
OG0001778	El001G035120	XP_006402337.1
OG0001779	El001G034890	XP_006402353.1
OG0001779	El006G280240	XP_006397951.1
OG0001780	El006G283390	XP_006397689.1
OG0001780	El001G032300	XP_006402570.1
OG0001781	El001G031750	XP_024012778.1
OG0001781	El006G284390	XP_024010714.1
OG0001782	El001G030630	XP_006402729.2
OG0001782	El006G285860	XP_024016857.1
OG0001784	El007G323780	XP_006393945.1
OG0001784	El001G020010	XP_006404087.1
OG0001785	El001G000510	XP_006396240.1
OG0001785	El002G083170	XP_006418438.1
OG0001786	El002G083400	XP_006418421.1
OG0001786	El001G001170	XP_006396302.1
OG0001787	El001G002210	XP_006396393.1
OG0001787	El002G084070	XP_006418349.1
OG0001788	El001G002680	XP_006396423.1
OG0001788	El002G084350	XP_006418317.1
OG0001790	El006G301050	XP_006410269.1
OG0001790	El002G088450	XP_006417960.2
OG0001791	El006G301610	XP_006410196.1
OG0001792	El006G302590	XP_006410089.1
OG0001792	El002G089480	XP_006417853.2
OG0001793	El002G089670	XP_024008415.1
OG0001793	El006G302910	XP_006410049.1
OG0001794	El002G089960	XP_006417806.1
OG0001794	El006G303680, El006G303660	XP_006409985.1
OG0001795	El005G236700	XP_006408410.1
OG0001795	El001G065270	XP_006400139.1
OG0001796	El005G237440	XP_024015378.1
OG0001796	El001G063800	XP_006400249.1
OG0001797	El001G063270	XP_024011427.1
OG0001797	El005G237880	XP_006408292.1
OG0001798	El001G051500	XP_006394871.1
OG0001798	El005G241040	XP_006408005.1
OG0001799	El005G241060	XP_006408004.1
OG0001800	El005G241570	XP_006407951.1
OG0001800	El001G062020	XP_006400411.1
OG0001801	El007G346960	XP_006395133.2
OG0001801	El005G242280	XP_024015131.1
OG0001802	El004G216120, El004G216130, El004G216110, El004G216100, El004G216150, El004G216160	XP_006391419.1, XP_006391421.1
OG0001803	El006G294330	XP_006410819.1
OG0001803	El001G023460	XP_006403751.1
OG0001804	El004G233300	XP_006389861.1
OG0001804	El002G100180	XP_024007868.1
OG0001805	El004G232290	XP_006389947.2
OG0001805	El002G100830	XP_006416772.1
OG0001806	El004G224380	XP_024006656.1
OG0001806	El002G101400	XP_006416720.1
OG0001807	El006G295230	XP_006410745.1
OG0001807	El002G103790	XP_006416499.1
OG0001808	El004G228880	XP_006390239.1
OG0001808	El002G104630	XP_006416412.1
OG0001809	El004G221530	XP_006390926.2
OG0001809	El002G109610	XP_006416019.1
OG0001810	El002G111250	XP_006415936.1
OG0001810	El004G220370	XP_006391032.1
OG0001811	El004G218800	XP_006391177.2
OG0001811	El002G112320	XP_024008745.1
OG0001812	El004G218670	XP_006391189.1
OG0001812	El002G112420	XP_006415832.1
OG0001814	El006G320670	XP_006404620.1
OG0001814	El003G142730	XP_006411728.1
OG0001815	El001G062010	XP_024012313.1
OG0001816	El001G049220, El002G126610	XP_006394978.1
OG0001817	El001G076650	XP_006399020.1
OG0001817	El005G246660	XP_006407467.1
OG0001818	El001G019310	XP_006404152.1
OG0001818	El001G055350	XP_006394699.1
OG0001819	El007G322530	XP_024007343.1
OG0001819	El001G021130	XP_006403982.1
OG0001820	El001G018460	XP_006404217.1
OG0001820	El001G056390	XP_024007013.1
OG0001821	El002G137170	XP_006392924.1
OG0001821	El005G252660	XP_024015520.1
OG0001822	El002G136510	XP_006392982.1
OG0001823	El005G278770	XP_006404072.2, XP_006408952.1
OG0001824	El006G292810	XP_006410942.1
OG0001824	El001G024360	XP_006403662.1
OG0001825	El001G026860	XP_006403432.1
OG0001826	El001G028130	XP_006402951.1
OG0001826	El006G288290	XP_006411380.1
OG0001827	El001G028340	XP_006402925.1, XP_006402926.1
OG0001827	El001G028330	XP_006402927.1
OG0001828	El006G284100	XP_006397639.1
OG0001828	El001G031880	XP_006402610.1
OG0001829	El001G042460	XP_024006873.1, XP_024006871.1, XP_024006869.1, XP_024007444.1
OG0001829	El004G195420	XP_006395435.1, XP_006395426.2
OG0001830	El001G030050, El001G030020, El001G030060, El001G030040	XP_006402788.1
OG0001831	El007G366750, El007G366760	XP_006398456.2
OG0001832	El006G311880	XP_006410716.2
OG0001833	El003G151290, El007G355170, El007G349780	XP_024004602.1
OG0001834	El002G099850	XP_006416879.1
OG0001835	El002G104460	XP_006416430.2
OG0001835	El002G104470	XP_006416428.1
OG0001836	El004G198360	XP_006391912.1
OG0001836	El004G198350	XP_006391911.1
OG0001838	El003G169520	XP_006414226.1, XP_006414227.1
OG0001839	El006G308060	XP_006398665.1
OG0001844	El003G154430	XP_006412860.1
OG0001844	El005G278230	XP_006408895.1
OG0001845	El003G152640	XP_024004438.1
OG0001846	El005G274690	XP_006409349.1
OG0001846	El003G147050	XP_024005546.1
OG0001847	El003G170500	XP_024004379.1
OG0001848	El004G201670	XP_006392216.1
OG0001848	El002G093440	XP_006417463.1
OG0001849	El004G199570	XP_006392004.2, XP_024015694.1
OG0001849	El004G199580	XP_006392006.1
OG0001850	El001G041770	XP_006395486.1
OG0001851	El003G191690	XP_006405448.1
OG0001851	El001G042290	XP_006395448.1
OG0001852	El003G189520	XP_006414110.2, XP_006405609.1
OG0001853	El004G216170	XP_006391422.1
OG0001854	El004G215170	XP_006391320.1
OG0001855	El004G213220	XP_006391553.1
OG0001855	El003G165440	XP_006413873.1
OG0001856	El004G198060	XP_024004439.1
OG0001856	El002G095480	XP_006417273.1
OG0001857	El003G158380	XP_006413231.1
OG0001857	El007G334850	XP_024011461.1
OG0001858	El001G078440	XP_006398873.1
OG0001858	El005G245620	XP_006407586.1
OG0001859	El005G245930	XP_006407548.1
OG0001859	El001G078010	XP_006398910.1
OG0001860	El001G076640	XP_006399021.1
OG0001860	El005G246670	XP_006407466.1
OG0001861	El005G246770	XP_006407457.1
OG0001861	El001G076420	XP_006399041.1
OG0001862	El001G075350	XP_024012039.1
OG0001862	El005G247630	XP_006407403.1
OG0001863	El003G159360	XP_006413326.1
OG0001863	El007G342570	XP_006401971.1
OG0001864	El003G157030	XP_006413096.2
OG0001865	El007G337710	XP_006401547.1
OG0001865	El003G157130, El007G323630	XP_006413102.1
OG0001866	El007G337450	XP_006401517.1
OG0001866	El003G157320	XP_006413116.1
OG0001867	El003G158640	XP_006413265.1
OG0001868	El001G060780	XP_006400511.1
OG0001869	El007G324500	XP_006394007.1
OG0001869	El001G071390	XP_006399552.1
OG0001870	El007G324750	XP_024007549.1
OG0001870	El001G071560	XP_024012423.1
OG0001871	El007G325040	XP_006394066.1
OG0001872	El007G325640	XP_006394115.1
OG0001872	El001G072140	XP_024012204.1
OG0001873	El001G072510	XP_024011944.1
OG0001873	El001G072520	XP_006399432.1
OG0001874	El001G072930	XP_006399384.1, XP_006399385.1
OG0001875	El001G073590	XP_006399306.1
OG0001875	El001G057050	XP_006394577.1
OG0001876	El007G329880	XP_006394544.1
OG0001876	El001G073780	XP_006399289.1
OG0001877	El001G074360, El007G361230	XP_006399225.1
OG0001878	El003G169500	XP_024004766.1
OG0001878	El007G366430	XP_006398424.1
OG0001879	El003G168880	XP_006414172.1
OG0001879	El007G365590	XP_006398363.2
OG0001880	El003G168490, El003G168500	XP_006414134.1
OG0001881	El003G165050	XP_006413835.1, XP_006391784.1
OG0001882	El001G004950	XP_006396641.1
OG0001882	El003G164470	XP_006413761.1
OG0001883	El001G005140	XP_006396661.1
OG0001883	El003G164080	XP_006413729.1
OG0001884	El002G099270	XP_006416935.1
OG0001884	El004G201750	XP_024011799.1
OG0001885	El002G120850	XP_006415121.1
OG0001885	El001G008930	XP_024010099.1
OG0001886	El002G123760	XP_006397461.1
OG0001886	El001G010120	XP_006397189.1
OG0001887	El001G010980	XP_006397292.1, XP_024010174.1
OG0001887	El002G125420	XP_006396016.1
OG0001888	El006G297620, El006G297650	XP_024003706.1
OG0001889	El005G276660	XP_006409165.1
OG0001889	El003G145650	XP_006411986.1
OG0001890	El003G144020	XP_024005099.1
OG0001890	El003G144080	XP_006411830.1
OG0001891	El003G158510	XP_006413247.1
OG0001891	El002G093730	XP_006417431.1
OG0001892	El007G358360	XP_006403295.1
OG0001892	El002G113350	XP_024008666.1
OG0001893	El001G008750	XP_006397055.1
OG0001894	El006G289800	XP_024004254.1
OG0001894	El001G005700	XP_024010103.1
OG0001895	El007G366460, El001G061110, El007G366450	XP_006398427.1
OG0001896	El003G156000	XP_006414996.1
OG0001896	El005G242720	XP_006407837.1
OG0001897	El005G265910	XP_006418832.1
OG0001897	El003G176310	XP_024005118.1
OG0001898	El005G261820	XP_006406128.1
OG0001898	El003G174350	XP_024005685.1
OG0001899	El003G173640	XP_006414559.1
OG0001900	El003G193280	XP_006405310.1
OG0001901	El006G280020, El006G314870	XP_006393442.1
OG0001901	El001G034900	XP_006402352.1
OG0001902	El001G034370	XP_006402414.2
OG0001903	El001G032390	XP_006402563.1
OG0001903	El006G283290	XP_006397697.1
OG0001904	El006G283400, El005G276440	XP_024010780.1
OG0001905	El001G031640	XP_006402633.1
OG0001906	El001G030910	XP_024012762.1
OG0001906	El006G285650	XP_006397487.1
OG0001907	El001G018080	XP_006404257.1
OG0001908	El007G327060	XP_006395293.1
OG0001909	El001G002050	XP_024010131.1
OG0001909	El002G084210	XP_006418332.1
OG0001910	El001G004290	XP_006396580.1
OG0001910	El002G085510	XP_024008760.1
OG0001911	El007G359030	XP_006403243.1
OG0001911	El002G086320	XP_006418136.1
OG0001912	El006G300250	XP_006410337.1
OG0001912	El002G087680	XP_006418023.1
OG0001913	El006G300630	XP_024003772.1
OG0001914	El006G300060, El006G299460, El006G299140	XP_006393025.1
OG0001915	El006G301250	XP_024003913.1
OG0001915	El002G088570	XP_006417951.2
OG0001916	El002G089870	XP_006417809.1
OG0001916	El006G303310	XP_006410014.1
OG0001917	El006G304830	XP_006409900.1
OG0001917	El002G090370	XP_006417771.1
OG0001918	El006G311260	XP_006408594.1
OG0001919	El001G067110	XP_006399949.1
OG0001920	El001G064620	XP_006400178.1
OG0001920	El005G236980	XP_006408388.1
OG0001921	El001G064590	XP_006400180.2
OG0001921	El005G237030	XP_024014833.1
OG0001922	El005G240610	XP_006408045.1
OG0001922	El001G050590	XP_006394930.1
OG0001923	El006G290680	XP_024016873.1
OG0001923	El001G025950	XP_006403496.1
OG0001924	El001G024110	XP_024013778.1
OG0001924	El006G293190	XP_024003919.1, XP_006410910.1
OG0001925	El006G292300	XP_006410996.2
OG0001926	El006G292050	XP_006411021.1
OG0001926	El001G022190	XP_006403874.1
OG0001927	El004G234000	XP_006389797.1
OG0001927	El002G099720	XP_006416887.1
OG0001928	El004G231810	XP_006389983.2
OG0001928	El002G101220	XP_006416740.1
OG0001929	El002G101870	XP_006416670.1
OG0001929	El004G225140	XP_006390601.1
OG0001930	El002G102880	XP_006416577.1
OG0001930	El004G226920	XP_006390433.1
OG0001931	El004G227290	XP_006390395.1
OG0001931	El002G103090	XP_006416554.1
OG0001932	El002G103650	XP_006416512.1
OG0001932	El004G227640	XP_006390350.2
OG0001933	El004G229820	XP_024010980.1
OG0001934	El002G107070	XP_024008720.1
OG0001935	El002G108450	XP_006416119.1
OG0001935	El004G222450	XP_006390840.1
OG0001937	El002G110660	XP_006415956.1
OG0001937	El004G220720	XP_006391003.1
OG0001938	El002G112870	XP_006415785.1
OG0001938	El002G112880	XP_006415784.1
OG0001939	El006G321200	XP_006404587.1
OG0001939	El003G142550	XP_006411705.1
OG0001940	El001G079380, El002G083730, El007G349410	XP_024008110.1
OG0001941	El007G341920, El001G061320	XP_006400466.1
OG0001941	El001G061310	XP_006400468.1
OG0001942	El002G120860	XP_006407146.1
OG0001943	El005G247400	XP_006407420.2
OG0001944	El005G247240	XP_006407433.2
OG0001944	El001G075960	XP_024011509.1
OG0001945	El001G019460	XP_006404130.1
OG0001946	El001G018470	XP_006404216.1
OG0001946	El001G056380	XP_006394631.1
OG0001947	El001G013740, El001G013760, El001G013730	XP_006419089.1
OG0001948	El001G012570	XP_006404478.1
OG0001949	El001G059600	XP_006400609.1
OG0001949	El002G123090	XP_006414244.1
OG0001950	El005G250020	XP_006407148.1
OG0001950	El002G139900	XP_006392699.1
OG0001951	El005G251320	XP_006407028.1
OG0001951	El002G138350	XP_006392804.1
OG0001952	El005G253480	XP_006406812.1
OG0001953	El005G256760	XP_006406513.1
OG0001953	El002G133940	XP_006393218.1
OG0001954	El001G068760	XP_006399783.1
OG0001954	El005G258760	XP_006406348.1
OG0001955	El002G136180	XP_024006157.1
OG0001955	El005G259370	XP_024015460.1
OG0001956	El005G272900	XP_006409548.1
OG0001956	El003G148440	XP_006412275.1
OG0001957	El006G296470	XP_006410621.1
OG0001957	El002G117120	XP_006415465.2
OG0001958	El005G272340, El005G272320, El005G272330, El002G122830, El002G122740	XP_006409651.2
OG0001959	El001G031320	XP_006402663.1
OG0001960	El002G138030	XP_006392842.2
OG0001961	El002G134580	XP_024006005.1
OG0001963	El001G003370, El001G003360	XP_006396496.1
OG0001965	El005G238170	XP_024015300.1
OG0001971	El003G154550	XP_006412871.1
OG0001971	El005G278310	XP_006408902.1
OG0001972	El003G152730	XP_006412718.1
OG0001972	El005G277150	XP_006409120.1
OG0001973	El003G152000	XP_006412645.1
OG0001973	El006G317160	XP_006404930.1
OG0001974	El006G316920	XP_006404977.1
OG0001974	El003G151600	XP_024005191.1
OG0001975	El005G272050	XP_006409667.1
OG0001975	El003G149010	XP_006412330.1
OG0001976	El003G147660	XP_006412187.1
OG0001976	El005G273780	XP_006409422.1
OG0001977	El006G295300	XP_006410740.1
OG0001977	El003G170760	XP_006414324.1
OG0001978	El004G199690	XP_006392020.1
OG0001978	El002G094430	XP_006417375.1
OG0001979	El001G037660	XP_006395784.1
OG0001979	El002G098500	XP_006417003.1
OG0001980	El001G037910	XP_006395756.1
OG0001980	El002G098290	XP_006417022.1
OG0001981	El002G096620	XP_006417162.1
OG0001981	El001G040710	XP_006395566.1
OG0001982	El001G041150	XP_006395533.2
OG0001982	El002G096460	XP_006417180.2
OG0001983	El001G041880	XP_006395474.1
OG0001983	El003G192010	XP_006405419.1
OG0001984	El001G042150	XP_006395458.1
OG0001984	El003G191790	XP_006405432.1
OG0001985	El002G095790	XP_006417247.1
OG0001985	El004G197500	XP_024015584.1
OG0001986	El001G028110	XP_006402954.1
OG0001986	El006G288280	XP_024003946.1
OG0001987	El001G078480	XP_006398869.1
OG0001987	El005G245600	XP_006407588.1
OG0001988	El005G246730	XP_006407461.1
OG0001988	El001G076460	XP_006399036.1
OG0001989	El005G246990	XP_006407446.1
OG0001989	El001G076110	XP_006399072.1
OG0001990	El007G338320	XP_006401599.1
OG0001990	El003G156940	XP_006413087.1
OG0001991	El007G337200	XP_006401494.1
OG0001991	El003G157450	XP_006413129.1
OG0001992	El003G157810	XP_006413162.1
OG0001992	El007G336220	XP_006401400.1
OG0001993	El007G336010	XP_006401374.1
OG0001993	El003G157980	XP_006413178.1
OG0001994	El003G158670	XP_024005051.1
OG0001995	El001G060820	XP_024012221.1
OG0001996	El001G069870	XP_006399687.1
OG0001996	El001G052040	XP_006394845.1
OG0001997	El001G072380	XP_006399447.1
OG0001997	El006G319400	XP_006404741.1
OG0001998	El001G072630	XP_006399422.1
OG0001998	El007G326220	XP_006394173.1
OG0001999	El001G074150	XP_006399244.1
OG0001999	El007G329230	XP_006394491.1
OG0002000	El001G074450	XP_006399217.1
OG0002001	El007G365710	XP_024010949.1
OG0002001	El003G168950	XP_006414178.1
OG0002002	El003G165900	XP_006413917.1
OG0002003	El001G005630	XP_006396701.1
OG0002004	El001G006790	XP_024009851.1
OG0002004	El003G162630	XP_006413612.1
OG0002005	El001G007880	XP_006396951.1
OG0002005	El003G161210	XP_006413521.1
OG0002006	El003G161120	XP_006413507.1
OG0002006	El001G008010	XP_006396970.1
OG0002007	El001G008050	XP_006396971.1
OG0002007	El003G161100	XP_006413505.1
OG0002008	El001G008580	XP_006397041.1
OG0002008	El002G120350	XP_006415146.1
OG0002010	El002G114680	XP_006415620.1
OG0002011	El002G115310	XP_006415583.2
OG0002012	El005G274980	XP_006409290.1
OG0002012	El003G146790	XP_006412096.1
OG0002013	El005G275130	XP_006409275.1
OG0002013	El003G146640	XP_024005481.1
OG0002014	El003G146260	XP_006412042.1
OG0002014	El005G275310	XP_006409246.2
OG0002015	El005G277010	XP_006409130.1
OG0002015	El003G145390	XP_006411960.1
OG0002016	El006G319230	XP_006404757.1
OG0002016	El003G144410	XP_006411860.2
OG0002017	El003G143710	XP_024005595.1
OG0002017	El006G319840	XP_024014202.1
OG0002018	El006G321130	XP_024014060.1
OG0002018	El003G142590	XP_006411710.1
OG0002019	El006G295400	XP_006410729.1
OG0002021	El003G161020, El003G161000	XP_006413493.1
OG0002021	El001G008090	XP_006396985.1
OG0002022	El002G101690	XP_024008339.1
OG0002022	El007G364600	XP_024011012.1
OG0002023	El005G262340	XP_006406118.1
OG0002023	El003G174550	XP_006414665.1
OG0002024	El005G261100	XP_006406189.1
OG0002025	El006G281630	XP_006391308.2
OG0002026	El001G032000	XP_006402598.1
OG0002027	El001G028770	XP_006402888.1
OG0002027	El006G287780	XP_006411424.1
OG0002028	El001G014250	XP_006419045.1
OG0002028	El007G330530	XP_024011477.1
OG0002029	El002G083460	XP_006418416.1
OG0002029	El001G001250	XP_006396310.1
OG0002030	El001G003160	XP_006396471.1
OG0002030	El002G084830	XP_006418274.1
OG0002031	El006G298810	XP_006410462.1
OG0002032	El006G299980	XP_006410360.1
OG0002032	El002G087510	XP_006418042.1
OG0002033	El002G089140	XP_006417884.2
OG0002033	El006G302020	XP_024016747.1
OG0002034	El002G090080	XP_006417796.1
OG0002034	El006G304140	XP_006409951.1
OG0002035	El007G336940	XP_006401471.1
OG0002035	El003G157620	XP_006413147.1
OG0002036	El001G065560	XP_006400107.1
OG0002037	El001G065550	XP_006400108.1
OG0002037	El005G236500	XP_006408425.1
OG0002038	El005G253410	XP_006406818.1
OG0002038	El005G240460	XP_006408060.2
OG0002039	El001G026790	XP_006403439.1
OG0002039	El006G290030	XP_006411216.1
OG0002040	El006G294140	XP_006410831.1
OG0002040	El001G023560	XP_006403741.2
OG0002041	El006G293410	XP_006410892.1
OG0002041	El001G023970	XP_006403699.1
OG0002042	El003G163850, El006G291820, El006G291830	XP_006411051.1
OG0002043	El007G361440, El002G131960	XP_006416923.2
OG0002043	El002G132700	XP_006393335.1
OG0002044	El002G099590	XP_006416899.1
OG0002044	El004G234220	XP_006389778.1
OG0002045	El002G099790	XP_006416882.1
OG0002045	El004G233900	XP_006389806.1
OG0002046	El002G100080	XP_006416855.1
OG0002046	El004G233420	XP_006389845.1
OG0002047	El002G100480	XP_006416811.1
OG0002047	El006G318640, El004G232630	XP_006389916.1
OG0002048	El002G101570	XP_024008360.1
OG0002048	El004G224720	XP_006390641.1
OG0002049	El004G225240	XP_006390591.1
OG0002050	El002G105240	XP_006416353.1
OG0002050	El004G229390	XP_006390192.1
OG0002051	El002G105340	XP_024008125.1
OG0002051	El006G286880	XP_024003676.1
OG0002052	El002G105480	XP_006416333.1
OG0002052	El004G229650	XP_006390163.2, XP_006390162.1
OG0002053	El002G105860	XP_006416304.1
OG0002053	El004G230010	XP_006390131.1
OG0002054	El002G108190	XP_006416134.1
OG0002054	El004G223020	XP_006390800.1
OG0002055	El002G108520	XP_006416111.1
OG0002055	El004G222370	XP_006390849.1
OG0002056	El006G314210	XP_024015766.1
OG0002056	El003G150360	XP_006412474.1
OG0002057	El006G315130	XP_006405132.2
OG0002058	El006G317900, El005G247050	XP_006404885.1
OG0002059	El002G087320	XP_006418055.1
OG0002059	El006G299810	XP_006410373.2
OG0002060	El004G221830	XP_006390898.1
OG0002060	El001G066630	XP_024011554.1
OG0002061	El001G018860	XP_024013603.1
OG0002061	El001G055980, El001G056060	XP_006393558.2, XP_024006326.1
OG0002063	El001G074760	XP_006399185.1, XP_006399186.1, XP_006399191.1
OG0002063	El007G333100	XP_006401088.1
OG0002064	El001G021680, El001G021690	XP_024013489.1
OG0002065	El004G214730, El004G214740	XP_006390705.1, XP_006390701.1
OG0002065	El004G224040	XP_006390703.1
OG0002066	El004G229800	XP_006390153.1
OG0002066	El002G105520	XP_006416326.1
OG0002067	El004G228660	XP_006390257.1
OG0002067	El004G228680	XP_024009688.1
OG0002068	El004G233130	XP_006414676.2
OG0002068	El004G233160	XP_006414675.1
OG0002069	El004G232850	XP_006389898.1
OG0002069	El004G232820	XP_006389899.1
OG0002070	El002G100290	XP_024008148.1
OG0002070	El004G233050	XP_006389879.1
OG0002071	El005G249360	XP_024015692.1
OG0002071	El002G140580	XP_006392628.1
OG0002072	El002G140310	XP_006392653.1
OG0002072	El005G249510	XP_006407196.1
OG0002073	El002G138200	XP_024005958.1
OG0002073	El005G251220	XP_006407036.1
OG0002075	El005G278430	XP_006408912.1
OG0002075	El005G278420	XP_006408911.1
OG0002076	El002G141500	XP_006392556.1
OG0002076	El005G248550	XP_006407299.1
OG0002077	El002G135980	XP_024006358.1
OG0002077	El005G259250	XP_024015203.1
OG0002078	El001G026910	XP_006403426.1
OG0002078	El001G026900	XP_006403427.1
OG0002079	El003G189980, El003G190010, El003G158210	XP_024004686.1
OG0002080	El003G172480, El003G172460	XP_006414469.2
OG0002081	El006G314690	XP_024009415.1
OG0002081	El006G321190, El006G314720, El006G314680	XP_006405210.1
OG0002082	El001G025330	XP_006403558.1
OG0002082	El006G291320	XP_006411105.1
OG0002084	El001G007980, El004G234290, El003G187190, El003G187180, El003G187200	XP_024011131.1
OG0002093	El005G272590	XP_024016504.1
OG0002093	El003G148210	XP_006412248.1
OG0002094	El003G147920	XP_006412218.1
OG0002095	El005G274540	XP_024016597.1
OG0002095	El003G146990	XP_006412122.1
OG0002096	El004G206830	XP_006392406.1
OG0002096	El002G092130	XP_006417581.1
OG0002097	El004G202840	XP_006392280.1
OG0002097	El002G093120	XP_006417492.1
OG0002098	El004G200370	XP_006392109.1
OG0002098	El004G200750	XP_024004459.1
OG0002099	El002G094030	XP_006417399.1
OG0002099	El004G200220	XP_006392089.1
OG0002100	El002G097520	XP_006417082.2
OG0002100	El001G038540	XP_024007584.1
OG0002101	El003G191870	XP_006405423.1
OG0002101	El001G042000	XP_006395467.1
OG0002103	El003G193580	XP_006405378.2
OG0002104	El004G195460	XP_006391707.1
OG0002104	El003G192650	XP_006405356.1
OG0002105	El002G096250	XP_006417204.1
OG0002105	El004G196800	XP_006391782.1
OG0002106	El004G198260	XP_024003815.1
OG0002106	El002G095380	XP_006417282.1
OG0002107	El001G028010	XP_006402962.1
OG0002107	El002G094300, El006G288480	XP_006411360.1
OG0002108	El001G081440	XP_024011866.1
OG0002108	El005G244140	XP_006407721.1
OG0002110	El005G245030	XP_006407634.1
OG0002110	El001G079580	XP_006398774.1
OG0002111	El001G078450	XP_006398872.1
OG0002112	El001G077370	XP_006398954.1
OG0002114	El003G156360	XP_006413038.1
OG0002114	El007G339520	XP_006401693.1
OG0002115	El003G157470	XP_006413133.1
OG0002115	El007G337190	XP_006401493.1
OG0002116	El003G157700	XP_006413154.1
OG0002117	El001G068620	XP_006399798.1
OG0002117	El002G112830	XP_006415787.1
OG0002118	El001G052280	XP_006394837.1
OG0002118	El001G069930	XP_006399678.1
OG0002119	El001G071180	XP_024012317.1
OG0002119	El001G054300	XP_006394746.1
OG0002120	El001G056460	XP_024007398.1
OG0002120	El001G073230	XP_006399348.1
OG0002121	El007G328990, El007G329010	XP_006394471.1
OG0002121	El001G074490	XP_006399214.1
OG0002122	El007G366550	XP_024011041.1
OG0002122	El003G169760	XP_006414240.1
OG0002123	El007G363710	XP_006398234.1
OG0002123	El003G167170	XP_024005063.1
OG0002124	El007G363370	XP_006398214.1
OG0002124	El003G167020	XP_006414005.1
OG0002125	El003G165630	XP_006413894.1
OG0002125	El007G361500	XP_006398091.1
OG0002126	El001G004750	XP_006396623.1
OG0002126	El003G164790	XP_006413799.1
OG0002127	El001G007950	XP_006396959.1
OG0002127	El003G161170	XP_006413516.1
OG0002128	El001G008460	XP_006397030.1
OG0002128	El002G120320	XP_006415148.1
OG0002129	El001G009630	XP_006397131.1
OG0002129	El002G122170	XP_006415051.1
OG0002131	El001G002660	XP_006396421.1
OG0002132	El003G146700	XP_006412087.1
OG0002132	El005G275040	XP_006409283.1
OG0002133	El003G146650	XP_006412083.1
OG0002133	El003G146550	XP_006409266.2, XP_006412072.2, XP_024016557.1
OG0002134	El003G146150	XP_006412032.1
OG0002135	El005G277020	XP_006409129.1
OG0002135	El003G145380	XP_006411959.1
OG0002136	El006G321450	XP_006404561.1
OG0002136	El003G142310	XP_006411676.1
OG0002137	El003G189310, El003G189280	XP_024014778.1
OG0002137	El003G189320	XP_006405621.1
OG0002138	El006G296960	XP_006410579.1
OG0002138	El006G296970	XP_006410578.1
OG0002139	El002G128630	XP_006393674.1
OG0002139	El007G358090	XP_006403316.1
