Orthogroup	Erysimum_linariifolium	Brassica_napus
OG0001455	El003G172100, El003G172090	XP_013715317.1, XP_013746662.1, XP_013654717.1
OG0001456	El005G257610, El002G134610	XP_013725002.1, XP_048635335.1, XP_013721308.1, XP_013684965.1, XP_022555313.1, XP_013693872.2, XP_022576470.2
OG0001457	El005G258050	XP_013728633.2, XP_048628353.1, XP_013652619.1, XP_048632493.1, XP_013679809.2, XP_048593694.1, XP_013640864.2
OG0001457	El002G134850	XP_048637787.1, XP_022560820.1
OG0001459	El002G105600	XP_048593483.1, XP_048593482.1, XP_013694073.2, XP_022568519.2, XP_013642318.1, XP_013642315.2, XP_013694014.1, XP_013642316.2
OG0001461	El006G299040	XP_013692014.1, XP_022574988.2, XP_048637100.1, XP_013692013.1, XP_048636706.1
OG0001462	El001G008480, El001G001920, El006G311790, El005G252390, El003G189540	XP_022555275.1
OG0001463	El006G284330, El007G324140, El005G258400	XP_013673803.1, XP_048603788.1, XP_048620749.1, XP_048604861.1, XP_013693577.1, XP_048608355.1, XP_022559176.1, XP_013718744.1
OG0001464	El003G153330	XP_013714275.1, XP_013684602.2, XP_013703182.1, XP_013741620.1
OG0001464	El005G277790	XP_013670930.1, XP_013732756.1, XP_013652740.1, XP_048620396.1
OG0001465	El005G277560	XP_013702191.2, XP_013732758.2, XP_022568640.1, XP_048593150.1
OG0001465	El003G153130	XP_013738251.1, XP_013706705.1, XP_048637138.1, XP_013748014.1
OG0001466	El003G151410	XP_013735949.1, XP_022545725.2, XP_013650206.2, XP_013670758.2, XP_013716820.1, XP_013707475.2
OG0001466	El006G316760	NP_001302751.1, XP_048633252.1
OG0001467	El001G007930	XP_013692931.1, XP_013697609.2
OG0001468	El003G148420	XP_048606348.1, XP_013656193.2, XP_013735233.1, XP_013653475.2
OG0001469	El002G124470, El002G124520, El002G124420	XP_022545246.1, XP_013692900.2, XP_013747733.1, XP_022561770.1
OG0001469	El002G119610, El002G118830	XP_013697886.1, XP_022544397.1, XP_013659593.1
OG0001470	El006G295320	XP_013659514.2
OG0001470	El003G170540	XP_048632764.1, XP_048618851.1, XP_013740342.1, XP_013733776.2, XP_048626197.1
OG0001471	El004G200240	XP_013749099.1, XP_013726643.1
OG0001471	El002G094000	XP_013716545.2, NP_001303129.1, NP_001303073.1, XP_013645503.2
OG0001472	El002G098910	XP_013730951.2, XP_013710005.2, XP_013696491.1, XP_013646575.2, XP_013696492.1
OG0001472	El001G036620	XP_013684784.1, XP_013707684.2, XP_013701714.1, XP_013729223.2
OG0001473	El001G037900	XP_013734735.1, XP_048599954.1, XP_013664934.2, XP_013703340.1
OG0001473	El002G098300	XP_022559359.1, XP_022576436.2, XP_013676225.2, XP_013676226.1
OG0001474	El003G158460, El003G158450	XP_048619657.1, XP_013705768.1, XP_013671035.2
OG0001475	El002G095410	XP_013693878.1, XP_013708642.2, XP_013671771.1, XP_013747943.2
OG0001475	El004G198150	XP_013686474.2, XP_048626773.1, XP_013703233.2, XP_013660719.1, XP_013644489.1
OG0001476	El005G244640	XP_022556413.2, XP_048624364.1, XP_048598648.1, XP_013672767.1, XP_013725178.1
OG0001477	El004G200190	XP_013673735.2, XP_013673660.2, XP_013740691.1, XP_013724276.2, XP_013672270.2
OG0001478	El005G244890	XP_022570607.2, XP_013724114.1
OG0001478	El001G079920	XP_048629269.1, XP_048602622.1, XP_013706259.1, XP_013668314.2, XP_013740084.1, XP_013745940.1
OG0001480	El003G159680	XP_013703901.2, XP_013655126.1, XP_013670279.1, XP_013669882.1, XP_013654956.2, XP_022567060.1
OG0001481	El001G068500, El002G128340, El005G268210, El003G186060	XP_013665476.2, XP_048598320.1
OG0001482	El001G070660	XP_013726318.1, XP_013661884.1, XP_013679004.1
OG0001482	El001G053490	XP_048602283.1, XP_013678117.2
OG0001483	El001G054460	XP_013667356.1, XP_013647223.2
OG0001483	El001G071240	XP_013666121.2, XP_013708931.3, XP_048626238.1, XP_022551449.2, XP_048607847.1, XP_022566807.2
OG0001484	El001G071280	XP_013666122.1, XP_013708956.1, XP_048625314.1, XP_048625288.1, XP_013639865.1, XP_048625307.1, XP_022575249.1, XP_048625305.1
OG0001484	El001G054480	XP_013647221.1, XP_013667366.1
OG0001485	El001G072860	XP_013726906.1, XP_013680325.1, XP_048598425.1, XP_022569885.1
OG0001485	El007G326710	XP_048630912.1, XP_048603235.1, NP_001302769.1, XP_013643230.2, XP_013647058.2
OG0001486	El001G073140	XP_013680338.3, XP_048607831.1, XP_013715612.2, XP_022565699.1
OG0001487	El001G056990	XP_013736891.1, XP_013672942.1
OG0001487	El001G073580	XP_048603277.1, XP_013680362.1, XP_022566562.1, XP_013730169.1, XP_013715740.2
OG0001488	El003G169320	XP_048601403.1, XP_013710628.2, NP_001302634.1, XP_022561923.1
OG0001488	El007G366260	XP_013696366.1, XP_048628770.1, XP_013677273.1, NP_001302686.1, XP_013712822.1
OG0001489	El003G163410	XP_048596647.1, XP_013734009.2
OG0001490	El002G115070	XP_013709998.1, XP_013651535.2, XP_013659675.1, XP_013695494.1, XP_013656903.1, XP_013697432.1
OG0001490	El006G297200	XP_013748555.1
OG0001491	El002G116020	XP_022569565.2, XP_048596010.1
OG0001492	El003G142690	XP_022555703.1, XP_013656706.2
OG0001492	El006G320720	XP_013743540.2, XP_013717099.2, XP_048621035.1, XP_013706347.1
OG0001493	El002G129260	XP_013751684.2, XP_013718810.1, XP_048593588.1, XP_013701858.1
OG0001493	El007G358210	XP_013692214.2, XP_013644992.2, XP_013667123.2
OG0001494	El001G006290, El001G006310, El001G006320, El001G006300, El001G006330	XP_048606941.1, XP_013735504.2, XP_048632014.1, XP_013702588.1, XP_013714381.2, XP_048612693.1, XP_013736623.1
OG0001495	El007G366600	XP_048596642.1, XP_013713821.2, XP_013713823.2, XP_013728346.2
OG0001496	El005G267160	XP_013706111.1, XP_013728750.1, XP_013752457.2
OG0001496	El003G177080, El003G177100	XP_013711255.2, XP_048593624.1
OG0001497	El003G173590, El003G173580	XP_048636868.1
OG0001498	El002G086070	XP_013664828.1, XP_013666393.1, XP_013698167.1, XP_048594318.1, XP_048626632.1, XP_048621954.1
OG0001499	El005G276140, El005G276020, El002G094320, El005G275800	XP_013711680.1, XP_013731563.1, XP_013716807.1, XP_013671901.1, XP_013648519.1
OG0001500	El006G280740	XP_048608679.1, XP_022553077.2, NP_001302529.1, XP_048611293.1, NP_001303160.1, NP_001302648.1
OG0001500	El001G034550	XP_013688307.2, XP_013741895.1
OG0001501	El006G281110	XP_013734863.2, XP_013747591.2, XP_013708014.2, XP_048634806.1, XP_048611283.1
OG0001502	El006G284010	XP_013747990.2, XP_013691636.1, XP_048608652.1, XP_013734781.1
OG0001502	El001G031960	XP_013648257.2, XP_048591620.1, XP_013711861.2, XP_022563410.1
OG0001503	El001G031580	XP_013659982.2, XP_013742086.1, XP_013692763.1, XP_048591612.1, XP_013702305.2
OG0001503	El006G284720	NP_001303006.1, NP_001303024.1
OG0001504	El001G031180	XP_013648295.1, XP_013699096.1
OG0001504	El006G285370	XP_013692421.1, XP_013747898.1, XP_022574041.2, XP_013683827.2
OG0001505	El001G031030	XP_013648300.1, XP_013699103.1, XP_013663730.2, XP_022546931.2
OG0001505	El005G245290, El006G285590	XP_013688028.1, XP_013664170.2, XP_013683810.2, XP_022574056.1
OG0001506	El005G243990	XP_022559253.2, XP_048615299.1
OG0001506	El001G081830	XP_013731471.2, XP_048607692.1, XP_013740023.2
OG0001507	El001G016180	XP_013651873.1, XP_013646906.1, XP_013710209.1
OG0001507	El007G331950	XP_013682491.1, XP_013712690.2, XP_013716584.1, XP_013729600.1, XP_013680584.2, XP_013740291.1
OG0001508	El001G018180	XP_048638581.1, XP_022563166.2, XP_048605616.1, XP_022570834.2
OG0001508	El007G327140	XP_013659205.2, XP_013705404.1, XP_048628374.1, XP_013701341.1, XP_013678436.2, XP_013647049.2, XP_022563660.2, XP_048606672.1
OG0001509	El001G019630	XP_013655651.2, XP_013675854.1, XP_013642377.1, XP_013743407.1
OG0001509	El007G324250	XP_013738523.1, XP_013712399.1, XP_048590949.1, XP_013641450.1
OG0001510	El006G300800	XP_048634324.1, XP_013734129.2, XP_048630694.1
OG0001510	El002G088220	XP_048613767.1, XP_013666650.1, XP_013716290.1
OG0001511	El002G090520	XP_013641142.2, XP_013712277.1
OG0001511	El006G304970	XP_048608709.1, XP_013740676.2
OG0001512	El002G090920	XP_048630210.1, XP_013716519.1, XP_013729524.1, XP_013657587.1, XP_013641105.2, XP_013711833.1
OG0001512	El006G306130	XP_013720529.2, XP_013718641.2
OG0001513	El005G235910	XP_048614322.1, XP_013640330.1, XP_048632136.1, XP_013729698.2
OG0001514	El005G238680	XP_048636173.1, XP_013731646.2, XP_048601723.1, XP_013742261.2
OG0001514	El001G062380	XP_013679022.2
OG0001515	El005G240770, El007G348220	XP_048616379.1, XP_048637768.1
OG0001516	El005G241880	XP_013697196.1, XP_013750657.2, XP_048628662.1, XP_022545423.2, XP_048628821.1
OG0001517	El001G027260	XP_013655933.1, XP_013663464.2
OG0001517	El006G289520	XP_013734530.2, XP_048608568.1, XP_013697758.1, XP_013748062.1
OG0001518	El006G289610	XP_013687712.1, XP_013744814.2, XP_013734535.2, XP_048608567.1
OG0001518	El001G027120	XP_048592983.1, XP_048616781.1, XP_048629200.1, XP_013663469.1, XP_013655928.1
OG0001519	El004G226330	XP_013702451.2, XP_013726406.1, XP_048617363.1, XP_013649675.2
OG0001519	El002G102620	XP_013664608.2, XP_048597590.1, XP_048594077.1, XP_013683023.1
OG0001520	El001G017720	XP_022543955.1, XP_048608838.1, XP_013716162.1, XP_013670117.1
OG0001520	El002G103250	XP_022556073.1, XP_013695459.2, XP_013660246.2, XP_013660191.1
OG0001521	El004G229980	XP_048591537.1, XP_013713273.2, XP_013672877.1, XP_013650082.2
OG0001522	El002G108350	XP_013727257.1, XP_013653373.2, XP_048622487.1, XP_013730506.2
OG0001522	El004G222700	XP_013649060.1, XP_013736686.1, XP_048592104.1, XP_013701851.1
OG0001523	El002G109220	XP_013697453.2, XP_048626845.1, XP_013699680.2
OG0001523	El004G221840	XP_013712260.1, XP_013732633.1
OG0001524	El002G113080	XP_013659838.1, XP_013657162.1, XP_013653217.2, XP_013721536.1
OG0001524	El007G328880	XP_013718227.1, XP_013642811.1
OG0001526	El006G317400	XP_013741937.1, XP_013707862.2, XP_013712425.1
OG0001527	El001G067340	XP_013662408.1
OG0001527	El004G233860	XP_022553068.1, XP_022559308.1, XP_048630572.1, XP_013727005.1, XP_013650340.2
OG0001528	El001G066570	XP_048595267.1
OG0001529	El001G061300, El004G229720, El001G061290	XP_048624974.1, XP_048599109.1, XP_048624085.1, XP_048599108.1, XP_048624971.1, XP_048599106.1, XP_013729916.1, XP_048599107.1, XP_048624084.1, XP_022565242.2, XP_048605412.1, XP_013727678.2
OG0001530	El007G346910	XP_048619427.1, XP_048631257.1, XP_013704516.2, XP_013647377.1
OG0001531	El005G247120	XP_013651951.2, XP_013647521.1, XP_013719124.1, XP_013732096.1, XP_022575506.2, XP_013640150.1
OG0001532	El007G332620	XP_048624901.1, XP_048598939.1, XP_013737721.2, XP_013713703.2, XP_013683445.2
OG0001533	El001G020550	XP_013741247.2, XP_048596471.1, XP_013675238.1, XP_013722205.1, XP_048596977.1, XP_013675237.2, XP_048596976.1, XP_048620478.1
OG0001535	El002G140630	XP_022568009.2, XP_048594358.1
OG0001535	El005G249340	XP_022572110.2, XP_048608979.1, XP_013737753.1, XP_013640063.1, XP_013673124.2
OG0001536	El005G249680	XP_013749821.2, XP_013737778.2, XP_013722685.2, XP_022570955.2
OG0001536	El002G140150	XP_048607415.1, XP_048594376.1
OG0001537	El002G137650	XP_013742796.1, XP_013744872.1, XP_048636934.1, XP_013701860.1, XP_048628485.1, XP_013698486.1, XP_048628497.1
OG0001537	El005G252240	XP_013645018.1, XP_048602276.1
OG0001538	El005G253240	XP_013749598.1, XP_013749707.1
OG0001538	El002G136610	XP_013699616.1, XP_013640737.2, XP_013721397.2, XP_048636915.1, XP_013655537.2, XP_013724803.2
OG0001539	El005G268660	XP_013701269.1, XP_022561183.1
OG0001539	El005G268650	XP_048600002.1
OG0001541	El004G209940, El004G209860, El001G034880	XP_048609810.1, XP_013670038.2, XP_013746301.1, XP_013746302.2, XP_013751604.2, XP_013652052.3, XP_048616269.1
OG0001543	El006G314930, El004G214370, El004G205290, El004G205980	XP_022544829.1, XP_048607501.1, XP_022545823.2, XP_013723990.1
OG0001544	El003G172850	XP_013744132.1, XP_013736546.1
OG0001544	El003G172840	XP_013674640.2
OG0001545	El007G362640	XP_048623535.1
OG0001545	El007G363260	XP_048615608.1, XP_048603811.1
OG0001546	El006G291660, El006G291640	XP_013706999.2, XP_013748245.1, XP_013745106.1, XP_048611081.1, XP_013752213.1, XP_013702493.1, XP_013745105.2
OG0001547	El002G106930, El005G258480	XP_048633231.1, XP_022569371.1, XP_013652601.2, XP_048627856.1, XP_048629586.1, XP_048635324.1, XP_013652599.2, XP_013725023.2, XP_048596116.1, XP_022566980.1, XP_013673321.2
OG0001549	El005G279090	XP_013675957.1
OG0001549	El003G155420	XP_013656367.2, XP_013708842.2, XP_013734658.2, XP_013696098.1, XP_048619143.1, XP_013738232.1
OG0001550	El001G076200	XP_013715175.2
OG0001551	El003G151630	XP_013716606.2, XP_013704031.2, XP_013650191.2, XP_013670789.1
OG0001551	El006G316940	XP_048620979.1, XP_013664074.2, XP_048612347.1, XP_048633660.1
OG0001552	El003G150780	XP_048636362.1, XP_013666737.2, XP_013751317.1, XP_013703984.1
OG0001552	El006G315010	XP_022554929.2, XP_048631875.1, XP_013710316.1, XP_013660035.2
OG0001553	El004G200800	XP_013725331.2, XP_013677379.1
OG0001553	El002G093680	XP_048594224.1, XP_022563509.1, XP_048621342.1, XP_048597800.1, XP_013653104.1, XP_013645641.2
OG0001554	El002G094980	XP_022563220.2, XP_013710441.2
OG0001554	El004G198930	XP_013715381.1, XP_013687247.2, XP_048600835.1, XP_013671799.2
OG0001555	El008G369030, El002G096860	XP_013696882.2, XP_013711429.1, XP_013641223.2, XP_013693914.1
OG0001555	El001G039430	XP_013706558.2, XP_013644805.2, XP_013697394.2, XP_013727549.1
OG0001556	El006G293720	XP_013748874.2, XP_048634488.1, XP_013687608.1, XP_048611039.1
OG0001556	El001G040910	NP_001303038.1, XP_013644734.1, XP_013662312.1, XP_022560772.1, XP_048631547.1
OG0001557	El001G043580, El002G141060	XP_048610073.1, XP_048610609.1
OG0001558	El001G078110	XP_048623254.1, XP_013732903.3, XP_013721497.2, XP_013724575.2, XP_022554199.1
OG0001558	El005G245860	XP_013676533.2, XP_048609342.1
OG0001559	El007G345030	XP_013684034.2, XP_048631915.1, XP_048598675.1, XP_013719494.1
OG0001559	El003G160520	XP_013644232.2, XP_013741518.1, XP_048597452.1
OG0001560	El007G344730	XP_022571832.1, XP_022554959.1
OG0001560	El003G160440, El006G312040	XP_013671544.2, XP_013739129.2, XP_013644225.1, XP_013737996.2
OG0001561	El007G341020, El007G341040, El001G048180	XP_048598718.1, XP_013699664.2, XP_048598720.1, XP_048623951.1, XP_048598091.1, XP_048598719.1, XP_048598717.1, XP_048598090.1, XP_013654260.3, XP_013714367.2
OG0001562	El007G336070	XP_013674773.1, XP_013665774.1, XP_013714519.2, XP_013674721.1
OG0001562	El001G077430	XP_048598570.1, XP_013724373.2, XP_013680439.1
OG0001563	El001G060920	XP_013730560.1, XP_013682030.2, XP_013663194.1
OG0001563	El001G069150	XP_013668016.2, XP_013679359.2, XP_013676084.2
OG0001564	El006G293050, El006G293040	XP_013748337.2, XP_013692393.1, XP_013689033.2, XP_022554774.1
OG0001564	El002G104650	XP_048594042.1, XP_013727414.2, XP_022552919.1, XP_013741494.2
OG0001565	El001G073930	XP_022554274.1, XP_048624918.1, XP_048598473.1, XP_048593983.1, XP_048623142.1
OG0001565	El007G329660	XP_048603213.1, XP_048602842.1, XP_013736941.1, XP_013707111.1
OG0001566	El007G363400	XP_013714405.1, XP_013661858.1, XP_013681719.2, XP_013670727.1
OG0001566	El003G167050	XP_048627622.1, XP_048618918.1, XP_048632836.1, XP_013715998.2, XP_048607317.1
OG0001567	El002G122590	XP_048616343.1, XP_048594947.1, XP_048621699.1, XP_048593325.1, XP_013749251.2
OG0001567	El002G122580	XP_048612557.1, XP_013749250.3
OG0001568	El002G114490, El002G114500	XP_022555668.1, XP_013656916.1, XP_048619604.1, NP_001302718.1, XP_013656919.1
OG0001569	El006G297040	XP_013744896.2, XP_013692001.1
OG0001569	El002G115520	XP_013653154.2, XP_013672375.1, XP_013696611.1, XP_013662614.1, XP_013656891.2, XP_048606225.1
OG0001570	El001G031070	XP_013648296.1, XP_013703025.1, XP_048609668.1, XP_013742102.1
OG0001570	El002G117660	XP_013692852.1, XP_013712454.1
OG0001571	El005G274840	XP_013696737.1, XP_013661441.2, XP_013744343.2, XP_048590995.1
OG0001571	El003G146840	XP_048606851.1, XP_013656460.2, XP_022555760.2, XP_022572814.1, XP_048619340.1
OG0001572	El003G143740	XP_048627736.1, XP_048607663.1, XP_013656567.1, XP_013731599.2, XP_022550119.2
OG0001572	El006G319830	XP_013743618.2, XP_013725603.1, NP_001302743.1, XP_048621018.1
OG0001573	El003G143340	XP_048590862.1, XP_013705585.2, XP_013736055.1, XP_013660243.1, XP_013726725.1, XP_048630651.1, XP_013656557.2
OG0001573	El006G320130	XP_013671395.2, XP_022573851.2
OG0001574	El003G142630	XP_013692558.2, XP_013735666.1
OG0001574	El006G321090	XP_013708163.1, XP_013703579.1, XP_048631910.1, XP_048608786.1, XP_048629374.1
OG0001575	El006G321280	XP_013743524.1
OG0001575	El003G142420	XP_013644914.2, XP_013706335.1, XP_022566932.2, XP_013656679.2, XP_022560498.1
OG0001576	El003G188590	XP_013722729.2, XP_013743035.2, XP_048620516.1, XP_013662955.2, XP_013647747.2, XP_048616561.1
OG0001576	El003G188690	XP_048633377.1, XP_013722692.1
OG0001577	El003G189250	XP_013743079.2, XP_013728623.2
OG0001578	El006G299300	XP_048611659.1
OG0001579	El003G169820	XP_022562969.1, XP_013737311.1
OG0001579	El007G366700	XP_013719607.1, XP_013696873.2
OG0001581	El001G035140	XP_048634221.1, XP_022556542.1, XP_013708105.2, XP_013716611.2
OG0001581	El006G280170	XP_013734907.2, XP_048608692.1, XP_048596208.1, XP_013688592.1
OG0001582	El001G031570	XP_013700732.2, XP_048591613.1, XP_013659983.1
OG0001582	El006G284740	XP_022574261.1, XP_013725438.2
OG0001583	El006G286850	XP_013747778.2, XP_013727819.1
OG0001583	El003G152050, El001G029330	XP_013728384.1, XP_013672384.1, XP_013663548.2, XP_013735049.1, XP_013686153.1
OG0001584	El006G287340	XP_022562772.1, XP_013678356.1
OG0001585	El001G028680	XP_013732456.1, XP_013742182.1, XP_013703609.1, XP_013663336.2
OG0001585	El006G287860	XP_048610399.1, XP_013692567.2
OG0001587	El001G057410, El001G057440	XP_013733471.2, XP_013706628.1
OG0001587	El001G057430	XP_013713065.2, XP_013706629.1, XP_048602526.1
OG0001588	El001G016120	XP_013642576.1, XP_013671796.1
OG0001589	El007G327070	XP_013643546.2, XP_013642997.1, XP_048631231.1, XP_048602881.1, XP_013701318.2
OG0001589	El001G018310	XP_022569327.1, XP_013727069.1
OG0001590	El001G026380	XP_013647994.2, XP_048616769.1, XP_013721393.1, XP_013661798.2
OG0001590	El007G324310	XP_013643320.1, XP_013643208.1
OG0001591	El002G084650	XP_048621872.1, XP_048599298.1, XP_048613623.1
OG0001591	El001G003020	XP_048607032.1, XP_048632062.1, XP_048595173.1
OG0001592	El002G085070	XP_013697737.2, XP_013719326.2
OG0001592	El001G003540	XP_013676973.2, XP_048603908.1, XP_048629056.1, XP_048612507.1
OG0001593	El006G298520	XP_013682347.2, XP_013740486.1, XP_013670480.1, XP_022546670.2
OG0001593	El002G086480	XP_013660290.2, XP_013696076.2, XP_013666478.2
OG0001594	El002G087370	XP_013666558.2, XP_013696836.2
OG0001594	El006G299840	XP_048594298.1, XP_022557021.2
OG0001595	El005G237530	XP_048614214.1, XP_048636226.1, XP_013752006.2, XP_048636224.1
OG0001595	El005G237520	XP_013681880.2, XP_048601805.1, XP_048591616.1, XP_013681206.2
OG0001596	El001G062530	XP_013681838.1, XP_013729951.1, XP_013674678.2, XP_013728755.1, XP_013683134.2, XP_013687413.1
OG0001596	El005G238430	XP_013714669.2
OG0001597	El005G240950	XP_013684479.1, XP_013735928.2, XP_013696410.1, XP_022570330.1
OG0001598	El005G241470	XP_013740922.2, XP_013684457.1, XP_013732682.2, XP_048615364.1
OG0001598	El001G061620	XP_013667407.1, XP_013667467.1
OG0001599	El007G349470	XP_022543525.2, XP_048618154.1
OG0001599	El005G242930	XP_048632282.1, XP_013681012.1
OG0001600	El006G294200	XP_048628437.1, XP_013748422.1, XP_013692069.1, XP_013734358.1, XP_013644450.2, XP_048611032.1, XP_013687602.1
OG0001601	El002G101930	XP_013653863.1, XP_013687651.1, XP_013641748.2, XP_048614192.1
OG0001601	El004G225260	XP_013695448.1
OG0001602	El002G105990, El002G106000	XP_013642344.1, XP_013698435.1
OG0001603	El004G222300	XP_013649031.1, XP_013717463.2
OG0001603	El002G108580	XP_013696810.1, XP_013738226.1, XP_013730481.2, XP_013712327.1, XP_048618655.1, XP_022544522.2
OG0001604	El002G108650	XP_013653332.2, XP_013730520.1, XP_013711295.1, XP_048614927.1, XP_013738229.1
OG0001604	El004G222210	XP_048592080.1, XP_013702061.2
OG0001605	El002G108680	XP_013730502.2, XP_013712539.1, XP_022571081.1, XP_013717223.2
OG0001605	El004G222180	XP_048614981.1, XP_022551841.2, XP_022569958.2, XP_013702128.2
OG0001606	El006G318300	XP_013743670.1, XP_013743825.2
OG0001606	El006G318330	XP_013708063.1, XP_048597447.1
OG0001607	El002G096090	XP_013655225.3, XP_013675219.1, XP_013710114.2, XP_013695455.1, XP_048638186.1, XP_013742604.2
OG0001607	El004G196960	XP_048595655.1
OG0001609	El001G061390	XP_013682048.2, XP_048608902.1, XP_013742960.2, XP_013683483.2, XP_048599110.1
OG0001609	El002G085090	XP_013699051.2, XP_013664861.2
OG0001610	El001G077760	XP_022553719.2, XP_022549374.2, XP_013729435.2, XP_013678557.1, XP_022566225.1
OG0001610	El005G246000	XP_013750320.1, XP_013640202.2
OG0001611	El004G227830	XP_013649913.1, XP_013702512.1
OG0001611	El004G227840, El004G227860, El004G224500, El004G227850	XP_013702977.1
OG0001612	El005G249260	XP_013673237.1, XP_013673118.1, XP_048635861.1, XP_013668228.1, XP_048632363.1, XP_013684759.1
OG0001613	El002G138110	XP_048598758.1, XP_022560966.2, XP_022576215.1, XP_048606535.1, XP_048606537.1, XP_022546404.2
OG0001613	El005G251800	XP_013701811.2, XP_013696401.1, XP_048600889.1, XP_013644855.2
OG0001614	El002G135720	XP_013640762.1, XP_013685530.1
OG0001614	El005G259050	XP_048630324.1, XP_013698051.1, XP_013653676.2
OG0001615	El006G300720	XP_013652640.1, XP_022575875.2
OG0001615	El002G135690	XP_013723622.1, XP_022555957.1, XP_013714037.3, XP_013652139.2
OG0001616	El005G275000, El005G275020	XP_013744351.2, XP_022555448.2, XP_013733280.2, XP_013692949.1
OG0001616	El003G146780	XP_048601055.1, XP_013640335.2, XP_013643262.1, XP_022561136.2
OG0001617	El003G153600	XP_013667694.2, XP_013693946.2
OG0001618	El002G141370	XP_013649428.2, XP_013725267.2, XP_013733134.2
OG0001618	El005G248650	XP_013693745.1, XP_013648266.1
OG0001619	El001G023510	XP_022553263.2, XP_013750002.1, XP_022564677.1, XP_022546820.2
OG0001619	El006G294210	XP_013686202.2, XP_013752272.1, XP_048636548.1, XP_048611031.1, XP_013691652.1
OG0001621	El002G135250	XP_048605931.1
OG0001621	El007G333640	XP_013674895.2, XP_048637771.1, XP_013733414.1, XP_013659116.3, XP_013739700.3
OG0001621	El002G135340	XP_048606491.1
OG0001622	El002G109900, El002G110040, El002G110030, El002G110060, El002G110050, El002G097910, El002G097920, El001G080900	XP_013654521.1, XP_013654509.2, XP_013674319.1, XP_013657588.1
OG0001625	El006G287550	XP_013747402.2
OG0001627	El002G112980	XP_013662519.1, XP_013697211.2, XP_013721623.1, XP_022571338.2
OG0001628	El002G139180, El002G091430, El002G091440, El002G098070, El003G177000, El001G008900, El001G008920, El003G177010, El001G008890, El004G211860	XP_048608345.1
OG0001629	El001G039350	XP_013644803.1, XP_048626932.1, XP_013720632.1, XP_048627910.1, XP_022570171.1, XP_048602862.1
OG0001631	El004G218460	XP_013649275.1, XP_013702233.1, XP_013715906.1, XP_013674800.1, XP_048591870.1, XP_013733048.1
OG0001631	El002G112490	XP_022545944.1, XP_013723934.1, XP_013726897.1
OG0001633	El006G310370, El003G162990, El003G163010, El003G163000, El003G163020	XP_048593432.1, XP_013740439.1, XP_048596737.1
OG0001641	El055G375870	YP_717155.1
OG0001642	El005G272500	XP_022561496.1, XP_013706469.1, XP_013729270.2
OG0001642	El003G148720	XP_022572768.1, XP_013738412.2
OG0001643	El005G273860	XP_048632622.1, XP_048607124.1, XP_013655843.1
OG0001643	El003G147500	XP_013656158.2, XP_013670606.2, XP_048634879.1
OG0001644	El004G200500	XP_013718757.2, XP_013726632.1
OG0001644	El002G093790	XP_013645588.1
OG0001645	El001G039090	XP_013723167.2, XP_048625810.1, XP_013651452.2, XP_013720705.1, XP_048637186.1
OG0001646	El001G040790	XP_013677523.1, XP_013644740.2, XP_013706612.2
OG0001646	El002G096580	XP_013677834.2, XP_048622330.1, XP_048597741.1, XP_022564694.1
OG0001647	El003G192030	XP_048617155.1, XP_013647793.2, XP_013717092.2, XP_048612209.1
OG0001647	El001G041850	XP_013672558.1, XP_048591347.1, XP_048600679.1
OG0001648	El003G191800	XP_013703001.1, XP_013743322.1, XP_013687023.1, XP_013647791.2
OG0001648	El001G042110	XP_048625579.1, XP_048595253.1, XP_048618055.1, XP_022543608.2
OG0001649	El003G189790	XP_013651848.1, XP_013719104.1
OG0001649	El001G044260	XP_013691017.1, XP_013647451.1, XP_013690457.1, XP_013695240.1, XP_048631454.1, XP_013665664.1, XP_013675174.1
OG0001650	El001G046090	XP_013695910.1, XP_013659097.2, XP_048601163.1, XP_048618128.1, XP_013644473.2
OG0001650	El003G188560	XP_048633518.1, XP_048628792.1, XP_048612194.1
OG0001651	El003G158190	XP_048598321.1, XP_048600208.1
OG0001651	El007G335300	XP_013682767.2, XP_013732681.1, XP_048617322.1, XP_013725366.1, XP_013666996.1, XP_013729138.1
OG0001652	El005G244410	XP_022573346.2, XP_048606149.1, XP_048635992.1, XP_048627404.1, XP_048615283.1, XP_048612156.1, XP_048600763.1
OG0001652	El001G081160	XP_022568856.1
OG0001653	El005G245010	XP_048635983.1, XP_013750394.1, XP_013736035.1, XP_013684598.1, XP_013724045.2, XP_048600727.1
OG0001653	El001G010970	XP_013718360.1, XP_013744207.1
OG0001654	El001G079300	XP_013720256.1
OG0001654	El005G245100	XP_048635975.1, XP_013750407.1, XP_013736032.2, XP_022555187.1
OG0001655	El001G076760	XP_013737865.2, XP_013715698.2
OG0001655	El005G246540	XP_013684752.1, XP_013736129.1, XP_013750154.2, XP_022575541.2
OG0001656	El005G248200	XP_013731758.1, XP_013749940.1, XP_013733336.1, XP_013647107.1, XP_013697043.1, XP_013648219.1
OG0001656	El001G067780	XP_022564867.1, XP_013667883.1
OG0001657	El003G157340	XP_048600234.1, XP_048598589.1, XP_013725708.1, XP_013710585.2, XP_013706480.1, XP_013738132.2
OG0001657	El007G337420	XP_013666729.2, XP_048598793.1
OG0001658	El007G337070	XP_022566090.1, XP_013666827.1, XP_022568508.1, XP_013642298.1, XP_048607358.1, XP_013717116.1
OG0001658	El003G157490	XP_013705975.2, XP_013741558.3
