Orthogroup	Erysimum_linariifolium	Arabidopsis_lyrata_Rawat
OG0003059	El006G296000	AL4G31110
OG0003059	El007G361920	AL8G14540, AL8G14590
OG0003060	El001G005080	AL6G48420
OG0003061	El007G366560	AL8G10580
OG0003062	El003G182720	AL7G44180
OG0003062	El005G271300	AL3G43960
OG0003063	El005G268140	AL3G40290
OG0003063	El003G178200	AL9U10770
OG0003064	El005G264760, El003G175160	AL3G37970, AL7G41900
OG0003065	El003G173290	AL7G40360
OG0003065	El005G260370	AL3G36040, AL3G36060
OG0003066	El004G195180	AL2G11230
OG0003067	El006G283040	AL4G44520
OG0003067	El001G032660	AL5G43110
OG0003068	El001G031390	AL5G41840
OG0003069	El006G287950	AL4G39500
OG0003070	El001G011840	AL5G21380
OG0003070	El001G059170	AL6G32430
OG0003071	El001G014080	AL5G23750
OG0003071	El007G330260	AL8G37270
OG0003072	El007G330680	AL8G36860
OG0003073	El005G240810	AL3G16550
OG0003073	El001G050930	AL6G38670
OG0003074	El001G019670	AL5G29710
OG0003075	El007G324080	AL8G43630
OG0003075	El001G019740	AL5G29800, AL8G14300
OG0003076	El007G323120	AL8G44520
OG0003076	El001G020560	AL5G30640
OG0003077	El003G160610	AL7G29100
OG0003077	El003G146160	nbis-gene-1712
OG0003078	El007G322150	AL8G45450
OG0003078	El001G021500	AL5G31670
OG0003079	El001G000770	AL6G52780
OG0003079	El002G082980	AL1G10590
OG0003080	El006G300740	AL4G26890
OG0003080	El002G088130	AL1G15760
OG0003081	El007G329410	AL8G38090
OG0003081	El006G302100	AL4G25440
OG0003082	El006G302170	AL4G25370
OG0003083	El002G089800	AL1G17450
OG0003084	El006G306330, El006G306320	AL4G22590, AL4G22580
OG0003085	El006G307320	AL4G21200
OG0003085	El006G307330	AL4G21190
OG0003086	El001G067690	AL6G24580
OG0003087	El005G237540	AL3G12860
OG0003087	El001G063660	AL6G28390
OG0003089	El005G240680	AL88U10040, AL3G16400
OG0003089	El001G050720	AL6G38910
OG0003090	El001G061560, El001G061550	AL6G30310
OG0003090	El005G241420, El005G241430	AL3G17120
OG0003091	El001G022040	AL5G32230
OG0003093	El004G234240	AL2G41220
OG0003093	El002G099580	AL1G27610
OG0003094	El002G101130	AL7G51010
OG0003094	El004G231890	AL2G38910
OG0003095	El002G101380	AL1G29520
OG0003095	El007G343840	AL8G24650
OG0003096	El007G356950	AL8G18810, AL8G18840
OG0003097	El002G109700	AL3G41520, AL1G38260
OG0003097	El004G221370	AL2G29230
OG0003098	El002G098870	AL1G32130, AL1G26840
OG0003100	El006G302200	AL4G25340
OG0003100	El002G089260	AL1G16910
OG0003101	El001G066610	AL6G25670
OG0003101	El005G235630	AL3G10750
OG0003102	El001G067830	AL6G24450
OG0003103	El007G329350	AL8G38150
OG0003103	El001G074130	AL6G18000
OG0003104	El005G265710	AL8G38490
OG0003105	El001G017420	AL5G27220
OG0003105	El001G017430	AL5G27230
OG0003106	El007G322320	AL8G45250
OG0003106	El001G021440	AL5G31600
OG0003107	El007G328280	AL8G39240
OG0003107	El001G016790	AL5G26680
OG0003108	El001G011780, El004G194940	AL5G21290
OG0003108	El001G059220	AL6G32350
OG0003109	El004G212780, El004G225430, El004G225440, El004G201540	AL2G33060
OG0003110	El004G233200	AL2G40300
OG0003110	El002G141550	AL1G64590
OG0003111	El005G249350	AL3G25280
OG0003112	El005G243440	AL3G19360
OG0003112	El005G249470	AL3G25440
OG0003113	El005G252500	AL3G28490
OG0003113	El005G252490	AL3G28480
OG0003114	El005G256680	AL3G32660
OG0003115	El002G136030	AL1G59560
OG0003116	El005G265020	AL3G38190
OG0003117	El005G268250	AL3G40560
OG0003117	El003G178310	AL9U10840
OG0003118	El001G002330	AL6G51200
OG0003119	El005G273670	AL3G52600
OG0003120	El005G273720	AL3G52690
OG0003120	El003G147710	AL7G16490
OG0003121	El005G249990	AL3G26080
OG0003121	El002G139970	AL1G63040
OG0003122	El006G296350	AL4G30800
OG0003122	El002G117340, El002G117320	AL1G44730
OG0003123	El001G024170	AL5G34460
OG0003124	El001G024760	AL5G35070
OG0003125	El005G254010	AL3G30120
OG0003126	El006G290660	nbis-gene-1120, AL5G26040
OG0003127	El004G195910	AL2G11670
OG0003128	El004G203100, El004G203250, El004G203200	AL1G65650
OG0003128	El004G201910	AL2G17070
OG0003129	El003G166090, El001G058340	AL6G33140
OG0003130	El005G243300, El007G343200	AL3G19220, AL3G26240, AL286U10020
OG0003131	El006G304810	AL2G19060, AL7G49440, AL9U11180
OG0003133	El007G355480	AL1G62490
OG0003135	El028G373680	AL2G20670
OG0003139	El003G153880, El003G153450	AL7G22940
OG0003141	El003G148100	AL7G16900
OG0003141	El005G273410	AL3G52140
OG0003142	El003G147000	AL7G15890
OG0003142	El005G274630	AL3G50040
OG0003143	El006G295260	AL4G31840
OG0003143	El003G171140	AL7G38480
OG0003144	El002G093920	AL1G21790
OG0003144	El004G200640	AL2G15960
OG0003145	El002G093940	AL1G21810
OG0003145	El004G200360	AL2G15660
OG0003146	El001G037280	AL5G11490
OG0003147	El003G192100	AL5G22130, AL7G48540
OG0003147	El001G041670	AL5G16050
OG0003150	El001G045030	AL5G19090
OG0003150	El003G189230	nbis-gene-1943
OG0003151	El003G184140	AL7G45160
OG0003152	El004G194660	AL2G10820
OG0003152	El003G193130	AL7G47710
OG0003153	El004G194670	AL2G10830
OG0003153	El003G193110	AL7G47740
OG0003154	El004G195930	AL2G11720
OG0003155	El001G077440	AL6G14640
OG0003157	El007G336960	AL8G30810
OG0003157	El003G157610	AL7G26110
OG0003158	El001G071880	AL6G20630, AL6G20600
OG0003159	El003G165430	AL7G46100, AL7G33510
OG0003160	El007G357720	AL8G18200
OG0003160	El002G113250	AL1G41170
OG0003161	El004G212140, El004G212330	AL2G20220
OG0003162	El004G215020, El004G214990	AL2G23560
OG0003163	El001G005250	AL6G48230
OG0003163	El003G163900	nbis-gene-1804, AL3G50460
OG0003164	El003G177750	AL9U10300
OG0003165	El004G216330, El004G232260	AL2G39260
OG0003166	El006G282170	AL4G45170
OG0003166	El001G033390	AL5G43710
OG0003167	El006G282910	AL4G44690, AL4G44680
OG0003168	El005G244060, El005G244050	AL3G19950, AL3G19960
OG0003169	El005G244760	AL3G20770
OG0003169	El001G080200	AL6G11980
OG0003170	El001G019990	AL5G29930
OG0003170	El007G323860	AL8G43800
OG0003171	El001G001650	AL6G51930
OG0003172	El001G001720	AL6G51790
OG0003173	El001G003530	AL6G50080
OG0003174	El001G004040	AL6G49580
OG0003174	El002G085350	AL1G13030
OG0003175	El002G086940	AL1G14580
OG0003175	El006G299310	AL4G28230
OG0003176	El006G299180	AL4G28370, AL4G28380
OG0003177	El006G303460	AL4G24050
OG0003177	El006G303440, El006G303450	AL4G24030
OG0003178	El005G235040	AL3G10200
OG0003178	El001G067440	AL6G24790
OG0003179	El005G234940	AL3G10080
OG0003179	El001G067540	AL6G24720
OG0003180	El001G047710	AL6G40700
OG0003180	El005G239390	AL3G14750
OG0003181	El005G240450	AL3G16140
OG0003182	El005G244040	AL3G19940
OG0003182	El001G081740	AL6G10520
OG0003183	El006G290810	AL100U10010, AL4G36520
OG0003184	El006G294750, El006G294760	AL4G32190
OG0003185	El006G292030, El006G292020	AL4G35210, AL4G35220
OG0003186	El002G102670	AL1G30940
OG0003187	El004G228780	AL2G36010
OG0003187	El002G104540	AL1G33040
OG0003188	El002G105040	AL1G33670
OG0003189	El002G105060	AL1G33690
OG0003189	El002G106680, El002G105070	AL1G33700
OG0003190	El004G230610	AL2G37750
OG0003190	El002G106260	AL1G34970
OG0003191	El004G229630	AL2G36830
OG0003191	El004G229640	AL2G36840
OG0003192	El001G050850	AL6G38710
OG0003193	El004G217770	AL2G26200
OG0003193	El002G112780	AL1G40590
OG0003194	El003G151930	AL7G21060
OG0003194	El006G317120	AL4G14650
OG0003195	El006G320170	AL4G11490
OG0003195	El006G320520	AL4G11110
OG0003196	El002G099050	AL1G27040
OG0003196	El001G036330	AL5G10460
OG0003197	El004G197310, El004G197880	AL2G12840
OG0003197	El002G095870	AL1G23730
OG0003198	El002G091680	AL1G19360
OG0003199	El005G272400	AL3G46460
OG0003199	El005G272420	AL3G46470
OG0003200	El002G091160	AL1G18850
OG0003200	El007G360920	AL1G18840
OG0003201	El002G086770	AL1G14420
OG0003201	El002G093250	AL1G21030
OG0003202	El002G085750, El007G345270	AL1G13510
OG0003203	El001G048650	AL6G40360
OG0003204	El001G078070	AL6G14090
OG0003205	El001G003230	AL6G50390
OG0003206	El001G052960	AL6G37090
OG0003207	El007G330090	AL3G41380, AL3G41390, AL269U10020, AL3G41370, AL269U10030, AL269U10040, AL269U10050, AL215U10060, AL269U10010, AL3G41400, AL8G37440
OG0003208	El004G229760	AL2G36920
OG0003209	El005G250520	AL3G26550
OG0003210	El005G277240	nbis-gene-730
OG0003211	El001G048400, El005G251850	AL3G27790
OG0003212	El005G252550, El005G252540	AL3G28520
OG0003213	El002G120520, El005G252910	AL3G28860
OG0003214	El005G255070	AL3G31180
OG0003214	El002G132300	AL1G55260
OG0003215	El005G255900	AL3G31900
OG0003216	El005G276360	AL3G51400, AL3G51410
OG0003216	El005G276380, El005G276370, El005G276430	AL3G51420
OG0003217	El003G155470	AL7G24150
OG0003218	El002G138080	AL1G61420
OG0003218	El002G138090	AL1G61430
OG0003219	El002G135920	AL1G59430
OG0003219	El005G259120	AL3G35060
OG0003220	El005G257110	AL3G33020
OG0003220	El002G134130	AL1G57460
OG0003222	El001G025880	AL5G36110
OG0003222	El001G025890	AL5G36120
OG0003223	El006G314160	AL4G17080
OG0003223	El003G150380	AL7G19280
OG0003224	El001G027230	AL5G37240
OG0003225	El001G027450	AL5G37470
OG0003226	El006G285020	AL4G42670
OG0003227	El004G216020, El004G216040, El004G216050, El004G216060	AL2G24620
OG0003229	El005G273060, El004G227160	AL8G11360, AL3G52300
OG0003230	El007G366320	AL8G10930
OG0003232	El001G055080, El001G054780, El001G058380	AL8G43360, AL8G21440, AL8G41820
OG0003233	El001G045690	AL5G17400
OG0003233	El003G142720	AL7G11220
OG0003234	El006G306160	AL4G22440
OG0003235	El002G096750	AL1G24810
OG0003235	El002G096760	AL1G24830
OG0003236	El002G103610	AL1G31910
OG0003238	El005G249660	AL3G25670
OG0003239	El001G005320	AL6G51310, AL6G51290, AL6G51270
OG0003241	El004G212710	AL2G24250, AL2G29620
OG0003247	El006G317700	AL4G14070
OG0003248	El003G152300	AL7G21440
OG0003248	El006G317670	AL4G14100
OG0003249	El003G150710	AL7G19730
OG0003249	El006G314910	AL4G16690
OG0003250	El003G150430	AL7G19430
OG0003250	El006G314370	AL4G16980
OG0003251	El003G173280	AL7G40350
OG0003251	El003G173270	AL7G40310
OG0003252	El003G148910	AL7G17740
OG0003253	El007G360150	AL8G15900, AL8G15910
OG0003254	El006G287240	nbis-gene-1143
OG0003255	El002G118250	AL1G49280
OG0003255	El002G093130	AL1G20850
OG0003256	El002G096880	AL1G24920
OG0003256	El001G039590	AL5G14210
OG0003258	El003G187900	AL7G51640
OG0003259	El004G218360	AL2G13320
OG0003259	El004G197920	AL2G13310
OG0003259	El004G197910	AL2G13300
OG0003260	El001G027340, El005G270390	AL5G37330
OG0003261	El007G340070	AL8G27730
OG0003262	El007G338940	AL8G28720
OG0003262	El003G156720	AL7G25300
OG0003263	El003G157390	AL7G25880
OG0003263	El007G337350	AL8G30440
OG0003264	El001G070380	AL6G21940
OG0003264	El001G052900	AL6G37140
OG0003265	El001G071200	AL6G21260
OG0003266	El001G056740	AL6G34580
OG0003266	El001G073450	AL6G18770
OG0003267	El001G073620	AL6G18570
OG0003268	El003G167660, El003G167730	AL7G35560
OG0003268	El003G167720	AL7G35570
OG0003269	El001G006020	AL6G47510
OG0003270	El002G124810, El002G124800	AL1G50680, AL1G50640
OG0003271	El002G113680	AL1G41570
OG0003273	El002G117290	AL1G44690
OG0003274	El005G274800	nbis-gene-890
OG0003275	El005G275140	AL3G50590
OG0003275	El003G146630	AL7G15520
OG0003276	El005G276320	AL3G51370
OG0003277	El005G276670	AL3G51610
OG0003278	El006G321500	AL4G10290
OG0003278	El003G142220	AL7G10660
OG0003279	El003G142210	AL7G10640
OG0003280	El006G295500	AL4G31640
OG0003280	El002G118930	AL1G45830
OG0003281	El007G363550	AL8G13280
OG0003281	El007G363610	AL8G13230
OG0003282	El005G270150	AL3G42800
OG0003283	El003G178620, El003G180760	AL9U11040
OG0003283	El005G268430	AL2G22880, AL2G24350, AL3G40740
OG0003284	El003G176730	AL7G42790
OG0003285	El003G176660	AL7G42740
OG0003286	El003G174450	AL7G41230
OG0003286	El005G261960, El005G261900, El006G317080	AL3G37140
OG0003287	El003G174150	AL7G40970
OG0003287	El005G261350	AL3G36770
OG0003288	El007G343180	AL8G25140
OG0003288	El006G280280	AL4G47080
OG0003289	El006G284950	AL4G42730
OG0003292	El001G057570	AL6G47720, AL6G33770, AL6G33800
OG0003293	El007G327220	AL8G40430
OG0003294	El007G325720	AL8G42110
OG0003294	El001G072230	AL6G20240
OG0003295	El001G019580	AL5G29520
OG0003295	El007G324370	AL8G43410
OG0003296	El007G322620	AL8G23360
OG0003297	El001G021210	AL5G31360
OG0003297	El007G322450	AL8G45120
OG0003298	El007G360110	AL8G15960
OG0003298	El002G085820	AL1G13570
OG0003299	El006G299570	AL4G27980
OG0003299	El002G087220	AL1G14830
OG0003300	El002G089660	AL1G17300
OG0003300	El006G302900	AL4G24750
OG0003301	El006G308130, El006G308110	AL4G20820, AL4G20790
OG0003302	El006G311830	AL4G19200
OG0003302	El003G149440	AL7G18330
OG0003303	El001G067560	AL6G24700
OG0003304	El001G082170	AL6G10160
OG0003305	El001G064070	AL6G27890
OG0003306	El005G239600	AL3G14990
OG0003307	El001G049210	AL6G39750
OG0003307	El005G239990	AL3G15500
OG0003308	El005G242910	AL3G18940
OG0003308	El007G349280	nbis-gene-2057
OG0003309	El007G349210, El003G159410	AL7G27940
OG0003310	El002G101120	AL1G29220, AL7G51000
OG0003310	El004G231910	AL2G38940
OG0003311	El007G358180	AL1G29410, nbis-gene-265
OG0003312	El004G225750	AL2G33260
OG0003312	El002G102490	AL1G30770
OG0003313	El004G226000	AL2G33420, AL1G30570
OG0003314	El004G227300	AL2G34640
OG0003314	El002G103100	AL1G31480
OG0003315	El004G229830	AL2G36990
OG0003315	El002G105550	AL1G34250
OG0003316	El001G045000, El002G107210, El002G107230	AL1G35730
OG0003317	El002G107700	AL1G36120
OG0003318	El002G108610, El002G108600	AL1G37060, AL1G31870
OG0003319	El002G110790	AL1G38710
OG0003319	El002G110240, El002G110780	AL2G28840
OG0003320	El002G112390	AL5G19970, AL5G19960, AL4G18740, AL5G11470, AL1G40150
OG0003321	El006G315270	AL4G16490
OG0003321	El003G150870	AL7G19890
OG0003322	El002G095000	AL1G22820
OG0003324	El005G235890	AL3G10980
OG0003324	El001G066340	AL6G25960
OG0003325	El001G049040	AL6G39870
OG0003326	El001G075170	AL6G16820
OG0003327	El001G076510	AL6G15630
OG0003328	El001G056040	AL6G35310
OG0003330	El004G221130	AL2G29140
OG0003330	El002G110070	AL1G38460
OG0003331	El004G230800	AL2G37920
OG0003332	El002G103760	AL1G32220
OG0003332	El004G227770	AL2G35150
OG0003333	El004G226310	AL2G33730
OG0003333	El002G102580	AL1G30840
OG0003334	El004G232250	AL2G39250
OG0003334	El004G232240	AL2G39240
OG0003335	El004G232300	AL2G39310
OG0003335	El002G100810	AL1G28990
OG0003336	El005G249240	AL3G25110, AL3G25120
OG0003337	El005G254040	AL3G30160
OG0003338	El005G261040	AL3G36430
OG0003338	El003G174020	AL7G40810
OG0003339	El002G138400	AL1G61660
OG0003339	El005G251410	AL3G27340
OG0003340	El001G028800	AL5G38900
OG0003341	El007G357950, El007G357940, El001G029610	AL5G39760
OG0003342	El001G030300	AL5G40420
OG0003343	El001G034400, El003G187850	AL5G44840
OG0003344	El003G192710	nbis-gene-1919
OG0003344	El003G192690	nbis-gene-1920
OG0003344	El002G136540, El002G136530	nbis-gene-289
OG0003346	El001G032650	AL5G43100
OG0003347	El001G023680	AL5G33960
OG0003351	El003G162880	AL7G30950
OG0003352	El001G064800	AL6G27230
OG0003355	El004G212230, El004G212370, El004G212060, El004G212130, El001G080590, El004G212110, El004G212040	AL2G20010
OG0003356	El005G245980	AL3G22040
OG0003356	El007G342110	AL3G22050
OG0003359	El003G150750	AL7G19810
OG0003360	El003G150530	AL7G19510
OG0003361	El036G374370	AL9U11960
OG0003362	El003G148830	AL7G17650
OG0003363	El003G148180	AL7G16980
OG0003363	El005G272520	AL3G46700
OG0003364	El003G147540	AL7G16310
OG0003364	El001G002690	AL6G50970
OG0003365	El003G148920	AL746U10010, AL7G17750
OG0003366	El003G170010	AL7G37630
OG0003366	El006G295910	AL4G31190
OG0003367	El001G037090	AL98U10010, AL5G11280
OG0003367	El002G098600	AL1G26560
OG0003368	El001G038000, El007G354790, El007G355260, El007G355020	AL5G12570
OG0003368	El001G000920	AL6G52060
OG0003369	El001G038860	AL5G13510
OG0003369	El003G190060, El003G190110, El003G190130	AL7G50160
OG0003370	El001G039920	AL5G14460
OG0003371	El001G042520	AL5G16990
OG0003372	El001G044520	nbis-gene-1251
OG0003373	El003G186260	AL7G46700
OG0003373	El004G215720	AL2G24290
OG0003374	El004G211560	AL2G19600
OG0003374	El003G156520	AL7G25090
OG0003375	El004G195510	AL2G11340
OG0003376	El003G158550	AL7G27110
OG0003377	El007G334840	AL8G32920
OG0003377	El003G173480	AL4G43060, AL4G43050
OG0003378	El003G160360, El003G183370	AL7G28830
OG0003379	El007G336930	AL8G30840
OG0003379	El003G157630	AL7G26130
OG0003380	El007G333790	AL8G33840
OG0003381	El003G155880	AL7G24520
OG0003382	El007G325270	AL8G42510
OG0003382	El001G071760	AL6G20740
OG0003383	El007G329420	AL8G38080
OG0003384	El003G167200	AL7G35100
OG0003384	El003G167380	AL7G35260
OG0003385	El007G361040	AL8G15320
OG0003385	El003G165370	AL7G33430
OG0003387	El002G120970	AL1G47650
OG0003387	El001G008960	AL6G44290
OG0003388	El001G047160	AL5G22900
OG0003389	El006G297770	AL4G29920
OG0003389	El002G114710	AL1G42740
OG0003390	El002G116720	AL1G44340
OG0003390	El002G116730	AL1G44360
OG0003391	El003G145500	AL7G14320
OG0003392	El003G143870	AL7G12540
OG0003392	El006G319680	AL4G12050
OG0003393	El003G143790	AL7G12460
OG0003393	El006G319740, El006G319770	AL4G11980
OG0003394	El001G058000	AL6G33500
OG0003394	El003G185220	AL7G45920
OG0003395	El003G165490	AL7G33140, AL7G33560
OG0003396	El001G007660	AL6G45720, AL6G45710
OG0003397	El003G167140	AL7G35060
OG0003397	El007G363700	AL8G13120
OG0003398	El005G268910	AL3G41250
OG0003398	El003G179280	AL9U11420
OG0003399	El003G176670	AL7G42750
OG0003400	El003G176190	AL7G42580
OG0003400	El003G176230	AL7G42610
OG0003401	El003G174500	AL7G41280
OG0003402	El003G173010	AL7G40150
OG0003403	El001G035240	AL5G45730
OG0003403	El006G279940	AL39U10030, AL4G47450
OG0003404	El006G280630	AL4G46800
OG0003404	El006G280640	AL4G46790
OG0003405	El001G031410	AL5G41860
OG0003406	El001G039010	AL5G13670
OG0003407	El001G082030	AL6G10260
OG0003407	El005G243930	AL3G19840
OG0003408	El007G324180	nbis-gene-2213, nbis-gene-632
OG0003409	El007G323750	AL8G43920
OG0003409	El001G020040	AL5G29990
OG0003410	El001G000990	AL6G52110
OG0003410	El002G083300	AL1G10890
OG0003411	El001G003050	AL6G50530
OG0003412	El006G299760	AL4G27840
OG0003412	El002G087290	AL1G14910
OG0003413	El006G302090	AL4G25450
OG0003414	El006G303120	AL4G24480
OG0003414	El001G076520	AL1G51360, AL6G15610
OG0003415	El005G235410	AL3G10550
OG0003416	El001G065100	AL6G27120
OG0003416	El005G236850	AL3G11990
OG0003417	El005G240070	AL6G40880, AL3G15610, AL6G39600
OG0003418	El005G240170	AL3G15720
OG0003418	El001G049520	AL6G39520
OG0003419	El005G241390	AL3G17070
OG0003419	El001G061510	AL6G30330
OG0003421	El004G216690	AL2G25230
OG0003421	El006G294390	AL4G32540
OG0003422	El006G293120	AL4G33730
OG0003422	El001G024140	AL5G34430
OG0003423	El006G292460	AL4G34750, AL4G34730, AL68U10030, AL4G34760, AL4G34780, AL68U10040
OG0003424	El006G291570	AL4G35890
OG0003424	El001G024900	AL5G35220
OG0003425	El002G099540	AL1G27580
OG0003426	El007G343830	AL8G24660
OG0003426	El002G101390	AL1G29530
OG0003427	El002G105280	AL1G33940
OG0003427	El005G244780	AL3G20830
OG0003428	El002G105510	AL1G34200
OG0003428	El001G012130	nbis-gene-1282
OG0003429	El002G105530	AL1G34230
OG0003429	El004G229810	AL2G36970
OG0003430	El002G109630	AL1G38020
OG0003430	El004G221470	AL2G29300
OG0003431	El002G110280	AL1G38750
OG0003432	El002G112120	AL1G39940
OG0003433	El006G315810	AL4G16210
OG0003434	El006G318780	AL4G13080
OG0003435	El007G335520	nbis-gene-2153
OG0003435	El002G083140	AL1G10740
OG0003436	El002G092320	AL1G20040
OG0003437	El003G148670, El004G230620	AL2G37760
OG0003438	El005G235730	AL3G10880
OG0003438	El001G066520	AL6G25760
OG0003439	El001G063430	AL6G28600
OG0003439	El005G237790	AL3G13140
OG0003440	El001G062840	AL6G29010
OG0003441	El007G328520, El007G328510	AL8G39000
OG0003442	El007G327750	AL8G39880
OG0003442	El001G017570, El001G017600	AL5G27380
OG0003443	El001G055890	AL6G35410
OG0003444	El001G017620	AL5G27420, AL5G27410
OG0003445	El001G057260	AL6G34090
OG0003445	El001G013830	AL5G23460
OG0003446	El002G108310	AL1G36620
OG0003447	El004G224100	AL2G31840
OG0003448	El004G232960	AL2G40060
OG0003448	El002G100350	AL1G28480
OG0003449	El005G248630	AL3G24510
OG0003450	El002G140380	AL1G63420
OG0003450	El005G249440	AL3G25410
OG0003451	El005G254630	AL3G30840, AL3G30820
OG0003452	El005G255170	AL3G31240
OG0003452	El005G255160	AL3G31230
OG0003453	El005G255330, El005G255340	AL3G31360
OG0003454	El005G272890	AL3G47210, AL3G47200
OG0003455	El003G147810	AL7G16600
OG0003455	El005G273630	AL3G52540
OG0003456	El002G137880	AL1G61250
OG0003456	El005G279420	AL3G53880
OG0003457	El001G025860	AL5G36090
OG0003457	El006G290770	AL4G36540
OG0003458	El007G344080, El001G032230	AL5G42770
OG0003459	El002G140170	AL1G63250
OG0003461	El004G202110, El004G202100	AL2G17000
OG0003464	El005G240710	AL3G16430
OG0003465	El002G120780	AL1G45750
OG0003465	El002G118880, El004G212120, El004G212050	AL1G45780
OG0003466	El001G073940, El001G073950	AL6G18200
OG0003467	El007G335140	AL8G32310
OG0003467	El007G335120	AL8G32650
OG0003481	El003G153340	AL7G22410
OG0003482	El005G277170	AL3G53200
OG0003483	El002G130270	AL1G53870
OG0003483	El003G151890	AL7G21020
OG0003484	El003G150440	AL7G19440
OG0003484	El006G314380	AL4G16970
OG0003485	El003G149090	AL7G17940
OG0003486	El004G219760	AL2G27820
OG0003487	El002G091490	AL1G19170
OG0003488	El004G205160, El004G205130	AL2G18530
OG0003488	El004G205190, El004G205180	AL2G18630, AL2G18540
OG0003489	El004G201470	AL2G16650
OG0003489	El002G093520	AL1G21350
OG0003490	El002G094190	AL1G22110
OG0003491	El001G042430	AL5G16870
OG0003491	El003G191540	AL7G49260
OG0003492	El004G214550, El003G185040	AL2G23110
OG0003493	El005G245210	AL3G21250
OG0003493	El005G245190	AL3G21240
OG0003494	El007G345070	AL8G23630
OG0003494	El002G098480	AL1G26390
OG0003495	El007G342800	AL8G25540, AL8G25530
OG0003496	El007G340720	AL8G27260
OG0003497	El007G334410, El003G158560	AL7G27120
OG0003498	El001G070470	AL6G21830
OG0003499	El001G072390	AL6G20070
OG0003500	El001G072720	AL6G19740
OG0003500	El007G326420	AL8G41330
OG0003501	El005G257310	AL3G33220
OG0003502	El003G164270	AL7G32340
OG0003503	El003G161530	AL7G29850, AL6G43360
OG0003504	El002G122210	AL1G48460
OG0003505	El001G010410	AL1G49950, AL6G41460
OG0003506	El006G296320	AL4G30860
OG0003506	El002G117280	AL1G44680
OG0003507	El002G117390	AL1G44780
OG0003508	El005G275150	AL3G50600
OG0003508	El003G146620	nbis-gene-1713
OG0003509	El003G145910	AL7G14780
OG0003510	El006G318720	AL4G13170
OG0003510	El003G144870	AL7G13570
OG0003511	El003G186510	AL7G53030
OG0003512	El007G358060	AL8G17810
OG0003512	El002G128740	AL1G52820
OG0003513	El001G004740	AL6G48790
OG0003514	El002G130760, El002G130710, El002G130700	AL1G54120, AL1G54150, AL1G54190
OG0003514	El003G184850, El007G364920	AL8G12110
OG0003515	El007G366240	AL8G11080
OG0003515	El005G271220, El003G169910	AL7G37540
OG0003517	El003G179740, El003G179730	AL9U11820, AL9U11880
OG0003519	El003G177320	AL5G12300, AL5G12040, AL7G43090
OG0003519	El005G267380	AL3G39700
OG0003520	El005G264720, El002G114090	AL3G37950
OG0003520	El003G175140	AL7G41870
OG0003521	El003G192020	AL7G48690
OG0003523	El001G029650	AL5G39790
OG0003524	El001G018410	AL5G28210
OG0003524	El007G326980	AL8G40650
OG0003525	El007G324940	AL8G42830
OG0003525	El001G071640	AL6G20850
OG0003526	El007G324280	AL8G43500
OG0003526	El001G019590	nbis-gene-1334
OG0003527	El007G323360	AL8G44260
OG0003527	El007G349270	AL74U10010, AL6G41180, AL8G22110, AL8G20700
OG0003528	El006G302530	AL4G25040
OG0003529	El003G157350	AL7G25840
OG0003529	El007G337400	AL8G30390
OG0003530	El001G065360	AL6G26850
OG0003530	El005G236650	AL3G11810
OG0003531	El005G241110	AL3G16830
OG0003531	El001G061060	AL6G30790
OG0003532	El005G242220	AL3G18110
OG0003532	El007G346820	AL8G22210
OG0003533	El004G199700	AL2G15030
OG0003534	El001G025870	AL5G36100
OG0003534	El006G290740	AL4G36560
OG0003535	El006G294190, El007G348640	AL4G32720
OG0003536	El002G101140	AL1G29230
OG0003537	El004G225820	AL2G33320
OG0003537	El002G102370	AL1G30630
OG0003538	El002G103190	AL1G31510
OG0003539	El004G223850	AL2G31610
OG0003539	El002G107760	AL1G36180
OG0003540	El002G108490	AL1G36860
OG0003540	El004G222400	AL2G30170
OG0003541	El002G109160	AL1G37510
OG0003541	El004G221900	AL2G29680
OG0003542	El004G218770	AL2G26770
OG0003543	El002G112600	AL1G40440
OG0003544	El007G352480, El007G352430	AL7G45710
OG0003545	El006G306630, El001G049690	AL6G39390
OG0003546	El006G300360	AL80U10030, AL4G27260
OG0003546	El002G087790	AL1G15450
OG0003547	El001G063640	AL6G28400
OG0003548	El001G061640	AL6G30220
OG0003549	El005G241900	AL3G17710
OG0003549	El007G345420	AL8G23200
OG0003550	El007G347660	AL8G21720
OG0003550	El005G242460	AL3G18450
OG0003551	El001G055020, El001G054950, El001G054830	AL6G36260
OG0003552	El001G017500	AL5G27310
OG0003553	El007G327590	AL3G51100
OG0003553	El004G204620	AL8G40050
OG0003554	El001G020830	AL5G30890
OG0003555	El001G018300	AL5G28090
OG0003556	El002G108100	AL1G36480
OG0003556	El004G223140	AL2G30840
OG0003557	El004G226080	AL2G33500
OG0003558	El004G232340	AL2G39350
OG0003559	El002G100330	AL1G28460
OG0003560	El002G139250	AL1G62330
OG0003560	El005G250730	AL3G26780
OG0003561	El005G251200	AL3G27160
OG0003562	El003G171700	AL7G39100
OG0003562	El005G253640	AL3G29790
OG0003563	El002G133370	AL1G56550, AL1G56520
OG0003563	El005G256290	AL3G32270
OG0003564	El005G259450	AL3G35370
OG0003564	El002G136330	AL1G59770
OG0003565	El003G175720	AL7G42230
OG0003565	El005G265530, El005G265450	AL3G38530
OG0003567	El005G277100, El006G312470	AL3G52080
