Orthogroup	Erysimum_linariifolium	Camelina_sativa
OG0001901	El001G034900	XP_010413253.1, XP_010468928.1, XP_010512665.1
OG0001902	El001G034370	XP_019093081.1
OG0001902	El006G280920	XP_010506718.1, XP_019082436.1, XP_019100995.1
OG0001903	El001G032390	XP_010469159.1, XP_010413536.1, XP_010512394.1
OG0001903	El006G283290	XP_010518129.1, XP_010506453.1, XP_010508207.1
OG0001904	El006G283400, El005G276440	XP_010508214.1, XP_010518117.1, XP_010506445.1
OG0001905	El001G031640	XP_010512293.1, XP_010413612.1, XP_010469247.1
OG0001906	El001G030910	XP_010512186.1, XP_010413706.1, XP_010469344.1
OG0001906	El006G285650	XP_010506183.1, XP_010517880.1, XP_010508455.1
OG0001907	El001G018080	XP_010515163.1, XP_010503476.1, XP_010426340.1
OG0001908	El007G327060	XP_010444250.1, XP_010460490.1
OG0001909	El001G002050	XP_010428797.1, XP_019084619.1
OG0001909	El002G084210	XP_010481058.1, XP_010457237.2, XP_010474667.1
OG0001910	El001G004290	XP_010422454.1, XP_010431129.1, XP_010455884.1
OG0001910	El002G085510	XP_010474996.1, XP_010482382.1, XP_010457378.1
OG0001911	El007G359030	XP_010442022.1, XP_010481863.1, XP_010494326.1
OG0001911	El002G086320	XP_010457478.1, XP_010475088.1, XP_010475087.1, XP_010483557.1
OG0001912	El006G300250	XP_010510113.1, XP_019082994.1, XP_010469640.1
OG0001912	El002G087680	XP_010485008.1, XP_010475240.1, XP_010457636.1
OG0001913	El002G087980	XP_010485251.1, XP_010457664.1, XP_010475285.1
OG0001913	El006G300630	XP_010469680.1, XP_010510164.1, XP_019098417.1
OG0001914	El006G300060, El006G299460	XP_010513127.2, XP_019082971.1, XP_019093218.1, XP_010414028.1
OG0001914	El006G299140	XP_010509954.1, XP_010509929.2, XP_010513164.1, XP_019094701.1, XP_010473874.1
OG0001915	El006G301250	XP_010414163.1, XP_010469745.1, XP_010510222.1
OG0001915	El002G088570	XP_010475345.1, XP_010457738.1
OG0001916	El006G303310	XP_010469939.1, XP_010414374.1, XP_010510478.1
OG0001917	El006G304830	XP_010414493.1, XP_010510592.1, XP_010470056.1
OG0001917	El002G090370	XP_010497515.1, XP_010487947.1, XP_010457978.1, XP_010475548.1
OG0001918	El006G311260	XP_010509131.1, XP_010503027.1, XP_010472600.1, XP_010417357.1, XP_010429587.1
OG0001919	El001G067110	XP_010456531.1, XP_010420072.1
OG0001919	El005G235310	XP_010496266.1, XP_010496268.1, XP_010485379.1, XP_019096307.1
OG0001920	El001G064620	XP_010453802.1, XP_010492539.1, XP_010420332.1
OG0001920	El005G236980	XP_010500707.1, XP_010463696.1, XP_010485595.1
OG0001921	El001G064590	XP_010420338.1, XP_010453803.1, XP_010492543.1
OG0001921	El005G237030	XP_010463703.1, XP_010485606.1, XP_010501405.1
OG0001922	El005G240610	XP_010430361.1, XP_010464095.1, XP_010486021.1
OG0001922	El001G050590	XP_010493963.1, XP_010421561.1, XP_010455072.1
OG0001923	El006G290680	XP_010509034.1, XP_010517268.1, XP_010505601.1
OG0001923	El001G025950	XP_010516061.1, XP_010427250.1, XP_010504348.1
OG0001924	El001G024110	XP_010515839.1, XP_010426998.1
OG0001924	El006G293190	XP_010509355.1, XP_010505309.1, XP_010516996.1
OG0001925	El006G292300	XP_010509242.2, XP_019102515.1, XP_010505404.1, XP_010505402.1
OG0001926	El006G292050	XP_019101258.1, XP_010505433.1, XP_010517105.1
OG0001926	El001G022190	XP_010515623.1, XP_010503893.1, XP_010426765.1
OG0001927	El004G234000	XP_010429951.1, XP_010417704.1, XP_010472923.1
OG0001927	El002G099720	XP_010459106.1, XP_010497310.1, XP_010476656.1
OG0001928	El004G231810	XP_010428969.1, XP_010416825.1, XP_010472061.1
OG0001928	El002G101220	XP_010498055.1, XP_010459280.1, XP_010476850.1
OG0001929	El002G101870	XP_010498146.1
OG0001929	El004G225140	XP_010471350.1
OG0001930	El002G102880	XP_010498276.1, XP_010459506.1, XP_010477059.1
OG0001930	El004G226920	XP_010471529.1, XP_010428421.1, XP_010416293.1
OG0001931	El004G227290	XP_010471564.1, XP_010416328.1, XP_010428465.1
OG0001931	El002G103090	XP_010459535.1, XP_010477091.1
OG0001932	El002G103650	XP_010498351.1, XP_010459603.1, XP_010477148.1
OG0001933	El002G105540	XP_010477380.1, XP_010498569.1, XP_010459825.1
OG0001933	El004G229820	XP_010416609.1, XP_010471845.1, XP_010428751.1
OG0001934	El002G107070	XP_010477471.1, XP_010498678.1, XP_010459957.1
OG0001934	El004G231250	XP_010471998.1, XP_010416766.1
OG0001935	El002G108450	XP_010477604.1, XP_010498820.1, XP_010460096.1
OG0001935	El004G222450	XP_010415767.1, XP_010427868.1, XP_010471079.1
OG0001936	El003G154700	XP_010438357.2, XP_010447897.1
OG0001936	El004G221590, El004G221550	XP_019100972.1
OG0001937	El002G110660	XP_010460264.1, XP_010498997.1, XP_010477817.1
OG0001937	El004G220720	XP_010470942.1, XP_010415602.1, XP_010511994.1
OG0001938	El002G112870	XP_010499191.1, XP_010478045.1, XP_010460478.1
OG0001938	El002G112880	XP_010478047.1, XP_019091404.1, XP_010499194.1
OG0001939	El006G321200	XP_010431556.1, XP_010472132.1
OG0001939	El003G142550	XP_010446444.1, XP_010437006.2, XP_010431861.1
OG0001940	El002G083730	XP_010480615.1, XP_019094200.1, XP_010462525.1
OG0001940	El001G078890	XP_010452274.1
OG0001941	El007G341920, El001G061320	XP_010492954.1, XP_010497167.1, XP_010492955.1, XP_010492951.1, XP_010456586.1, XP_010492950.1, XP_010420697.1
OG0001941	El001G061310	XP_010456587.1, XP_010492952.1, XP_010492956.1, XP_010420698.1
OG0001942	El003G178220	XP_010436643.1
OG0001942	El002G120860	XP_010465270.1
OG0001943	El005G247400	XP_010486839.1, XP_010464899.1, XP_010498015.1
OG0001944	El005G247240	XP_010496932.1, XP_010464872.1, XP_010486818.1
OG0001944	El001G075960	XP_010452537.1, XP_010491163.1, XP_010423378.1
OG0001945	El001G019460	XP_010515306.1, XP_010426470.1, XP_010503615.1
OG0001946	El001G018470	XP_010426377.1, XP_010503520.1, XP_010515203.1
OG0001946	El001G056380	XP_010421175.1, XP_010454653.1, XP_010493488.1
OG0001947	El001G013740, El001G013760, El001G013730	XP_019102110.1, XP_010507189.1, XP_010430977.1
OG0001947	El001G013770	XP_010507190.2, XP_019101857.1, XP_010430978.1
OG0001948	El001G012570	XP_010430949.1, XP_010503079.1, XP_010514765.2, XP_010514764.1
OG0001948	El001G058280	XP_010454487.1, XP_010421012.1, XP_010493298.1
OG0001949	El001G059600	XP_010420880.1, XP_010454346.1, XP_010493147.1
OG0001949	El002G123090	XP_010443575.1, XP_010483428.1, XP_010496658.1
OG0001950	El005G250020	XP_010465268.1, XP_010487174.1, XP_010501447.1
OG0001950	El002G139900	XP_019094191.1, XP_010501097.1, XP_010462335.1
OG0001951	El005G251320	XP_010487310.1, XP_010502377.1, XP_010465428.1
OG0001951	El002G138350	XP_010462209.1, XP_010500968.1
OG0001952	El005G253480	XP_010487538.1, XP_010504613.1, XP_010465696.1
OG0001953	El005G256760	XP_010487869.1, XP_010507626.1, XP_010466072.1
OG0001953	El002G133940	XP_010479447.1, XP_010500525.1, XP_010461823.1
OG0001954	El001G068760	XP_010453350.1, XP_010492038.1, XP_010419859.1
OG0001954	El005G258760	XP_010509345.1, XP_010466285.1, XP_010488065.1
OG0001955	El002G136180	XP_010479664.1, XP_010462005.1, XP_010500752.1
OG0001955	El005G259370	XP_010466359.1, XP_010488129.1, XP_010510022.1
OG0001956	El003G148440	XP_010432464.1, XP_010437669.1, XP_010447142.1, XP_010432462.1, XP_010447143.1
OG0001957	El006G296470	XP_010509720.1, XP_010516626.1, XP_010504942.1
OG0001957	El002G117120	XP_010460847.1, XP_019099288.1
OG0001958	El005G272340	XP_010467245.1, XP_010488899.1, XP_010517589.1
OG0001958	El005G272320, El005G272330, El002G122830, El002G122740	XP_010517582.1, XP_010488897.1, XP_010467241.1
OG0001959	El001G031320	XP_019082931.1, XP_010469285.1
OG0001960	El002G138030	XP_010462156.2, XP_019096582.1, XP_010479833.1
OG0001961	El002G134580	XP_010479488.1, XP_010463346.1, XP_010500596.1
OG0001963	El001G003370, El001G003360	XP_010430176.1, XP_010455912.1, XP_010422545.1
OG0001968	El007G339010, El007G338620, El007G338810	XP_010442965.1, XP_010482799.1
OG0001968	El007G339000	XP_010442994.1, XP_019091570.1, XP_010446646.1, XP_010446635.1, XP_010482827.1, XP_010446357.1, XP_010446004.1, XP_010482798.1, XP_010482777.1, XP_010442946.1, XP_010442964.1
OG0001971	El003G154550	XP_010447884.1, XP_010438334.1, XP_010433129.1
OG0001971	El005G278310	XP_010467924.1, XP_010416624.1, XP_010489126.1
OG0001972	El003G152730	XP_010432998.1, XP_010438190.1, XP_019088955.1
OG0001972	El005G277150	XP_010489588.1, XP_010414615.1
OG0001973	El003G152000	XP_010438099.1, XP_010432917.1, XP_010447636.1
OG0001973	El006G317160	XP_010429396.1, XP_010419295.1, XP_010472429.1
OG0001974	El006G316920	XP_010472454.1, XP_010429423.1, XP_010417203.1
OG0001974	El003G151600	XP_010438050.1, XP_010432872.1, XP_019088887.1
OG0001975	El005G272050	XP_019092812.1, XP_010488879.1, XP_010518214.1
OG0001975	El003G149010	XP_010437736.1, XP_010447212.1
OG0001976	El003G147660	XP_010447036.1, XP_010432377.1, XP_010437567.1
OG0001976	El005G273780	XP_010467386.1, XP_010497777.1, XP_010516567.1
OG0001977	El006G295300	XP_010505091.1, XP_010516774.1, XP_010509573.1
OG0001977	El003G170760	XP_010449753.1, XP_010440126.2, XP_010434798.1
OG0001978	El004G199690	XP_010473337.1, XP_010418104.1, XP_010430146.1
OG0001978	El002G094430	XP_010492556.1, XP_010458510.1, XP_010476034.1
OG0001979	El001G037660	XP_010514018.1, XP_010425025.1, XP_010502261.1
OG0001979	El002G098500	XP_010496112.1
OG0001980	El001G037910	XP_010514053.1, XP_010425052.1
OG0001980	El002G098290	XP_010495978.1, XP_010458930.1, XP_010476486.1
OG0001981	El002G096620	XP_010458748.1, XP_010476293.1, XP_010494920.1
OG0001981	El001G040710	XP_010425347.1, XP_010502548.1, XP_010514289.1
OG0001982	El001G041150	XP_010502601.1, XP_010514328.1, XP_010425380.1, XP_010502602.1
OG0001982	El002G096460	XP_019096959.1, XP_010458729.1, XP_010476266.1
OG0001983	El001G041880	XP_010502681.1, XP_010425457.1, XP_010514407.1
OG0001983	El003G192010	XP_010450604.1, XP_010436027.1
OG0001984	El001G042150	XP_010514422.1, XP_010502697.1, XP_010425474.1
OG0001984	El003G191790	XP_010436011.1, XP_010441234.1, XP_010450623.1
OG0001985	El002G095790	XP_010494060.1, XP_010458661.1, XP_010476202.1
OG0001985	El004G197500	XP_010430358.1, XP_010418281.1
OG0001986	El001G028110	XP_010427513.1, XP_010504582.1
OG0001986	El006G288280	XP_010508755.1, XP_010517598.1, XP_010505878.1
OG0001987	El001G078480	XP_010490916.1, XP_010423625.1, XP_010452308.1
OG0001987	El005G245600	XP_010464700.1, XP_010482152.1, XP_010486628.1
OG0001988	El005G246730	XP_010486479.1, XP_010486775.1
OG0001988	El001G076460	XP_010423429.1, XP_010491115.1
OG0001989	El005G246990	XP_010418806.1, XP_010486796.1, XP_010486798.1, XP_010486797.1, XP_010464848.1
OG0001989	El001G076110	XP_010423388.1, XP_010452525.1
OG0001990	El007G338320	XP_010446683.1, XP_010443000.1, XP_010482831.1
OG0001990	El003G156940	XP_010448148.1, XP_010433380.1, XP_010438626.1
OG0001991	El007G337200	XP_010482931.1, XP_010443117.1, XP_010449076.1
OG0001991	El003G157450	XP_010438638.1, XP_010448200.1, XP_010438686.1, XP_019089045.1
OG0001992	El003G157810	XP_010438726.1, XP_010433471.1, XP_010448243.1
OG0001992	El007G336220	XP_010443232.1, XP_010450433.1, XP_010483060.1
OG0001993	El007G336010	XP_010483081.1, XP_010443253.1, XP_010450699.1
OG0001993	El003G157980	XP_010448266.1, XP_010438749.1, XP_010433498.1
OG0001994	El007G334110	XP_010483278.1, XP_010443442.1, XP_010452475.1
OG0001994	El003G158670	XP_010448365.1
OG0001995	El001G060820	XP_010493019.1, XP_010420754.1, XP_010454226.1
OG0001996	El001G069870	XP_010491917.1, XP_010419754.1, XP_010453221.1
OG0001996	El001G052040	XP_010421452.1, XP_010493855.1
OG0001997	El001G072380	XP_010422957.1, XP_010491605.1, XP_010452963.1
OG0001997	El006G319400	XP_010417036.1, XP_010429212.1, XP_010472275.1
OG0001998	El001G072630	XP_010422983.1, XP_010491572.1, XP_010452934.1
OG0001998	El007G326220	XP_010484201.1
OG0001999	El001G074150	XP_010491380.1, XP_010452731.1, XP_010423188.1
OG0001999	El007G329230	XP_010483836.1, XP_010457487.1, XP_010443977.1
OG0002000	El007G329030	XP_010483861.1, XP_010444005.1, XP_010457723.1
OG0002000	El001G074450	XP_010423220.1, XP_010491342.1, XP_010452695.1
OG0002001	El007G365710	XP_019097973.1, XP_010481417.1, XP_010441550.1
OG0002001	El003G168950	XP_010445298.1, XP_010449546.1, XP_010434608.1
OG0002002	El003G165900	XP_019087825.1, XP_010434343.1
OG0002003	El001G005630	XP_019084100.1, XP_010496174.1
OG0002004	El001G006790	XP_010455635.1, XP_010422170.1, XP_010433847.1
OG0002004	El003G162630	XP_010448821.1, XP_010433982.1
OG0002005	El001G007880	XP_010435385.1, XP_010422056.1, XP_010455519.1
OG0002005	El003G161210	XP_010448662.1, XP_010433864.1, XP_010439138.1
OG0002006	El003G161120	XP_010439129.1, XP_010448651.1, XP_010433854.1
OG0002006	El001G008010	XP_010422032.1, XP_010435688.1
OG0002007	El001G008050	XP_010435702.1, XP_010455494.1, XP_010422031.1
OG0002007	El003G161100	XP_010439127.1, XP_010448648.1, XP_010433852.1
OG0002008	El001G008580	XP_010436895.1, XP_010421972.1, XP_010455453.1, XP_010421969.1, XP_010436896.1
OG0002008	El002G120350	XP_010478703.1, XP_019091271.1
OG0002009	El002G130070	XP_010479148.1, XP_010500267.1, XP_010461541.1
OG0002010	El002G114690	XP_019097647.1, XP_010478257.1, XP_010460672.1
OG0002011	El002G115310	XP_010460713.1, XP_010499451.1, XP_010478295.1
OG0002011	El006G297070	XP_010413765.1, XP_019093210.1, XP_010509777.1
OG0002012	El005G274980	XP_010489382.1, XP_010467525.1, XP_010514864.1
OG0002012	El003G146790	XP_010446918.1, XP_010437462.1, XP_010432275.1
OG0002013	El005G275130	XP_010514789.1, XP_010467538.1, XP_010489391.1
OG0002013	El003G146640	XP_010437448.1, XP_010446902.1, XP_010432255.1
OG0002014	El003G146260	XP_010446852.1, XP_010432209.1, XP_010437400.1
OG0002014	El005G275310	XP_010489410.1, XP_010467573.1, XP_010413502.1
OG0002015	El005G277010	XP_010467689.1
OG0002015	El003G145390	XP_010446743.1, XP_010432135.1, XP_010437303.1
OG0002016	El006G319230	XP_010472288.1, XP_010429224.1, XP_010417049.1
OG0002016	El003G144410	XP_010446636.1, XP_010432039.1, XP_010437192.1
OG0002017	El003G143710	XP_010431991.1, XP_010431989.1, XP_019088993.1
OG0002017	El006G319840	XP_010472231.1, XP_010417001.1, XP_010429164.1
OG0002018	El006G321130	XP_010429059.1, XP_019083715.1, XP_019093909.1
OG0002018	El003G142590	XP_010437013.1, XP_010431866.1, XP_010446439.1
OG0002019	El006G295400	XP_010509584.1, XP_010505083.1, XP_010516760.1
OG0002019	El002G118470	XP_010478884.1, XP_010499686.1, XP_010460963.1
OG0002020	El002G115220	XP_010480430.1
OG0002020	El004G210730	XP_019084192.1, XP_010496366.1, XP_010453703.1, XP_010492848.1
OG0002021	El003G161020, El003G161000	XP_010439113.1, XP_010448638.1, XP_010433840.1
OG0002021	El001G008090	XP_010455490.1, XP_010422027.1, XP_010436619.1
OG0002022	El002G101690	XP_010476913.1, XP_010498127.1, XP_010497726.1, XP_010459353.1
OG0002022	El007G364600	XP_010481488.1, XP_010441617.1, XP_010494783.1
OG0002023	El005G262340	XP_010466583.1, XP_010488323.1, XP_010511855.1
OG0002023	El003G174550	XP_010450015.1, XP_010435091.1
OG0002024	El005G261100	XP_019083034.1, XP_010488248.1, XP_010466506.1
OG0002025	El006G281630	XP_010506649.1
OG0002026	El006G283860	XP_010506415.1, XP_010508250.1, XP_010518085.1
OG0002026	El001G032000	XP_010513744.1, XP_010469203.2, XP_010413576.2
OG0002027	El001G028770	XP_010427601.1, XP_010504659.1, XP_010516345.1
OG0002027	El006G287780	XP_010508700.1, XP_010517649.1, XP_010505940.1
OG0002028	El001G014250	XP_010514872.1, XP_010425962.1
OG0002028	El007G330530	XP_010443841.1, XP_010483689.1, XP_010456418.1
OG0002029	El002G083460	XP_010480374.1, XP_010474732.1, XP_010457135.1
OG0002029	El001G001250	XP_010422757.1, XP_010427934.1, XP_010456196.1
OG0002030	El001G003160	XP_010456011.1, XP_010422571.1, XP_010429869.1
OG0002030	El002G084830	XP_010481495.2, XP_010457313.2, XP_010474907.1
OG0002031	El006G298810	XP_010413900.1, XP_010469502.1, XP_010509915.1
OG0002031	El002G086660	XP_010484001.1, XP_010457519.1, XP_010457518.1, XP_010475126.1, XP_010497689.2
OG0002032	El006G299980	XP_010414019.1, XP_010510059.1, XP_010469621.1
OG0002032	El002G087510	XP_010484879.1, XP_010457615.1, XP_010475216.1
OG0002033	El002G089140	XP_019098867.1, XP_010475420.1, XP_010457825.1
OG0002033	El006G302020	XP_010414238.1, XP_010510325.1
OG0002034	El002G090080	XP_010487541.1, XP_010475511.1
OG0002034	El006G304140	XP_010469994.1, XP_010414442.1, XP_010510537.1
OG0002035	El007G336940	XP_010443151.1, XP_010482964.1
OG0002035	El003G157620	XP_010433449.1, XP_010438706.1, XP_010448220.1
OG0002036	El001G065560	XP_010453729.1, XP_010492430.1, XP_010420258.1
OG0002036	El005G236480	XP_010485467.1, XP_010463634.1
OG0002037	El001G065550	XP_010420259.1, XP_010492431.1, XP_010453730.1
OG0002037	El005G236500	XP_010485476.1, XP_010463639.1, XP_010474409.1
OG0002038	El005G253410	XP_010465687.1, XP_010504500.1, XP_010487528.1
OG0002038	El005G240460	XP_010428569.1, XP_010486007.1, XP_019092551.1
OG0002039	El001G026790	XP_010427342.1, XP_010504418.1, XP_010516140.1
OG0002039	El006G290030	XP_010508969.1, XP_010505666.1, XP_010517342.1
OG0002040	El006G294140	XP_010516883.1, XP_010505203.1, XP_010509456.1
OG0002040	El001G023560	XP_010504054.1, XP_010515779.1, XP_010426930.1
OG0002041	El006G293410	XP_010509388.1, XP_010516959.1
OG0002041	El001G023970	XP_010504099.1, XP_010515826.1, XP_010426978.1
OG0002042	El003G163850, El006G291820	XP_010517132.1, XP_010505460.1, XP_010509181.1
OG0002042	El006G291830	XP_010505461.1, XP_010509180.1, XP_010517131.1
OG0002043	El007G361440, El002G131960	XP_010440656.1, XP_010476615.1, XP_010497009.1
OG0002043	El002G132700	XP_019099437.1, XP_010461733.1, XP_010479315.1
OG0002044	El002G099590	XP_010476640.1, XP_010497204.1
OG0002044	El004G234220	XP_010417726.1, XP_010429982.1, XP_010472951.1
OG0002045	El002G099790	XP_010459110.1, XP_010497372.1, XP_010476667.1
OG0002045	El004G233900	XP_010474514.1
OG0002046	El002G100080	XP_010459136.1, XP_010497574.1, XP_010476702.1
OG0002046	El004G233420	XP_010474504.2, XP_010417651.1
OG0002047	El002G100480	XP_010476761.1, XP_010459191.1, XP_010497920.1
OG0002047	El006G318640, El004G232630	XP_010472753.1, XP_010429786.1, XP_010417536.1
OG0002048	El002G101570	XP_010476895.1, XP_010459337.1, XP_010498097.1
OG0002049	El004G225240	XP_010416097.1, XP_010471363.1, XP_010428218.1
OG0002049	El002G101920	XP_010476940.1, XP_010498150.1, XP_010459381.1
OG0002050	El002G105240	XP_010498531.1, XP_010459779.1, XP_010477345.1
OG0002050	El004G229390	XP_010474365.1, XP_019083401.1
OG0002051	El002G105340	XP_019094878.1, XP_010498549.1, XP_010459790.1
OG0002051	El006G286880	XP_019100572.1
OG0002052	El002G105480	XP_010477368.1, XP_010459811.1, XP_010498561.1
OG0002052	El004G229650	XP_010471827.1, XP_010416594.1, XP_010428734.1
OG0002053	El002G105860	XP_010498599.1, XP_010477405.1
OG0002053	El004G230010	XP_010471866.1, XP_010431541.1, XP_010416626.1
OG0002054	El002G108190	XP_010477579.1, XP_010460073.1, XP_010498790.1
OG0002054	El004G223020	XP_010471118.1, XP_010427931.1, XP_010415808.1
OG0002055	El002G108520	XP_010477612.1, XP_010460111.1, XP_010498829.1
OG0002055	El004G222370	XP_010427855.1, XP_010471073.1
OG0002056	El006G314210	XP_010423760.1, XP_010417324.1, XP_010472558.1
OG0002056	El003G150360	XP_019086655.1, XP_010437909.1, XP_019088866.1
OG0002057	El003G150830	XP_010451088.2, XP_010437963.1, XP_010432781.1
OG0002057	El006G315130	XP_010417288.1, XP_010472525.1, XP_010429516.1
OG0002058	El006G317900	XP_010417132.1, XP_010472386.1
OG0002059	El002G087320	XP_010484755.1, XP_019090757.1, XP_010475191.1
OG0002059	El006G299810	XP_010413997.1, XP_010469589.1, XP_010510023.1
OG0002060	El004G221830	XP_010471026.1, XP_010427801.1, XP_010415707.1
OG0002060	El001G066630	XP_019083814.1, XP_010453618.1
OG0002061	El001G018870	XP_010412653.1
OG0002061	El001G055980, El001G056060	XP_010454682.1, XP_010493525.1, XP_010421204.1, XP_010421205.1
OG0002062	El007G329810	XP_019086943.1, XP_010443925.2
OG0002063	El001G074760	XP_010423258.1, XP_010452654.1, XP_010491305.1
OG0002063	El007G333100	XP_010483437.1, XP_010443564.1
OG0002064	El001G021680	XP_010503835.1, XP_010426697.1
OG0002064	El001G021690	XP_010426698.1, XP_010503836.1
OG0002065	El004G214730, El004G214740	XP_010415938.1, XP_010428073.1, XP_010428063.1, XP_010428065.1, XP_010471231.1, XP_010428071.1, XP_010427904.1, XP_010474267.1, XP_010415937.1
OG0002066	El004G229800	XP_010431538.1, XP_019083407.1, XP_019093786.1
OG0002066	El002G105520	XP_019094116.1
OG0002067	El004G228660	XP_010428638.1, XP_010471734.1, XP_010471737.1, XP_010471731.1, XP_010416497.1
OG0002067	El004G228680	XP_019093358.1, XP_010416498.1, XP_010428639.1
OG0002068	El004G232710	XP_010417546.1, XP_010472770.1
OG0002068	El004G233130	XP_010474500.1
OG0002068	El004G233160	XP_010429854.1, XP_010472817.1
OG0002069	El004G232850	XP_010472789.1, XP_010417598.1, XP_010429817.1
OG0002069	El004G232820	XP_010417596.1, XP_010472787.1, XP_010429814.1
OG0002070	El002G100290	XP_010476736.1, XP_010459168.1
OG0002070	El004G233050	XP_010429843.1, XP_010417618.1, XP_010472812.1
OG0002071	El005G249360	XP_010465175.1, XP_010500458.1, XP_010487095.1
OG0002071	El002G140580	XP_010462407.1, XP_010501168.1, XP_010480092.1
OG0002072	El002G140310	XP_010462377.1, XP_010480060.1, XP_010501143.1
OG0002072	El005G249510	XP_010465201.1, XP_010500739.1, XP_010487118.1
OG0002073	El002G138200	XP_010500982.1, XP_010462224.1, XP_010479892.1
OG0002073	El005G251220	XP_010465405.1, XP_010487299.1, XP_010502231.1
OG0002074	El003G171430	XP_019089137.1, XP_010445354.1
OG0002074	El005G253920	XP_010516858.1, XP_010489198.1
OG0002075	El005G278430	XP_010467951.1, XP_010416514.1
OG0002075	El005G278420	XP_010489116.1, XP_010416525.1, XP_019092398.1, XP_010467952.1
OG0002076	El002G141500	XP_010501260.1, XP_010462485.1, XP_010480182.1
OG0002076	El005G248550	XP_010465053.1, XP_010487000.1, XP_010499430.1
OG0002077	El002G135980	XP_010461994.1, XP_010479648.1, XP_010500738.1
OG0002077	El005G259250	XP_010488103.1, XP_010466341.1, XP_019082804.1
OG0002078	El001G026910	XP_010427361.1, XP_010516158.1, XP_010504434.1
OG0002078	El001G026900	XP_010504432.1, XP_010516155.1, XP_010427359.1
OG0002079	El003G189980, El003G190010, El003G158210	XP_010448303.1
OG0002080	El003G172470, El003G172440	XP_019087419.1
OG0002080	El003G172480, El003G172460	XP_019089434.1, XP_019089801.1, XP_010449904.1, XP_019087420.1
OG0002081	El001G014440, El001G014410, El006G314690	XP_010431010.1, XP_010412571.1
OG0002081	El006G321190	XP_010436716.2
OG0002082	El001G025330	XP_010515991.1, XP_010504270.1, XP_010427164.1
OG0002082	El006G291320	XP_010517203.1, XP_010505538.1
OG0002083	El006G288110	XP_010505895.1, XP_010517617.1, XP_010508736.1
OG0002084	El001G007980, El004G234290, El003G187190, El003G187180, El003G187200	XP_010429617.1, XP_019083053.1, XP_010472629.1, XP_010472631.1, XP_010472630.1
OG0002089	El004G207790, El004G207750	XP_019093256.1, XP_019085449.1
OG0002091	El001G010150	XP_010445653.1
OG0002092	El004G208120	XP_010473686.1
OG0002093	El005G272590	XP_010467279.1, XP_010488936.1, XP_010517959.1
OG0002093	El003G148210	XP_010447110.1
OG0002094	El003G147920	XP_010437604.1, XP_010437603.1, XP_010432404.1, XP_010447066.1
OG0002094	El005G273560	XP_010516847.1, XP_019091991.1, XP_010489202.1
OG0002095	El005G274540	XP_019083776.1, XP_010467484.1, XP_019096951.1
OG0002095	El003G146990	XP_010446945.1, XP_010437494.1, XP_010432301.1
OG0002096	El004G206830	XP_010511303.1, XP_010480275.1, XP_010415009.2
OG0002096	El002G092130	XP_010489936.1, XP_010458217.1, XP_010475767.1
OG0002097	El004G202840	XP_010470231.1, XP_010414713.1, XP_010511051.1
OG0002097	El002G093120	XP_010475876.1, XP_010490760.1, XP_010458350.1
OG0002098	El004G200370	XP_010473265.1, XP_010418028.1, XP_010430071.1
OG0002098	El004G200750	XP_010450451.1, XP_010440796.1, XP_010435511.1, XP_010440795.1
OG0002099	El002G094030	XP_010475985.1, XP_010492201.1, XP_010458477.1
OG0002099	El004G200220	XP_010418042.1, XP_010430085.1, XP_010473295.1
OG0002100	El002G097520	XP_010495638.1, XP_010458851.1, XP_010476416.1
OG0002100	El001G038540	XP_010425137.1, XP_010502358.1
OG0002101	El003G191870	XP_010450615.1, XP_010436020.1, XP_010441239.1
OG0002101	El001G042000	XP_010514417.1, XP_010502688.1, XP_010425467.1
OG0002102	El005G242960	XP_019082396.1, XP_010506391.1, XP_010508274.1, XP_010486327.1, XP_019092080.1
OG0002102	El003G182590, El007G353230	XP_019098803.1
OG0002103	El004G194030	XP_010473721.1, XP_010430591.1
OG0002103	El003G193580	XP_010436160.1, XP_010446984.1, XP_010447007.1
OG0002104	El004G195460	XP_010418418.1, XP_010430492.1, XP_010473629.1
OG0002104	El003G192650	XP_010436860.1, XP_010445723.1, XP_010447458.1
OG0002105	El002G096250	XP_010458701.1, XP_010476250.1, XP_010494511.1
OG0002105	El004G196800	XP_010430388.1, XP_010473536.1, XP_019083666.1
OG0002106	El004G198260	XP_010418218.1, XP_010430277.1, XP_010473449.1
OG0002106	El002G095380	XP_010476146.1, XP_010458617.1
OG0002107	El001G028010	XP_019100370.1, XP_019084904.1
OG0002107	El006G288480	XP_010508785.1, XP_010517576.1, XP_010505855.1
OG0002108	El001G081440	XP_010490586.1, XP_010452004.1, XP_010423931.2
OG0002108	El005G244140	XP_010464524.1, XP_010486450.1, XP_010467544.1
OG0002109	El001G079700	XP_019084399.1, XP_010490787.1, XP_010452189.1
OG0002109	El005G244980	XP_010464633.1, XP_010486550.1, XP_010476657.1
OG0002110	El005G245030	XP_010464637.1, XP_010486556.1, XP_010476987.1
OG0002110	El001G079580	XP_010452203.1, XP_010490800.1
OG0002111	El001G078450	XP_010490920.1, XP_010423621.1, XP_010452312.1
OG0002112	El001G077370	XP_010423511.1, XP_010452398.1, XP_010491028.1
