Orthogroup	Erysimum_linariifolium	Arabidopsis_arenosa
OG0002500	El003G148300	jg8941
OG0002500	El005G272750	jg27561
OG0002501	El002G119110	jg31822
OG0002502	El002G120000	jg31909
OG0002502	El006G295840	jg18644
OG0002503	El002G091630	jg29248
OG0002504	El004G205240	jg1241, jg1229
OG0002504	El002G092800	jg29359
OG0002505	El002G093310	jg29419
OG0002505	El004G202180	jg1059
OG0002506	El004G201320	jg980
OG0002506	El002G093580	jg29452
OG0002507	El002G098380	jg29922
OG0002508	El001G038290, El001G038360	jg13127
OG0002508	El002G097870	jg29872
OG0002509	El001G038700	jg13163
OG0002509	El001G038690	jg13162
OG0002510	El001G041110	jg13352
OG0002511	El001G044210, El001G044190, El001G044490	jg13661, jg13701
OG0002512	El001G031800	jg16060
OG0002512	El002G140700	jg33737, jg33734
OG0002513	El005G246100	jg25011
OG0002513	El001G077380, El001G077400	jg4246
OG0002514	El005G246560	jg25059
OG0002514	El001G076750	jg4311, jg4478
OG0002515	El001G075860	jg4397
OG0002515	El005G247310	jg25114
OG0002516	El003G158820, El003G158850	jg9901, jg9899
OG0002517	El003G156320	jg9670
OG0002517	El007G339560, El007G339590	jg22073
OG0002518	El007G336590	jg22389
OG0002518	El003G157720	jg9785
OG0002519	El003G157740	jg9786
OG0002520	El007G336170	jg22439
OG0002520	El003G157840	jg9792
OG0002521	El001G069500	jg5043
OG0002522	El007G326040	jg23441
OG0002523	El003G169650	jg10879
OG0002524	El001G006770	jg7606
OG0002524	El003G162670	jg10247
OG0002525	El001G010210	jg7243
OG0002525	El002G123890	jg32215
OG0002526	El002G117200	jg31614
OG0002526	El003G159400	jg9948
OG0002527	El006G296150	jg18612
OG0002527	El002G117670	jg31663
OG0002528	El005G275510	jg27928
OG0002528	El003G146060	jg8726
OG0002529	El003G144970	jg8618
OG0002529	El006G318530	jg16802
OG0002530	El006G319160	jg16736
OG0002530	El003G144600	jg8571
OG0002531	El006G319950	jg16664
OG0002531	El003G143610	jg8501
OG0002532	El006G320540	jg16595
OG0002532	El002G128460	jg1122
OG0002532	El003G142840	jg8406
OG0002533	El001G015030	jg14377
OG0002533	El001G015020	jg14376
OG0002533	El003G141860	jg8296, jg8303
OG0002534	El001G010270	jg7229
OG0002534	El001G010260	jg7231
OG0002535	El001G007110	jg7579
OG0002535	El003G162450	jg10225
OG0002536	El003G163130	jg10290
OG0002536	El001G005980	jg7665
OG0002537	El001G005800	jg7681
OG0002537	El002G087120	jg28830
OG0002538	El003G175980	jg11390
OG0002539	El003G175060	jg11325
OG0002539	El003G175070	jg11326
OG0002540	El003G172750, El003G172760	jg11152
OG0002541	El001G035380	jg16378
OG0002541	El006G279670	jg20228
OG0002542	El006G281940	jg20016
OG0002542	El001G033580	jg16211
OG0002543	El006G282560	jg19973
OG0002543	El001G033060	jg16169
OG0002544	El006G284960	jg19732
OG0002544	El001G031430	jg16031
OG0002545	El006G287730	jg19448
OG0002547	El001G028670	jg15659, jg15721
OG0002547	El006G287920	jg19430
OG0002548	El006G291740	jg19029
OG0002548	El001G079150	jg4101
OG0002549	El006G289730	jg19238
OG0002550	El001G059480	jg5922
OG0002550	El001G046890	jg13982
OG0002551	El001G015900	jg14446, jg16552
OG0002551	El007G331580	jg22888
OG0002553	El007G323340	jg23675
OG0002553	El001G020410	jg14894
OG0002554	El007G362220, El007G322730	jg23730
OG0002555	El001G001470	jg8157
OG0002555	El002G083720	jg28511
OG0002556	El001G001710	jg8088
OG0002556	El002G083870	jg28526
OG0002557	El002G088270	jg28940
OG0002557	El006G300960	jg18206
OG0002558	El005G264510	jg32507
OG0002558	El003G157330	jg9749
OG0002559	El005G235510	jg23943
OG0002559	El001G066790	jg5292
OG0002561	El001G064310	jg5496
OG0002561	El005G237190	jg24116
OG0002562	El001G048660	jg6726
OG0002562	El005G239710	jg24381
OG0002563	El005G239820	jg24391
OG0002564	El005G241490	jg24567
OG0002565	El001G022970	jg15177
OG0002565	El006G294800	jg18738
OG0002566	El006G292910	jg18902
OG0002567	El002G100310	jg30118
OG0002567	El004G233020	jg3639
OG0002568	El004G227920	jg3193
OG0002568	El002G103940	jg30490
OG0002569	El004G228890	jg3265
OG0002569	El002G104640	jg30559
OG0002570	El002G104770, El004G229000	jg30582
OG0002571	El004G229470	jg3316
OG0002571	El002G105310	jg30639
OG0002572	El004G230370	jg3399
OG0002572	El002G106060	jg30708
OG0002573	El004G221650	jg2624
OG0002573	El002G109580	jg30990
OG0002574	El002G111730	jg31143
OG0002574	El004G219530	jg2441
OG0002575	El002G098630	jg29942
OG0002575	El002G109730, El005G267440	jg31019
OG0002576	El003G179980	jg29771
OG0002577	El002G089980	jg29097
OG0002578	El002G088730	jg28987
OG0002579	El002G088470	jg28957
OG0002580	El006G300270	jg18267
OG0002580	El002G087730	jg28888
OG0002581	El002G083820	jg28521
OG0002581	El002G094730	jg29570
OG0002582	El004G200330, El006G289290	jg19281
OG0002582	El001G076810	jg4303
OG0002583	El001G019480	jg14810
OG0002583	El001G055030	jg6332
OG0002584	El001G016530	jg14511
OG0002584	El007G332610	jg22795
OG0002585	El001G015510	jg14416
OG0002585	El007G331300	jg22906
OG0002586	El004G219360	jg2424
OG0002586	El001G014990	jg14373
OG0002587	El037G374570, El002G104040	jg30500
OG0002588	El004G226850	jg3084
OG0002588	El003G174590, El003G174560	jg11293
OG0002589	El002G101660	jg30278
OG0002589	El004G224850	jg2910
OG0002590	El005G250260	jg25418
OG0002590	El002G139700	jg33638
OG0002591	El005G249450	jg25334
OG0002591	El002G140370	jg33696
OG0002592	El002G139770	jg33645
OG0002592	El005G250190	jg25410
OG0002593	El002G137870	jg33486
OG0002593	El005G252050	jg25593
OG0002594	El002G137640	jg33467
OG0002594	El005G252250	jg25606
OG0002595	El002G136940	jg33411
OG0002596	El005G253420, El003G163150	jg25734
OG0002596	El003G172120	jg11095
OG0002597	El005G254160	jg25819
OG0002597	El002G131410	jg32878
OG0002598	El005G254770	jg25901
OG0002598	El002G132110	jg32929
OG0002599	El005G260140	jg26378
OG0002600	El005G236550	jg24053
OG0002600	El003G174980	jg11318
OG0002601	El006G314180	jg17141
OG0002601	El003G150280	jg9143
OG0002602	El002G141200, El002G141150	jg33779
OG0002602	El005G248970	jg25274
OG0002603	El005G258950	jg26268
OG0002603	El002G135710	jg33282
OG0002604	El002G133260	jg33028
OG0002605	El001G027780	jg15615
OG0002605	El006G288670	jg19350, jg19348
OG0002606	El001G029450	jg15814
OG0002606	El006G286990, El006G286970	jg19518
OG0002607	El001G015460, El001G031720	jg16069
OG0002608	El005G266930	jg26690
OG0002608	El005G267070, El005G267030	jg26687
OG0002609	El003G169120	jg16304
OG0002610	El003G168980	jg10826
OG0002610	El007G364540	jg20450
OG0002611	El006G291200	jg19070
OG0002612	El003G150470	jg9157
OG0002612	El003G150460	jg9156
OG0002614	El002G096390	jg29741
OG0002614	El001G041300	jg13377
OG0002616	El001G013260	jg14212
OG0002616	El003G174610	jg26213
OG0002617	El003G186740	jg12304, jg12306, jg12307
OG0002617	El003G186730	jg12305
OG0002618	El007G326810	jg23352
OG0002618	El007G358580, El007G326800	jg23353
OG0002619	El005G267010	jg7263, jg26695
OG0002622	El005G278680	jg28237
OG0002622	El003G155090	jg9556
OG0002623	El003G151940	jg9298
OG0002624	El006G313680	jg17191
OG0002624	El003G149920	jg9109
OG0002626	El003G147990, El002G127200	jg8908
OG0002627	El003G147850	jg8895
OG0002627	El005G273610	jg27693
OG0002628	El005G273920	jg27764
OG0002628	El003G147440	jg8856
OG0002629	El006G296020	jg18624
OG0002629	El002G118160	jg31718
OG0002630	El002G119360	jg31837
OG0002630	El006G295540	jg18682
OG0002631	El006G295330	jg18702
OG0002631	El003G170530	jg10941
OG0002632	El002G091990	jg29285
OG0002633	El002G092460	jg29334
OG0002634	El004G202960	jg1124
OG0002634	El002G093070	jg29386
OG0002635	El004G199190	jg778
OG0002636	El002G098770	jg29956
OG0002636	El001G036820	jg12989
OG0002637	El002G097880	jg29873
OG0002637	El001G038280	jg13126
OG0002639	El001G041580	jg13398
OG0002639	El001G080100	jg4013
OG0002640	El001G044240	jg13664
OG0002640	El001G044170	jg13659
OG0002641	El003G189270	jg12519
OG0002641	El001G044980	jg13722
OG0002642	El004G217310	jg2246
OG0002642	El003G188230	jg12406
OG0002643	El003G186210	jg12244
OG0002643	El004G215660	jg2097
OG0002644	El004G211630	jg1797
OG0002644	El003G156560	jg9687
OG0002645	El003G158500	jg9862
OG0002646	El001G078520	jg4157
OG0002647	El003G160120	jg10018
OG0002647	El007G345040	jg21618
OG0002648	El007G340010	jg22040
OG0002648	El003G156120	jg9648
OG0002649	El001G070270	jg4973, jg7212
OG0002649	El007G339070	jg22128
OG0002650	El007G338030	jg22232
OG0002650	El003G156860	jg9713
OG0002651	El007G337750	jg22287
OG0002651	El003G157080	jg9731
OG0002652	El007G334340	jg22636
OG0002652	El005G277370	jg28069
OG0002653	El001G070990	jg4922
OG0002653	El001G053980	jg6384
OG0002654	El007G324490	jg23576
OG0002654	El001G071380	jg4884
OG0002655	El001G071970	jg4830
OG0002655	El007G325070	jg23527
OG0002656	El007G325810	jg23465
OG0002656	El001G072320	jg4786
OG0002657	El003G168670	jg10803
OG0002657	El003G173070	jg11178
OG0002658	El003G165150	jg10483
OG0002658	El003G165140	jg10482
OG0002659	El003G163290	jg10303
OG0002659	El001G005870	jg7673
OG0002660	El001G006160	jg7646
OG0002660	El003G162910	jg10272
OG0002661	El003G161730	jg10156
OG0002662	El002G123590	jg32239
OG0002662	El001G010040	jg7266
OG0002663	El006G298400	jg18450
OG0002663	El002G113730	jg31330
OG0002664	El003G146540	jg8772
OG0002664	El003G146560	jg8774
OG0002665	El005G275590	jg28072
OG0002666	El003G145720	jg8686
OG0002667	El005G276690	jg27997, jg8676
OG0002668	El003G145130	jg8632, jg8634
OG0002669	El006G319320	jg16716
OG0002669	El003G144330	jg8558
OG0002670	El006G320730	jg16576
OG0002670	El003G142680	jg8391
OG0002671	El003G191030	jg12644
OG0002671	El003G191260	jg12655
OG0002672	El003G189620	jg12545
OG0002672	El003G189630	jg12546
OG0002673	El001G010320	jg7223
OG0002673	El002G098680	jg29948
OG0002674	El001G006080	jg7655, jg7654
OG0002675	El003G164930	jg10454
OG0002675	El001G004550	jg7804
OG0002676	El003G179390	jg11651
OG0002676	El005G268960	jg26880
OG0002677	El003G178720, El003G180700	jg11606
OG0002678	El005G266980	jg26685
OG0002678	El003G176970	jg11458
OG0002679	El003G174880	jg11311
OG0002680	El003G174760	jg11300
OG0002680	El005G262780	jg26535
OG0002681	El006G281660	jg20042
OG0002681	El001G033810, El001G033750	jg16227
OG0002682	El006G285720	jg19641
OG0002683	El006G287200	jg19493
OG0002683	El001G029570	jg15825
OG0002684	El006G287750	jg19446
OG0002684	El001G028790	jg15747
OG0002685	El001G081590	jg3887
OG0002685	El005G244010	jg24805
OG0002686	El001G078540	jg4156
OG0002687	El001G014260	jg14299
OG0002687	El007G330590	jg22979
OG0002688	El001G014850	jg14362
OG0002688	El007G330940	jg22940
OG0002689	El007G331490	jg22892
OG0002689	El007G331480	jg22893
OG0002690	El001G015920	jg14448
OG0002690	El007G331500, El007G362080	jg22891
OG0002691	El001G018270	jg14677
OG0002691	El007G327110	jg23318
OG0002692	El001G000570	jg8197
OG0002692	El002G083040	jg28450
OG0002693	El002G085180	jg28650
OG0002693	El001G003590	jg7879
OG0002694	El007G360400	jg20764
OG0002694	El002G085580	jg28692
OG0002695	El006G300710	jg18229
OG0002695	El002G088110	jg28929
OG0002696	El002G090460	jg29137
OG0002697	El005G243810	jg24786
OG0002698	El005G237600	jg24162
OG0002698	El001G063570	jg5572
OG0002699	El005G237660	jg24168
OG0002699	El001G063520	jg5577
OG0002700	El001G062480	jg5659
OG0002700	El005G238490	jg24249
OG0002701	El005G242440	jg24669
OG0002701	El007G347620	jg21433
OG0002702	El006G289180	jg19299
OG0002703	El002G116460	jg27958, jg31567
OG0002704	El006G293470	jg18852
OG0002705	El001G024990	jg15364
OG0002705	El006G291430	jg19054
OG0002706	El004G232980	jg3635
OG0002706	El002G100340	jg30121
OG0002707	El004G225650	jg2980
OG0002707	El002G102060	jg30320
OG0002708	El004G227930	jg3194
OG0002708	El002G103950	jg30491
OG0002709	El004G229920	jg3356
OG0002709	El002G105740	jg30676
OG0002710	El002G108040	jg30847
OG0002710	El004G223240	jg2768
OG0002711	El005G266790, El002G109370	jg30970
OG0002712	El004G219500	jg2439
OG0002712	El002G111900	jg31157
OG0002713	El004G219480	jg2437
OG0002713	El002G111930	jg31161
OG0002714	El001G036010	jg12901
OG0002715	El001G036540	jg12961
OG0002715	El002G098960	jg29976
OG0002716	El002G093330	jg29421
OG0002716	El002G093320	jg29420
OG0002717	El001G064770, El001G064930	jg5462
OG0002718	El006G314750, El005G273050	jg5567
OG0002718	El001G063620	jg5566
OG0002719	El001G054720, El007G358870, El001G054630, El001G054650, El001G054710, El007G358880	jg6344, jg6343, jg6345
OG0002720	El001G021180	jg14975
OG0002720	El001G021170, El003G175950	jg14972
OG0002721	El001G019290	jg14776
OG0002721	El001G055370, El001G055400	jg6305
OG0002722	El004G220330	jg2508
OG0002722	El004G220010, El004G219970	jg2480
OG0002723	El004G231390	jg3482
OG0002723	El002G107150	jg30782
OG0002724	El004G229290	jg3302
OG0002725	El005G249020	jg25280
OG0002725	El005G249010	jg25279
OG0002726	El005G252010	jg25587
OG0002727	El002G136800	jg33397
OG0002728	El005G256580	jg26053
OG0002729	El002G135120	jg33220
OG0002730	El005G260070	jg26368
OG0002731	El005G261310	jg26473
OG0002731	El003G174120	jg11248
OG0002732	El002G136650	jg33387
OG0002732	El002G136660	jg33389
OG0002733	El002G133280, El002G133290	jg33034, jg33030
OG0002734	El002G116260	jg31554
OG0002734	El006G296690	jg18562
OG0002735	El005G270080, El001G015850	jg15548, jg15263
OG0002736	El006G292290	jg18964
OG0002736	El001G024810	jg15348
OG0002737	El006G288690	jg19347
OG0002737	El001G027770	jg15614
OG0002738	El007G366770	jg20278
OG0002739	El001G020020	jg14856
OG0002739	El007G323770	jg23637
OG0002740	El001G030760	jg15958
OG0002741	El004G219310	jg2420
OG0002741	El002G112000	jg31167
OG0002743	El003G149080	jg9015
OG0002743	El003G149070	jg9014
OG0002745	El002G095140	jg29618
OG0002745	El002G082680	jg28425
OG0002746	El002G097500	jg29855
OG0002746	El001G038550	jg13149
OG0002747	El005G252740	jg25648
OG0002748	El001G072260	jg4796
OG0002749	El007G335510, El007G335550	jg22518
OG0002750	El004G216420	jg2183
OG0002750	El004G216680	jg2196
OG0002750	El004G216500	jg2191
OG0002750	El003G186920	jg12328, jg12334
OG0002751	El003G176340	jg10469
OG0002753	El003G155630	jg9604
OG0002753	El005G279200	jg28290
OG0002754	El003G154710	jg9528
OG0002754	El005G278580	jg28223
OG0002755	El003G151190	jg9227
OG0002758	El005G274110	jg27780
OG0002758	El003G147310	jg8846
OG0002759	El003G171990	jg11078
OG0002760	El002G119920	jg31902
OG0002761	El004G202610	jg7392, jg1060, jg7320, jg1021, jg1024, jg1023
OG0002762	El004G199080	jg766
OG0002762	El002G094900	jg29598
OG0002763	El002G098990	jg29978
OG0002764	El002G097400	jg29838
OG0002764	El001G038750	jg13167
OG0002765	El001G073390	jg4688
OG0002766	El003G186090	jg12238
OG0002766	El004G215440	jg2070
OG0002767	El004G196520	jg567
OG0002767	El002G096310	jg29735
OG0002768	El007G335290	jg22546
OG0002768	El003G158200	jg9828
OG0002769	El005G244600	jg24869
OG0002770	El003G159750	jg9979
OG0002770	El007G343510	jg21732
OG0002771	El001G071900	jg4836
OG0002771	El007G325180	jg23518
OG0002772	El007G326680	jg23373
OG0002772	El001G072820	jg4741
OG0002773	El001G074300	jg4589
OG0002773	El007G329140	jg23112, jg22829
OG0002774	El003G165960	jg10576
OG0002774	El007G361760	jg20646
OG0002775	El003G165830	jg10566
OG0002775	El007G361630	jg20655
OG0002776	El003G164500	jg10408
OG0002777	El003G163920, El003G163930	jg10364
OG0002778	El006G315620, El006G315680, El006G315670, El006G315600	jg10209, jg17052
OG0002779	El002G122280, El002G122260	jg32078
OG0002780	El002G125060	jg32276
OG0002781	El006G319220	jg16733
OG0002781	El003G144640	jg8568
OG0002782	El006G320020	jg16660
OG0002782	El003G143540	jg8493
OG0002783	El006G321420, El003G185630	jg16536
OG0002783	El003G142360	jg8358, jg1110
OG0002784	El003G169400	jg10862
OG0002785	El003G182730	jg11929
OG0002785	El005G271310	jg27217
OG0002786	El005G271090	jg27182
OG0002787	El003G183460	jg11969
OG0002787	El005G269790	jg26998
OG0002788	El003G175050, El003G175040	jg11323
OG0002788	El005G264070	jg26564
OG0002789	El005G261870	jg26516
OG0002789	El003G174430	jg11281
OG0002790	El005G261140	jg26457
OG0002790	El005G261160	jg26460
OG0002791	El003G173020	jg11175
OG0002791	El005G260000	jg26362
OG0002792	El003G190810	jg12631
OG0002793	El006G280890	jg20107
OG0002793	El001G034430	jg16285
OG0002794	El001G032610	jg16133
OG0002795	El001G032030	jg16089
OG0002795	El006G283810	jg19845
OG0002796	El006G285300	jg19693
OG0002796	El006G285270	jg19697
OG0002797	El001G029310	jg15801
OG0002798	El006G287510	jg19466
OG0002798	El001G028860	jg15753
OG0002799	El006G292010	jg18992
OG0002799	El001G081610	jg3885
OG0002800	El001G079090	jg4105
OG0002800	El001G079130	jg2325
OG0002801	El001G011750	jg14003, jg13978
OG0002801	El001G059240	jg5946
OG0002802	El001G012040	jg14053
OG0002802	El001G058930	jg5974
OG0002803	El001G016500	jg14504
OG0002803	El007G332480	jg22804
OG0002804	El007G323250	jg23684
OG0002805	El002G089760	jg29080
OG0002805	El006G303140	jg17989
OG0002806	El001G001830	jg8074
OG0002807	El001G003760	jg7905
OG0002808	El006G299770	jg18315
OG0002809	El006G301090	jg18196
OG0002810	El002G089040	jg29015
OG0002810	El006G301820	jg18130
OG0002811	El006G303910	jg17923, jg17922
OG0002811	El006G303940, El006G303870	jg17919, jg17920
OG0002812	El006G307010	jg17651
OG0002812	El002G091070	jg29196
OG0002813	El005G235320	jg23925
OG0002813	El001G067100	jg5258
OG0002814	El001G065770	jg5386
OG0002814	El005G236370	jg24025
OG0002815	El005G237670	jg24169
OG0002816	El005G238780	jg24295
OG0002817	El001G062190	jg5693
OG0002818	El008G369160, El005G239850	jg24394
OG0002818	El001G049030	jg6697
OG0002819	El001G061460	jg5754
OG0002819	El005G241360, El004G208960	jg24550
OG0002820	El005G241710	jg24588
OG0002820	El005G241700	jg24586, jg24587
OG0002821	El005G242120	jg24633
OG0002822	El005G239190	jg24339
OG0002822	El001G051730	jg32526
OG0002823	El001G023270	jg15199
OG0002823	El006G294600	jg18756
OG0002824	El001G024570	jg15327
OG0002824	El006G292430	jg18949
OG0002825	El004G234250	jg3744
OG0002825	El002G099570	jg30035
OG0002826	El004G233410	jg3668
OG0002827	El002G101590	jg30272
OG0002827	El004G224750	jg2900
OG0002828	El002G101630	jg30275
OG0002828	El004G224800	jg2905
OG0002829	El004G225420	jg2967
OG0002830	El004G227110	jg3109
OG0002830	El002G102980	jg30407
OG0002831	El004G227310	jg3128
OG0002831	El002G103110	jg30419
OG0002832	El002G104900	jg30594
OG0002832	El004G229080	jg3286
OG0002833	El002G104910	jg30595
OG0002833	El004G229090	jg3287
OG0002834	El002G109260	jg30956
OG0002834	El004G221810	jg2639
OG0002835	El004G220280	jg2503
OG0002835	El002G111040	jg31124
OG0002836	El004G219730	jg2462
OG0002836	El002G111880	jg31156
OG0002837	El004G219180	jg2408
OG0002837	El002G112080	jg31175
OG0002838	El003G160480	jg10051
OG0002838	El007G344790	jg21641
OG0002840	El003G142660	jg8388
OG0002840	El006G321040	jg16572
OG0002841	El006G299660	jg18318
OG0002841	El002G087280	jg28848
OG0002842	El002G085040, El004G210630	jg13727, jg28639
OG0002843	El001G056490	jg6204
OG0002844	El001G066560	jg5314
OG0002845	El001G061710	jg5733
OG0002846	El007G345300	jg21592, jg21593
OG0002848	El001G055320	jg6309
OG0002849	El001G019160	jg14768
OG0002849	El001G055610	jg6284
OG0002850	El005G265700	jg23122
OG0002851	El001G056360	jg6217
OG0002851	El001G018520	jg14710
OG0002852	El001G056450	jg6208
OG0002853	El007G328960, El007G329000, El007G328980, El007G328900	jg23129
OG0002854	El007G332630	jg22793
OG0002854	El004G207780, El004G207740	jg16801, jg16800
OG0002855	El005G235660	jg23958
OG0002855	El007G332750, El007G335530	jg22783
OG0002856	El001G016580	jg14517
OG0002856	El007G332780	jg22779
OG0002857	El001G020240	jg14881
OG0002858	El001G019110	jg14760
OG0002859	El007G331230	jg22910
OG0002859	El001G015320	jg14398
OG0002860	El003G147930	jg8902
OG0002860	El005G273490	jg27671
OG0002861	El002G084100	jg28549
OG0002861	El004G222780	jg2717
OG0002862	El004G226970	jg3095
OG0002863	El004G233640	jg3689
OG0002863	El002G099950	jg30078
OG0002864	El002G140480	jg33707
OG0002864	El005G249400	jg25328
OG0002865	El002G140050	jg33670
OG0002865	El005G249770	jg25370
OG0002866	El005G250070	jg25402
OG0002867	El005G250220	jg25414
OG0002867	El002G139750	jg33643
OG0002868	El005G252020	jg25589, jg17500
OG0002868	El002G137890	jg33488
OG0002869	El005G258340	jg26209
OG0002870	El004G194480	jg8251
OG0002871	El005G272660	jg27548
OG0002871	El005G272670	jg27549
OG0002872	El003G163910	jg10363
OG0002872	El005G273840	jg27754
OG0002873	El003G152820	jg9385
OG0002873	El005G277270	jg28061
OG0002874	El002G125460	jg28324
OG0002875	El002G135170	jg33226
OG0002876	El002G135330	jg17711, jg17713
OG0002876	El002G133320	jg33038
OG0002877	El001G025910	jg15440
OG0002877	El006G290710	jg19126
OG0002878	El006G288830	jg19333
OG0002878	El001G027710	jg15609
OG0002879	El001G028480	jg15675
OG0002879	El006G288020	jg19413
OG0002880	El001G028780	jg15746
OG0002881	El001G029230, El001G029240	jg20295, jg15795
OG0002882	El007G363140	jg20573
OG0002884	El005G260590	jg26406
OG0002884	El005G260600	jg26407
OG0002885	El005G253860	jg25779
OG0002886	El001G064950	jg5457
OG0002886	El001G064780, El001G064940	jg5459, jg5461
OG0002887	El001G066880	jg5283
OG0002890	El005G279170	jg28288
OG0002890	El003G155550	jg9600
OG0002891	El006G317940	jg16850
OG0002891	El003G152590	jg9365
OG0002892	El006G315440	jg17067
OG0002892	El003G150920	jg9201
OG0002893	El003G150720	jg9187
OG0002893	El006G314920	jg17090
OG0002894	El001G012650	jg14149
OG0002894	El003G150110	jg9126
OG0002895	El006G313380	jg17229
OG0002895	El003G149730	jg9093
OG0002896	El003G175600, El003G148930	jg9002
OG0002896	El005G272300	jg27472
OG0002897	El003G147680	jg8877
OG0002897	El005G273770, El007G357480	jg27747
OG0002898	El005G253390	jg25731
OG0002899	El002G119590	jg31862
OG0002899	El006G295580	jg18677
OG0002900	El006G295360	jg18699
OG0002900	El003G170390	jg10928
OG0002901	El002G093720	jg29469
OG0002902	El004G199100	jg768
OG0002902	El002G094820	jg29591
OG0002903	El002G099220	jg30001
OG0002903	El002G099240	jg30004, jg30003
OG0002904	El001G036860	jg12992
OG0002905	El003G190670	jg25123, jg12617
OG0002905	El001G043170	jg13580
OG0002906	El004G195790	jg506
OG0002906	El003G192500	jg12754
OG0002907	El007G334240	jg22645
OG0002907	El003G158630	jg9877
OG0002908	El007G333550, El003G184560	jg22703
OG0002909	El005G245990	jg25000
OG0002909	El001G077780	jg4225
OG0002910	El001G075600	jg4407
OG0002910	El005G247340	jg25117
OG0002911	El005G248210	jg25196
OG0002911	El001G067770	jg5197
OG0002912	El007G338960	jg22134
OG0002912	El002G111380	jg31086
OG0002913	El007G337930	jg22253
OG0002913	El003G157020	jg9726
OG0002914	El007G336120	jg22450
OG0002914	El003G157890	jg9798
OG0002915	El007G333500	jg22709
OG0002915	El007G333360	jg22722
OG0002916	El002G112810, El002G113060	jg31270, jg31247
OG0002917	El001G069570	jg5035
OG0002917	El001G051680	jg6513
OG0002918	El001G056900	jg6165
OG0002919	El001G074050	jg4617
OG0002920	El007G328620	jg23160
OG0002921	El003G169750	jg10884
OG0002921	El007G366540	jg20300
OG0002922	El003G169180	jg10842
OG0002924	El001G006670	jg7620
OG0002924	El003G162750	jg10252
OG0002925	El003G162550	jg10233
OG0002926	El001G008790	jg7395
OG0002927	El001G009400	jg7333
OG0002927	El002G121780	jg32038
OG0002928	El002G122610	jg32099
OG0002928	El004G223620	jg2806
OG0002929	El002G123420	jg32162
OG0002929	El002G107360	jg30793
OG0002930	El006G297930	jg18491
OG0002930	El002G114100	jg31361
OG0002931	El003G146660	jg8788
OG0002932	El003G145160	jg8635
OG0002932	El006G318400	jg16812
OG0002933	El003G144720	jg8597, jg1112
OG0002933	El006G318850	jg16765
OG0002934	El007G337960	jg8548
OG0002934	El006G319510	jg16697
OG0002935	El003G142640	jg8386
OG0002936	El003G142560	jg8378
OG0002936	El006G321180	jg16560
OG0002937	El003G142450	jg8368
OG0002937	El003G142440	jg8367
OG0002938	El003G142000	jg8319
OG0002938	El006G321710	jg16501
OG0002939	El001G010990	jg7095, jg7150
OG0002939	El001G011010, El001G006850	jg7152, jg7089, jg7093
OG0002940	El006G297120	jg18522
OG0002942	El003G175870	jg11378
OG0002942	El005G265640	jg26636
OG0002943	El003G192270	jg12733
OG0002943	El003G192320	jg12736
OG0002944	El001G034770	jg16323
OG0002944	El006G280380	jg20156
OG0002945	El002G099750	jg30058
OG0002945	El007G333190	jg22739
OG0002946	El006G281740	jg20035
OG0002946	El001G033680	jg16220
OG0002947	El001G032060, El008G369360	jg16092
OG0002947	El006G283620	jg19853
OG0002948	El001G055220	jg19803, jg6320, jg6321, jg6319
OG0002949	El006G284230	jg19801
OG0002949	El004G205200, El004G205230	jg19802
OG0002950	El007G322010	jg23794
OG0002950	El001G021700	jg15032
OG0002951	El006G284930	jg19735
OG0002952	El006G285190	jg19704
OG0002952	El001G031240	jg16011
OG0002953	El006G285380	jg19684
OG0002954	El001G031120	jg16001
OG0002954	El006G285450	jg19675
OG0002955	El001G081670	jg3870
OG0002955	El005G244030	jg24807
OG0002956	El001G059010	jg5968
OG0002956	El001G058850	jg5980
OG0002957	El001G014510	jg14333
OG0002957	El007G330710	jg22967
OG0002959	El001G071650	jg4864
OG0002959	El007G324950	jg23537
OG0002960	El007G323690	jg23644
OG0002961	El007G322630	jg23738
OG0002961	El001G021040, El002G126230	jg14960
OG0002962	El002G114540	jg31399
OG0002962	El002G114530	jg31398
OG0002963	El002G083710	jg28510
OG0002964	El001G002820	jg7987
OG0002964	El001G002830	jg7986
OG0002965	El007G360320	jg20772
OG0002965	El002G085610	jg28696
OG0002966	El002G085770	jg28712
OG0002966	El007G360120	jg20785
OG0002967	El007G359850	jg20806
OG0002967	El002G086000	jg28732
OG0002968	El002G086060	jg28734
OG0002968	El007G359820	jg20809
OG0002969	El002G086530	jg28770
OG0002969	El006G298630	jg18431
OG0002970	El006G298800	jg18416
OG0002970	El002G086640	jg28782
OG0002971	El002G086630	jg28780
OG0002971	El006G298780	jg18417
OG0002972	El002G087300	jg28851
OG0002972	El006G299780	jg18314
OG0002973	El002G088590	jg28968
OG0002973	El006G301330	jg18168
OG0002974	El006G304390	jg17867
OG0002974	El002G090240	jg29115
OG0002975	El003G149870	jg9106
OG0002975	El006G313590	jg17202, jg17214
OG0002976	El001G066980	jg5272
OG0002976	El005G235420	jg23936
OG0002977	El005G235500	jg23942
OG0002977	El001G066800	jg5291
OG0002978	El007G332510	jg22802
OG0002979	El007G336770	jg22370
OG0002979	El003G157650	jg9779
OG0002980	El001G049590	jg6650
OG0002981	El005G241320	jg24547
OG0002981	El001G061410	jg5757
OG0002982	El006G294550	jg18762
OG0002982	El001G023280	jg15200
