Orthogroup	Erysimum_linariifolium	Cochlearia_excelsa
OG0003876	El006G300780	g39832
OG0003877	El003G157100	g47622
OG0003878	El005G241520	g7652
OG0003879	El005G242540	g12961, g7603, g12447
OG0003881	El004G233430	g44301
OG0003882	El002G102400	g50037
OG0003884	El002G111410	g32148
OG0003885	El003G159770	g23810
OG0003885	El007G343550	g28282
OG0003886	El006G317220	g50978
OG0003887	El002G098900	g31558
OG0003889	El002G091670	g27058
OG0003890	El006G301020	g51250, g51247, g26965
OG0003891	El001G065530	g29216
OG0003893	El001G062410	g41477
OG0003894	El001G049470	g10145
OG0003895	El001G028530	g47963, g4983
OG0003896	El007G345400	g4661
OG0003897	El001G076240	g5615
OG0003898	El002G139110, El001G077330	g29756, g5649
OG0003899	El003G189420	g10074
OG0003900	El001G019570, El007G324380	g11376
OG0003901	El001G017330, El007G328080	g19498
OG0003902	El001G016490, El007G332490	g2805
OG0003903	El003G143200	g41506, g22723
OG0003904	El004G229440	g46286
OG0003906	El004G225950	g46077
OG0003907	El004G228710	g17974
OG0003908	El004G232310	g44350
OG0003909	El004G232910	g46516
OG0003910	El005G250460, El001G045770, El001G045780, El005G250450	g7175
OG0003911	El002G121650, El005G250850, El004G216340	g13219
OG0003914	El005G252840	g7042
OG0003916	El005G257300	g11953, g13345
OG0003918	El005G258460	g6715
OG0003919	El005G260130, El005G260120	g6627, g13397, g6625, g6624, g6613
OG0003920	El005G261980	g11788
OG0003921	El005G277930	g5957
OG0003921	El001G010650	g45357
OG0003922	El002G138830, El002G138820, El002G138150	g36631, g11532
OG0003923	El002G131350, El002G131360	g54028, g28110
OG0003924	El001G022070	g2457, g19291
OG0003925	El001G026090, El001G026110	g19113
OG0003928	El005G238700	g12799, g36097
OG0003929	El002G132440	g54094
OG0003930	El002G108250	g49312
OG0003930	El002G083190	g49315
OG0003932	El003G186160	g36833, g33482, g33369, g12886, g27444, g45024, g10848, g53577, g4663
OG0003933	El001G045520, El001G045480	g10353
OG0003935	El001G074590	g45477, g5565
OG0003940	El007G340820	g889
OG0003945	El005G265410	g45703
OG0003948	El003G153200	g23447
OG0003948	El005G277600	g13920
OG0003949	El003G152380	g16974
OG0003950	El002G119370	g32553, g27766
OG0003951	El003G171290	g47157, g24360
OG0003952	El004G208810	g25482
OG0003953	El004G200170, El004G200160	g40986, g40987
OG0003954	El001G037080	g1516, g10735
OG0003955	El001G037990	g16695, g10685
OG0003956	El006G281780	g10486, g1620
OG0003957	El001G042480	g10479
OG0003958	El003G185620	g46794
OG0003958	El004G215320	g45017
OG0003959	El006G288760	g37365, g38148, g51950
OG0003961	El005G246350	g13110, g12342
OG0003962	El005G246960	g13118
OG0003963	El004G196090	g44249
OG0003966	El007G340700, El003G155980	g28393
OG0003967	El001G069310	g29402, g5320
OG0003968	El001G069960	g29433
OG0003969	El001G070190	g29444
OG0003970	El001G071170	g5402
OG0003971	El001G073170	g5492
OG0003972	El003G176150	g45484
OG0003972	El001G074140	g29616
OG0003973	El007G366340	g10895, g40689
OG0003974	El001G023050	g19228
OG0003975	El003G165180	g24043, g24044, g17372
OG0003977	El005G253780, El001G023710	g2382
OG0003978	El002G114880	g27671
OG0003980	El003G145670	g22919
OG0003981	El003G145570	g47971
OG0003982	El003G144470, El003G144460	g22830
OG0003983	El006G319730	g36931
OG0003984	El001G009120	g40300
OG0003985	El007G360560, El007G360450, El007G360580, El007G360700, El007G360670, El007G360590, El007G360630, El001G005210	g40452
OG0003986	El007G363850	g18399
OG0003987	El005G268810	g6405
OG0003987	El003G179200	g24852
OG0003988	El003G175110	g17721
OG0003989	El003G172590	g17645, g24444
OG0003990	El001G042100, El003G192200	g16803
OG0003991	El006G280840	g37710
OG0003992	El006G281040	g50801
OG0003993	El007G335230, El001G033280	g1866
OG0003994	El002G110220	g44729, g44728
OG0003995	El006G284750	g37527
OG0003996	El006G285040	g37521
OG0003998	El001G080800, El008G369520, El008G369510	g45313
OG0003999	El005G245710	g13083
OG0004001	El007G331770	g39238
OG0004002	El007G327020	g18642, g9813
OG0004003	El006G306660	g40101
OG0004004	El001G001100	g25394
OG0004006	El006G306610	g40098
OG0004008	El005G239920	g12839, g12576
OG0004009	El002G131510, El005G242500	g54049
OG0004010	El005G243340	g7560
OG0004011	El001G027300	g2173
OG0004012	El006G289820	g51836
OG0004013	El001G027010	g19049, g2185
OG0004014	El002G125970	g6473
OG0004015	El006G290820	g51758
OG0004016	El006G290520	g51772
OG0004019	El006G291550	g51730, g37288
OG0004021	El001G021930	g2464
OG0004021	El006G291700	g37279
OG0004022	El006G316040	g51031, g38353
OG0004026	El003G159820	g23814
OG0004026	El007G343860	g28264
OG0004027	El003G159370	g17177, g23782
OG0004028	El003G158940	g23752
OG0004028	El007G341360	g23757
OG0004029	El007G339350	g928
OG0004030	El006G316910	g50992
OG0004031	El006G295150, El006G295140	g51548
OG0004033	El002G095690	g31369
OG0004035	El002G090300, El002G090470	g31074
OG0004036	El007G351360, El001G012000	g1069
OG0004037	El005G267930, El002G084680, El005G260270	g49394
OG0004038	El001G065340	g29205
OG0004039	El001G051280	g10108
OG0004040	El001G049260, El001G049320	g4683, g10152
OG0004043	El007G346060, El005G269110	g4634, g10208
OG0004044	El001G077130	g29741, g5645
OG0004045	El001G054340	g570
OG0004046	El001G056370	g9986
OG0004047	El001G056430, El007G346830	g18585
OG0004048	El007G330100	g452
OG0004049	El007G329250	g416
OG0004050	El001G013670, El001G057470	g28857
OG0004051	El001G012510	g11469
OG0004051	El001G058330	g781, g780
OG0004052	El004G223160	g44658
OG0004053	El004G231590	g46432
OG0004054	El003G187100	g7273
OG0004055	El005G249700, El001G051600	g12221, g7217
OG0004056	El003G172230	g17620, g24418
OG0004057	El005G253990	g12055, g6973
OG0004058	El005G254000	g12051, g6968
OG0004059	El005G254980	g6912
OG0004060	El005G255240, El006G320300	g13298
OG0004061	El005G255360	g12018
OG0004062	El005G255790	g6870, g13308
OG0004063	El005G256000	g13316, g11994
OG0004064	El002G134960	g13357
OG0004065	El005G259070	g6691
OG0004066	El005G261150	g11823
OG0004067	El005G267550, El007G352750	g11399
OG0004068	El007G344800, El005G272860	g13689
OG0004069	El002G133300	g36387, g54123
OG0004070	El005G251390	g12157
OG0004071	El001G028270, El002G127220	g19005
OG0004072	El001G029140	g18977
OG0004072	El006G287280	g52017
OG0004073	El001G030860	g1642, g11201, g2011, g18899
OG0004079	El072G376470	g30304, g30286, g20245, g20213, g20261, g30318, g30272
OG0004082	El001G009760, El001G001990	g45113, g39516
OG0004087	El001G011860, El006G300190	g3959, g6639, g4830
OG0004088	El006G293950	g25174
OG0004092	El003G152520	g47750, g16984
OG0004093	El003G152150	g47760
OG0004094	El003G148870	g18182, g23156
OG0004095	El003G148780	g18183, g47859, g23150
OG0004096	El003G148160	g47876
OG0004097	El004G203700, El004G205020	g41075
OG0004099	El001G036190	g10808
OG0004101	El007G336660, El003G162300	g1016, g39371, g3761
OG0004102	El003G193490	g16761
OG0004104	El007G341600	g28358
OG0004106	El007G337600	g39400, g973
OG0004108	El007G335900	g1058, g28551
OG0004110	El001G072300	g29547
OG0004111	El001G073540	g45496
OG0004112	El007G329300	g9897
OG0004113	El003G167970	g47275
OG0004114	El003G167940	g24177
OG0004115	El003G167590	g47284, g24160
OG0004116	El003G165200	g47353
OG0004117	El003G164860	g24031
OG0004118	El003G164190	g17851, g23989
OG0004119	El002G121540	g32690
OG0004120	El003G164950	g47363, g17394
OG0004121	El002G127690	g28172, g35943, g53793
OG0004122	El002G127270	g53741, g28200, g28203
OG0004123	El002G114980	g50498
OG0004124	El002G117550	g32494
OG0004125	El003G145520	g22912
OG0004126	El007G343820	g37190, g51612
OG0004127	El003G144570	g38477
OG0004128	El003G141990	g18353
OG0004129	El002G090270	g49580
OG0004130	El001G044530	g10378
OG0004131	El005G279510	g14183, g43060, g14177, g14168, g14114, g14140, g14133, g14188, g14171, g14156, g14151, g14185, g32545, g14130, g14126, g14117, g14144, g14153, g14136, g14160, g14127, g14165
OG0004132	El006G298280, El002G126120	g37964
OG0004133	El007G358030	g37050
OG0004134	El007G357050, El002G130930	g36266
OG0004135	El003G161040	g23863
OG0004136	El001G006780	g25671
OG0004137	El007G366290	g40687, g10897
OG0004139	El003G192390	g16795
OG0004140	El006G280440	g37727
OG0004141	El006G280860	g50810, g37708
OG0004142	El006G284570, El006G284580	g52161
OG0004143	El006G285180	g38218, g52124
OG0004144	El006G285960	g37474
OG0004145	El006G286110	g52088, g37468
OG0004146	El001G030200	g1984, g18945
OG0004147	El001G059020	g745
OG0004148	El001G058480	g28885
OG0004149	El001G057240	g827, g826, g825
OG0004150	El007G330840	g28798
OG0004151	El007G332360	g39259, g1234
OG0004153	El001G000370	g25350
OG0004154	El001G001290	g45262
OG0004155	El001G001340	g25404
OG0004156	El001G002890	g39583
OG0004157	El001G002910	g25467
OG0004158	El001G079980, El007G359360	g39714
OG0004159	El002G086150	g30862
OG0004160	El006G300290	g39821, g51280
OG0004161	El006G300450	g51272
OG0004162	El006G302160	g39911
OG0004163	El006G302250	g39915
OG0004164	El006G302430	g5558, g37895
OG0004165	El006G304070	g40017
OG0004165	El002G090060	g49565
OG0004166	El006G312520, El001G012180	g38289
OG0004167	El003G156990	g50103, g31546, g25051, g24456, g23643
OG0004168	El001G067270	g45656
OG0004169	El005G237370	g12660
OG0004170	El005G238530	g7800, g12615
OG0004171	El001G047300	g10180
OG0004172	El005G239860	g7721, g12837
OG0004173	El005G239770	g7726
OG0004174	El005G242870	g7583, g12974, g12438
OG0004175	El006G289070	g51907
OG0004176	El006G292490	g51666, g38086
OG0004178	El002G100240	g49964
OG0004178	El002G124630, El001G055640, El001G023650	g31641
OG0004179	El002G103210	g50060
OG0004180	El001G040090	g31897
OG0004181	El002G105080	g27467
OG0004182	El004G223930	g45969
OG0004183	El003G160130	g17205, g23828
OG0004184	El003G160030	g23823
OG0004185	El003G159860	g17195
OG0004186	El003G189720, El001G010430	g40244
OG0004187	El003G159490	g17181, g23790
OG0004188	El007G341720, El003G183610	g1307
OG0004189	El002G096490	g31415
OG0004189	El001G041100	g10557
OG0004190	El002G096020	g31390, g49824
OG0004192	El001G009000	g19346
OG0004193	El007G341260, El004G198200	g45718, g3836
OG0004194	El001G064990, El001G065000, El001G064830	g5053
OG0004195	El001G063700, El006G319130	g4996
OG0004196	El001G050270	g10128, g51931, g51929, g51936, g4791
OG0004197	El001G074830	g5574, g5570, g2956
OG0004198	El001G052210, El001G052200	g10087
OG0004199	El003G150900	g41629
OG0004200	El001G055650, El001G055660	g18571
OG0004202	El007G329890	g9929
OG0004203	El003G155590	g9856, g356
OG0004204	El007G328020	g9850, g344
OG0004205	El007G332910	g1198
OG0004206	El001G019490	g19394
OG0004208	El004G226170, El001G010080	g46093
OG0004209	El004G223310	g45927
OG0004210	El004G223500	g45934, g44642
OG0004211	El006G312050, El004G223940	g45968, g19479
OG0004212	El004G230890	g46387
OG0004213	El004G226770	g44541
OG0004214	El004G225390, El004G213830, El004G213810	g46053
OG0004216	El004G233630	g46556
OG0004217	El005G248510	g7289
OG0004218	El005G251790	g13233
OG0004219	El005G252170	g7073
OG0004220	El005G252700	g7046
OG0004222	El005G255370	g12017, g6891
OG0004223	El005G256410	g13327
OG0004224	El005G256730	g6815, g11961
OG0004225	El005G257100	g6789, g11956
OG0004226	El005G259260	g11877, g6687
OG0004227	El005G260080	g11858, g6630
OG0004228	El005G260090	g13396, g6629
OG0004229	El005G261070	g11832, g11831
OG0004230	El005G261210	g4678, g6590, g13422
OG0004231	El005G261990	g13441, g11787
OG0004232	El005G265210	g11753
OG0004233	El005G265680	g6505, g13475
OG0004234	El005G275530	g6035
OG0004235	El005G277520	g5975, g13925, g53828
OG0004236	El003G154950	g23521
OG0004237	El003G184000, El003G183990	g25108
OG0004239	El002G140860	g54361, g36735
OG0004240	El002G139680	g36681
OG0004241	El002G139330	g36663, g54304
OG0004242	El002G138180	g54291
OG0004243	El002G138460	g36614
OG0004244	El002G135680	g36493
OG0004245	El001G042710	g28099, g45806
OG0004246	El002G131630	g54052
OG0004247	El006G296400	g51470
OG0004248	El005G241930	g12936, g12481
OG0004249	El001G051830	g10094
OG0004250	El003G183310, El004G233960	g44291
OG0004251	El001G028830	g11242, g18988, g2091
OG0004252	El001G029480, El006G287000	g37437
OG0004253	El001G032600, El004G213190, El003G174290	g18714
OG0004254	El001G076630, El001G033690	g11165, g1834
OG0004255	El001G034580	g36017
OG0004259	El007G337990	g27619, g18122, g54158
OG0004260	El003G180150, El003G178840	g39453
OG0004263	El006G318790	g38443
OG0004265	El002G113520	g50439
OG0004269	El004G211590, El004G211580, El004G204440	g35184
OG0004275	El003G154790	g47688, g23511
OG0004276	El005G277420	g18202, g23107
OG0004277	El003G152910	g47737, g23424
OG0004278	El003G151820	g47768, g16962
OG0004279	El003G151580	g23331
OG0004280	El003G149460	g47839
OG0004281	El003G148570	g47860, g23141
OG0004282	El003G147830, El004G233250	g18209, g23074
OG0004283	El003G147200	g23021
OG0004284	El002G118360	g27750
OG0004285	El002G119560	g27775
OG0004286	El004G208730, El004G208700	g41123
OG0004287	El001G036220	g10806
OG0004288	El001G037790	g10702, g1523
OG0004289	El001G039360	g10626
OG0004290	El001G041970	g10507
OG0004291	El007G366440	g6500
OG0004292	El001G043650	g10414
OG0004293	El004G211550	g17888
OG0004294	El006G286540	g52056
OG0004295	El006G288200	g37381
OG0004296	El005G245330	g7448
OG0004297	El005G246710	g12329
OG0004298	El005G247610	g12308, g7349
OG0004299	El007G343320	g41158, g28297, g1365
OG0004300	El007G342820	g28327
OG0004301	El007G342750	g28328
OG0004302	El007G342260	g41171
OG0004303	El003G157920	g23692
OG0004304	El007G333570	g39285, g1142
OG0004305	El001G051550	g10098, g18531
OG0004306	El001G068260	g5270, g29354
OG0004307	El001G069650	g29424, g5343
OG0004308	El001G071140	g29480
OG0004309	El001G073320	g29585
OG0004310	El001G073640	g29598, g5513
OG0004311	El007G365030	g40629
OG0004312	El003G168320	g17480
OG0004313	El003G167290	g17452
OG0004314	El003G165790	g24074
OG0004315	El003G165390	g24057, g17379
OG0004316	El003G165070	g47357
OG0004317	El003G164960	g17393, g48347
OG0004318	El003G162830, El003G184430	g23947, g17284
OG0004319	El003G162690	g23941
OG0004321	El003G160780	g23851
OG0004324	El005G261580	g13431
OG0004325	El007G353050, El007G352990, El007G352940, El002G138480, El007G352960, El007G353020	g36612
OG0004326	El002G115620	g32405
OG0004327	El002G117080	g27702, g32469
OG0004328	El002G117220	g50546, g32475
OG0004330	El003G146420	g18234, g22972
OG0004331	El003G145310	g18260, g22890
OG0004332	El003G145220	g22884
OG0004333	El001G009310	g40289
OG0004336	El003G182540	g46902
OG0004337	El005G269380	g11658
OG0004338	El003G179720, El005G252260	g46942, g46811
OG0004339	El003G175080	g17720, g24529, g41858, g1827
OG0004340	El003G174470	g17716
OG0004341	El003G174240, El001G076320	g24498
OG0004343	El001G035220	g18745
OG0004344	El006G280850	g37709, g50812, g38255
OG0004345	El006G281710	g50778, g37658
OG0004346	El006G281970	g37646
OG0004347	El004G228970	g37538
OG0004348	El006G285730	g52108, g37487
OG0004349	El001G029660	g2038
OG0004351	El006G289670	g51847
OG0004352	El006G289680	g37345
OG0004353	El001G058130	g41360
OG0004354	El007G331930	g1255
OG0004355	El007G326860	g9810
OG0004356	El007G326500	g9789
OG0004357	El007G324680	g9714
OG0004358	El007G323320	g63
OG0004359	El007G323150	g53, g9659
OG0004360	El001G068680, El002G082530	g49287, g30727
OG0004361	El001G000690	g38232
OG0004362	El002G085320	g30827
OG0004364	El006G298570	g51350
OG0004365	El002G088320	g49525
OG0004366	El006G301240	g51237, g39856
OG0004368	El006G302190	g39913, g51210
OG0004369	El006G302330	g39924, g51204
OG0004370	El006G302390	g51195, g39926
OG0004371	El006G302920	g51182, g39958
OG0004372	El005G235640, El006G301590	g19669, g54387
OG0004373	El005G237000	g7858, g12758, g12675
OG0004374	El005G240110	g7713, g12853
OG0004375	El001G049620, El008G369200, El008G369580	g4781
OG0004376	El005G240470	g53285, g7701, g12870
OG0004377	El005G241070	g7675
OG0004378	El005G241280, El001G026360	g7661
OG0004379	El005G241580	g7648, g12491
OG0004380	El005G242550	g12446, g7602
OG0004381	El006G294860	g37146, g51562
OG0004382	El006G294670	g37150
OG0004383	El006G293590	g51617
OG0004384	El001G024200	g2340
OG0004385	El002G100110	g49957, g31632
OG0004386	El002G101860	g50015, g31723, g27383
OG0004387	El004G225710, El004G225690	g44568
OG0004388	El002G102680	g50045
OG0004389	El002G102900	g50051
OG0004391	El004G223910	g45971
OG0004393	El002G111260	g50362, g32153
OG0004394	El002G112340	g32221, g27615
OG0004395	El003G159840	g13728, g13731
OG0004396	El006G317130	g38390
OG0004397	El002G097040	g27222, g31454
OG0004398	El002G096410	g49848, g31410
OG0004399	El002G096290	g31402
OG0004400	El002G095270	g49787, g31344
OG0004401	El002G094150	g49762
OG0004402	El002G093660	g31266
OG0004403	El002G093060	g49721
OG0004404	El002G091790	g49640, g31156
OG0004405	El002G090720	g31099
OG0004406	El002G090540	g49599
OG0004407	El001G066260	g5129
OG0004408	El001G065060	g45724, g5057
OG0004409	El001G064110	g5016, g29159
OG0004410	El001G062080	g29051, g29055, g4914
OG0004411	El001G061990	g41459
OG0004412	El001G051130, El001G051180	g10111, g4851
OG0004413	El001G049720	g4787, g10135
OG0004414	El007G349480	g10281
OG0004415	El001G076040, El002G132950	g5610
OG0004416	El001G052550, El001G052540	g610, g10064
OG0004418	El001G056500	g9971, g494
OG0004419	El001G056980	g464
OG0004420	El007G329490	g427
OG0004422	El004G219110	g41557
OG0004423	El004G220860	g45811
OG0004424	El004G221780	g45843
OG0004425	El004G222340	g45874, g44688
OG0004426	El004G223730	g45980
OG0004427	El004G224030, El004G224010	g44618
OG0004428	El004G228120	g44451, g46212
OG0004429	El001G045080, El004G227130	g17986
OG0004430	El004G227100	g46148
OG0004430	El004G227090	g46147
OG0004431	El004G224990	g44588
OG0004432	El004G231970	g46464
OG0004433	El004G232390	g46493
OG0004434	El004G232770	g46513
OG0004435	El004G233170	g44315
OG0004436	El005G248730	g13149, g12259, g7271
OG0004437	El005G250240	g13209
OG0004438	El005G250380	g7182
OG0004440	El005G251600	g7113, g12146
OG0004441	El005G251900	g13234, g7089
OG0004442	El005G252060	g7077, g11394, g12139
OG0004443	El005G252960	g13259
OG0004445	El005G257370	g11948
OG0004446	El005G257740	g11940
OG0004447	El005G258900	g11886
OG0004448	El005G258920	g11884, g6694
OG0004449	El005G259460	g6676
OG0004450	El002G139630, El005G260290	g11855
OG0004451	El005G264490	g6541, g13460
OG0004452	El006G313260, El003G149690	g38303
OG0004453	El005G276890	g13953
OG0004454	El005G276300	g13979, g6025
OG0004455	El005G277460	g5981
OG0004456	El006G294790	g13850
OG0004458	El003G190400, El002G135860	g36508, g54186
OG0004459	El002G134750	g54177
OG0004460	El002G132310	g36339, g28100
OG0004462	El001G022260	g2442
OG0004463	El001G024670	g2320
OG0004464	El001G026010	g2234
OG0004466	El001G028080	g19015
OG0004467	El007G339890, El007G339900	g912
OG0004468	El001G029580	g18965
OG0004469	El001G029700	g18961
OG0004470	El001G030230	g18944, g1987
OG0004471	El006G283120	g52223
OG0004472	El002G136490, El001G033450	g1859, g1860
OG0004474	El001G035320	g18753
OG0004475	El002G133130	g54119
OG0004477	El007G345080	g25771
OG0004478	El001G032140	g18823
OG0004480	El001G079290	g5728
OG0004482	El002G109530, El002G109520	g50318, g50319, g50320
OG0004484	El007G341300	g50021
OG0004484	El003G171890	g29432, g50694
OG0004485	El001G038620	g41645
OG0004485	El001G031210	g41649
OG0004485	El001G038640	g32932, g3164, g3155
OG0004486	El001G001410	g37175
OG0004488	El001G068040	g45624
OG0004498	El003G155670	g23565, g17050
OG0004499	El003G155350	g23545, g17037
OG0004500	El003G154930	g23520
OG0004501	El003G153190	g13921, g23446
OG0004502	El007G334380	g28635, g1100
OG0004503	El003G152850	g23421
OG0004504	El006G317890, El003G152560	g23392
OG0004505	El003G152430	g16982, g23386, g47751
OG0004508	El003G151130	g16943, g23307
OG0004509	El003G150690	g23285
OG0004510	El006G314730	g16931, g23283
OG0004511	El003G149680	g23212
OG0004512	El003G148090	g47878, g23100
OG0004513	El003G147980	g47881
OG0004514	El003G170740	g24328
OG0004515	El004G201720	g44099, g41042
OG0004516	El004G199600	g44173
OG0004518	El003G161370	g23880
OG0004519	El001G036400	g10792
OG0004521	El001G040010	g10603
OG0004522	El001G043110	g10439
OG0004523	El001G044370	g10394
OG0004524	El001G045670	g10349
OG0004526	El002G095910	g31385
OG0004527	El005G248400	g7301, g12275
OG0004529	El005G248100	g7319, g12288
OG0004530	El007G331150	g1287
OG0004531	El007G336270	g1036, g28529, g39360
OG0004532	El007G335950	g1056
OG0004533	El007G335280	g39341
OG0004534	El007G335160	g28565, g120
OG0004536	El007G333660	g28668
OG0004537	El006G317850	g10303
OG0004538	El001G068880	g29391, g5300
OG0004539	El001G069100	g5310
OG0004540	El001G069480	g29410
OG0004541	El001G069640	g29423
OG0004542	El001G070540	g29458
OG0004543	El001G071250	g29489
OG0004544	El001G071700	g29504
OG0004545	El001G072870	g45508, g29569
OG0004546	El001G073720	g29601, g5518
OG0004547	El001G074330	g45480, g29628, g5542
OG0004548	El003G168120	g17478, g47271
OG0004549	El003G168000	g24180
OG0004550	El003G167030	g47298
OG0004551	El003G162930, El001G006140	g17289
OG0004552	El003G161560	g47461
OG0004553	El003G161540	g47463
OG0004554	El003G160800	g17232
OG0004557	El002G128820	g53976
OG0004558	El002G113750	g32318
OG0004559	El002G114250	g32351, g50474
OG0004560	El002G114310	g32354, g50484
OG0004561	El002G115800	g32413
OG0004562	El002G116250	g50526, g32445
OG0004563	El002G093540, El002G117600	g32497, g27719
OG0004564	El003G146820	g22999, g47919
OG0004565	El003G146720	g22991, g47725
OG0004566	El003G145730	g22924
OG0004567	El003G143150	g22718, g25970
OG0004568	El003G184170	g46845
OG0004569	El003G184890, El004G214240	g46833
OG0004570	El003G189530	g47917
OG0004571	El001G017140	g19507
OG0004572	El006G295980	g51500
OG0004573	El007G366010	g40673, g10905
OG0004574	El006G295340	g38009, g51538
OG0004575	El006G298210	g37073
OG0004577	El001G007870	g40351, g25741
OG0004578	El001G004920	g25549
OG0004579	El007G360900, El007G360800	g40490
OG0004580	El007G360960	g11053
OG0004581	El007G364510	g40608
OG0004582	El007G366030	g10903
OG0004583	El003G181520, El003G180050	g17612
OG0004584	El003G177570	g17880
OG0004585	El003G175930	g17774, g47036, g24573
OG0004586	El005G261010	g11835
OG0004587	El006G282720	g37619
OG0004588	El006G283310	g37587, g38243
OG0004589	El006G284070	g52183, g37562
OG0004590	El006G284080	g52182
OG0004591	El006G284120	g37558
OG0004592	El006G285430	g37502
OG0004593	El001G080810	g29857
OG0004594	El001G079430	g45352, g5737
OG0004595	El001G059340	g28923
OG0004596	El001G059050	g41380
OG0004597	El001G058260	g28879, g786
OG0004598	El001G057610	g28865, g808
OG0004599	El004G208300, El007G327440	g9824
OG0004600	El007G326850	g9809, g275
OG0004601	El007G326390, El004G217300	g9787
OG0004602	El007G325880	g222
OG0004604	El007G324640	g9711, g149
OG0004606	El007G322770	g9638
OG0004607	El001G021520	g2486, g19318
OG0004609	El001G002770	g39553
OG0004610	El007G359010, El007G359000	g11111
OG0004611	El006G299030	g51325
OG0004612	El006G300840	g37906, g51254, g39838
OG0004613	El006G304360	g51115, g49572
OG0004614	El006G307420	g36766
OG0004615	El006G306690, El004G222880	g40105
OG0004616	El002G100540, El005G235400	g54308
OG0004617	El005G235260, El001G067220	g18346
OG0004618	El001G067570	g29327, g5221
OG0004619	El005G256840	g12725
OG0004620	El005G243800	g7539, g12413, g12986
OG0004621	El001G045390, El005G237010	g12674
OG0004622	El001G064160, El005G237240	g7838
OG0004624	El005G240800	g7687
OG0004625	El005G240970	g7683, g12516, g12905
OG0004626	El005G241150	g7665
OG0004627	El005G241180	g12508
OG0004628	El005G241500	g7653, g12494
OG0004629	El005G242670	g7594
OG0004630	El005G243090	g12435, g7573
OG0004631	El005G243140	g7570
OG0004632	El005G243330	g12984
OG0004633	El005G243370	g7558
OG0004634	El006G289000	g51914
OG0004635	El006G289330	g37349
OG0004636	El006G289370	g51871, g37350
OG0004637	El006G289570	g51861
OG0004638	El006G290110, El003G150010	g51801
OG0004639	El006G294420	g51579
OG0004640	El006G294320	g51584
OG0004641	El006G293680	g51609, g38050
OG0004642	El006G292740	g51651
OG0004643	El006G291540	g38100
OG0004644	El002G099960	g27328
OG0004645	El002G100010	g27331, g31626, g49955
OG0004646	El002G102000	g31736, g27397
OG0004647	El002G102750	g50049, g31788
OG0004648	El002G104220	g50108
OG0004649	El002G105910	g50193
OG0004650	El002G106440	g32018, g27508
OG0004651	El002G108690	g50293
OG0004652	El002G108890	g32095
OG0004653	El002G108860	g50298, g32097
OG0004654	El002G110250	g32138
OG0004655	El003G160200	g17206
OG0004656	El003G159920	g47522, g23820
OG0004657	El003G159850	g23816, g17192
OG0004659	El006G315560	g51034
OG0004660	El006G316000, El006G316020	g38350, g38352
OG0004661	El002G096050	g31391
OG0004662	El001G076610, El002G093180	g49724
OG0004664	El002G092570	g27096, g31214
OG0004665	El002G092340	g31188, g27086
OG0004667	El002G091770	g27060
OG0004668	El002G091240	g49674, g31123
OG0004669	El002G090670	g31097
OG0004670	El002G089560	g31045
OG0004671	El002G086960	g30899, g49469
OG0004672	El001G067290	g45655
OG0004673	El001G064550	g5045
OG0004674	El001G063020	g29013, g4963
OG0004676	El001G062130	g29048, g41467
OG0004678	El001G061260	g29094
OG0004679	El001G050760	g18520
OG0004680	El001G048790	g10157
OG0004681	El001G047290	g10181
OG0004682	El007G345550, El007G345920, El007G345590, El007G345830, El007G345720	g10199, g4640
OG0004683	El007G348650	g10260
OG0004684	El007G344020	g10261
OG0004685	El001G067910	g28125, g5248, g29338
OG0004686	El007G350990	g10295
OG0004687	El001G031160, El001G031140, El004G213460	g2027, g18883
OG0004688	El001G075890	g45451, g5602, g29689
OG0004689	El001G076940	g5642, g45425
OG0004691	El001G052430	g35651
OG0004692	El001G052530	g611
OG0004693	El001G053530	g10046
OG0004694	El001G056810	g479
OG0004695	El007G328760	g9877
OG0004696	El007G328550	g375
OG0004697	El007G328410	g365, g18604
OG0004698	El007G328310	g362
OG0004699	El007G328200	g357, g18607
OG0004700	El007G327770	g332
OG0004701	El001G021260	g19336
OG0004702	El001G018540	g19440, g19452, g2681
OG0004703	El001G018050	g2715
OG0004704	El006G308430, El006G308480, El006G308530, El006G309390, El006G308400	g19532
OG0004705	El005G268260	g11695, g13520
OG0004707	El004G220340	g45787, g44766
OG0004708	El004G220520	g44764, g45796
OG0004709	El004G221190	g44716
OG0004710	El004G223800	g44622
OG0004711	El004G224150	g45957
OG0004712	El004G229220	g46266, g13626
OG0004713	El004G228350	g44438
OG0004714	El004G228090	g44453, g46207
OG0004715	El002G111790	g27598, g50369
OG0004716	El004G227060	g44515
OG0004717	El002G102160	g50028
OG0004718	El004G232490	g44342
OG0004719	El004G233400	g46541
OG0004720	El004G233710	g46562
OG0004721	El004G233910	g46573
OG0004722	El004G234010	g44288
OG0004723	El004G234120	g44284
OG0004724	El004G234130	g44283
OG0004725	El002G099520	g27304, g49941, g31601
OG0004727	El005G248680	g12260, g7275
OG0004728	El005G249040	g12250
OG0004729	El005G249420	g7234, g13182
OG0004730	El005G250050	g12211
OG0004731	El005G251280	g7134, g13228
OG0004732	El005G251440	g13230, g7122
OG0004733	El005G251970	g7083
OG0004734	El005G253570	g13271
OG0004735	El002G131480	g54043
OG0004737	El005G255910	g6864
OG0004738	El005G256130	g11988, g6855
OG0004739	El005G256400	g13326, g11978
