Orthogroup	Erysimum_linariifolium	Arabidopsis_lyrata_NCBI
OG0001795	El005G236700	XP_020887331.1
OG0001795	El001G065270	XP_002873754.1
OG0001796	El005G237440	XP_002882276.1
OG0001796	El001G063800	XP_020878778.1
OG0001797	El001G063270	XP_020877290.1
OG0001797	El005G237880	XP_020888864.1
OG0001798	El001G051500	XP_002872209.1
OG0001798	El005G241040	XP_002884547.1
OG0001799	El001G049640	XP_020876891.1
OG0001799	El005G241060	XP_020887154.1
OG0001800	El005G241570	XP_020886389.1
OG0001800	El001G062020	XP_020878545.1
OG0001801	El007G346960	XP_020869482.1
OG0001801	El005G242280	XP_002884619.1
OG0001802	El004G216120, El004G216130	XP_002887070.1
OG0001802	El004G216090	XP_020865962.1
OG0001803	El006G294330	XP_020885224.1
OG0001803	El001G023460	XP_002876174.2
OG0001804	El004G233300	XP_002887798.1
OG0001804	El002G100180	XP_020867602.1
OG0001805	El004G232290	XP_020890480.1
OG0001805	El002G100830	XP_020868122.1
OG0001806	El004G224380	XP_020889687.1
OG0001806	El002G101400	XP_002890217.1
OG0001807	El006G295230	XP_002879573.1
OG0001807	El002G103790	XP_020870090.1
OG0001808	El004G228880	XP_002889057.1
OG0001808	El002G104630	XP_020868655.1
OG0001809	El004G221530	XP_020891199.1
OG0001809	El002G109610	XP_002893329.1
OG0001810	El002G111250	XP_020867942.1
OG0001810	El004G220370	XP_020891725.1
OG0001811	El004G218800	XP_002887164.2
OG0001811	El002G112320	XP_020870038.1
OG0001812	El004G218670	XP_020865969.1
OG0001812	El002G112420	XP_002890697.1
OG0001814	El006G320670	XP_002878564.2
OG0001814	El003G142730	XP_002868895.1
OG0001815	El001G062000	XP_002871826.2
OG0001815	El001G062010	XP_020878551.1
OG0001816	El005G240000	XP_020886886.1
OG0001816	El001G049220, El002G126610	XP_020876899.1
OG0001817	El001G076650	XP_002871172.1
OG0001817	El005G246660	XP_002882718.1
OG0001818	El001G019310	XP_020882290.1
OG0001818	El001G055350	XP_002874198.1
OG0001819	El007G322530	XP_002865065.1
OG0001819	El001G021130	XP_002876054.1
OG0001820	El001G018460	XP_020879951.1
OG0001820	El001G056390	XP_002872066.1
OG0001821	El002G137170	XP_002891695.1
OG0001821	El005G252660	XP_020886235.1
OG0001822	El002G136510	XP_002891670.1
OG0001823	El005G278770	XP_002884194.2
OG0001824	El006G292810	XP_020883682.1
OG0001824	El001G024360	XP_020880037.1
OG0001825	El001G026860	XP_020879648.1
OG0001826	El001G028130	XP_002878106.1
OG0001826	El006G288290	XP_002879911.1
OG0001827	El001G028340	XP_002878123.1
OG0001827	El001G028330	XP_020881758.1
OG0001828	El006G284100	XP_020884934.1
OG0001828	El001G031880	XP_020880775.1
OG0001829	El001G042560	XP_020879957.1, XP_020871180.1, XP_020882505.1, XP_020882504.1, XP_020879853.1, XP_020879911.1
OG0001830	El001G030050, El001G030020, El001G030060	XP_020880517.1
OG0001831	El007G366750	XP_020885818.1
OG0001831	El007G366760	XP_002863333.1
OG0001832	El006G311880	XP_020884644.1
OG0001833	El003G151290, El007G355170, El007G349780	XP_020872458.1
OG0001833	El003G151310	XP_020872304.1
OG0001834	El002G099850	XP_020866294.1
OG0001835	El002G104460	XP_020869860.1
OG0001835	El002G104470	XP_020869861.1
OG0001836	El004G198360	XP_020889834.1
OG0001836	El004G198350	XP_002886482.1
OG0001838	El003G169520	XP_002868063.1
OG0001838	El003G169530	XP_020874211.1
OG0001840	El007G363170	XP_002863494.1
OG0001844	El003G154430	XP_002869445.1
OG0001844	El005G278230	XP_020889360.1
OG0001845	El003G152640	XP_002869378.2
OG0001846	El005G274690	XP_020887412.1
OG0001846	El003G147050	XP_002867081.1
OG0001847	El003G170500	XP_020874045.1
OG0001847	El003G170510	XP_020874043.1
OG0001848	El004G201670	XP_002886648.1
OG0001848	El002G093440	XP_002892573.1
OG0001849	El004G199570	XP_020890046.1
OG0001849	El004G199580	XP_002886550.1
OG0001850	El001G041770	XP_020882459.1
OG0001851	El003G191690	XP_002870688.1
OG0001851	El001G042290	XP_002877047.1
OG0001852	El003G189520	XP_020872969.1
OG0001853	El001G013680	XP_002875699.1
OG0001854	El004G215170	XP_020889725.1
OG0001855	El004G213220	XP_002886920.1
OG0001855	El003G165440	XP_002867884.1
OG0001856	El004G198060	XP_020865856.1
OG0001856	El002G095480	XP_020869241.1
OG0001857	El003G158380	XP_020873470.1
OG0001857	El007G334850	XP_020888998.1
OG0001858	El001G078440	XP_002871078.1
OG0001858	El005G245620	XP_002882659.1
OG0001859	El005G245930	XP_002882680.1
OG0001859	El001G078010	XP_020877899.1
OG0001860	El001G076640	XP_020876028.1
OG0001860	El005G246670	XP_020888302.1
OG0001861	El005G246770	XP_020888291.1
OG0001861	El001G076420	XP_020876014.1
OG0001862	El001G075350	XP_020877614.1
OG0001862	El005G247630	XP_020888248.1
OG0001863	El003G159360	XP_020873398.1
OG0001863	El007G342570	XP_002864114.1
OG0001864	El007G337920	XP_002864337.1
OG0001864	El003G157030	XP_002867516.1
OG0001865	El007G337710	XP_020871292.1
OG0001865	El003G157130	XP_020873316.1
OG0001866	El007G337450	XP_002864361.1
OG0001866	El003G157320	XP_002867528.1
OG0001867	El007G334210	XP_020871807.1
OG0001867	El003G158640	XP_020873432.1
OG0001868	El001G069410	XP_002871512.1
OG0001869	El001G071390	XP_020876720.1
OG0001870	El007G324750	XP_002866669.1
OG0001870	El001G071560	XP_020876763.1
OG0001871	El007G325040	XP_020868724.1
OG0001872	El007G325640	XP_002866633.1
OG0001872	El001G072140	XP_020876647.1
OG0001873	El001G072510	XP_020877761.1
OG0001873	El001G072520	XP_020877764.1
OG0001874	El001G072930	XP_020878501.1
OG0001875	El001G073590	XP_020875770.1
OG0001875	El001G057050	XP_020877088.1
OG0001876	El007G329880	XP_020882839.1
OG0001876	El001G073780	XP_002871302.1
OG0001877	El001G074360, El007G361230	XP_002871269.1
OG0001877	El007G329080	XP_020868734.1
OG0001878	El003G169500	XP_020874209.1
OG0001878	El007G366430	XP_020871079.1
OG0001879	El003G168880	XP_002868030.1
OG0001879	El007G365590	XP_020871588.1
OG0001880	El003G168490	XP_020874373.1
OG0001880	El003G168500	XP_020874372.1
OG0001881	El003G165050	XP_002869915.2
OG0001882	El001G004950	XP_020876470.1
OG0001882	El003G164470	XP_020873746.1
OG0001883	El001G005140	XP_020878399.1
OG0001883	El003G164080	XP_002867826.1
OG0001884	El002G099270	XP_020870060.1
OG0001884	El004G201750	XP_020890274.1
OG0001885	El002G120850	XP_002891032.2
OG0001885	El001G008930	XP_002874627.1
OG0001886	El002G123760	XP_002893885.1
OG0001886	El001G010120	XP_020878840.1
OG0001887	El001G010980	XP_020877462.1
OG0001887	El002G125420	XP_002893922.1
OG0001888	El002G115000	XP_002893549.1
OG0001888	El006G297620, El006G297650	XP_002881324.1
OG0001889	El005G276660	XP_020887398.1
OG0001889	El003G145650	XP_020875558.1
OG0001890	El003G144020	XP_002868953.1
OG0001890	El003G144080	XP_002868955.1
OG0001891	El003G158510	XP_020873235.1
OG0001891	El002G093730	XP_002892589.1
OG0001892	El007G358360	XP_002863689.1
OG0001892	El002G113350	XP_020868007.1
OG0001893	El001G008750	XP_002872519.1
OG0001893	El001G008770	XP_002888500.2, XP_002872518.1
OG0001894	El006G289800	XP_002881686.1
OG0001894	El001G005700	XP_020877722.1
OG0001895	El007G366460, El001G061110	XP_020866520.1, XP_002865125.2
OG0001895	El007G366450	XP_002865126.1
OG0001896	El003G156000	XP_002867475.1
OG0001896	El005G242720	XP_020888954.1
OG0001897	El005G265910	XP_020886452.1
OG0001897	El003G176310	XP_020874691.1
OG0001898	El005G261820	XP_020886682.1
OG0001898	El003G174350	XP_020872372.1
OG0001899	El003G173640	XP_020875325.1
OG0001899	El005G260920	XP_020887502.1
OG0001900	El003G193280	XP_002870617.1
OG0001901	El006G280020, El006G314870	XP_020882691.1
OG0001901	El001G034900	XP_002878472.1
OG0001902	El001G034370	XP_002876664.2, XP_020881998.1
OG0001902	El006G280920	XP_002882098.1
OG0001903	El001G032390	XP_020881462.1
OG0001903	El006G283290	XP_020884494.1
OG0001904	El006G283400, El005G276440	XP_020884215.1
OG0001905	El001G031640	XP_020879827.1
OG0001906	El001G030910	XP_020880167.1
OG0001906	El006G285650	XP_002880033.1
OG0001907	El001G018080	XP_020880382.1
OG0001908	El007G327060	XP_002864851.1
OG0001909	El001G002050	XP_002872874.1
OG0001909	El002G084210	XP_020868942.1, XP_020868941.1
OG0001910	El001G004290	XP_020876479.1
OG0001910	El002G085510	XP_020869615.1
OG0001911	El007G359030	XP_002863652.1, XP_020871770.1
OG0001911	El002G086320	XP_002889501.1
OG0001912	El006G300250	XP_020884396.1
OG0001912	El002G087680	XP_020869673.1
OG0001913	El002G087980	XP_002889560.1
OG0001913	El006G300630	XP_020883447.1
OG0001914	El006G300060, El006G299460	XP_002881235.2, XP_020885072.1
OG0001914	El006G299140	XP_020885111.1
OG0001915	El006G301250	XP_020885824.1
OG0001915	El002G088570	XP_002892324.1
OG0001916	El002G089870	XP_002889643.1
OG0001916	El006G303310	XP_020883553.1
OG0001917	El006G304830	XP_020885139.1
OG0001917	El002G090370	XP_020870230.1
OG0001918	El006G311260	XP_020885344.1
OG0001918	El006G311290	XP_002880809.1
OG0001919	El001G067110	XP_020878299.1
OG0001920	El001G064620	XP_002873774.1
OG0001920	El005G236980	XP_020889331.1
OG0001921	El001G064590	XP_002871718.1
OG0001921	El005G237030	XP_002884339.1
OG0001922	El005G240610	XP_020886157.1
OG0001922	El001G050590	XP_020876938.1
OG0001923	El006G290680	XP_020882807.1
OG0001923	El001G025950	XP_020881542.1
OG0001924	El001G024110	XP_020880619.1
OG0001924	El006G293190	XP_002879660.2
OG0001925	El006G292300	XP_002881556.1
OG0001926	El006G292050	XP_020883680.1
OG0001926	El001G022190	XP_020881623.1
OG0001927	El002G099720	XP_002890120.1
OG0001928	El004G231810	XP_002887737.1
OG0001928	El002G101220	XP_020866551.1
OG0001929	El002G101870	XP_002890245.1
OG0001929	El004G225140	XP_020889762.1
OG0001930	El002G102880	XP_020867618.1
OG0001930	El004G226920	XP_020890838.1
OG0001931	El004G227290	XP_020865799.1
OG0001931	El002G103090	XP_002893022.1
OG0001932	El002G103650	XP_002893043.1
OG0001932	El004G227640	XP_002889008.1
OG0001933	El002G105540	XP_002893156.1
OG0001933	El004G229820	XP_002889106.1
OG0001934	El002G107070	XP_020866041.1
OG0001934	El004G231250	XP_002889173.1
OG0001935	El002G108450	XP_002890566.1
OG0001935	El004G222450	XP_002888795.1
OG0001936	El003G154700	XP_020873928.1
OG0001936	El004G221590, El004G221550	XP_020891449.1
OG0001937	El002G110660	XP_020870103.1
OG0001937	El004G220720	XP_020891242.1
OG0001938	El002G112870	XP_020868723.1
OG0001938	El002G112880	XP_002893459.1
OG0001939	El006G321200	XP_020883982.1
OG0001939	El003G142550	XP_002866830.1
OG0001940	El002G083730	XP_020866514.1
OG0001940	El001G078890	XP_020878252.1
OG0001942	El003G178220	XP_002863151.1
OG0001942	El002G120860	XP_002882862.1, XP_002862273.1
OG0001943	El005G247400	XP_020888230.1
OG0001944	El005G247240	XP_020888270.1
OG0001944	El001G075960	XP_020875992.1
OG0001945	El001G019460	XP_020880300.1
OG0001946	El001G018470	XP_020879955.1
OG0001946	El001G056380	XP_002874143.1
OG0001947	El001G013740, El001G013760, El001G013730	XP_020881696.1
OG0001947	El001G013770	XP_002877374.1
OG0001948	El001G012570	XP_002877329.1
OG0001948	El001G058280	XP_020876642.1
OG0001949	El001G059600	XP_002873997.1
OG0001949	El002G123090	XP_020880295.1
OG0001950	El005G250020	XP_020888793.1
OG0001950	El002G139900	XP_020869140.1
OG0001951	El005G251320	XP_002885062.1
OG0001951	El002G138350	XP_020867175.1
OG0001952	El005G253480	XP_020889198.1
OG0001953	El005G256760	XP_002885307.1
OG0001953	El002G133940	XP_020866711.1
OG0001954	El001G068760	XP_002873591.1
OG0001954	El005G258760	XP_002885405.1
OG0001955	El002G136180	XP_020867788.1
OG0001955	El005G259370	XP_002883294.1
OG0001956	El005G272900	XP_002883899.1
OG0001956	El003G148440	XP_020875289.1
OG0001957	El006G296470	XP_020884308.1
OG0001957	El002G117120	XP_020867051.1
OG0001958	El005G272320, El005G272330, El002G122830, El002G122740	XP_002885924.1
OG0001959	El001G031320	XP_002876521.2
OG0001960	El002G138030	XP_002894420.2
OG0001961	El002G134580	XP_020868633.1
OG0001962	El002G089890	XP_020869758.1
OG0001962	El002G089900	XP_020886491.1, XP_020870673.1
OG0001963	El001G003370, El001G003360	XP_020877407.1
OG0001968	El007G339010, El007G338620, El007G338810	XP_020879363.1, XP_002866005.1
OG0001968	El007G339000	XP_020871449.1, XP_002864269.2
OG0001971	El003G154550	XP_020874616.1
OG0001971	El005G278310	XP_002883967.2
OG0001972	El003G152730	XP_020874569.1
OG0001972	El005G277150	XP_002884154.1
OG0001973	El003G152000	XP_020875086.1
OG0001973	El006G317160	XP_002880568.1
OG0001974	El006G316920	XP_002878754.1
OG0001974	El003G151600	XP_002869331.1
OG0001975	El005G272050	XP_020887196.1
OG0001975	El003G149010	XP_020874027.1
OG0001976	El003G147660	XP_020874314.1
OG0001976	El005G273780	XP_020888019.1
OG0001977	El006G295300	XP_002881409.1
OG0001977	El003G170760	XP_020872208.1
OG0001978	El004G199690	XP_002888093.1
OG0001978	El002G094430	XP_002889857.1
OG0001979	El001G037660	XP_020881098.1
OG0001979	El002G098500	XP_020867996.1
OG0001980	El001G037910	XP_002875146.1
OG0001980	El002G098290	XP_002892801.1
OG0001981	El002G096620	XP_020867960.1
OG0001981	El001G040710	XP_020882265.1
OG0001982	El001G041150	XP_002876987.1
OG0001982	El002G096460	XP_020867859.1
OG0001983	El001G041880	XP_002877025.1
OG0001983	El003G192010	XP_020872140.1
OG0001984	El001G042150	XP_020880968.1
OG0001984	El003G191790	XP_002870678.1
OG0001985	El002G095790	XP_002892683.1
OG0001985	El004G197500	XP_002886451.1
OG0001986	El001G028110	XP_020880238.1
OG0001986	El006G288280	XP_002879912.1
OG0001987	El001G078480	XP_002873136.1
OG0001987	El005G245600	XP_020886426.1
OG0001988	El005G246730	XP_020888290.1
OG0001988	El001G076460	XP_002871180.1
OG0001989	El005G246990	XP_020888337.1
OG0001989	El001G076110	XP_020879359.1
OG0001990	El007G338320	XP_002866033.1
OG0001990	El003G156940	XP_020875391.1
OG0001991	El007G337200	XP_020885046.1
OG0001991	El003G157450	XP_020873788.1
OG0001992	El003G157810	XP_020873343.1
OG0001992	El007G336220	XP_002866118.1
OG0001993	El007G336010	XP_020891023.1
OG0001993	El003G157980	XP_020873642.1
OG0001994	El007G334110	XP_002866213.1
OG0001994	El003G158670	XP_002869654.1
OG0001995	El001G060820	XP_020878198.1
OG0001996	El001G069870	XP_002871492.1
OG0001996	El001G052040	XP_002872192.1, XP_002872191.1
OG0001997	El001G072380	XP_020877282.1
OG0001997	El006G319400	XP_020882971.1
OG0001998	El001G072630	XP_002871372.2
OG0001998	El007G326220	XP_002864892.1
OG0001999	El001G074150	XP_002873320.1
OG0001999	El007G329230	XP_020882393.1
OG0002000	El007G329030	XP_020879849.1
OG0002000	El001G074450	XP_020875825.1
OG0002001	El007G365710	XP_002865164.1
OG0002001	El003G168950	XP_020874649.1
OG0002002	El003G165900	XP_020872209.1
OG0002003	El001G005630	XP_002872689.1
OG0002004	El001G006790	XP_020877695.1
OG0002004	El003G162630	XP_002867746.1
OG0002005	El001G007880	XP_020876274.1
OG0002005	El003G161210	XP_020873605.1
OG0002006	El003G161120	XP_020873365.1
OG0002006	El001G008010	XP_002872543.1
OG0002007	El003G161100	XP_020873823.1
OG0002008	El001G008580	XP_020877247.1
OG0002008	El002G120350	XP_002891012.2
OG0002009	El002G130070	XP_002891357.1
OG0002010	El002G114690	XP_020870465.1
OG0002011	El002G115310	XP_002890808.1
OG0002011	El006G297070	XP_002879489.1
OG0002012	El005G274980	XP_020887282.1
OG0002012	El003G146790	XP_020874384.1
OG0002013	El005G275130	XP_002884071.1
OG0002013	El003G146640	XP_020873085.1
OG0002014	El003G146260	XP_020873050.1
OG0002014	El005G275310	XP_020888349.1
OG0002015	El005G277010	XP_002886185.1
OG0002015	El003G145390	XP_002866990.1
OG0002016	El006G319230	XP_020883855.1
OG0002016	El003G144410	XP_002868971.1
OG0002017	El003G143710	XP_020875252.1
OG0002017	El006G319840	XP_020884533.1
OG0002018	El006G321130	XP_020884193.1
OG0002018	El003G142590	XP_002868885.2
OG0002019	El002G118470	XP_002891151.1, XP_020883731.1
OG0002020	El002G115220	XP_002890806.1, XP_002890805.1
OG0002020	El004G210730	XP_002892644.2, XP_002892645.1
OG0002021	El003G161020, El003G161000	XP_020873591.1
OG0002021	El001G008090	XP_002874660.1
OG0002022	El002G101690	XP_020868338.1
OG0002022	El007G364600	XP_020877684.1
OG0002023	El005G262340	XP_020886048.1
OG0002023	El003G174550	XP_020874648.1
OG0002024	El005G261100	XP_020886689.1
OG0002025	El006G281630	XP_020891118.1
OG0002026	El006G283860	XP_002880137.1
OG0002026	El001G032000	XP_002876545.1
OG0002027	El001G028770	XP_020881524.1
OG0002027	El006G287780	XP_002881783.1
OG0002028	El001G014250	XP_002877399.1
OG0002028	El007G330530	XP_020883798.1
OG0002029	El002G083460	XP_002892069.1
OG0002029	El001G001250	XP_002875002.1
OG0002030	El001G003160	XP_020878315.1
OG0002030	El002G084830	XP_020867758.1
OG0002031	El006G298810	XP_020884055.1
OG0002032	El006G299980	XP_002879377.2
OG0002032	El002G087510	XP_020869721.1
OG0002033	El002G089140	XP_020868595.1
OG0002033	El006G302020	XP_020883949.1
OG0002034	El002G090080	XP_002889652.1
OG0002034	El006G304140	XP_020883277.1
OG0002035	El007G336940	XP_002866085.1
OG0002035	El003G157620	XP_002869594.1
OG0002036	El001G065560	XP_020876571.1
OG0002036	El005G236480	XP_002882222.1
OG0002037	El001G065550	XP_002871686.2
OG0002037	El005G236500	XP_002882223.1
OG0002038	El005G253410	XP_020889231.1
OG0002038	El005G240460	XP_020889016.1
OG0002039	El001G026790	XP_020880281.1
OG0002039	El006G290030	XP_002862287.1, XP_002879822.1
OG0002040	El006G294140	XP_002879617.1
OG0002040	El001G023560	XP_002876178.1
OG0002041	El006G293410	XP_002881490.1
OG0002041	El001G023970	XP_002877914.1
OG0002042	El003G163850, El006G291820	XP_002879742.1
OG0002042	El006G291830	XP_020882754.1
OG0002043	El007G361440, El002G131960	XP_020866764.1
OG0002043	El002G132700	XP_002894146.1, XP_002894147.1
OG0002044	El002G099590	XP_020867926.1
OG0002044	El004G234220	XP_020891379.1
OG0002045	El002G099790	XP_002890124.1
OG0002045	El004G233900	XP_002889288.1
OG0002046	El002G100080	XP_020867562.1
OG0002046	El004G233420	XP_002887805.1
OG0002047	El002G100480	XP_002890169.1
OG0002047	El006G318640, El004G232630	XP_002889235.1
OG0002048	El002G101570	XP_020867526.1
OG0002048	El004G224720	XP_020889740.1
OG0002049	El004G225240	XP_002887473.1
OG0002049	El002G101920	XP_020868970.1
OG0002050	El002G105240	XP_020870746.1
OG0002050	El004G229390	XP_020890552.1
OG0002051	El002G105340	XP_020868620.1
OG0002051	El006G286880	XP_020885219.1
OG0002052	El002G105480	XP_020869250.1
OG0002052	El004G229650	XP_020889644.1
OG0002053	El002G105860	XP_020867682.1
OG0002053	El004G230010	XP_020890166.1
OG0002054	El002G108190	XP_020866096.1
OG0002054	El004G223020	XP_020865801.1
OG0002055	El002G108520	XP_002890576.2
OG0002055	El004G222370	XP_002888789.1
OG0002056	El006G314210	XP_020884889.1
OG0002056	El003G150360	XP_020872620.1
OG0002057	El003G150830	XP_002869297.1
OG0002058	El006G317900	XP_002878709.1
OG0002059	El002G087320	XP_020867624.1
OG0002059	El006G299810	XP_002879387.1
OG0002060	El004G221830	XP_002888765.1
OG0002060	El001G066630	XP_002871634.1
OG0002061	El001G018870	XP_020881951.1
OG0002062	El007G329810	XP_020871404.1, XP_020871473.1
OG0002063	El001G074760	XP_002873295.1
OG0002063	El007G333100	XP_020882218.1
OG0002064	El001G021680	XP_020880080.1
OG0002064	El001G021690	XP_020880078.1
OG0002065	El004G214730, El004G214740	XP_020890860.1
OG0002066	El004G229800	XP_020890173.1
OG0002066	El002G105520	XP_020868898.1
OG0002067	El004G228660	XP_020865863.1
OG0002067	El004G228680	XP_020891453.1
OG0002068	El004G232710	XP_020889897.1
OG0002069	El004G232850	XP_002887781.1
OG0002069	El004G232820	XP_002887780.1
OG0002070	El002G100290	XP_020869557.1
OG0002070	El004G233050	XP_020865604.1
OG0002071	El005G249360	XP_020887159.1
OG0002071	El002G140580	XP_020867877.1
OG0002072	El002G140310	XP_002891828.1
OG0002072	El005G249510	XP_020888589.1
OG0002073	El002G138200	XP_020867155.1
OG0002073	El005G251220	XP_020888813.1
OG0002074	El003G171430	XP_002868149.1
OG0002074	El005G253920	XP_020889203.1
OG0002075	El005G278430	XP_020886939.1
OG0002075	El005G278420	XP_002883961.1
OG0002076	El002G141500	XP_002894565.1
OG0002076	El005G248550	XP_002882787.1
OG0002077	El002G135980	XP_002891646.1
OG0002077	El005G259250	XP_020889064.1
OG0002078	El001G026910	XP_002876328.1
OG0002078	El001G026900	XP_020882496.1
OG0002079	El003G189980, El003G190010, El003G158210	XP_020878905.1, XP_002869619.2
OG0002080	El003G172480, El003G172460	XP_020875320.1
OG0002081	El001G014440, El001G014410, El006G314690	XP_020881736.1, XP_020881739.1
OG0002081	El006G321190	XP_020884070.1, XP_020875616.1
OG0002081	El006G314720, El006G314680	XP_002878851.2
OG0002082	El001G025330	XP_020880262.1
OG0002082	El006G291320	XP_020884203.1
OG0002083	El006G288110	XP_002879918.1, XP_020885015.1
OG0002084	El001G007980, El004G234290	XP_020885337.1, XP_002889304.2
OG0002092	El004G208120	XP_020882451.1, XP_020884830.1
OG0002094	El003G147920	XP_002869142.1
OG0002094	El005G273560	XP_002884163.2
OG0002095	El005G274540	XP_002884045.1
OG0002095	El003G146990	XP_020874548.1
OG0002096	El004G206830	XP_020870790.1
OG0002096	El002G092130	XP_002889744.1
OG0002097	El004G202840	XP_020890310.1
OG0002097	El002G093120	XP_020868764.1
OG0002098	El004G200370	XP_020890093.1
OG0002098	El004G200750	XP_020865866.1
OG0002099	El002G094030	XP_002892612.1
OG0002099	El004G200220	XP_002886573.1
OG0002100	El002G097520	XP_020869268.1
OG0002100	El001G038540	XP_020881977.1
OG0002101	El003G191870	XP_002870676.1
OG0002101	El001G042000	XP_020880323.1
OG0002102	El007G353200, El007G352390	XP_020883120.1
OG0002102	El005G242960	XP_002882538.2
OG0002103	El004G194030	XP_002887878.1
OG0002103	El003G193580	XP_020874351.1
OG0002104	El004G195460	XP_002887935.1
OG0002104	El003G192650	XP_002870638.1
OG0002105	El002G096250	XP_020869525.1
OG0002105	El004G196800	XP_002886433.1
OG0002106	El004G198260	XP_002886475.1
OG0002106	El002G095380	XP_020868464.1
OG0002107	El001G028010	XP_002878099.1
OG0002107	El006G288480	XP_002881751.1
OG0002108	El001G081440	XP_002870933.2
OG0002108	El005G244140	XP_020888739.1
OG0002109	El001G079700	XP_020877380.1
OG0002109	El005G244980	XP_020888371.1
OG0002110	El005G245030	XP_020888372.1
OG0002110	El001G079580	XP_002871024.1, XP_002890223.1
OG0002111	El001G078450	XP_002873138.1
OG0002112	El001G077370	XP_002873178.1
OG0002114	El003G156360	XP_002869547.1
OG0002114	El007G339520	XP_002865977.1
OG0002115	El003G157470	XP_020873480.1
OG0002115	El007G337190	XP_002864375.1
OG0002116	El007G336630	XP_020871610.1
OG0002116	El003G157700	XP_002869598.1
OG0002117	El001G068620	XP_002871547.1
OG0002117	El002G112830	XP_002893458.1
OG0002118	El001G069930	XP_020877554.1
OG0002119	El001G071180	XP_020876740.1
OG0002119	El001G054300	XP_020878028.1
OG0002120	El001G056460	XP_020876252.1
OG0002120	El001G073230	XP_020878155.1, XP_002871342.1
OG0002121	El007G328990, El007G329010	XP_002866456.1
OG0002121	El001G074490	XP_020878612.1
OG0002122	El007G366550	XP_020889763.1
OG0002122	El003G169760	XP_002870109.1
OG0002123	El007G363710	XP_002865237.1
OG0002123	El003G167170	XP_020874524.1
OG0002124	El007G363370	XP_020867528.1
OG0002124	El003G167020	XP_002867952.1
OG0002125	El003G165630	XP_020874727.1
OG0002125	El007G361500	XP_020891554.1
OG0002126	El001G004750	XP_002874836.1
OG0002126	El003G164790	XP_020872909.1
OG0002127	El001G007950	XP_020878448.1
OG0002127	El003G161170	XP_020873465.1
OG0002128	El001G008460	XP_020878669.1
OG0002128	El002G120320	XP_020868992.1
OG0002129	El001G009630	XP_020879044.1
OG0002129	El002G122170	XP_002891070.1
OG0002130	El004G208500	XP_002879136.1, XP_002880969.1
OG0002131	El001G002660	XP_020878372.1
OG0002131	El002G084390	XP_020869119.1
OG0002132	El003G146700	XP_002867066.1
OG0002132	El005G275040	XP_020887286.1
OG0002133	El003G146650	XP_002867063.1
OG0002133	El003G146550	XP_020872242.1
OG0002134	El003G146150	XP_002867042.1
OG0002135	El005G277020	XP_020888924.1
OG0002135	El003G145380	XP_020873013.1
OG0002136	El006G321450	XP_020884102.1
OG0002136	El003G142310	XP_002866820.1
OG0002137	El003G189310, El003G189280	XP_002868713.1
OG0002137	El003G189320	XP_002868712.1
OG0002138	El006G296960	XP_020885763.1
OG0002138	El006G296970	XP_020883126.1
OG0002139	El002G128630	XP_002894007.1
OG0002139	El007G358090	XP_002865467.1
OG0002140	El001G009130	XP_002872503.1
OG0002140	El001G009140	XP_002874615.1
OG0002141	El003G176640	XP_020874396.1
OG0002141	El005G265930	XP_002883467.1
OG0002142	El001G035340	XP_002876703.1
OG0002142	El003G162780	XP_020884784.1, XP_002867754.1
OG0002143	El006G279840	XP_020884478.1
OG0002144	El006G286500	XP_020884460.1
OG0002144	El006G286490	XP_002881859.1
OG0002145	El006G287090	XP_020884634.1
OG0002145	El001G029530	XP_002876451.1
OG0002146	El001G013180	XP_020881322.1
OG0002146	El001G057700	XP_002872013.1
OG0002147	El007G331070	XP_002866356.1
OG0002147	El007G331080	XP_002866355.1
OG0002148	El007G331440	XP_020879923.1, XP_020886220.1
OG0002149	El007G327490	XP_002866535.1
OG0002150	El001G020150	XP_020881753.1
OG0002150	El007G323530	XP_002865015.1
OG0002151	El007G322920	XP_020883788.1
OG0002151	El005G276810	XP_020887642.1
OG0002152	El001G000740	XP_020876326.1
OG0002152	El002G082860	XP_002892042.1
OG0002153	El002G083030	XP_020870069.1
OG0002153	El001G000610	XP_020879542.1
OG0002154	El007G360140	XP_020886793.1
OG0002154	El002G085740	XP_020870732.1
OG0002155	El007G359650	XP_020871032.1
OG0002155	El002G086120	XP_002892201.1
OG0002156	El006G298820	XP_002881268.1
OG0002156	El005G267200	XP_002885624.1
OG0002157	El006G299850	XP_020885307.1
OG0002157	El002G087390	XP_020870784.1
OG0002158	El003G156540	XP_020875088.1
OG0002158	El003G156530	XP_002867491.1
OG0002159	El005G236860	XP_020886676.1
OG0002159	El001G065090	XP_002871710.1
OG0002160	El005G237760	XP_002882293.1
OG0002160	El001G063470	XP_002871768.1
OG0002161	El005G239230	XP_002884455.1
OG0002162	El005G265250	XP_020887533.1
OG0002162	El005G241270	XP_020889393.1
OG0002163	El005G242000	XP_002880967.1, XP_002884606.1, XP_002875831.1
OG0002164	El007G346030	XP_002865722.1
OG0002164	El005G242060	XP_002882492.1
OG0002165	El001G068190	XP_020878507.1
OG0002165	El005G243620	XP_002884685.1
OG0002166	El001G027410	XP_002878068.1
OG0002166	El006G289200	XP_020883743.1
OG0002167	El006G290320	XP_002881662.1
OG0002167	El006G290330, El006G290370, El006G290350	XP_002881661.2
OG0002168	El006G295090	XP_002879581.1
